<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLKR.US,60,20200914,160000,23.142,23.142,23.102,23.102,989,0
FLKR.US,60,20200914,180000,23.147,23.147,23.147,23.147,880,0
FLKR.US,60,20200914,200000,23.171,23.171,23.171,23.171,101,0
FLKR.US,60,20200914,210000,23.201,23.201,23.168,23.168,857,0
FLKR.US,60,20200914,220000,23.122,23.19,23.122,23.172,969,0
FLKR.US,60,20200915,160000,23.409,23.459,23.409,23.417,3174,0
FLKR.US,60,20200915,170000,23.434,23.434,23.434,23.434,101,0
FLKR.US,60,20200915,180000,23.449,23.449,23.424,23.424,348,0
FLKR.US,60,20200915,190000,23.459,23.459,23.459,23.459,202,0
FLKR.US,60,20200915,200000,23.434,23.434,23.434,23.434,101,0
FLKR.US,60,20200915,210000,23.408,23.439,23.399,23.399,575,0
FLKR.US,60,20200915,220000,23.428,23.439,23.409,23.419,1584,0
FLKR.US,60,20200916,160000,23.518,23.518,23.471,23.471,329,0
FLKR.US,60,20200916,170000,23.498,23.498,23.379,23.423,2830,0
FLKR.US,60,20200916,180000,23.5,23.5,23.5,23.5,505,0
FLKR.US,60,20200917,160000,23.152,23.152,23.152,23.152,143,0
FLKR.US,60,20200917,170000,23.211,23.271,23.211,23.256,762,0
FLKR.US,60,20200917,180000,23.271,23.271,23.271,23.271,548,0
FLKR.US,60,20200917,190000,23.251,23.251,23.186,23.186,303,0
FLKR.US,60,20200917,210000,23.319,23.32,23.279,23.28,1043,0
FLKR.US,60,20200917,220000,23.34,23.34,23.302,23.302,301,0
FLKR.US,60,20200918,160000,23.429,23.429,23.429,23.429,852,0
FLKR.US,60,20200918,170000,23.345,23.345,23.345,23.345,303,0
FLKR.US,60,20200918,180000,23.35,23.369,23.325,23.33,2714,0
FLKR.US,60,20200918,190000,23.281,23.29,23.281,23.29,603,0
FLKR.US,60,20200918,200000,23.3,23.3,23.155,23.168,1639,0
FLKR.US,60,20200918,210000,23.182,23.261,23.182,23.261,2995,0
FLKR.US,60,20200918,220000,23.241,23.241,23.231,23.231,3356,0
FLKR.US,60,20200921,160000,23.132,23.132,22.776,22.776,758,0
FLKR.US,60,20200921,170000,22.825,22.825,22.766,22.766,931,0
FLKR.US,60,20200921,180000,22.797,22.825,22.741,22.825,1233,0
FLKR.US,60,20200921,190000,22.835,22.864,22.835,22.864,286,0
FLKR.US,60,20200921,220000,22.954,23.003,22.894,23.003,26812,0
FLKR.US,60,20200922,160000,22.627,22.627,22.627,22.627,859,0
FLKR.US,60,20200922,170000,22.645,22.687,22.548,22.558,732,0
FLKR.US,60,20200922,180000,22.503,22.568,22.429,22.568,414,0
FLKR.US,60,20200922,200000,22.607,22.607,22.538,22.538,1033,0
FLKR.US,60,20200922,210000,22.637,22.637,22.548,22.637,5179,0
FLKR.US,60,20200922,220000,22.548,22.687,22.548,22.687,1683,0
FLKR.US,60,20200923,160000,22.637,22.637,22.612,22.612,210,0
FLKR.US,60,20200923,170000,22.548,22.548,22.449,22.449,2222,0
FLKR.US,60,20200923,180000,22.459,22.459,22.409,22.409,849,0
FLKR.US,60,20200923,220000,22.293,22.34,22.261,22.261,10502,0
FLKR.US,60,20200924,160000,21.87,21.875,21.87,21.875,724,0
FLKR.US,60,20200924,170000,21.964,21.994,21.964,21.994,606,0
FLKR.US,60,20200924,200000,22.182,22.182,22.142,22.142,337,0
FLKR.US,60,20200924,210000,22.073,22.073,22.073,22.073,505,0
FLKR.US,60,20200924,220000,22.073,22.073,22.073,22.073,101,0
FLKR.US,60,20200925,160000,21.969,21.969,21.969,21.969,101,0
FLKR.US,60,20200925,170000,21.848,21.875,21.848,21.875,424,0
FLKR.US,60,20200925,180000,21.924,21.924,21.924,21.924,202,0
FLKR.US,60,20200925,220000,22.083,22.083,22.083,22.083,526,0
FLKR.US,60,20200928,160000,22.558,22.558,22.499,22.499,2735,0
FLKR.US,60,20200928,170000,22.449,22.449,22.449,22.449,152,0
FLKR.US,60,20200928,180000,22.491,22.491,22.491,22.491,204,0
FLKR.US,60,20200928,200000,22.479,22.479,22.479,22.479,505,0
FLKR.US,60,20200928,210000,22.533,22.533,22.533,22.533,182,0
