<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FOVL.US,60,20200914,160000,32.84,32.84,32.84,32.84,103,0
FOVL.US,60,20200914,180000,32.958,33.106,32.958,33.106,427,0
FOVL.US,60,20200914,190000,33.145,33.145,33.145,33.145,102,0
FOVL.US,60,20200915,170000,33.027,33.027,33.027,33.027,102,0
FOVL.US,60,20200915,180000,33.184,33.184,33.076,33.076,407,0
FOVL.US,60,20200916,210000,33.538,33.538,33.528,33.528,1933,0
FOVL.US,60,20200917,220000,33.213,33.443,33.213,33.443,204,0
FOVL.US,60,20200921,170000,32.29,32.29,32.29,32.29,152,0
FOVL.US,60,20200922,160000,32.034,32.034,32.034,32.034,102,0
FOVL.US,60,20200922,190000,31.464,31.464,31.464,31.464,102,0
FOVL.US,60,20200924,200000,31.454,31.454,31.212,31.212,1091,0
FOVL.US,60,20200925,180000,30.708,30.708,30.708,30.708,145,0
FOVL.US,60,20200929,220000,31.542,31.542,31.542,31.542,201,0
FOVL.US,60,20200930,170000,31.983,31.983,31.983,31.983,201,0
FOVL.US,60,20201006,180000,31.8,34.001,31.8,34.001,2323,0
FOVL.US,60,20201007,170000,33.866,33.866,33.846,33.846,5741,0
FOVL.US,60,20201007,190000,33.657,33.657,33.657,33.657,242,0
FOVL.US,60,20201008,160000,34.104,34.104,34.104,34.104,1007,0
FOVL.US,60,20201009,210000,34.392,34.392,34.392,34.392,101,0
FOVL.US,60,20201015,160000,34.57,34.57,33.796,33.796,544,0
FOVL.US,60,20201021,170000,34.476,34.521,34.397,34.397,353,0
FOVL.US,60,20201021,190000,34.302,34.302,34.302,34.302,101,0
FOVL.US,60,20201022,180000,34.471,34.501,34.467,34.467,2048,0
FOVL.US,60,20201022,200000,34.818,34.839,34.814,34.814,681,0
FOVL.US,60,20201022,220000,34.888,34.891,34.888,34.891,2317,0
FOVL.US,60,20201023,160000,35.373,35.373,35.315,35.324,1612,0
FOVL.US,60,20201023,180000,35.017,35.041,35.017,35.021,1309,0
FOVL.US,60,20201028,160000,32.863,32.863,32.863,32.863,1007,0
FOVL.US,60,20201028,170000,32.704,32.704,32.704,32.704,101,0
FOVL.US,60,20201028,190000,32.783,32.783,32.783,32.783,3022,0
FOVL.US,60,20201029,170000,32.928,32.928,32.872,32.872,1226,0
FOVL.US,60,20201029,190000,32.729,32.729,32.729,32.729,152,0
FOVL.US,60,20201029,210000,33.31,33.31,33.31,33.31,204,0
FOVL.US,60,20201030,170000,33.21,33.21,33.21,33.21,504,0
FOVL.US,60,20201030,210000,33.121,33.123,33.121,33.123,1587,0
FOVL.US,60,20201103,170000,35.136,35.136,35.012,35.012,630,0
FOVL.US,60,20201104,220000,35.246,35.246,34.094,34.094,596,0
FOVL.US,60,20201105,190000,35.102,35.102,35.102,35.102,146,0
FOVL.US,60,20201106,210000,34.913,34.913,34.779,34.779,732,0
