<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSMD.US,60,20200914,160000,23.57,23.57,23.57,23.57,119,0
FSMD.US,60,20200914,170000,23.738,23.738,23.738,23.738,101,0
FSMD.US,60,20200914,180000,23.758,23.792,23.758,23.792,2018,0
FSMD.US,60,20200914,200000,23.777,23.777,23.777,23.777,848,0
FSMD.US,60,20200914,210000,23.822,23.822,23.777,23.822,347,0
FSMD.US,60,20200915,160000,23.907,23.947,23.907,23.947,1665,0
FSMD.US,60,20200915,170000,23.937,23.937,23.937,23.937,606,0
FSMD.US,60,20200915,180000,24.019,24.019,23.877,23.877,548,0
FSMD.US,60,20200915,200000,23.917,23.917,23.917,23.917,302,0
FSMD.US,60,20200916,170000,23.975,24.015,23.965,24.005,10699,0
FSMD.US,60,20200916,180000,24.045,24.065,24.045,24.065,353,0
FSMD.US,60,20200916,190000,24.115,24.115,24.115,24.115,101,0
FSMD.US,60,20200916,200000,24.075,24.075,24.052,24.065,1998,0
FSMD.US,60,20200916,210000,24.105,24.105,24.105,24.105,108,0
FSMD.US,60,20200917,190000,23.728,23.753,23.728,23.753,403,0
FSMD.US,60,20200917,220000,23.777,23.802,23.777,23.802,202,0
FSMD.US,60,20200918,170000,23.907,23.907,23.907,23.907,201,0
FSMD.US,60,20200918,180000,23.761,23.797,23.758,23.768,6436,0
FSMD.US,60,20200918,200000,23.579,23.598,23.489,23.559,2112,0
FSMD.US,60,20200918,210000,23.509,23.628,23.509,23.628,3348,0
FSMD.US,60,20200918,220000,23.648,23.718,23.648,23.678,3419,0
FSMD.US,60,20200921,160000,23.917,23.917,23.012,23.071,2363,0
FSMD.US,60,20200921,170000,23.101,23.101,22.972,23.041,2023,0
FSMD.US,60,20200921,180000,23.022,23.042,22.982,23.017,3344,0
FSMD.US,60,20200921,210000,22.952,22.952,22.922,22.922,346,0
FSMD.US,60,20200921,220000,23.111,23.151,23.091,23.126,1278,0
FSMD.US,60,20200922,160000,23.32,23.32,23.25,23.25,804,0
FSMD.US,60,20200922,170000,23.171,23.191,23.171,23.191,202,0
FSMD.US,60,20200922,190000,23.111,23.113,23.111,23.111,1640,0
FSMD.US,60,20200922,200000,23.121,23.131,23.121,23.131,8559,0
FSMD.US,60,20200922,210000,23.141,23.27,23.141,23.25,7109,0
FSMD.US,60,20200922,220000,23.26,23.293,23.26,23.29,5290,0
FSMD.US,60,20200923,160000,23.449,23.489,23.404,23.444,1985,0
FSMD.US,60,20200923,180000,23.27,23.27,23.27,23.27,1709,0
FSMD.US,60,20200923,210000,23.168,23.168,23.168,23.168,351,0
FSMD.US,60,20200924,160000,22.773,22.773,22.651,22.651,1300,0
FSMD.US,60,20200924,170000,22.684,22.723,22.674,22.723,3922,0
FSMD.US,60,20200924,210000,22.927,22.927,22.927,22.927,101,0
FSMD.US,60,20200924,220000,22.767,22.952,22.767,22.952,5460,0
FSMD.US,60,20200925,160000,22.886,22.894,22.886,22.894,1506,0
FSMD.US,60,20200925,170000,22.908,22.932,22.873,22.922,870,0
FSMD.US,60,20200925,180000,22.962,22.992,22.905,22.905,1247,0
FSMD.US,60,20200925,190000,22.962,22.962,22.952,22.952,1112,0
FSMD.US,60,20200925,200000,23.02,23.101,23.02,23.076,4083,0
FSMD.US,60,20200925,210000,23.101,23.111,23.101,23.111,4033,0
FSMD.US,60,20200925,220000,23.176,23.176,23.171,23.171,402,0
FSMD.US,60,20200928,160000,23.554,23.554,23.469,23.489,1589,0
FSMD.US,60,20200928,170000,23.519,23.618,23.512,23.598,2011,0
FSMD.US,60,20200928,180000,23.618,23.618,23.608,23.608,201,0
FSMD.US,60,20200928,210000,23.618,23.623,23.618,23.62,6908,0
FSMD.US,60,20200928,220000,23.648,23.658,23.648,23.658,382,0
FSMD.US,60,20200929,160000,23.807,23.807,23.648,23.658,3811,0
FSMD.US,60,20200929,170000,23.658,23.658,23.569,23.569,1373,0
FSMD.US,60,20200929,180000,23.514,23.514,23.479,23.479,508,0
FSMD.US,60,20200929,200000,23.512,23.514,23.512,23.514,377,0
FSMD.US,60,20200929,220000,23.603,23.603,23.542,23.542,1472,0
FSMD.US,60,20200930,160000,23.459,23.598,23.459,23.598,1106,0
FSMD.US,60,20200930,170000,23.809,23.809,23.807,23.807,302,0
FSMD.US,60,20200930,180000,23.728,23.728,23.708,23.708,201,0
FSMD.US,60,20200930,190000,23.738,23.738,23.738,23.738,101,0
FSMD.US,60,20200930,210000,23.678,23.678,23.678,23.678,101,0
FSMD.US,60,20200930,220000,23.698,23.777,23.569,23.598,80901,0
FSMD.US,60,20201001,170000,23.703,23.777,23.703,23.738,779,0
FSMD.US,60,20201001,220000,23.857,23.927,23.827,23.927,4684,0
FSMD.US,60,20201002,160000,23.25,23.744,23.25,23.708,3052,0
FSMD.US,60,20201002,170000,23.777,23.777,23.777,23.777,302,0
FSMD.US,60,20201002,180000,23.957,23.957,23.911,23.911,1247,0
FSMD.US,60,20201002,190000,24.087,24.087,24.024,24.046,589,0
FSMD.US,60,20201002,200000,24.051,24.051,24.051,24.051,125,0
FSMD.US,60,20201002,210000,24.066,24.066,24.066,24.066,201,0
FSMD.US,60,20201002,220000,24.101,24.155,24.069,24.076,4409,0
FSMD.US,60,20201005,160000,24.464,24.464,24.344,24.344,248,0
FSMD.US,60,20201005,170000,24.384,24.388,24.384,24.388,222,0
FSMD.US,60,20201005,180000,24.424,24.424,24.424,24.424,201,0
FSMD.US,60,20201005,190000,24.431,24.431,24.431,24.431,126,0
FSMD.US,60,20201005,210000,24.464,24.464,24.445,24.445,251,0
FSMD.US,60,20201006,160000,24.752,24.752,24.682,24.682,1508,0
FSMD.US,60,20201006,170000,24.663,24.672,24.663,24.672,533,0
FSMD.US,60,20201006,180000,24.772,24.772,24.722,24.722,503,0
FSMD.US,60,20201006,190000,24.752,24.812,24.746,24.81,1664,0
FSMD.US,60,20201006,200000,24.861,24.931,24.859,24.931,855,0
FSMD.US,60,20201006,210000,24.921,25.011,24.881,24.881,1132,0
