<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRES.US,60,20200914,180000,23.897,23.897,23.897,23.897,210,0
GRES.US,60,20200914,200000,23.879,23.879,23.879,23.879,1152,0
GRES.US,60,20200914,210000,23.906,23.906,23.906,23.906,220,0
GRES.US,60,20200914,220000,23.951,23.951,23.951,23.951,110,0
GRES.US,60,20200916,210000,24.188,24.188,24.142,24.142,1729,0
GRES.US,60,20200916,220000,24.188,24.188,24.17,24.17,1399,0
GRES.US,60,20200917,170000,24.042,24.042,24.042,24.042,677,0
GRES.US,60,20200917,180000,24.125,24.125,24.125,24.125,152,0
GRES.US,60,20200918,170000,24.251,24.251,24.251,24.251,203,0
GRES.US,60,20200918,200000,24.069,24.069,24.069,24.069,187,0
GRES.US,60,20200918,210000,24.098,24.098,24.024,24.079,3637,0
GRES.US,60,20200918,220000,24.097,24.097,24.097,24.097,110,0
GRES.US,60,20200921,170000,23.524,23.524,23.524,23.524,330,0
GRES.US,60,20200921,180000,23.533,23.533,23.533,23.533,133,0
GRES.US,60,20200921,190000,23.505,23.533,23.505,23.533,440,0
GRES.US,60,20200921,210000,23.451,23.451,23.451,23.451,726,0
GRES.US,60,20200921,220000,23.533,23.533,23.533,23.533,440,0
GRES.US,60,20200922,180000,23.505,23.524,23.433,23.524,1819,0
GRES.US,60,20200922,190000,23.496,23.496,23.496,23.496,330,0
GRES.US,60,20200923,170000,23.369,23.369,23.369,23.369,118,0
GRES.US,60,20200923,220000,23.078,23.078,23.078,23.078,330,0
GRES.US,60,20200924,180000,23.014,23.014,22.996,22.996,2413,0
GRES.US,60,20200924,190000,23.078,23.078,23.06,23.061,3110,0
GRES.US,60,20200924,200000,23.096,23.169,23.096,23.169,2048,0
GRES.US,60,20200924,210000,23.178,23.178,23.105,23.105,649,0
GRES.US,60,20200924,220000,23.023,23.023,23.023,23.023,110,0
GRES.US,60,20200925,180000,23.069,23.114,23.069,23.114,1342,0
GRES.US,60,20200925,190000,23.023,23.069,23.023,23.069,1100,0
GRES.US,60,20200925,200000,23.069,23.145,23.069,23.104,2138,0
GRES.US,60,20200925,210000,23.102,23.102,23.102,23.102,120,0
GRES.US,60,20200925,220000,23.102,23.251,23.102,23.251,1132,0
GRES.US,60,20200928,170000,23.469,23.469,23.469,23.469,680,0
GRES.US,60,20200928,180000,23.442,23.442,23.415,23.425,1210,0
GRES.US,60,20200928,190000,23.405,23.405,23.396,23.405,660,0
GRES.US,60,20200928,200000,23.442,23.442,23.442,23.442,273,0
GRES.US,60,20200928,220000,23.469,23.469,23.469,23.469,110,0
GRES.US,60,20200929,170000,23.369,23.369,23.369,23.369,142,0
GRES.US,60,20200929,200000,23.214,23.214,23.214,23.214,220,0
GRES.US,60,20200929,220000,23.342,23.342,23.342,23.342,165,0
GRES.US,60,20200930,180000,23.351,23.369,23.26,23.296,989,0
GRES.US,60,20200930,190000,23.295,23.314,23.295,23.314,984,0
GRES.US,60,20200930,200000,23.396,23.396,23.378,23.378,330,0
GRES.US,60,20200930,210000,23.36,23.378,23.36,23.378,482,0
GRES.US,60,20200930,220000,23.27,23.27,23.27,23.27,134,0
GRES.US,60,20201001,170000,23.296,23.296,23.296,23.296,110,0
GRES.US,60,20201001,200000,23.278,23.278,23.278,23.278,110,0
GRES.US,60,20201001,210000,23.214,23.342,23.214,23.342,1112,0
GRES.US,60,20201002,160000,22.996,22.996,22.996,22.996,1087,0
GRES.US,60,20201002,170000,23.255,23.261,23.255,23.261,696,0
GRES.US,60,20201002,180000,23.342,23.342,23.342,23.342,110,0
GRES.US,60,20201002,190000,23.278,23.287,23.278,23.287,279,0
GRES.US,60,20201002,200000,23.264,23.269,23.264,23.269,330,0
GRES.US,60,20201002,210000,23.287,23.287,23.287,23.287,110,0
GRES.US,60,20201005,160000,22.223,22.223,22.223,22.223,307,0
GRES.US,60,20201005,180000,23.442,23.442,23.424,23.424,121854,0
GRES.US,60,20201005,190000,23.415,23.415,23.405,23.405,1904,0
GRES.US,60,20201005,200000,23.387,23.387,23.351,23.351,2233,0
GRES.US,60,20201005,210000,23.369,23.41,23.342,23.387,2405,0
GRES.US,60,20201005,220000,23.505,23.505,23.493,23.493,446,0
GRES.US,60,20201006,160000,23.551,23.551,23.551,23.551,192,0
GRES.US,60,20201006,180000,23.524,23.524,23.524,23.524,139,0
GRES.US,60,20201006,190000,23.442,23.442,23.442,23.442,110,0
GRES.US,60,20201006,200000,23.494,23.494,23.494,23.494,330,0
GRES.US,60,20201006,210000,23.478,23.478,23.26,23.278,397,0
GRES.US,60,20201006,220000,23.314,23.314,23.21,23.21,550,0
GRES.US,60,20201007,160000,23.451,23.451,23.405,23.405,660,0
GRES.US,60,20201007,190000,23.392,23.396,23.278,23.396,1515,0
GRES.US,60,20201007,200000,23.305,23.387,23.305,23.36,879,0
GRES.US,60,20201007,210000,23.451,23.451,23.451,23.451,330,0
GRES.US,60,20201007,220000,23.46,23.46,23.433,23.433,544,0
GRES.US,60,20201008,170000,23.505,23.505,23.501,23.501,577,0
GRES.US,60,20201008,180000,23.46,23.46,23.424,23.442,983,0
GRES.US,60,20201008,200000,23.487,23.487,23.487,23.487,137,0
GRES.US,60,20201008,210000,23.533,23.533,23.533,23.533,110,0
GRES.US,60,20201009,170000,23.724,23.724,23.724,23.724,193,0
GRES.US,60,20201009,190000,23.687,23.687,23.687,23.687,110,0
GRES.US,60,20201009,210000,23.651,23.651,23.651,23.651,220,0
GRES.US,60,20201009,220000,23.66,23.66,23.66,23.66,137,0
GRES.US,60,20201012,190000,23.733,23.769,23.733,23.769,330,0
GRES.US,60,20201013,170000,23.587,23.587,23.587,23.587,330,0
GRES.US,60,20201013,190000,23.515,23.542,23.505,23.542,1739,0
GRES.US,60,20201013,200000,23.615,23.615,23.596,23.606,550,0
GRES.US,60,20201013,210000,23.601,23.601,23.596,23.596,469,0
GRES.US,60,20201013,220000,23.633,23.633,23.633,23.633,660,0
GRES.US,60,20201014,160000,23.751,23.751,23.751,23.751,361,0
GRES.US,60,20201014,180000,23.841,23.841,23.841,23.841,117,0
GRES.US,60,20201014,190000,23.733,23.76,23.651,23.706,3208,0
GRES.US,60,20201014,210000,23.651,23.651,23.651,23.651,208,0
GRES.US,60,20201014,220000,23.734,23.734,23.734,23.734,1099,0
GRES.US,60,20201015,170000,23.505,23.542,23.505,23.542,1165,0
GRES.US,60,20201015,180000,23.56,23.56,23.56,23.56,330,0
GRES.US,60,20201015,220000,23.706,23.724,23.642,23.642,2593,0
GRES.US,60,20201016,160000,23.815,23.815,23.815,23.815,396,0
GRES.US,60,20201016,180000,23.742,23.742,23.742,23.742,110,0
GRES.US,60,20201016,200000,23.669,23.669,23.669,23.669,4120,0
GRES.US,60,20201016,210000,23.633,23.633,23.615,23.615,2311,0
GRES.US,60,20201016,220000,23.606,23.606,23.56,23.569,989,0
GRES.US,60,20201019,170000,23.702,23.702,23.702,23.702,128,0
GRES.US,60,20201019,190000,23.633,23.633,23.633,23.633,330,0
GRES.US,60,20201019,200000,23.624,23.624,23.624,23.624,577,0
GRES.US,60,20201019,210000,23.484,23.484,23.484,23.484,269,0
GRES.US,60,20201019,220000,23.469,23.469,23.469,23.469,879,0
GRES.US,60,20201020,160000,23.515,23.515,23.515,23.515,232,0
GRES.US,60,20201021,210000,23.578,23.628,23.551,23.61,960,0
GRES.US,60,20201021,220000,23.587,23.587,23.587,23.587,330,0
GRES.US,60,20201022,160000,23.533,23.533,23.523,23.523,1163,0
GRES.US,60,20201022,180000,23.533,23.533,23.424,23.424,2695,0
GRES.US,60,20201022,190000,23.515,23.524,23.496,23.524,990,0
GRES.US,60,20201026,150000,23.396,23.442,23.396,23.442,377,0
GRES.US,60,20201026,180000,23.305,23.324,23.296,23.296,2089,0
GRES.US,60,20201026,210000,23.269,23.269,23.269,23.269,330,0
GRES.US,60,20201027,150000,23.223,23.223,23.223,23.223,214,0
GRES.US,60,20201027,160000,23.242,23.242,23.242,23.242,110,0
GRES.US,60,20201027,170000,23.233,23.251,23.233,23.251,435,0
GRES.US,60,20201029,180000,22.7,22.7,22.7,22.7,208,0
GRES.US,60,20201029,200000,22.787,22.787,22.787,22.787,110,0
GRES.US,60,20201029,210000,22.778,22.823,22.778,22.823,261,0
GRES.US,60,20201030,160000,22.841,22.841,22.841,22.841,110,0
GRES.US,60,20201030,190000,22.723,22.741,22.696,22.696,456,0
GRES.US,60,20201030,200000,22.787,22.787,22.769,22.769,1291,0
GRES.US,60,20201030,210000,22.869,22.869,22.869,22.869,131,0
GRES.US,60,20201102,170000,23.114,23.114,23.114,23.114,110,0
GRES.US,60,20201102,200000,23.133,23.151,23.133,23.151,519,0
GRES.US,60,20201102,210000,23.096,23.16,23.096,23.16,375,0
GRES.US,60,20201102,220000,23.269,23.269,23.269,23.269,110,0
GRES.US,60,20201104,170000,23.433,23.433,23.433,23.433,21840,0
GRES.US,60,20201104,220000,23.305,23.305,23.305,23.305,161,0
GRES.US,60,20201105,160000,23.496,23.496,23.496,23.496,989,0
GRES.US,60,20201105,170000,23.578,23.578,23.569,23.569,1759,0
GRES.US,60,20201105,180000,23.651,23.651,23.615,23.615,1759,0
GRES.US,60,20201105,190000,23.615,23.615,23.551,23.578,2858,0
GRES.US,60,20201105,200000,23.606,23.66,23.606,23.66,682,0
GRES.US,60,20201105,210000,23.669,23.679,23.606,23.606,825,0
GRES.US,60,20201105,220000,23.592,23.592,23.592,23.592,110,0
GRES.US,60,20201106,170000,23.765,23.765,23.765,23.765,135,0
GRES.US,60,20201106,190000,23.669,23.669,23.669,23.669,110,0
GRES.US,60,20201106,200000,23.651,23.651,23.651,23.651,213,0
GRES.US,60,20201106,220000,23.697,23.697,23.697,23.697,110,0
GRES.US,60,20201109,170000,24.16,24.16,24.16,24.16,110,0
GRES.US,60,20201109,190000,24.097,24.097,24.097,24.097,330,0
GRES.US,60,20201109,210000,24.197,24.197,24.107,24.114,3858,0
GRES.US,60,20201109,220000,24.106,24.106,24.088,24.088,1363,0
GRES.US,60,20201110,160000,24.27,24.27,24.251,24.251,306,0
GRES.US,60,20201110,170000,24.265,24.265,24.188,24.188,527,0
GRES.US,60,20201110,200000,24.341,24.341,24.341,24.341,685,0
GRES.US,60,20201111,170000,24.26,24.27,24.26,24.26,330,0
GRES.US,60,20201111,180000,24.315,24.315,24.315,24.315,110,0
GRES.US,60,20201111,190000,24.249,24.249,24.249,24.249,247,0
GRES.US,60,20201111,200000,24.206,24.215,24.206,24.215,220,0
GRES.US,60,20201111,220000,24.251,24.251,24.251,24.251,220,0
GRES.US,60,20201112,200000,24.042,24.042,24.042,24.042,185,0
GRES.US,60,20201113,180000,24.215,24.215,24.215,24.215,330,0
GRES.US,60,20201113,220000,24.179,24.197,24.179,24.197,5277,0
