<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBDD.US,60,20200914,210000,27.3,27.3,27.3,27.3,137,0
IBDD.US,60,20200914,220000,27.21,27.22,27.21,27.21,1952,0
IBDD.US,60,20200915,160000,27.3,27.3,27.3,27.3,276,0
IBDD.US,60,20200915,210000,27.29,27.29,27.29,27.29,417,0
IBDD.US,60,20200915,220000,27.23,27.268,27.22,27.268,1013,0
IBDD.US,60,20200916,190000,27.3,27.309,27.3,27.309,1390,0
IBDD.US,60,20200916,210000,27.24,27.25,27.06,27.222,7606,0
IBDD.US,60,20200916,220000,27.27,27.3,27.251,27.3,11045,0
IBDD.US,60,20200917,160000,27.24,27.24,27.24,27.24,417,0
IBDD.US,60,20200917,170000,27.3,27.3,27.3,27.3,502,0
IBDD.US,60,20200917,180000,27.26,27.26,27.26,27.26,1004,0
IBDD.US,60,20200917,210000,27.26,27.26,27.24,27.24,1104,0
IBDD.US,60,20200918,160000,27.271,27.271,27.271,27.271,7735,0
IBDD.US,60,20200918,220000,27.268,27.268,27.268,27.268,1307,0
IBDD.US,60,20200921,160000,27.29,27.29,27.26,27.26,563,0
IBDD.US,60,20200921,170000,27.242,27.242,27.242,27.242,387,0
IBDD.US,60,20200921,180000,27.28,27.29,27.25,27.29,6332,0
IBDD.US,60,20200921,190000,27.22,27.25,27.22,27.25,899,0
IBDD.US,60,20200921,220000,27.27,27.27,27.27,27.27,103,0
IBDD.US,60,20200922,170000,27.277,27.277,27.277,27.277,367,0
IBDD.US,60,20200922,190000,27.275,27.275,27.275,27.275,166,0
IBDD.US,60,20200922,220000,27.26,27.26,27.26,27.26,1018,0
IBDD.US,60,20200923,210000,27.28,27.289,27.28,27.289,529,0
IBDD.US,60,20200923,220000,27.221,27.29,27.22,27.236,6500,0
IBDD.US,60,20200924,160000,27.19,27.19,27.19,27.19,1707,0
IBDD.US,60,20200924,180000,27.24,27.25,27.24,27.24,904,0
IBDD.US,60,20200924,190000,27.25,27.25,27.25,27.25,200,0
IBDD.US,60,20200924,200000,27.246,27.246,27.21,27.21,903,0
IBDD.US,60,20200924,210000,27.2,27.224,27.2,27.224,283,0
IBDD.US,60,20200925,170000,27.19,27.28,27.19,27.28,1057,0
IBDD.US,60,20200925,180000,27.235,27.235,27.235,27.235,213,0
IBDD.US,60,20200925,200000,27.27,27.28,27.19,27.244,594,0
IBDD.US,60,20200925,210000,27.235,27.235,27.235,27.235,193,0
IBDD.US,60,20200928,220000,27.18,27.18,27.171,27.171,715,0
IBDD.US,60,20200929,180000,27.26,27.26,27.26,27.26,200,0
IBDD.US,60,20200929,190000,27.26,27.26,27.26,27.26,200,0
IBDD.US,60,20200929,210000,27.26,27.26,27.19,27.26,8974,0
IBDD.US,60,20200930,160000,27.2,27.2,27.2,27.2,3715,0
IBDD.US,60,20200930,180000,27.24,27.24,27.24,27.24,1107,0
IBDD.US,60,20200930,190000,27.19,27.19,27.19,27.19,100,0
IBDD.US,60,20200930,200000,27.2,27.21,27.19,27.19,2057,0
IBDD.US,60,20200930,210000,27.2,27.2,27.19,27.2,804,0
IBDD.US,60,20200930,220000,27.19,27.2,27.19,27.2,911,0
IBDD.US,60,20201001,160000,27.45,27.45,27.31,27.31,608,0
