<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBDM.US,60,20200914,160000,24.98,24.98,24.97,24.972,21219,0
IBDM.US,60,20200914,170000,24.975,24.98,24.97,24.975,35138,0
IBDM.US,60,20200914,180000,24.975,24.98,24.97,24.97,10559,0
IBDM.US,60,20200914,190000,24.975,24.98,24.97,24.975,12445,0
IBDM.US,60,20200914,200000,24.98,24.98,24.97,24.975,9230,0
IBDM.US,60,20200914,210000,24.974,24.98,24.97,24.973,23789,0
IBDM.US,60,20200914,220000,24.975,24.98,24.97,24.98,43101,0
IBDM.US,60,20200915,160000,24.97,24.98,24.97,24.97,268033,0
IBDM.US,60,20200915,170000,24.975,24.98,24.971,24.975,8350,0
IBDM.US,60,20200915,180000,24.98,24.98,24.972,24.974,10480,0
IBDM.US,60,20200915,190000,24.97,24.98,24.97,24.975,33590,0
IBDM.US,60,20200915,200000,24.978,24.98,24.972,24.975,20181,0
IBDM.US,60,20200915,210000,24.975,24.98,24.97,24.975,25349,0
IBDM.US,60,20200915,220000,24.975,24.98,24.97,24.98,27573,0
IBDM.US,60,20200916,160000,24.98,24.98,24.973,24.975,14743,0
IBDM.US,60,20200916,170000,24.98,24.98,24.97,24.975,30759,0
IBDM.US,60,20200916,180000,24.975,24.98,24.971,24.975,13657,0
IBDM.US,60,20200916,190000,24.975,24.98,24.97,24.98,13569,0
IBDM.US,60,20200916,200000,24.979,24.98,24.97,24.975,29209,0
IBDM.US,60,20200916,210000,24.975,24.98,24.97,24.98,19374,0
IBDM.US,60,20200916,220000,24.975,24.98,24.97,24.98,52474,0
IBDM.US,60,20200917,160000,24.98,24.98,24.97,24.976,20814,0
IBDM.US,60,20200917,170000,24.975,24.98,24.97,24.98,17561,0
IBDM.US,60,20200917,180000,24.972,24.98,24.97,24.98,23048,0
IBDM.US,60,20200917,190000,24.979,24.98,24.97,24.975,9522,0
IBDM.US,60,20200917,200000,24.979,24.98,24.97,24.98,34544,0
IBDM.US,60,20200917,210000,24.979,24.98,24.97,24.975,28770,0
IBDM.US,60,20200917,220000,24.973,24.98,24.97,24.98,31407,0
IBDM.US,60,20200918,160000,24.99,24.99,24.98,24.985,1279,0
IBDM.US,60,20200918,170000,24.98,24.99,24.98,24.987,21859,0
IBDM.US,60,20200918,180000,24.99,24.99,24.98,24.99,7280,0
IBDM.US,60,20200918,190000,24.98,24.989,24.98,24.98,3528,0
IBDM.US,60,20200918,200000,24.984,24.99,24.98,24.985,28920,0
IBDM.US,60,20200918,210000,24.99,24.99,24.98,24.984,12553,0
IBDM.US,60,20200918,220000,24.985,24.99,24.98,24.98,13394,0
IBDM.US,60,20200921,160000,24.97,24.98,24.97,24.976,10545,0
IBDM.US,60,20200921,170000,24.975,24.98,24.97,24.98,16075,0
IBDM.US,60,20200921,180000,24.98,24.98,24.97,24.97,11703,0
IBDM.US,60,20200921,190000,24.975,24.98,24.97,24.975,12014,0
IBDM.US,60,20200921,200000,24.975,24.98,24.97,24.973,37794,0
IBDM.US,60,20200921,210000,24.975,24.98,24.97,24.975,15021,0
IBDM.US,60,20200921,220000,24.975,24.98,24.97,24.97,39164,0
IBDM.US,60,20200922,160000,24.977,24.98,24.96,24.96,20582,0
IBDM.US,60,20200922,170000,24.965,24.975,24.96,24.97,11002,0
IBDM.US,60,20200922,180000,24.98,24.98,24.972,24.975,5868,0
IBDM.US,60,20200922,190000,24.97,24.98,24.97,24.976,15922,0
IBDM.US,60,20200922,200000,24.975,24.98,24.97,24.974,107372,0
IBDM.US,60,20200922,210000,24.975,24.98,24.97,24.97,2257,0
IBDM.US,60,20200922,220000,24.976,24.98,24.97,24.98,30327,0
IBDM.US,60,20200923,160000,24.98,24.99,24.973,24.98,3154,0
IBDM.US,60,20200923,170000,24.975,24.98,24.97,24.98,16342,0
IBDM.US,60,20200923,180000,24.98,24.98,24.97,24.98,22290,0
IBDM.US,60,20200923,190000,24.975,24.98,24.971,24.98,12219,0
IBDM.US,60,20200923,200000,24.975,24.98,24.97,24.979,6590,0
IBDM.US,60,20200923,210000,24.975,24.98,24.97,24.975,17157,0
IBDM.US,60,20200923,220000,24.975,24.98,24.97,24.98,9871,0
IBDM.US,60,20200924,160000,24.965,24.97,24.96,24.96,8030,0
IBDM.US,60,20200924,170000,24.965,24.97,24.96,24.967,10116,0
IBDM.US,60,20200924,180000,24.965,24.97,24.96,24.97,23213,0
IBDM.US,60,20200924,190000,24.96,24.97,24.96,24.966,23236,0
IBDM.US,60,20200924,200000,24.965,24.97,24.96,24.96,13752,0
IBDM.US,60,20200924,210000,24.963,24.97,24.96,24.97,6565,0
IBDM.US,60,20200924,220000,24.967,24.97,24.96,24.97,26030,0
IBDM.US,60,20200925,160000,24.96,24.97,24.96,24.97,1503,0
IBDM.US,60,20200925,170000,24.97,24.97,24.96,24.96,13575,0
IBDM.US,60,20200925,180000,24.965,24.98,24.96,24.968,18854,0
