<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IQSI.US,60,20200914,160000,24.452,24.462,24.452,24.462,202,0
IQSI.US,60,20200914,220000,24.412,24.413,24.397,24.413,1009,0
IQSI.US,60,20200915,160000,24.611,24.611,24.552,24.552,404,0
IQSI.US,60,20200915,170000,24.582,24.582,24.582,24.582,202,0
IQSI.US,60,20200916,160000,24.562,24.572,24.562,24.572,202,0
IQSI.US,60,20200916,170000,24.592,24.601,24.552,24.572,1414,0
IQSI.US,60,20200916,180000,24.582,24.65,24.582,24.65,909,0
IQSI.US,60,20200916,210000,24.65,24.68,24.65,24.68,581,0
IQSI.US,60,20200917,180000,24.552,24.552,24.552,24.552,202,0
IQSI.US,60,20200917,190000,24.462,24.462,24.462,24.462,202,0
IQSI.US,60,20200917,200000,24.492,24.492,24.492,24.492,202,0
IQSI.US,60,20200921,160000,24.66,24.66,23.769,23.769,707,0
IQSI.US,60,20200922,210000,23.651,23.663,23.651,23.663,1470,0
IQSI.US,60,20200922,220000,23.676,23.676,23.676,23.676,202,0
IQSI.US,60,20200928,160000,23.88,23.88,23.81,23.85,1005,0
IQSI.US,60,20200928,170000,23.87,23.919,23.86,23.909,1307,0
IQSI.US,60,20201001,160000,23.909,23.909,23.9,23.9,201,0
IQSI.US,60,20201001,170000,23.88,23.939,23.85,23.9,1911,0
IQSI.US,60,20201001,180000,23.919,23.959,23.9,23.959,1106,0
IQSI.US,60,20201005,160000,24.148,24.148,24.108,24.108,302,0
IQSI.US,60,20201005,170000,24.138,24.208,24.108,24.208,1608,0
IQSI.US,60,20201005,180000,24.188,24.198,24.188,24.198,603,0
IQSI.US,60,20201007,160000,24.148,24.158,24.118,24.118,603,0
IQSI.US,60,20201007,170000,24.108,24.128,24.088,24.128,1006,0
IQSI.US,60,20201007,180000,24.138,24.168,24.138,24.148,1307,0
IQSI.US,60,20201007,190000,24.148,24.148,24.118,24.148,604,0
IQSI.US,60,20201008,220000,24.347,24.357,24.347,24.347,5530,0
IQSI.US,60,20201013,210000,24.367,24.367,24.367,24.367,101,0
IQSI.US,60,20201014,160000,24.486,24.486,24.466,24.466,399469,0
IQSI.US,60,20201019,200000,24.198,24.198,24.198,24.198,101,0
IQSI.US,60,20201020,160000,24.188,24.188,24.188,24.188,209,0
IQSI.US,60,20201020,190000,24.168,24.168,24.168,24.168,215,0
IQSI.US,60,20201020,220000,24.168,24.168,24.148,24.148,5144,0
IQSI.US,60,20201021,170000,24.208,24.208,24.208,24.208,503,0
IQSI.US,60,20201021,220000,24.114,24.114,24.114,24.114,101,0
IQSI.US,60,20201022,180000,24.008,24.008,24.008,24.008,101,0
IQSI.US,60,20201022,220000,24.019,24.019,24.019,24.019,319,0
IQSI.US,60,20201027,170000,23.77,23.77,23.611,23.651,591,0
IQSI.US,60,20201105,210000,24.636,24.636,24.636,24.636,201,0
IQSI.US,60,20201106,220000,24.698,24.698,24.698,24.698,101,0
IQSI.US,60,20201109,200000,25.461,25.461,25.461,25.461,177,0
IQSI.US,60,20201110,220000,25.589,25.589,25.52,25.52,434,0
IQSI.US,60,20201112,160000,25.541,25.541,25.541,25.541,201,0
IQSI.US,60,20201112,220000,25.357,25.362,25.357,25.362,201,0
IQSI.US,60,20201117,160000,25.968,25.968,25.968,25.968,135,0
IQSI.US,60,20201123,170000,26.018,26.087,26.008,26.087,4509,0
IQSI.US,60,20201127,200000,26.559,26.559,26.559,26.559,0,0
IQSI.US,60,20201127,220000,26.559,26.559,26.559,26.559,0,0
IQSI.US,60,20201130,200000,26.237,26.237,26.237,26.237,238,0
IQSI.US,60,20201130,210000,26.177,26.177,26.177,26.177,201,0
IQSI.US,60,20201202,160000,26.495,26.495,26.495,26.495,376,0
IQSI.US,60,20201202,220000,26.615,26.615,26.615,26.615,201,0
IQSI.US,60,20201203,190000,26.724,26.724,26.724,26.724,201,0
IQSI.US,60,20201203,200000,26.714,26.714,26.714,26.714,312,0
IQSI.US,60,20201207,170000,26.744,26.744,26.625,26.625,571,0
IQSI.US,60,20201207,190000,26.804,26.903,26.794,26.794,10172,0
IQSI.US,60,20201208,160000,26.635,26.635,26.635,26.635,343,0
IQSI.US,60,20201209,190000,26.764,26.764,26.764,26.764,826,0
IQSI.US,60,20201210,220000,26.903,26.903,26.894,26.894,1914,0
IQSI.US,60,20201211,210000,26.704,26.704,26.704,26.704,2703,0
IQSI.US,60,20201211,220000,26.699,26.719,26.699,26.714,2614,0
IQSI.US,60,20201216,160000,27.112,27.112,27.112,27.112,402,0
IQSI.US,60,20201216,170000,27.122,27.122,27.112,27.112,543,0
IQSI.US,60,20201216,190000,27.122,27.122,27.09,27.102,2624,0
IQSI.US,60,20201217,180000,27.361,27.361,27.361,27.361,201,0
IQSI.US,60,20201217,190000,27.371,27.371,27.371,27.371,201,0
IQSI.US,60,20201217,200000,27.39,27.39,27.39,27.39,201,0
IQSI.US,60,20201217,210000,27.41,27.41,27.41,27.41,201,0
IQSI.US,60,20201218,200000,27.251,27.251,27.251,27.251,25978,0
IQSI.US,60,20201223,220000,27.083,27.083,27.083,27.083,905,0
IQSI.US,60,20201224,180000,27.052,27.052,27.052,27.052,704,0
IQSI.US,60,20201224,190000,27.019,27.019,27.019,27.019,1005,0
IQSI.US,60,20201224,200000,27.075,27.075,27.075,27.075,0,0
IQSI.US,60,20201224,220000,27.075,27.075,27.075,27.075,0,0
IQSI.US,60,20201228,190000,27.316,27.316,27.316,27.316,101,0
IQSI.US,60,20201228,200000,27.311,27.311,27.311,27.311,130,0
IQSI.US,60,20201230,180000,27.579,27.69,27.569,27.69,30792,0
IQSI.US,60,20201230,210000,27.569,27.569,27.569,27.569,718,0
IQSI.US,60,20201230,220000,27.57,27.57,27.57,27.57,800,0
IQSI.US,60,20201231,170000,27.44,27.44,27.39,27.39,376,0
IQSI.US,60,20201231,180000,27.39,27.39,27.3299,27.3299,2100,0
IQSI.US,60,20201231,210000,27.38,27.38,27.38,27.38,100,0
IQSI.US,60,20201231,220000,27.31,27.35,27.28,27.35,1500,0
IQSI.US,60,20210104,160000,27.8,27.83,27.76,27.76,538,0
IQSI.US,60,20210104,170000,27.77,27.77,27.57,27.57,2000,0
IQSI.US,60,20210104,180000,27.58,27.61,27.46,27.46,2400,0
IQSI.US,60,20210104,190000,27.39,27.41,27.29,27.38,1600,0
IQSI.US,60,20210104,200000,27.39,27.46,27.38,27.45,900,0
IQSI.US,60,20210104,210000,27.44,27.46,27.4,27.4,300,0
IQSI.US,60,20210104,220000,27.43,27.44,27.43,27.44,300,0
IQSI.US,60,20210105,170000,27.53,27.55,27.49,27.5,900,0
IQSI.US,60,20210105,180000,27.53,27.6,27.53,27.6,400,0
IQSI.US,60,20210105,190000,27.63,27.65,27.63,27.65,700,0
IQSI.US,60,20210105,200000,27.65,27.67,27.65,27.67,600,0
IQSI.US,60,20210105,210000,27.69,27.71,27.69,27.69,900,0
IQSI.US,60,20210105,220000,27.71,27.71,27.69,27.69,400,0
IQSI.US,60,20210106,180000,27.96,27.96,27.96,27.96,200,0
IQSI.US,60,20210106,200000,28.07,28.07,28.07,28.07,188,0
IQSI.US,60,20210108,190000,28.18,28.18,28.18,28.18,7230,0
IQSI.US,60,20210111,160000,27.81,27.85,27.81,27.85,800,0
IQSI.US,60,20210111,200000,27.93,27.93,27.93,27.93,100,0
IQSI.US,60,20210111,220000,27.91,27.91,27.91,27.91,200,0
IQSI.US,60,20210113,200000,27.99,27.9909,27.99,27.9909,200,0
IQSI.US,60,20210113,220000,27.99,27.99,27.99,27.99,871,0
IQSI.US,60,20210114,190000,28.2299,28.2299,28.2299,28.2299,354,0
IQSI.US,60,20210115,160000,27.88,27.88,27.88,27.88,100,0
IQSI.US,60,20210120,220000,28.14,28.2,28.14,28.2,23718,0
IQSI.US,60,20210121,160000,28.29,28.29,28.29,28.29,2007,0
IQSI.US,60,20210121,190000,28.09,28.09,28.0899,28.0899,224,0
IQSI.US,60,20210122,160000,28.03,28.03,28.03,28.03,835,0
IQSI.US,60,20210122,170000,28.06,28.06,28.03,28.03,727,0
IQSI.US,60,20210125,160000,27.89,27.89,27.86,27.87,500,0
IQSI.US,60,20210126,220000,28.0798,28.0798,28.0798,28.0798,125,0
IQSI.US,60,20210127,170000,27.5198,27.52,27.5198,27.52,460,0
IQSI.US,60,20210127,180000,27.73,27.73,27.73,27.73,296,0
IQSI.US,60,20210127,190000,27.67,27.67,27.67,27.67,271,0
IQSI.US,60,20210128,160000,27.55,27.55,27.55,27.55,804,0
IQSI.US,60,20210128,190000,27.7,27.7,27.7,27.7,380,0
IQSI.US,60,20210201,160000,27.41,27.41,27.41,27.41,274,0
IQSI.US,60,20210201,170000,27.33,27.33,27.33,27.33,100,0
IQSI.US,60,20210201,220000,27.39,27.39,27.39,27.39,200,0
IQSI.US,60,20210202,170000,27.485,27.5,27.485,27.5,250,0
IQSI.US,60,20210202,180000,27.53,27.55,27.53,27.55,2535,0
IQSI.US,60,20210202,190000,27.59,27.59,27.59,27.59,200,0
IQSI.US,60,20210202,200000,27.58,27.59,27.58,27.59,200,0
IQSI.US,60,20210202,210000,27.58,27.58,27.58,27.58,100,0
IQSI.US,60,20210203,160000,27.7,27.7,27.67,27.67,2484,0
IQSI.US,60,20210203,190000,27.6674,27.6674,27.6674,27.6674,1808,0
IQSI.US,60,20210203,200000,27.71,27.71,27.71,27.71,1521,0
IQSI.US,60,20210203,220000,27.71,27.71,27.709,27.709,2711,0
IQSI.US,60,20210204,160000,27.69,27.69,27.69,27.69,1265,0
IQSI.US,60,20210204,200000,27.71,27.71,27.6999,27.6999,1970,0
IQSI.US,60,20210205,190000,27.8795,27.8795,27.8795,27.8795,216,0
IQSI.US,60,20210208,160000,28.17,28.19,28.16,28.19,3454,0
IQSI.US,60,20210208,180000,28.145,28.145,28.075,28.0832,4050,0
IQSI.US,60,20210208,220000,28.155,28.16,28.14,28.15,1300,0
IQSI.US,60,20210209,160000,28.2,28.2,28.2,28.2,900,0
IQSI.US,60,20210209,170000,28.25,28.25,28.25,28.25,200,0
IQSI.US,60,20210209,180000,28.1773,28.21,28.1773,28.21,477,0
IQSI.US,60,20210209,190000,28.28,28.28,28.28,28.28,300,0
IQSI.US,60,20210209,200000,28.28,28.28,28.28,28.28,400,0
IQSI.US,60,20210209,210000,28.31,28.33,28.31,28.33,200,0
IQSI.US,60,20210210,220000,28.295,28.31,28.23,28.23,1916,0
IQSI.US,60,20210211,160000,28.47,28.47,28.42,28.43,3367,0
IQSI.US,60,20210211,190000,28.43,28.43,28.419,28.419,700,0
IQSI.US,60,20210212,160000,28.41,28.41,28.41,28.41,271,0
IQSI.US,60,20210212,180000,28.63,28.63,28.6299,28.6299,2000,0
IQSI.US,60,20210212,220000,28.61,28.61,28.61,28.61,1622,0
IQSI.US,60,20210216,160000,28.895,28.895,28.895,28.895,100,0
IQSI.US,60,20210216,190000,28.87,28.87,28.849,28.849,2056,0
IQSI.US,60,20210216,220000,28.88,28.88,28.88,28.88,200,0
IQSI.US,60,20210217,160000,28.69,28.69,28.69,28.69,363,0
IQSI.US,60,20210218,220000,28.6992,28.6992,28.54,28.55,8805,0
IQSI.US,60,20210219,160000,28.65,28.65,28.65,28.65,200,0
IQSI.US,60,20210219,170000,28.695,28.695,28.695,28.695,1000,0
IQSI.US,60,20210219,180000,28.76,28.76,28.76,28.76,200,0
IQSI.US,60,20210219,200000,28.63,28.63,28.63,28.63,400,0
IQSI.US,60,20210222,220000,28.62,28.62,28.619,28.619,872,0
IQSI.US,60,20210223,160000,28.49,28.49,28.35,28.35,1201,0
IQSI.US,60,20210223,200000,28.56,28.56,28.56,28.56,1000,0
IQSI.US,60,20210224,160000,28.46,28.46,28.46,28.46,1343,0
IQSI.US,60,20210224,210000,28.6728,28.6728,28.6728,28.6728,250,0
IQSI.US,60,20210225,190000,28.539,28.539,28.53,28.53,3063,0
IQSI.US,60,20210225,200000,28.36,28.36,28.36,28.36,100,0
IQSI.US,60,20210226,160000,28.28,28.28,28.28,28.28,258,0
IQSI.US,60,20210226,180000,27.9792,27.9792,27.9792,27.9792,353,0
IQSI.US,60,20210226,210000,27.94,27.94,27.94,27.94,282,0
IQSI.US,60,20210226,220000,27.84,27.84,27.84,27.84,200,0
IQSI.US,60,20210301,160000,28.185,28.185,28.185,28.185,100,0
IQSI.US,60,20210301,170000,28.25,28.29,28.25,28.29,1500,0
IQSI.US,60,20210301,180000,28.3,28.3,28.3,28.3,1000,0
IQSI.US,60,20210301,190000,28.28,28.28,28.28,28.28,200,0
IQSI.US,60,20210301,220000,28.31,28.31,28.31,28.31,200,0
IQSI.US,60,20210303,210000,28.16,28.2,28.16,28.2,400,0
IQSI.US,60,20210304,190000,28.22,28.22,28.22,28.22,500,0
IQSI.US,60,20210304,200000,27.85,27.86,27.85,27.86,1500,0
IQSI.US,60,20210304,220000,27.82,27.82,27.82,27.82,253,0
IQSI.US,60,20210305,180000,27.65,27.6604,27.65,27.6604,963,0
IQSI.US,60,20210305,190000,27.74,27.74,27.74,27.74,200,0
IQSI.US,60,20210305,200000,27.93,27.93,27.93,27.93,200,0
IQSI.US,60,20210305,210000,27.8863,27.8863,27.8863,27.8863,144,0
IQSI.US,60,20210305,220000,27.98,27.98,27.98,27.98,100,0
IQSI.US,60,20210308,160000,27.94,27.94,27.94,27.94,314,0
IQSI.US,60,20210308,180000,28.0304,28.0304,28.02,28.02,630,0
IQSI.US,60,20210308,200000,27.999,28,27.999,28,800,0
IQSI.US,60,20210308,210000,27.99,27.99,27.99,27.99,100,0
IQSI.US,60,20210309,160000,28.21,28.22,28.21,28.22,1284,0
IQSI.US,60,20210309,190000,28.31,28.34,28.3,28.34,19882,0
IQSI.US,60,20210309,200000,28.35,28.35,28.35,28.35,100,0
IQSI.US,60,20210309,210000,28.34,28.34,28.34,28.34,200,0
IQSI.US,60,20210309,220000,28.355,28.38,28.31,28.38,5238,0
IQSI.US,60,20210310,160000,28.43,28.43,28.43,28.43,100,0
IQSI.US,60,20210310,170000,28.33,28.33,28.33,28.33,200,0
IQSI.US,60,20210310,180000,28.35,28.35,28.35,28.35,200,0
IQSI.US,60,20210311,160000,28.49,28.49,28.49,28.49,465,0
IQSI.US,60,20210311,180000,28.6,28.6,28.6,28.6,350,0
