<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBUY.US,60,20201210,160000,24.82,24.9199,24.82,24.9199,598,0
KBUY.US,60,20201210,170000,24.96,24.96,24.94,24.95,500,0
KBUY.US,60,20201210,180000,24.95,24.95,24.915,24.92,1550,0
KBUY.US,60,20201210,190000,24.94,24.96,24.9304,24.9304,3900,0
KBUY.US,60,20201210,200000,24.949,24.949,24.93,24.93,500,0
KBUY.US,60,20201210,210000,24.93,24.94,24.9165,24.93,1366,0
KBUY.US,60,20201210,220000,24.96,24.96,24.92,24.92,205,0
KBUY.US,60,20201211,160000,24.8,24.8,24.75,24.75,2396,0
KBUY.US,60,20201211,170000,24.74,24.78,24.74,24.78,620,0
KBUY.US,60,20201211,180000,24.74,25.94,24.74,24.74,940,0
KBUY.US,60,20201211,190000,24.7,24.7,24.7,24.7,100,0
KBUY.US,60,20201211,200000,24.75,24.76,24.75,24.76,500,0
KBUY.US,60,20201211,220000,24.78,24.78,24.66,24.66,1334,0
KBUY.US,60,20201214,170000,25.24,25.24,25.24,25.24,100,0
KBUY.US,60,20201214,210000,25.1574,25.1574,25.1,25.1,268,0
KBUY.US,60,20201214,220000,25.1012,25.16,25.1,25.1,1500,0
KBUY.US,60,20201215,160000,25.16,25.16,25.16,25.16,324,0
KBUY.US,60,20201215,180000,25.15,25.21,25.15,25.17,700,0
KBUY.US,60,20201215,190000,25.22,25.23,25.22,25.23,200,0
KBUY.US,60,20201215,210000,25.2,25.2,25.2,25.2,100,0
KBUY.US,60,20201215,220000,25.21,25.21,25.21,25.21,300,0
KBUY.US,60,20201216,160000,25.48,25.48,25.45,25.48,320,0
KBUY.US,60,20201216,170000,25.4201,25.4201,25.42,25.42,440,0
KBUY.US,60,20201216,180000,25.46,25.47,25.41,25.41,1370,0
KBUY.US,60,20201216,200000,25.48,25.48,25.41,25.41,300,0
KBUY.US,60,20201216,210000,25.41,25.41,25.41,25.41,100,0
KBUY.US,60,20201216,220000,25.37,25.37,25.37,25.37,200,0
KBUY.US,60,20201217,160000,25.76,25.76,25.76,25.76,1200,0
KBUY.US,60,20201217,170000,25.685,25.685,25.685,25.685,100,0
KBUY.US,60,20201217,180000,25.68,25.68,25.68,25.68,100,0
KBUY.US,60,20201217,200000,25.68,25.68,25.61,25.61,200,0
KBUY.US,60,20201217,210000,25.6225,25.6225,25.6,25.6,300,0
KBUY.US,60,20201217,220000,25.69,25.74,25.63,25.63,95251,0
KBUY.US,60,20201218,190000,25.45,25.45,25.45,25.45,200,0
KBUY.US,60,20201218,200000,25.44,25.44,25.44,25.44,200,0
KBUY.US,60,20201218,210000,25.39,25.39,25.39,25.39,100,0
KBUY.US,60,20201218,220000,25.4,25.4,25.39,25.39,618,0
KBUY.US,60,20201221,190000,25.3801,25.3801,25.3801,25.3801,200,0
KBUY.US,60,20201221,200000,25.38,25.38,25.38,25.38,100,0
KBUY.US,60,20201221,210000,25.47,25.47,25.47,25.47,200,0
KBUY.US,60,20201221,220000,25.45,25.455,25.36,25.36,989,0
KBUY.US,60,20201222,160000,25.6,25.61,25.6,25.6,500,0
KBUY.US,60,20201222,170000,25.6199,25.6199,25.53,25.53,300,0
KBUY.US,60,20201222,190000,25.6,25.6,25.6,25.6,250,0
KBUY.US,60,20201222,200000,25.65,25.65,25.65,25.65,300,0
KBUY.US,60,20201222,220000,25.62,25.62,25.61,25.61,376,0
KBUY.US,60,20201223,160000,25.78,25.78,25.71,25.72,1220,0
KBUY.US,60,20201223,170000,25.735,25.735,25.71,25.71,700,0
KBUY.US,60,20201223,180000,25.73,25.73,25.73,25.73,300,0
KBUY.US,60,20201223,190000,25.74,25.74,25.74,25.74,100,0
KBUY.US,60,20201223,200000,25.75,25.75,25.72,25.72,580,0
KBUY.US,60,20201223,210000,25.7,25.7,25.7,25.7,200,0
KBUY.US,60,20201223,220000,25.74,25.74,25.69,25.69,9600,0
KBUY.US,60,20201224,160000,25.78,25.78,25.78,25.78,342,0
KBUY.US,60,20201224,170000,25.79,25.7999,25.72,25.7608,936,0
KBUY.US,60,20201224,200000,25.7,25.7,25.7,25.7,300,0
KBUY.US,60,20201224,220000,25.7,25.7,25.7,25.7,0,0
KBUY.US,60,20201228,160000,26.28,26.28,26.28,26.28,600,0
KBUY.US,60,20201228,170000,26.26,26.305,26.25,26.27,1950,0
KBUY.US,60,20201228,180000,26.33,26.341,26.25,26.341,2450,0
KBUY.US,60,20201228,190000,26.25,26.26,26.25,26.26,280,0
KBUY.US,60,20201228,200000,26.26,26.31,26.26,26.26,1190,0
KBUY.US,60,20201228,210000,26.3,26.32,26.25,26.32,425,0
KBUY.US,60,20201228,220000,26.31,26.31,26.25,26.25,700,0
KBUY.US,60,20201229,170000,26.02,26.02,26.02,26.02,100,0
KBUY.US,60,20201229,180000,26.11,26.11,26.11,26.11,100,0
KBUY.US,60,20201229,190000,26.04,26.04,26.02,26.02,400,0
KBUY.US,60,20201229,200000,26.1,26.1,26.1,26.1,100,0
KBUY.US,60,20201229,210000,26.06,26.07,26.06,26.07,970,0
KBUY.US,60,20201229,220000,26.07,26.07,26.07,26.07,300,0
KBUY.US,60,20201230,160000,26.56,26.63,26.56,26.63,500,0
KBUY.US,60,20201230,170000,26.59,26.6999,26.59,26.6685,785,0
KBUY.US,60,20201230,180000,26.68,26.68,26.6001,26.6001,642,0
KBUY.US,60,20201230,190000,26.6999,26.6999,26.68,26.68,500,0
KBUY.US,60,20201230,210000,26.67,26.675,26.645,26.675,1400,0
KBUY.US,60,20201230,220000,26.6888,26.6888,26.6888,26.6888,224,0
KBUY.US,60,20201231,170000,27.055,27.055,27.025,27.025,1300,0
KBUY.US,60,20201231,180000,27.032,27.036,26.927,26.927,822,0
KBUY.US,60,20201231,190000,26.949,26.949,26.949,26.949,100,0
KBUY.US,60,20201231,200000,26.92,26.92,26.92,26.92,200,0
KBUY.US,60,20201231,210000,27,27,27,27,232,0
KBUY.US,60,20201231,220000,26.973,26.98,26.973,26.98,300,0
KBUY.US,60,20210104,160000,28.19,28.19,28.14,28.19,2686,0
KBUY.US,60,20210104,170000,28.05,28.131,28.05,28.12,1064,0
KBUY.US,60,20210104,180000,28,28,28,28,410,0
KBUY.US,60,20210104,200000,27.95,27.95,27.95,27.95,400,0
KBUY.US,60,20210104,210000,28,28,27.9,27.92,528,0
KBUY.US,60,20210104,220000,27.91,27.9201,27.91,27.92,900,0
KBUY.US,60,20210105,160000,29.31,32.25,29.3,29.3526,5441,0
KBUY.US,60,20210105,170000,29.34,29.35,29.33,29.33,1070,0
KBUY.US,60,20210105,180000,29.27,29.378,29.23,29.378,1797,0
KBUY.US,60,20210105,190000,29.36,29.375,29.35,29.37,1000,0
KBUY.US,60,20210105,210000,29.43,29.48,29.43,29.48,620,0
KBUY.US,60,20210105,220000,29.5,29.5,29.42,29.42,1865,0
KBUY.US,60,20210106,160000,28.42,29.47,28.42,29.47,1400,0
KBUY.US,60,20210106,170000,29.44,29.51,29.43,29.43,12530,0
KBUY.US,60,20210106,180000,29.53,29.53,29.52,29.53,400,0
KBUY.US,60,20210106,190000,29.45,29.61,29.45,29.61,1200,0
KBUY.US,60,20210106,200000,29.63,29.67,29.63,29.66,870,0
KBUY.US,60,20210106,210000,29.66,29.66,29.4609,29.4609,1582,0
KBUY.US,60,20210106,220000,29.54,29.57,29.44,29.44,1191,0
KBUY.US,60,20210107,160000,29.82,32.27,29.73,29.75,17789,0
KBUY.US,60,20210107,170000,29.84,29.95,29.81,29.88,950,0
KBUY.US,60,20210107,190000,29.89,29.89,29.8277,29.8277,400,0
KBUY.US,60,20210107,200000,29.919,29.93,29.919,29.93,100600,0
KBUY.US,60,20210107,210000,29.99,29.99,29.9236,29.9236,400,0
KBUY.US,60,20210107,220000,30.02,30.095,30.02,30.09,500,0
KBUY.US,60,20210108,160000,29.31,29.31,29.305,29.31,2537,0
KBUY.US,60,20210108,170000,29.37,29.38,29.24,29.24,1300,0
KBUY.US,60,20210108,180000,29,29.285,29,29.285,800,0
KBUY.US,60,20210108,200000,29.215,29.215,29.215,29.215,500,0
KBUY.US,60,20210108,220000,29.33,29.4,29.33,29.33,100738,0
KBUY.US,60,20210111,160000,30.82,30.82,28.385,28.39,113651,0
KBUY.US,60,20210111,170000,28.51,28.51,28.48,28.48,1215,0
KBUY.US,60,20210111,200000,28.48,28.48,28.38,28.3801,864,0
KBUY.US,60,20210112,160000,29.86,31.34,29.31,29.32,7785,0
KBUY.US,60,20210112,170000,29.22,29.29,29.15,29.29,1264,0
KBUY.US,60,20210112,190000,29.18,29.18,29.18,29.18,68213,0
KBUY.US,60,20210112,200000,29.175,29.175,29.175,29.175,500,0
KBUY.US,60,20210113,160000,28.98,28.98,28.73,28.73,69953,0
KBUY.US,60,20210113,170000,28.73,28.9,28.73,28.9,69379,0
KBUY.US,60,20210113,180000,28.95,28.96,28.87,28.9,9200,0
KBUY.US,60,20210114,160000,28.65,28.65,28.38,28.38,1976,0
KBUY.US,60,20210114,170000,28.55,28.55,28.31,28.42,70972,0
KBUY.US,60,20210114,180000,28.415,28.415,28.415,28.415,200,0
KBUY.US,60,20210114,190000,28.48,28.48,28.48,28.48,126,0
KBUY.US,60,20210114,200000,28.37,28.37,28.37,28.37,100,0
KBUY.US,60,20210114,210000,28.35,28.35,28.34,28.34,200,0
KBUY.US,60,20210114,220000,28.35,28.35,28.335,28.335,600,0
KBUY.US,60,20210115,190000,27.58,27.6199,27.55,27.55,780,0
KBUY.US,60,20210115,200000,27.6,27.61,27.49,27.49,340,0
KBUY.US,60,20210115,210000,27.6137,27.625,27.56,27.56,1450,0
KBUY.US,60,20210119,160000,28,28.035,27.3498,27.39,21068,0
KBUY.US,60,20210119,170000,27.36,27.38,27.36,27.38,73219,0
KBUY.US,60,20210119,180000,27.38,27.42,27.35,27.35,950,0
KBUY.US,60,20210119,190000,27.444,27.444,27.444,27.444,118,0
KBUY.US,60,20210119,200000,27.4,27.4,27.37,27.3972,564,0
KBUY.US,60,20210119,210000,27.39,27.44,27.39,27.43,15283,0
KBUY.US,60,20210119,220000,27.438,27.438,27.42,27.42,420,0
KBUY.US,60,20210120,160000,27.35,27.47,27.35,27.445,1530,0
KBUY.US,60,20210120,170000,27.5163,27.5163,27.5163,27.5163,400,0
KBUY.US,60,20210120,200000,27.5766,27.5766,27.5766,27.5766,1532,0
KBUY.US,60,20210120,210000,27.57,27.58,27.57,27.58,360,0
KBUY.US,60,20210120,220000,27.58,27.58,27.58,27.58,167,0
KBUY.US,60,20210121,160000,27.7,27.7,27.66,27.66,1550,0
KBUY.US,60,20210121,170000,27.71,27.72,27.685,27.685,1351,0
KBUY.US,60,20210121,190000,27.635,27.635,27.635,27.635,100,0
KBUY.US,60,20210121,200000,27.68,27.699,27.68,27.699,541,0
KBUY.US,60,20210121,220000,27.7,27.7,27.7,27.7,500,0
KBUY.US,60,20210122,160000,27.52,27.54,27.52,27.53,2163,0
KBUY.US,60,20210122,170000,27.5,27.5,27.4543,27.4543,1000,0
KBUY.US,60,20210122,180000,27.431,27.431,27.431,27.431,200,0
KBUY.US,60,20210122,200000,27.52,27.52,27.52,27.52,100,0
KBUY.US,60,20210122,210000,27.54,27.54,27.496,27.496,300,0
KBUY.US,60,20210122,220000,27.48,27.48,27.46,27.46,800,0
KBUY.US,60,20210125,160000,28.569,28.57,28.53,28.53,1150,0
KBUY.US,60,20210125,170000,28.54,28.6,28.54,28.569,1102,0
KBUY.US,60,20210125,190000,28.42,28.4799,28.33,28.4799,2152,0
KBUY.US,60,20210125,200000,28.489,28.489,28.489,28.489,100,0
KBUY.US,60,20210125,210000,28.4599,28.4599,28.4588,28.4588,450,0
KBUY.US,60,20210125,220000,28.42,28.42,28.42,28.42,100,0
KBUY.US,60,20210126,160000,28.5,28.53,28.4,28.4,5214,0
KBUY.US,60,20210126,170000,28.43,28.43,28.43,28.43,90390,0
KBUY.US,60,20210126,180000,28.4588,28.4588,28.3,28.3,100100,0
KBUY.US,60,20210126,190000,28.34,28.36,28.34,28.355,1000,0
KBUY.US,60,20210126,200000,28.45,28.45,28.45,28.45,150,0
KBUY.US,60,20210126,210000,28.45,28.45,28.39,28.395,745,0
KBUY.US,60,20210126,220000,28.395,28.51,28.39,28.51,2108,0
KBUY.US,60,20210127,160000,27.57,27.65,27.57,27.64,1572,0
KBUY.US,60,20210127,170000,27.69,27.8,27.69,27.8,596,0
KBUY.US,60,20210127,180000,27.77,27.78,27.76,27.76,1000,0
KBUY.US,60,20210127,190000,27.69,27.69,27.69,27.69,200,0
KBUY.US,60,20210127,210000,27.63,27.63,27.63,27.63,100,0
KBUY.US,60,20210128,160000,27.53,27.53,27.5,27.5,871,0
KBUY.US,60,20210128,180000,27.56,27.59,27.535,27.535,500,0
KBUY.US,60,20210128,200000,27.56,27.59,27.56,27.59,200,0
KBUY.US,60,20210128,220000,27.61,27.61,27.59,27.59,260,0
KBUY.US,60,20210129,180000,27.709,27.709,27.6299,27.6299,200,0
KBUY.US,60,20210129,190000,27.6,27.6,27.53,27.53,200,0
KBUY.US,60,20210129,210000,27.5,27.525,27.5,27.525,587,0
KBUY.US,60,20210201,160000,27.73,28.17,27.72,27.72,1686,0
KBUY.US,60,20210201,170000,27.825,27.87,27.825,27.85,2814,0
KBUY.US,60,20210201,180000,27.81,27.81,27.81,27.81,100,0
KBUY.US,60,20210201,220000,27.89,27.9,27.89,27.9,500,0
KBUY.US,60,20210202,160000,28.63,29.07,28.63,28.63,1280,0
KBUY.US,60,20210202,170000,28.705,28.72,28.645,28.72,1177,0
KBUY.US,60,20210202,190000,28.799,28.799,28.745,28.745,350,0
KBUY.US,60,20210202,200000,28.75,28.75,28.75,28.75,233,0
KBUY.US,60,20210202,210000,28.75,28.77,28.75,28.77,200,0
KBUY.US,60,20210202,220000,28.81,28.81,28.81,28.81,390,0
KBUY.US,60,20210203,160000,29.14,29.14,28.901,28.98,4444,0
KBUY.US,60,20210203,170000,29.0499,29.0499,28.915,28.915,2576,0
KBUY.US,60,20210203,190000,29,29,28.9999,28.9999,450,0
KBUY.US,60,20210203,200000,28.995,28.995,28.995,28.995,100,0
KBUY.US,60,20210203,220000,28.98,29.07,28.98,29.07,3914,0
KBUY.US,60,20210204,160000,29.02,29.17,28.79,28.8,6438,0
KBUY.US,60,20210204,170000,28.875,28.875,28.76,28.76,364,0
KBUY.US,60,20210204,180000,28.77,28.8,28.7505,28.8,4200,0
KBUY.US,60,20210204,190000,28.82,28.82,28.82,28.82,150,0
KBUY.US,60,20210204,200000,28.8999,28.8999,28.899,28.899,500,0
KBUY.US,60,20210204,210000,28.855,28.855,28.82,28.82,300,0
KBUY.US,60,20210204,220000,28.9,28.9,28.9,28.9,289,0
KBUY.US,60,20210205,160000,29.44,29.45,29.44,29.45,234,0
KBUY.US,60,20210205,170000,29.4472,29.4472,29.4472,29.4472,140,0
KBUY.US,60,20210205,180000,29.49,29.49,29.49,29.49,12250,0
KBUY.US,60,20210205,190000,29.5,29.5,29.5,29.5,234,0
KBUY.US,60,20210205,200000,29.52,29.53,29.52,29.53,333,0
KBUY.US,60,20210205,210000,29.495,29.495,29.49,29.49,433,0
KBUY.US,60,20210205,220000,29.47,29.49,29.47,29.49,200,0
KBUY.US,60,20210208,170000,30.02,30.02,30.0022,30.02,300,0
KBUY.US,60,20210208,180000,30.0797,30.0797,30.05,30.05,225,0
KBUY.US,60,20210208,190000,30.0899,30.1,30.0899,30.1,80100,0
KBUY.US,60,20210208,200000,30.08,30.08,30.08,30.08,100,0
KBUY.US,60,20210208,210000,30.1,30.1382,30.1,30.105,1750,0
KBUY.US,60,20210208,220000,30.14,30.17,30.14,30.17,738,0
KBUY.US,60,20210209,160000,30.53,30.7,30.53,30.7,1094,0
KBUY.US,60,20210209,170000,30.74,30.8,30.74,30.77,4844,0
KBUY.US,60,20210209,180000,30.839,30.84,30.839,30.8399,700,0
KBUY.US,60,20210209,190000,30.88,30.91,30.85,30.91,3738,0
KBUY.US,60,20210209,200000,30.909,30.909,30.909,30.909,100,0
KBUY.US,60,20210209,220000,30.915,30.99,30.89,30.99,1884,0
KBUY.US,60,20210210,160000,31.959,31.959,31.83,31.88,174923,0
KBUY.US,60,20210210,180000,31.62,31.63,31.61,31.63,400,0
KBUY.US,60,20210210,190000,31.66,31.66,31.66,31.66,732,0
KBUY.US,60,20210211,160000,32.16,32.16,32.04,32.04,2640,0
KBUY.US,60,20210211,170000,32.035,32.1,32.03,32.06,1650,0
KBUY.US,60,20210211,180000,32.05,32.16,32.05,32.14,1000,0
KBUY.US,60,20210211,190000,32.12,32.13,32.0483,32.07,7785,0
KBUY.US,60,20210211,210000,32.04,32.0785,32.04,32.054,800,0
KBUY.US,60,20210211,220000,32.0813,32.085,32.0813,32.085,1150,0
KBUY.US,60,20210212,160000,32,32.1,32,32.1,1088,0
KBUY.US,60,20210212,180000,32.14,32.2,32.14,32.185,1188,0
KBUY.US,60,20210212,190000,32.2,32.2,32.195,32.195,225,0
KBUY.US,60,20210212,200000,32.1868,32.1868,32.13,32.15,2679,0
KBUY.US,60,20210212,210000,32.13,32.13,32.125,32.125,200,0
KBUY.US,60,20210212,220000,32.12,32.13,32.12,32.13,292,0
KBUY.US,60,20210216,160000,32.45,32.49,32.45,32.49,8865,0
KBUY.US,60,20210216,170000,32.45,32.45,32.4,32.4,584,0
KBUY.US,60,20210216,180000,32.44,32.4476,32.44,32.4476,200,0
KBUY.US,60,20210216,190000,32.45,32.45,32.43,32.45,2428,0
KBUY.US,60,20210216,210000,32.4495,32.45,32.4332,32.44,2274,0
KBUY.US,60,20210216,220000,32.405,32.48,32.405,32.48,8626,0
KBUY.US,60,20210217,160000,32.48,32.48,32.44,32.47,8917,0
KBUY.US,60,20210217,170000,32.4,32.439,32.4,32.439,644,0
KBUY.US,60,20210217,180000,32.39,32.45,32.36,32.3843,1600,0
KBUY.US,60,20210217,190000,32.44,32.47,32.44,32.47,5000,0
KBUY.US,60,20210217,200000,32.48,32.48,32.48,32.48,122,0
KBUY.US,60,20210217,210000,32.495,32.495,32.465,32.48,738,0
KBUY.US,60,20210217,220000,32.5,32.53,32.4981,32.53,2700,0
KBUY.US,60,20210218,160000,30.62,30.95,30.47,30.675,12979,0
KBUY.US,60,20210218,170000,30.62,30.64,30.6,30.64,600,0
KBUY.US,60,20210218,180000,30.665,30.71,30.665,30.71,500,0
KBUY.US,60,20210218,190000,30.698,30.72,30.698,30.715,1577,0
KBUY.US,60,20210218,200000,30.72,30.72,30.72,30.72,130230,0
KBUY.US,60,20210218,210000,30.745,30.819,30.745,30.799,2100,0
KBUY.US,60,20210218,220000,30.8,30.85,30.8,30.82,817,0
KBUY.US,60,20210219,160000,31.55,31.55,31.39,31.39,1350,0
KBUY.US,60,20210219,170000,31.42,31.42,31.385,31.385,1018,0
KBUY.US,60,20210219,180000,31.415,31.44,31.415,31.44,1338,0
KBUY.US,60,20210219,190000,31.38,31.38,31.38,31.38,1716,0
KBUY.US,60,20210219,200000,31.315,31.35,31.315,31.35,638,0
KBUY.US,60,20210219,210000,31.3001,31.3001,31.3001,31.3001,500,0
KBUY.US,60,20210219,220000,31.36,31.3735,31.36,31.3735,1056,0
KBUY.US,60,20210222,160000,29.37,29.47,29.31,29.47,4200,0
KBUY.US,60,20210222,170000,29.37,29.4,29.3495,29.3495,39708,0
KBUY.US,60,20210222,180000,29.34,29.34,29.34,29.34,238,0
KBUY.US,60,20210222,190000,29.43,29.49,29.4024,29.49,1780,0
KBUY.US,60,20210222,200000,29.49,29.51,29.4,29.51,1000,0
KBUY.US,60,20210222,210000,29.49,29.51,29.49,29.51,643,0
KBUY.US,60,20210222,220000,29.469,29.469,29.35,29.44,4129,0
KBUY.US,60,20210223,160000,29.03,29.04,28.822,28.822,300,0
KBUY.US,60,20210223,170000,28.88,29.03,28.88,29.03,400,0
KBUY.US,60,20210223,190000,29.04,29.04,29.04,29.04,100,0
KBUY.US,60,20210223,210000,29.1,29.1,29.09,29.09,200,0
KBUY.US,60,20210223,220000,29.13,29.21,29.13,29.14,2271,0
KBUY.US,60,20210224,160000,28.47,28.7,28.365,28.45,14840,0
KBUY.US,60,20210224,170000,28.35,28.49,28.35,28.49,300,0
KBUY.US,60,20210224,180000,28.6,28.6,28.6,28.6,100,0
KBUY.US,60,20210224,190000,28.5701,28.66,28.5701,28.6366,960,0
KBUY.US,60,20210224,200000,28.61,28.626,28.6,28.626,974,0
KBUY.US,60,20210224,220000,28.68,28.72,28.68,28.7,521,0
KBUY.US,60,20210225,160000,28.7,28.7,28.23,28.2821,14903,0
