<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAAX.US,60,20200915,170000,24.326,24.326,24.326,24.326,150,0
MAAX.US,60,20200915,220000,24.401,24.401,24.401,24.401,200,0
MAAX.US,60,20200916,200000,24.411,24.421,24.411,24.411,1994,0
MAAX.US,60,20200916,210000,24.401,24.411,24.33,24.401,4804,0
MAAX.US,60,20200916,220000,24.351,24.351,24.351,24.351,2009,0
MAAX.US,60,20200918,190000,24.367,24.367,24.367,24.367,8192,0
MAAX.US,60,20200918,200000,24.391,24.411,24.361,24.361,8638,0
MAAX.US,60,20200918,210000,24.431,24.431,24.414,24.414,384,0
MAAX.US,60,20200921,220000,24.401,24.401,24.401,24.401,100,0
MAAX.US,60,20200922,180000,24.411,24.411,24.411,24.411,200,0
MAAX.US,60,20200922,200000,24.411,24.411,24.411,24.411,100,0
MAAX.US,60,20200923,170000,24.421,24.421,24.421,24.421,100,0
MAAX.US,60,20200923,180000,24.441,24.441,24.441,24.441,100,0
MAAX.US,60,20200923,210000,24.431,24.431,24.408,24.431,986,0
MAAX.US,60,20200924,220000,24.371,24.431,24.341,24.431,5876,0
MAAX.US,60,20200928,170000,24.398,24.398,24.331,24.331,243,0
MAAX.US,60,20200928,220000,24.411,24.421,24.411,24.421,302,0
MAAX.US,60,20200930,180000,24.411,24.411,24.411,24.411,200,0
MAAX.US,60,20200930,190000,24.391,24.391,24.391,24.391,100,0
MAAX.US,60,20200930,200000,24.391,24.391,24.391,24.391,100,0
MAAX.US,60,20200930,210000,24.391,24.391,24.341,24.341,1109,0
MAAX.US,60,20201001,180000,24.292,24.292,24.292,24.292,205,0
MAAX.US,60,20201001,200000,24.331,24.331,24.331,24.331,219,0
MAAX.US,60,20201005,180000,24.241,24.281,24.231,24.236,2906,0
MAAX.US,60,20201007,160000,24.331,24.331,24.331,24.331,200,0
MAAX.US,60,20201007,220000,24.235,24.235,24.235,24.235,200,0
MAAX.US,60,20201013,160000,24.131,24.151,24.131,24.151,1323,0
MAAX.US,60,20201013,200000,24.181,24.181,24.171,24.171,501,0
MAAX.US,60,20201014,220000,24.195,24.195,24.195,24.195,591,0
MAAX.US,60,20201016,190000,24.251,24.251,24.251,24.251,200,0
MAAX.US,60,20201026,150000,24.171,24.171,24.171,24.171,200,0
MAAX.US,60,20201026,180000,24.326,24.326,24.326,24.326,290,0
MAAX.US,60,20201026,200000,24.191,24.191,24.191,24.191,100,0
MAAX.US,60,20201027,180000,24.256,24.256,24.256,24.256,100,0
MAAX.US,60,20201028,210000,24.251,24.251,24.141,24.141,300,0
MAAX.US,60,20201029,160000,24.151,24.216,24.141,24.196,1202,0
MAAX.US,60,20201029,180000,24.142,24.166,24.142,24.151,301,0
MAAX.US,60,20201029,190000,24.181,24.191,24.181,24.191,1002,0
MAAX.US,60,20201029,210000,24.198,24.198,24.198,24.198,1378,0
MAAX.US,60,20201030,190000,24.177,24.177,24.177,24.177,501,0
MAAX.US,60,20201030,200000,24.191,24.201,24.191,24.201,827,0
MAAX.US,60,20201102,190000,24.102,24.132,24.102,24.132,308,0
MAAX.US,60,20201104,210000,24.391,24.391,24.391,24.391,328,0
MAAX.US,60,20201106,200000,24.311,24.455,24.311,24.455,1950,0
MAAX.US,60,20201106,220000,24.451,24.451,24.451,24.451,200,0
MAAX.US,60,20201109,190000,24.338,24.476,24.338,24.476,4509,0
MAAX.US,60,20201113,180000,24.451,24.451,24.451,24.451,200,0
MAAX.US,60,20201113,190000,24.451,24.451,24.451,24.451,100,0
MAAX.US,60,20201113,200000,24.461,24.461,24.461,24.461,200,0
MAAX.US,60,20201116,180000,24.406,24.406,24.406,24.406,401,0
MAAX.US,60,20201119,220000,24.481,24.689,24.481,24.689,928,0
MAAX.US,60,20201120,160000,24.541,24.541,24.541,24.541,2204,0
MAAX.US,60,20201120,170000,24.629,24.629,24.541,24.541,1406,0
MAAX.US,60,20201120,180000,24.7,24.7,24.7,24.7,100,0
MAAX.US,60,20201120,190000,24.7,24.71,24.7,24.71,200,0
MAAX.US,60,20201123,180000,24.671,24.671,24.671,24.671,1202,0
MAAX.US,60,20201124,160000,24.72,24.72,24.72,24.72,100,0
MAAX.US,60,20201124,180000,24.7,24.7,24.635,24.635,301,0
MAAX.US,60,20201125,210000,24.72,24.73,24.67,24.73,2168,0
MAAX.US,60,20201127,200000,24.665,24.665,24.665,24.665,0,0
MAAX.US,60,20201127,220000,24.665,24.665,24.665,24.665,0,0
MAAX.US,60,20201130,160000,24.531,24.531,24.531,24.531,301,0
MAAX.US,60,20201130,210000,24.571,24.571,24.571,24.571,100,0
MAAX.US,60,20201201,160000,24.74,24.74,24.74,24.74,200,0
MAAX.US,60,20201201,180000,24.595,24.595,24.595,24.595,202,0
MAAX.US,60,20201201,190000,24.67,24.67,24.67,24.67,100,0
MAAX.US,60,20201201,220000,24.59,24.59,24.59,24.59,100,0
MAAX.US,60,20201203,160000,24.621,24.621,24.621,24.621,202,0
MAAX.US,60,20201203,190000,24.621,24.621,24.621,24.621,401,0
MAAX.US,60,20201203,200000,24.63,24.63,24.63,24.63,401,0
MAAX.US,60,20201204,190000,24.75,24.75,24.75,24.75,205,0
MAAX.US,60,20201204,210000,24.75,24.75,24.75,24.75,674,0
MAAX.US,60,20201204,220000,24.75,24.75,24.75,24.75,401,0
MAAX.US,60,20201208,180000,24.81,24.83,24.765,24.83,6413,0
MAAX.US,60,20201208,190000,24.76,24.87,24.76,24.83,6012,0
MAAX.US,60,20201209,200000,24.81,24.81,24.74,24.74,1002,0
MAAX.US,60,20201210,170000,24.83,24.83,24.83,24.83,1002,0
MAAX.US,60,20201211,220000,24.805,24.805,24.805,24.805,200,0
MAAX.US,60,20201214,160000,24.87,24.87,24.86,24.86,601,0
MAAX.US,60,20201214,170000,24.86,24.86,24.86,24.86,200,0
MAAX.US,60,20201214,180000,24.86,24.86,24.86,24.86,200,0
MAAX.US,60,20201214,200000,24.87,24.87,24.86,24.87,1296,0
MAAX.US,60,20201214,210000,24.795,24.795,24.795,24.795,165,0
MAAX.US,60,20201221,160000,24.79,24.79,24.77,24.77,1286,0
MAAX.US,60,20201221,210000,24.9,24.9,24.9,24.9,120,0
MAAX.US,60,20201221,220000,24.93,24.93,24.93,24.93,100,0
MAAX.US,60,20201222,160000,24.76,24.76,24.76,24.76,200,0
MAAX.US,60,20201222,210000,24.79,24.79,24.79,24.79,100,0
MAAX.US,60,20201224,190000,24.895,24.895,24.895,24.895,200,0
MAAX.US,60,20201224,200000,24.885,24.885,24.885,24.885,0,0
MAAX.US,60,20201224,220000,24.885,24.885,24.885,24.885,0,0
MAAX.US,60,20201228,160000,24.99,24.99,24.99,24.99,401,0
MAAX.US,60,20201228,210000,24.95,24.95,24.95,24.95,100,0
MAAX.US,60,20210104,180000,24.91,24.91,24.91,24.91,201,0
MAAX.US,60,20210104,210000,24.9559,24.9559,24.9559,24.9559,268,0
MAAX.US,60,20210104,220000,24.82,24.83,24.82,24.83,700,0
MAAX.US,60,20210105,200000,24.952,24.952,24.952,24.952,3997,0
MAAX.US,60,20210108,190000,25.03,25.03,25.0238,25.0238,233,0
MAAX.US,60,20210111,160000,24.86,24.86,24.86,24.86,1245,0
MAAX.US,60,20210111,210000,25,25,25,25,500,0
MAAX.US,60,20210111,220000,25,25.02,24.98,25.01,5211,0
MAAX.US,60,20210113,170000,24.91,24.91,24.91,24.91,700,0
MAAX.US,60,20210115,190000,25.04,25.04,25.04,25.04,100,0
MAAX.US,60,20210120,170000,25.09,25.09,25.09,25.09,600,0
MAAX.US,60,20210121,160000,25.13,25.13,25.13,25.13,2000,0
MAAX.US,60,20210122,210000,25.11,25.11,25.11,25.11,150,0
MAAX.US,60,20210126,170000,25.151,25.17,25.14,25.17,3000,0
MAAX.US,60,20210126,190000,25.16,25.16,25.16,25.16,400,0
MAAX.US,60,20210126,200000,25.15,25.15,25.15,25.15,200,0
MAAX.US,60,20210126,210000,25.1499,25.1499,25.1499,25.1499,700,0
MAAX.US,60,20210127,190000,25.12,25.12,25.12,25.12,150,0
MAAX.US,60,20210127,200000,25.12,25.12,25.12,25.12,100,0
MAAX.US,60,20210127,220000,25.12,25.12,25.12,25.12,200,0
