<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PAUG.US,60,20200914,160000,27.2,27.2,27.1388,27.1388,984,0
PAUG.US,60,20200914,170000,27.21,27.22,27.21,27.22,800,0
PAUG.US,60,20200914,180000,27.22,27.22,27.12,27.18,3625,0
PAUG.US,60,20200914,190000,27.22,27.23,27.1365,27.1365,4123,0
PAUG.US,60,20200914,200000,27.19,27.2,27.17,27.17,600,0
PAUG.US,60,20200914,210000,27.2,27.2,27.0971,27.14,5405,0
PAUG.US,60,20200914,220000,27.069,27.12,27.0401,27.12,600,0
PAUG.US,60,20200915,170000,27.2,27.27,27.2,27.25,1826,0
PAUG.US,60,20200915,180000,27.25,27.25,27.2193,27.25,1171,0
PAUG.US,60,20200915,220000,27.1697,27.22,27.15,27.22,1600,0
PAUG.US,60,20200916,210000,27.28,27.2893,27.26,27.26,1588,0
PAUG.US,60,20200916,220000,27.255,27.255,27.1477,27.19,3074,0
PAUG.US,60,20200917,160000,26.86,26.905,26.86,26.905,400,0
PAUG.US,60,20200917,170000,26.991,26.991,26.991,26.991,200,0
PAUG.US,60,20200917,190000,26.98,26.98,26.98,26.98,496,0
PAUG.US,60,20200917,210000,26.98,27.0007,26.93,26.955,1881,0
PAUG.US,60,20200917,220000,27.0099,27.02,26.88,26.96,8480,0
PAUG.US,60,20200918,160000,26.9349,26.9349,26.9349,26.9349,721,0
PAUG.US,60,20200918,180000,26.92,26.95,26.92,26.95,22392,0
PAUG.US,60,20200918,200000,26.8125,26.8125,26.7732,26.7732,500,0
PAUG.US,60,20200918,210000,26.785,26.818,26.7843,26.8052,2738,0
PAUG.US,60,20200918,220000,26.82,26.96,26.82,26.96,1120,0
PAUG.US,60,20200921,160000,26.93,26.93,26.635,26.65,8200,0
PAUG.US,60,20200921,170000,26.69,26.7,26.5601,26.5601,7767,0
PAUG.US,60,20200921,180000,26.61,26.61,26.61,26.61,400,0
PAUG.US,60,20200921,190000,26.67,26.67,26.65,26.65,700,0
PAUG.US,60,20200921,200000,26.65,26.7,26.65,26.67,13926,0
PAUG.US,60,20200921,210000,26.64,26.665,26.6101,26.6101,2693,0
PAUG.US,60,20200921,220000,26.7,26.81,26.69,26.81,10908,0
PAUG.US,60,20200922,160000,26.7382,26.81,26.7378,26.81,1671,0
PAUG.US,60,20200922,170000,26.74,26.74,26.729,26.729,3940,0
PAUG.US,60,20200922,200000,26.7013,26.74,26.7013,26.74,1423,0
PAUG.US,60,20200922,210000,26.8,26.85,26.8,26.85,3425,0
PAUG.US,60,20200922,220000,26.895,26.92,26.8417,26.92,5175,0
PAUG.US,60,20200923,170000,26.9097,26.9097,26.754,26.89,3915,0
PAUG.US,60,20200923,180000,26.82,26.87,26.7377,26.7377,4034,0
PAUG.US,60,20200923,190000,26.82,26.82,26.82,26.82,1600,0
