<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSMR.US,60,20210406,210000,20.86,20.86,20.86,20.86,800,0
PSMR.US,60,20210407,160000,20.89,20.89,20.8608,20.8608,478,0
PSMR.US,60,20210408,210000,20.9,20.96,20.8668,20.96,1725,0
PSMR.US,60,20210408,220000,20.96,20.99,20.96,20.99,38367,0
PSMR.US,60,20210409,170000,20.97,20.97,20.97,20.97,200,0
PSMR.US,60,20210409,180000,20.98,20.98,20.98,20.98,200,0
PSMR.US,60,20210409,190000,20.98,20.98,20.98,20.98,200,0
PSMR.US,60,20210409,200000,20.99,20.99,20.99,20.99,200,0
PSMR.US,60,20210409,210000,20.99,20.99,20.99,20.99,100,0
PSMR.US,60,20210409,220000,21.03,21.03,20.98,20.98,475,0
PSMR.US,60,20210414,180000,21.07,21.07,21.06,21.06,501,0
PSMR.US,60,20210414,210000,21.05,21.166,21.05,21.166,3895,0
PSMR.US,60,20210416,190000,21.1288,21.13,21.1288,21.13,948,0
PSMR.US,60,20210419,160000,21.14,21.14,21.14,21.14,100,0
PSMR.US,60,20210419,180000,21.11,21.11,21.11,21.11,100,0
PSMR.US,60,20210419,200000,21.09,21.09,21.09,21.09,100,0
PSMR.US,60,20210426,220000,21.13,21.25,21.07,21.25,1587,0
PSMR.US,60,20210427,200000,21.12,21.16,21.12,21.14,14600,0
PSMR.US,60,20210427,210000,21.14,21.14,21.13,21.13,1000,0
PSMR.US,60,20210427,220000,21.13,21.15,21.07,21.07,30716,0
PSMR.US,60,20210429,170000,21.14,21.14,21.14,21.14,400,0
PSMR.US,60,20210429,190000,21.12,21.12,21.12,21.12,400,0
PSMR.US,60,20210429,200000,21.16,21.16,21.16,21.16,200,0
PSMR.US,60,20210429,210000,21.17,21.18,21.17,21.18,4630,0
PSMR.US,60,20210430,170000,21.12,21.14,21.1,21.1,8810,0
PSMR.US,60,20210430,200000,21.13,21.13,21.13,21.13,3774,0
PSMR.US,60,20210504,170000,21.04,21.04,21.04,21.04,17000,0
PSMR.US,60,20210504,180000,21.08,21.08,21.08,21.08,100,0
PSMR.US,60,20210505,170000,21.132,21.132,21.132,21.132,100,0
PSMR.US,60,20210505,190000,21.2,21.2,21.14,21.14,1425,0
PSMR.US,60,20210506,170000,21.13,21.13,21.13,21.13,200,0
PSMR.US,60,20210506,180000,21.15,21.15,21.15,21.15,200,0
PSMR.US,60,20210506,200000,21.18,21.18,21.18,21.18,200,0
PSMR.US,60,20210506,210000,21.16,21.17,21.16,21.17,200,0
PSMR.US,60,20210507,200000,21.28,21.28,21.28,21.28,1410,0
PSMR.US,60,20210510,220000,21.17,21.17,21.17,21.17,7585,0
PSMR.US,60,20210519,180000,20.91,20.93,20.91,20.91,8000,0
PSMR.US,60,20210519,200000,21,21.01,21,21.01,1100,0
PSMR.US,60,20210519,210000,20.99,20.99,20.99,20.99,100,0
PSMR.US,60,20210520,180000,21.13,21.13,21.13,21.13,100,0
PSMR.US,60,20210521,210000,21.04,21.17,21.04,21.17,600,0
PSMR.US,60,20210528,180000,21.35,21.35,21.35,21.35,180,0
PSMR.US,60,20210608,160000,21.35,21.39,21.35,21.39,11100,0
PSMR.US,60,20210611,220000,21.4004,21.4004,21.4004,21.4004,932,0
PSMR.US,60,20210614,180000,21.37,21.37,21.37,21.37,100,0
PSMR.US,60,20210614,210000,21.37,21.37,21.31,21.31,200,0
PSMR.US,60,20210614,220000,21.38,21.38,21.32,21.32,200,0
PSMR.US,60,20210616,200000,21.36,21.36,21.36,21.36,100,0
PSMR.US,60,20210616,210000,21.29,21.29,21.27,21.27,300,0
PSMR.US,60,20210616,220000,21.39,21.39,21.32,21.32,200,0
PSMR.US,60,20210617,170000,21.41,21.41,21.41,21.41,100,0
PSMR.US,60,20210617,180000,21.3,21.3,21.3,21.3,100,0
PSMR.US,60,20210622,160000,21.25,21.29,21.25,21.29,11884,0
PSMR.US,60,20210622,170000,21.28,21.28,21.28,21.28,1100,0
PSMR.US,60,20210628,220000,21.52,21.52,21.52,21.52,300,0
PSMR.US,60,20210708,160000,21.36,21.36,21.36,21.36,100,0
