<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RFCI.US,60,20200914,160000,26.193,26.193,26.193,26.193,287,0
RFCI.US,60,20200914,180000,26.27,26.289,26.227,26.289,1763,0
RFCI.US,60,20200914,190000,26.27,26.27,26.27,26.27,2422,0
RFCI.US,60,20200914,210000,26.215,26.279,26.214,26.214,1172,0
RFCI.US,60,20200914,220000,26.215,26.215,26.215,26.215,114,0
RFCI.US,60,20200915,170000,26.27,26.27,26.27,26.27,200,0
RFCI.US,60,20200915,180000,26.27,26.27,26.27,26.27,300,0
RFCI.US,60,20200915,190000,26.27,26.27,26.27,26.27,300,0
RFCI.US,60,20200915,200000,26.13,26.27,26.13,26.27,329,0
RFCI.US,60,20200915,210000,26.27,26.27,26.27,26.27,300,0
RFCI.US,60,20200916,160000,26.151,26.166,26.14,26.166,1712,0
RFCI.US,60,20200916,170000,26.16,26.17,26.13,26.17,2163,0
RFCI.US,60,20200916,190000,26.14,26.14,26.14,26.14,416,0
RFCI.US,60,20200916,200000,26.143,26.143,26.143,26.143,315,0
RFCI.US,60,20200916,210000,26.17,26.17,26.17,26.17,173,0
RFCI.US,60,20200917,190000,26.1,26.1,26.07,26.07,1214,0
RFCI.US,60,20200917,200000,26.16,26.17,26.1,26.129,2698,0
RFCI.US,60,20200918,170000,26.145,26.145,26.145,26.145,100,0
RFCI.US,60,20200918,180000,26.12,26.12,26.12,26.12,352,0
RFCI.US,60,20200918,200000,26.1,26.111,26.07,26.08,7540,0
RFCI.US,60,20200918,210000,26.09,26.115,26.09,26.115,439,0
RFCI.US,60,20200921,170000,26.11,26.153,26.11,26.153,365,0
RFCI.US,60,20200921,200000,26.101,26.112,26.101,26.112,226,0
RFCI.US,60,20200921,210000,26.09,26.09,26.09,26.09,1574,0
RFCI.US,60,20200921,220000,26.13,26.13,26.1,26.1,802,0
RFCI.US,60,20200922,180000,26.099,26.099,26.09,26.09,2774,0
RFCI.US,60,20200922,190000,26.11,26.11,26.11,26.11,291,0
RFCI.US,60,20200922,220000,26.128,26.128,26.08,26.08,702,0
RFCI.US,60,20200923,170000,26.2,26.2,26.2,26.2,413,0
RFCI.US,60,20200924,190000,26.05,26.05,26.05,26.05,470,0
RFCI.US,60,20200925,160000,26.17,26.17,26.17,26.17,100,0
RFCI.US,60,20200925,200000,26.1,26.1,26.1,26.1,332,0
RFCI.US,60,20200928,180000,26.06,26.06,26.06,26.06,498,0
RFCI.US,60,20200929,190000,26.128,26.128,26.128,26.128,180,0
RFCI.US,60,20200929,200000,26.145,26.145,26.145,26.145,114,0
RFCI.US,60,20200929,220000,26.18,26.2,26.16,26.175,1858,0
RFCI.US,60,20200930,200000,26.095,26.095,26.031,26.031,903,0
RFCI.US,60,20200930,210000,26.04,26.05,25.97,26.05,4211,0
RFCI.US,60,20201001,190000,26.12,26.14,26.12,26.14,9429,0
RFCI.US,60,20201001,220000,26.07,26.07,26.07,26.07,1180,0
RFCI.US,60,20201002,190000,26.13,26.13,26.13,26.13,112,0
RFCI.US,60,20201005,170000,26.053,26.053,26.053,26.053,322,0
RFCI.US,60,20201005,220000,26.025,26.025,26.025,26.025,158,0
RFCI.US,60,20201006,180000,26.05,26.05,26.05,26.05,118,0
RFCI.US,60,20201007,170000,26.002,26.003,26.002,26.003,239,0
RFCI.US,60,20201007,190000,26.03,26.03,26.03,26.03,150,0
RFCI.US,60,20201007,200000,25.99,26.035,25.95,25.97,7133,0
RFCI.US,60,20201007,210000,26.013,26.013,26.013,26.013,106,0
RFCI.US,60,20201007,220000,25.95,25.993,25.95,25.993,808,0
RFCI.US,60,20201008,170000,26.018,26.018,26.018,26.018,534,0
RFCI.US,60,20201008,180000,26,26,25.92,25.933,4528,0
RFCI.US,60,20201008,200000,26.015,26.015,26.01,26.013,1708,0
RFCI.US,60,20201008,210000,26.01,26.01,25.92,25.92,3507,0
RFCI.US,60,20201008,220000,26,26.01,25.92,25.99,4709,0
RFCI.US,60,20201009,170000,26.08,26.1,26,26.08,4890,0
RFCI.US,60,20201009,180000,26.01,26.01,26.01,26.01,736,0
RFCI.US,60,20201009,200000,26.008,26.008,26.008,26.008,588,0
RFCI.US,60,20201009,210000,26,26,26,26,100,0
RFCI.US,60,20201009,220000,26.02,26.02,26,26,1771,0
RFCI.US,60,20201012,160000,26.113,26.113,26.113,26.113,100,0
RFCI.US,60,20201012,170000,26.079,26.079,26.079,26.079,397,0
RFCI.US,60,20201012,200000,26.105,26.18,26.105,26.18,1068,0
RFCI.US,60,20201012,210000,26.105,26.105,26.105,26.105,189,0
RFCI.US,60,20201013,200000,26.104,26.104,26.104,26.104,289,0
RFCI.US,60,20201014,170000,26.08,26.08,26.075,26.075,1108,0
RFCI.US,60,20201015,190000,26.14,26.159,26.12,26.12,1838,0
RFCI.US,60,20201015,200000,26.08,26.08,26.08,26.08,6106,0
RFCI.US,60,20201015,210000,26.06,26.06,26.06,26.06,9406,0
RFCI.US,60,20201016,170000,26.095,26.095,26.095,26.095,188,0
RFCI.US,60,20201016,180000,26.13,26.13,26.13,26.13,200,0
RFCI.US,60,20201016,190000,26.05,26.13,26.04,26.13,1712,0
RFCI.US,60,20201016,200000,26.13,26.15,26.13,26.15,200,0
RFCI.US,60,20201016,220000,26.05,26.13,26.05,26.12,2622,0
