<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RWM.US,60,20200914,160000,34.04,34.08,33.69,33.7287,123294,0
RWM.US,60,20200914,170000,33.69,33.81,33.66,33.78,128317,0
RWM.US,60,20200914,180000,33.76,33.825,33.595,33.67,145118,0
RWM.US,60,20200914,190000,33.68,33.6844,33.49,33.51,198258,0
RWM.US,60,20200914,200000,33.51,33.61,33.46,33.54,52260,0
RWM.US,60,20200914,210000,33.56,33.59,33.45,33.49,97672,0
RWM.US,60,20200914,220000,33.4801,33.59,33.39,33.45,321517,0
RWM.US,60,20200915,160000,33.17,33.3599,33.11,33.3599,137585,0
RWM.US,60,20200915,170000,33.38,33.38,33.1699,33.1699,142791,0
RWM.US,60,20200915,180000,33.1549,33.31,33.1301,33.31,43251,0
RWM.US,60,20200915,190000,33.31,33.315,33.26,33.26,202396,0
RWM.US,60,20200915,200000,33.26,33.26,33.22,33.25,58284,0
RWM.US,60,20200915,210000,33.25,33.28,33.19,33.249,102018,0
RWM.US,60,20200915,220000,33.24,33.5,33.24,33.4,366877,0
RWM.US,60,20200916,160000,33.25,33.29,33.16,33.16,191846,0
RWM.US,60,20200916,170000,33.145,33.19,32.985,33.11,180596,0
RWM.US,60,20200916,180000,33.12,33.12,32.87,32.94,313062,0
RWM.US,60,20200916,190000,32.93,32.9571,32.8205,32.859,133561,0
RWM.US,60,20200916,200000,32.855,32.93,32.8201,32.8595,178285,0
RWM.US,60,20200916,210000,32.84,32.88,32.64,32.82,627642,0
RWM.US,60,20200916,220000,32.82,33.13,32.8,33.08,540752,0
RWM.US,60,20200917,160000,33.54,33.73,33.45,33.45,235363,0
RWM.US,60,20200917,170000,33.44,33.45,33.23,33.32,188380,0
RWM.US,60,20200917,180000,33.3,33.39,33.17,33.36,106237,0
RWM.US,60,20200917,190000,33.39,33.55,33.35,33.36,329035,0
RWM.US,60,20200917,200000,33.36,33.42,33.26,33.29,75883,0
RWM.US,60,20200917,210000,33.28,33.38,33.2099,33.32,100773,0
RWM.US,60,20200917,220000,33.32,33.46,33.28,33.31,561192,0
RWM.US,60,20200918,160000,33.25,33.32,33.11,33.251,166469,0
RWM.US,60,20200918,170000,33.27,33.27,32.985,33.1625,146528,0
RWM.US,60,20200918,180000,33.14,33.35,33.08,33.275,131945,0
RWM.US,60,20200918,190000,33.31,33.65,33.28,33.6099,113878,0
RWM.US,60,20200918,200000,33.6,33.86,33.54,33.65,213349,0
RWM.US,60,20200918,210000,33.65,33.69,33.5246,33.5246,116493,0
RWM.US,60,20200918,220000,33.525,33.53,33.3973,33.43,231450,0
RWM.US,60,20200921,160000,34.16,34.505,34.0735,34.29,431065,0
RWM.US,60,20200921,170000,34.31,34.82,34.26,34.65,329683,0
RWM.US,60,20200921,180000,34.66,34.81,34.5248,34.6699,270544,0
RWM.US,60,20200921,190000,34.66,34.86,34.6,34.83,187634,0
RWM.US,60,20200921,200000,34.82,34.87,34.68,34.82,145897,0
RWM.US,60,20200921,210000,34.82,34.91,34.775,34.79,255192,0
RWM.US,60,20200921,220000,34.8,34.8,34.55,34.57,309086,0
RWM.US,60,20200922,160000,34.4,34.6836,34.302,34.66,371787,0
RWM.US,60,20200922,170000,34.67,34.8,34.46,34.8,209598,0
RWM.US,60,20200922,180000,34.815,34.87,34.65,34.65,82516,0
RWM.US,60,20200922,190000,34.63,34.68,34.56,34.66,111632,0
RWM.US,60,20200922,200000,34.67,34.69,34.39,34.4,114050,0
RWM.US,60,20200922,210000,34.39,34.41,34.2701,34.36,197525,0
RWM.US,60,20200922,220000,34.38,34.44,34.25,34.31,249404,0
RWM.US,60,20200923,160000,34.31,34.3319,34.1,34.265,263336,0
RWM.US,60,20200923,170000,34.27,34.51,34.26,34.3787,179689,0
RWM.US,60,20200923,180000,34.35,34.585,34.27,34.58,120978,0
RWM.US,60,20200923,190000,34.59,34.61,34.4414,34.49,77246,0
RWM.US,60,20200923,200000,34.47,34.69,34.46,34.67,76662,0
RWM.US,60,20200923,210000,34.6714,35.165,34.6714,35.15,211316,0
RWM.US,60,20200923,220000,35.13,35.34,35.06,35.32,745395,0
RWM.US,60,20200924,160000,35.33,35.7901,35.29,35.53,513160,0
RWM.US,60,20200924,170000,35.5,35.68,35.13,35.4,293627,0
RWM.US,60,20200924,180000,35.405,35.59,35.16,35.16,178352,0
RWM.US,60,20200924,190000,35.15,35.201,34.98,34.99,225144,0
RWM.US,60,20200924,200000,34.975,35.0001,34.74,34.94,187948,0
RWM.US,60,20200924,210000,34.91,35.325,34.89,35.325,251681,0
RWM.US,60,20200924,220000,35.2575,35.47,35.2,35.33,469666,0
RWM.US,60,20200925,160000,35.46,35.49,35.08,35.08,198181,0
RWM.US,60,20200925,170000,35.1,35.23,34.91,35.04,256770,0
RWM.US,60,20200925,180000,35.01,35.18,34.98,35.17,119606,0
RWM.US,60,20200925,190000,35.17,35.17,34.91,34.93,147230,0
RWM.US,60,20200925,200000,34.93,34.95,34.84,34.887,149711,0
RWM.US,60,20200925,210000,34.87,34.88,34.76,34.765,93186,0
RWM.US,60,20200925,220000,34.77,34.82,34.635,34.75,324469,0
RWM.US,60,20200928,160000,34.29,34.3,34.0601,34.19,276529,0
RWM.US,60,20200928,170000,34.1809,34.24,33.9,33.92,292651,0
RWM.US,60,20200928,180000,33.89,33.98,33.83,33.9599,254631,0
RWM.US,60,20200928,190000,33.96,33.965,33.85,33.9,110960,0
RWM.US,60,20200928,200000,33.9496,33.9991,33.923,33.9786,94808,0
RWM.US,60,20200928,210000,33.97,33.99,33.82,33.83,73143,0
RWM.US,60,20200928,220000,33.825,33.95,33.79,33.86,502854,0
RWM.US,60,20200929,160000,33.93,34.08,33.9099,33.9699,162142,0
RWM.US,60,20200929,170000,33.93,34.25,33.8301,34.23,205469,0
RWM.US,60,20200929,180000,34.24,34.33,34.08,34.27,71102,0
RWM.US,60,20200929,190000,34.2691,34.33,34.05,34.13,92821,0
RWM.US,60,20200929,200000,34.11,34.255,34.03,34.0701,148538,0
RWM.US,60,20200929,210000,34.065,34.095,33.885,33.9501,77610,0
RWM.US,60,20200929,220000,33.955,34.05,33.9,34.05,202754,0
RWM.US,60,20200930,160000,33.91,33.91,33.63,33.69,138301,0
RWM.US,60,20200930,170000,33.655,33.7,33.45,33.602,297136,0
RWM.US,60,20200930,180000,33.61,33.67,33.565,33.62,101135,0
RWM.US,60,20200930,190000,33.61,33.645,33.51,33.57,74722,0
RWM.US,60,20200930,200000,33.61,33.69,33.6,33.65,69582,0
RWM.US,60,20200930,210000,33.6348,34.11,33.56,33.9,470210,0
RWM.US,60,20200930,220000,33.93,34.22,33.89,33.94,539167,0
RWM.US,60,20201001,160000,33.7,33.84,33.5467,33.84,165753,0
RWM.US,60,20201001,170000,33.85,33.99,33.73,33.81,191844,0
RWM.US,60,20201001,180000,33.75,33.85,33.72,33.77,77480,0
RWM.US,60,20201001,190000,33.77,33.83,33.63,33.66,94038,0
RWM.US,60,20201001,200000,33.64,33.67,33.54,33.66,106582,0
RWM.US,60,20201001,210000,33.67,33.83,33.52,33.521,211405,0
RWM.US,60,20201001,220000,33.53,33.595,33.39,33.4,253681,0
RWM.US,60,20201002,160000,34.02,34.08,33.7,33.74,336729,0
RWM.US,60,20201002,170000,33.74,33.74,33.475,33.57,226118,0
RWM.US,60,20201002,180000,33.59,33.63,33.35,33.59,218066,0
RWM.US,60,20201002,190000,33.61,33.66,33.1,33.18,471478,0
RWM.US,60,20201002,200000,33.16,33.44,33.14,33.3701,120822,0
RWM.US,60,20201002,210000,33.38,33.39,33.17,33.2,74579,0
RWM.US,60,20201002,220000,33.2,33.2992,33.1,33.26,422994,0
RWM.US,60,20201005,160000,32.89,32.891,32.591,32.71,327791,0
RWM.US,60,20201005,170000,32.7,32.7314,32.5508,32.59,286875,0
RWM.US,60,20201005,180000,32.59,32.62,32.51,32.56,129391,0
RWM.US,60,20201005,190000,32.56,32.569,32.487,32.49,33083,0
RWM.US,60,20201005,200000,32.485,32.555,32.47,32.555,135588,0
RWM.US,60,20201005,210000,32.555,32.59,32.37,32.37,157263,0
RWM.US,60,20201005,220000,32.38,32.41,32.28,32.33,404498,0
RWM.US,60,20201006,160000,32.01,32.21,31.96,32.21,256515,0
RWM.US,60,20201006,170000,32.205,32.205,31.92,31.96,413965,0
RWM.US,60,20201006,180000,31.96,31.9993,31.86,31.985,290289,0
RWM.US,60,20201006,190000,31.98,31.9999,31.77,31.79,190475,0
RWM.US,60,20201006,200000,31.78,31.78,31.66,31.6879,236178,0
RWM.US,60,20201006,210000,31.685,32.3,31.51,32.17,1022001,0
RWM.US,60,20201006,220000,32.18,32.47,32.09,32.4,996052,0
RWM.US,60,20201007,160000,32,32.01,31.76,31.8,213898,0
RWM.US,60,20201007,170000,31.81,31.902,31.71,31.81,396318,0
RWM.US,60,20201007,180000,31.8,31.87,31.7614,31.81,67776,0
RWM.US,60,20201007,190000,31.82,31.89,31.78,31.84,59351,0
RWM.US,60,20201007,200000,31.84,31.89,31.75,31.8,82557,0
RWM.US,60,20201007,210000,31.83,31.84,31.73,31.75,223442,0
RWM.US,60,20201007,220000,31.75,31.75,31.605,31.69,374612,0
RWM.US,60,20201008,160000,31.37,31.48,31.32,31.4,158557,0
RWM.US,60,20201008,170000,31.38,31.52,31.27,31.365,189635,0
RWM.US,60,20201008,180000,31.38,31.6,31.345,31.5386,138497,0
RWM.US,60,20201008,190000,31.55,31.555,31.44,31.55,44562,0
RWM.US,60,20201008,200000,31.535,31.54,31.46,31.47,92871,0
RWM.US,60,20201008,210000,31.48,31.49,31.35,31.385,73844,0
RWM.US,60,20201008,220000,31.39,31.43,31.32,31.36,119822,0
RWM.US,60,20201009,160000,31.06,31.145,31,31.11,168514,0
RWM.US,60,20201009,170000,31.11,31.35,31.11,31.31,184632,0
RWM.US,60,20201009,180000,31.3,31.3301,31.12,31.19,228488,0
RWM.US,60,20201009,190000,31.19,31.21,31.04,31.08,270994,0
RWM.US,60,20201009,200000,31.08,31.18,31.08,31.15,95111,0
