<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMDD.US,60,20200914,160000,102.32,102.32,101.12,101.12,61,0
SMDD.US,60,20200914,170000,100.48,100.96,100.48,100.96,1213,0
SMDD.US,60,20200914,180000,100.8,100.8,100.35,100.4,702,0
SMDD.US,60,20200914,190000,100.24,100.64,99.2,99.2,382,0
SMDD.US,60,20200914,200000,100,100.08,100,100.08,25,0
SMDD.US,60,20200914,210000,99.44,99.84,99.36,99.6,325,0
SMDD.US,60,20200914,220000,99.96,100.56,99.04,99.36,327,0
SMDD.US,60,20200915,160000,97.04,98,96.88,98,300,0
SMDD.US,60,20200915,170000,98.8,98.8,97.6,97.6,111,0
SMDD.US,60,20200915,180000,96.64,97.12,96.56,97.12,304,0
SMDD.US,60,20200915,190000,97.6,98,97.6,97.84,549,0
SMDD.US,60,20200915,210000,97.52,97.636,97.52,97.636,25,0
SMDD.US,60,20200915,220000,98.44,99.6,98.44,99.04,564,0
SMDD.US,60,20200916,160000,97.44,98,97.44,98,196,0
SMDD.US,60,20200916,170000,97.04,97.2,96.88,97.2,211,0
SMDD.US,60,20200916,180000,96.08,96.08,95.36,95.44,173,0
SMDD.US,60,20200916,190000,95.84,95.84,95.512,95.6,120,0
SMDD.US,60,20200916,210000,95.872,95.916,94.72,95.44,340,0
SMDD.US,60,20200916,220000,96.4,98.4,96.4,98.08,616,0
SMDD.US,60,20200917,160000,102,103.53,102,102.26,751,0
SMDD.US,60,20200917,170000,100.92,100.92,100.48,100.68,257,0
SMDD.US,60,20200917,180000,99.28,99.28,99.28,99.28,25,0
SMDD.US,60,20200917,190000,100.32,101.28,100.16,100.27,170,0
SMDD.US,60,20200917,210000,99.24,99.6,99.12,99.6,134,0
SMDD.US,60,20200917,220000,100.01,100.01,99.44,99.76,495,0
SMDD.US,60,20200918,160000,98.96,99.6,98.96,99.6,119,0
SMDD.US,60,20200918,180000,100.2,101.12,100.16,101.12,78,0
SMDD.US,60,20200918,190000,101,103.6,101,103.48,226,0
SMDD.US,60,20200918,200000,103.4,104.8,103.4,103.95,779,0
SMDD.US,60,20200918,210000,103.92,103.92,103.58,103.6,307,0
SMDD.US,60,20200918,220000,103.07,103.36,102.6,103.28,1838,0
SMDD.US,60,20200921,160000,109.6,112.48,109.04,110.8,1024,0
SMDD.US,60,20200921,170000,111.28,114.16,111.28,112.44,556,0
SMDD.US,60,20200921,180000,112.64,113.92,112.27,112.48,449,0
SMDD.US,60,20200921,190000,112.16,112.8,111.92,112.8,890,0
SMDD.US,60,20200921,200000,112.9,112.92,112.16,112.88,386,0
SMDD.US,60,20200921,210000,113.28,113.6,112.84,113.28,629,0
SMDD.US,60,20200921,220000,112.32,112.4,110.72,110.96,1891,0
SMDD.US,60,20200922,160000,109.6,110.72,107.92,110.72,703,0
SMDD.US,60,20200922,170000,110.49,110.49,109.12,110.48,372,0
