<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SVAL.US,60,20201030,150000,19.244,19.244,19.244,19.244,1003,0
SVAL.US,60,20201030,160000,19.124,19.124,19.124,19.124,501,0
SVAL.US,60,20201030,170000,19.194,19.194,19.194,19.194,100,0
SVAL.US,60,20201030,180000,19.189,19.224,19.189,19.214,2234,0
SVAL.US,60,20201030,200000,19.194,19.194,19.194,19.194,100,0
SVAL.US,60,20201102,160000,19.423,19.443,19.324,19.443,301,0
SVAL.US,60,20201102,170000,19.441,19.441,19.441,19.441,251,0
SVAL.US,60,20201102,200000,19.418,19.418,19.418,19.418,100,0
SVAL.US,60,20201102,220000,19.571,19.613,19.546,19.613,7406,0
SVAL.US,60,20201103,170000,19.983,20.052,19.983,20.052,802,0
SVAL.US,60,20201103,190000,19.982,19.982,19.982,19.982,1504,0
SVAL.US,60,20201103,210000,20.131,20.131,20.131,20.131,501,0
SVAL.US,60,20201103,220000,20.091,20.192,20.091,20.192,502,0
SVAL.US,60,20201104,160000,19.583,19.583,19.543,19.543,551,0
SVAL.US,60,20201104,170000,19.543,19.543,19.543,19.543,2247,0
SVAL.US,60,20201104,180000,19.614,19.683,19.614,19.643,4012,0
SVAL.US,60,20201104,190000,19.693,19.693,19.643,19.643,652,0
SVAL.US,60,20201104,200000,19.573,19.573,19.543,19.543,2071,0
SVAL.US,60,20201104,210000,19.453,19.453,19.453,19.453,1912,0
SVAL.US,60,20201104,220000,19.364,19.374,19.364,19.374,3811,0
SVAL.US,60,20201105,180000,19.932,19.932,19.928,19.928,5015,0
SVAL.US,60,20201105,190000,20.022,20.032,19.952,20.012,8053,0
SVAL.US,60,20201105,200000,20.052,20.081,20.017,20.051,7302,0
SVAL.US,60,20201105,210000,20.081,20.101,20.052,20.052,21530,0
SVAL.US,60,20201105,220000,20.081,20.081,20.002,20.002,2306,0
SVAL.US,60,20201106,160000,20.081,20.151,20.081,20.151,1003,0
SVAL.US,60,20201106,170000,19.987,20.042,19.987,20.042,602,0
SVAL.US,60,20201106,180000,19.856,19.856,19.856,19.856,201,0
SVAL.US,60,20201106,210000,19.762,19.762,19.762,19.762,236,0
SVAL.US,60,20201106,220000,19.713,19.713,19.668,19.668,602,0
SVAL.US,60,20201109,170000,21.497,21.577,21.497,21.577,502259,0
SVAL.US,60,20201109,180000,21.558,21.558,21.428,21.428,602,0
SVAL.US,60,20201109,190000,21.507,21.507,21.507,21.507,100,0
SVAL.US,60,20201109,200000,21.836,21.836,21.836,21.836,100,0
SVAL.US,60,20201109,210000,21.816,21.816,21.787,21.796,4413,0
SVAL.US,60,20201109,220000,21.896,21.896,21.428,21.428,4942,0
SVAL.US,60,20201110,160000,21.747,21.747,21.737,21.737,401,0
SVAL.US,60,20201110,170000,21.959,22.016,21.936,21.946,1015,0
SVAL.US,60,20201110,180000,22.006,22.086,21.986,21.986,4615,0
SVAL.US,60,20201110,190000,22.106,22.116,22.082,22.116,2307,0
SVAL.US,60,20201110,200000,22.106,22.155,22.041,22.131,6336,0
SVAL.US,60,20201110,210000,22.126,22.225,22.126,22.225,8024,0
SVAL.US,60,20201110,220000,22.191,22.245,22.105,22.105,5062,0
SVAL.US,60,20201111,160000,22.365,22.365,21.787,21.787,4212,0
SVAL.US,60,20201111,170000,21.611,21.637,21.611,21.637,1654,0
SVAL.US,60,20201111,180000,21.796,21.796,21.767,21.767,3410,0
SVAL.US,60,20201111,190000,21.737,21.737,21.737,21.737,1003,0
SVAL.US,60,20201111,200000,21.667,21.717,21.649,21.717,1404,0
SVAL.US,60,20201111,210000,21.687,21.687,21.617,21.617,4243,0
SVAL.US,60,20201112,170000,21.487,21.487,21.456,21.456,1605,0
SVAL.US,60,20201112,180000,21.466,21.467,21.438,21.438,2796,0
SVAL.US,60,20201112,190000,21.368,21.378,21.268,21.268,3166,0
SVAL.US,60,20201112,200000,21.208,21.288,21.208,21.288,602,0
SVAL.US,60,20201112,210000,21.208,21.208,21.208,21.208,100,0
SVAL.US,60,20201112,220000,21.089,21.308,21.089,21.308,4262,0
SVAL.US,60,20201113,160000,21.712,21.712,21.712,21.712,1003,0
SVAL.US,60,20201113,180000,21.697,21.697,21.697,21.697,201,0
SVAL.US,60,20201113,190000,21.687,21.687,21.687,21.687,902,0
SVAL.US,60,20201113,200000,21.687,21.687,21.662,21.662,201,0
SVAL.US,60,20201113,210000,21.757,21.826,21.757,21.826,401,0
SVAL.US,60,20201116,160000,22.504,22.724,22.504,22.534,1020,0
SVAL.US,60,20201116,170000,22.594,22.843,22.594,22.779,7121,0
SVAL.US,60,20201116,180000,22.789,22.873,22.764,22.863,4513,0
SVAL.US,60,20201116,190000,22.855,22.863,22.778,22.784,5498,0
SVAL.US,60,20201116,200000,22.764,22.764,22.643,22.644,4213,0
SVAL.US,60,20201116,210000,22.634,22.764,22.624,22.764,251500,0
SVAL.US,60,20201116,220000,22.734,22.863,22.691,22.863,11570,0
SVAL.US,60,20201117,160000,22.689,22.689,22.524,22.574,505,0
SVAL.US,60,20201117,180000,22.47,22.703,22.47,22.703,1163,0
SVAL.US,60,20201117,190000,22.653,22.659,22.644,22.659,602,0
SVAL.US,60,20201117,200000,22.754,22.764,22.754,22.764,1773,0
SVAL.US,60,20201117,210000,22.883,22.903,22.883,22.893,8049,0
SVAL.US,60,20201117,220000,22.879,22.913,22.833,22.856,8957,0
SVAL.US,60,20201118,160000,22.993,23.073,22.993,23.073,2633,0
SVAL.US,60,20201118,170000,23.043,23.053,22.983,22.998,1961,0
SVAL.US,60,20201118,180000,23.053,23.053,23.033,23.053,3711,0
SVAL.US,60,20201118,190000,23.053,23.053,22.983,22.983,3282,0
SVAL.US,60,20201118,200000,23.039,23.039,22.933,22.933,2758,0
SVAL.US,60,20201118,210000,22.934,22.983,22.843,22.843,5085,0
SVAL.US,60,20201118,220000,22.843,22.843,22.634,22.634,2195,0
SVAL.US,60,20201119,160000,22.435,22.564,22.385,22.564,2407,0
SVAL.US,60,20201119,170000,22.455,22.455,22.424,22.425,2032,0
SVAL.US,60,20201119,180000,22.305,22.305,22.225,22.225,2561,0
SVAL.US,60,20201119,200000,22.305,22.305,22.245,22.245,301,0
SVAL.US,60,20201119,210000,22.37,22.514,22.35,22.514,3310,0
SVAL.US,60,20201119,220000,22.435,22.594,22.435,22.594,4939,0
SVAL.US,60,20201120,160000,22.554,22.554,22.385,22.385,1707,0
SVAL.US,60,20201120,170000,22.385,22.405,22.385,22.405,301,0
SVAL.US,60,20201120,180000,22.366,22.494,22.366,22.494,732,0
SVAL.US,60,20201120,190000,22.504,22.504,22.465,22.466,27680,0
SVAL.US,60,20201120,200000,22.544,22.544,22.504,22.515,1935,0
SVAL.US,60,20201120,210000,22.524,22.554,22.524,22.554,501,0
SVAL.US,60,20201123,160000,22.734,22.963,22.734,22.963,1103,0
SVAL.US,60,20201123,170000,22.942,23.072,22.942,23.072,1665,0
SVAL.US,60,20201123,180000,23.083,23.083,23.083,23.083,100,0
SVAL.US,60,20201123,190000,23.078,23.078,23.072,23.072,392,0
SVAL.US,60,20201123,200000,23.123,23.133,23.075,23.075,3610,0
SVAL.US,60,20201123,210000,23.132,23.232,23.132,23.232,3410,0
SVAL.US,60,20201123,220000,23.302,23.302,23.123,23.123,6118,0
SVAL.US,60,20201124,160000,23.571,23.65,23.571,23.65,2461,0
SVAL.US,60,20201124,170000,23.691,23.731,23.691,23.701,2508,0
SVAL.US,60,20201124,180000,23.751,23.98,23.751,23.98,14738,0
SVAL.US,60,20201124,190000,23.95,23.96,23.95,23.95,2849,0
SVAL.US,60,20201124,210000,23.91,23.91,23.85,23.88,41686,0
SVAL.US,60,20201124,220000,23.96,24.01,23.93,23.97,30277,0
SVAL.US,60,20201125,160000,23.58,23.58,23.58,23.58,100,0
SVAL.US,60,20201125,170000,23.551,23.551,23.53,23.53,2613,0
SVAL.US,60,20201125,180000,23.474,23.601,23.474,23.601,1153,0
SVAL.US,60,20201125,190000,23.721,23.731,23.721,23.731,602,0
SVAL.US,60,20201125,200000,23.731,23.731,23.731,23.731,993,0
SVAL.US,60,20201125,210000,23.721,23.721,23.721,23.721,105,0
SVAL.US,60,20201125,220000,23.741,23.751,23.642,23.691,9310,0
SVAL.US,60,20201127,160000,23.761,23.9,23.591,23.591,7816,0
SVAL.US,60,20201127,170000,23.432,23.432,23.258,23.334,14839,0
SVAL.US,60,20201127,180000,23.302,23.452,23.282,23.452,3872,0
SVAL.US,60,20201127,190000,23.522,23.522,23.432,23.481,3590,0
SVAL.US,60,20201127,200000,23.502,23.502,23.502,23.502,170,0
SVAL.US,60,20201127,220000,23.502,23.502,23.502,23.502,0,0
SVAL.US,60,20201130,160000,23.502,23.502,23.183,23.217,3375,0
SVAL.US,60,20201130,170000,23.222,23.222,23.013,23.013,3440,0
SVAL.US,60,20201130,180000,23.03,23.03,22.912,22.912,1353,0
SVAL.US,60,20201130,190000,22.903,22.903,22.903,22.903,2227,0
SVAL.US,60,20201130,200000,22.862,22.882,22.843,22.882,828,0
SVAL.US,60,20201130,210000,22.863,22.863,22.795,22.795,1815,0
SVAL.US,60,20201130,220000,22.843,22.872,22.596,22.6,18029,0
SVAL.US,60,20201201,160000,22.933,23.182,22.883,23.077,2032,0
SVAL.US,60,20201201,170000,23.093,23.093,23.033,23.043,1053,0
SVAL.US,60,20201201,180000,23.042,23.062,22.933,22.933,477,0
SVAL.US,60,20201201,190000,22.875,22.896,22.853,22.896,1003,0
SVAL.US,60,20201201,210000,22.993,23.007,22.993,23.007,1313,0
SVAL.US,60,20201201,220000,23.003,23.003,23.003,23.003,1019,0
SVAL.US,60,20201202,160000,23.103,23.103,23.103,23.103,501,0
SVAL.US,60,20201202,170000,23.053,23.053,23.019,23.023,1041,0
SVAL.US,60,20201202,180000,23.081,23.092,23.033,23.033,1136,0
