<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TBT.US,60,20200914,160000,15.44,15.5,15.39,15.46,155122,0
TBT.US,60,20200914,170000,15.47,15.505,15.425,15.46,114904,0
TBT.US,60,20200914,180000,15.46,15.535,15.46,15.47,41190,0
TBT.US,60,20200914,190000,15.47,15.49,15.45,15.46,51830,0
TBT.US,60,20200914,200000,15.47,15.475,15.4333,15.465,56797,0
TBT.US,60,20200914,210000,15.48,15.48,15.44,15.46,98265,0
TBT.US,60,20200914,220000,15.45,15.55,15.45,15.5,368261,0
TBT.US,60,20200915,160000,15.55,15.57,15.51,15.54,88305,0
TBT.US,60,20200915,170000,15.545,15.56,15.52,15.555,101451,0
TBT.US,60,20200915,180000,15.55,15.6293,15.55,15.62,70081,0
TBT.US,60,20200915,190000,15.62,15.62,15.565,15.605,103001,0
TBT.US,60,20200915,200000,15.6,15.6,15.55,15.567,119788,0
TBT.US,60,20200915,210000,15.57,15.605,15.555,15.56,23055,0
TBT.US,60,20200915,220000,15.56,15.57,15.51,15.56,167714,0
TBT.US,60,20200916,160000,15.45,15.47,15.425,15.47,54977,0
TBT.US,60,20200916,170000,15.475,15.51,15.4601,15.49,47574,0
TBT.US,60,20200916,180000,15.49,15.5099,15.47,15.48,56981,0
TBT.US,60,20200916,190000,15.4801,15.4882,15.4699,15.4699,15935,0
TBT.US,60,20200916,200000,15.4642,15.49,15.45,15.47,107807,0
TBT.US,60,20200916,210000,15.47,15.7746,15.47,15.67,500486,0
TBT.US,60,20200916,220000,15.66,15.72,15.62,15.67,460152,0
TBT.US,60,20200917,160000,15.42,15.53,15.41,15.5,138455,0
TBT.US,60,20200917,170000,15.51,15.52,15.43,15.43,269408,0
TBT.US,60,20200917,180000,15.43,15.57,15.43,15.56,168676,0
TBT.US,60,20200917,190000,15.55,15.585,15.515,15.55,58904,0
TBT.US,60,20200917,200000,15.545,15.61,15.54,15.59,48864,0
TBT.US,60,20200917,210000,15.58,15.62,15.54,15.54,75641,0
TBT.US,60,20200917,220000,15.54,15.57,15.53,15.57,168103,0
TBT.US,60,20200918,160000,15.57,15.59,15.55,15.56,85650,0
TBT.US,60,20200918,170000,15.5599,15.68,15.55,15.64,382120,0
TBT.US,60,20200918,180000,15.65,15.67,15.6209,15.65,53274,0
TBT.US,60,20200918,190000,15.66,15.675,15.65,15.65,36051,0
TBT.US,60,20200918,200000,15.65,15.677,15.6,15.6235,43509,0
TBT.US,60,20200918,210000,15.625,15.715,15.625,15.7,76869,0
TBT.US,60,20200918,220000,15.69,15.7107,15.67,15.67,131968,0
TBT.US,60,20200921,160000,15.41,15.45,15.36,15.38,124160,0
TBT.US,60,20200921,170000,15.388,15.42,15.32,15.42,152358,0
