<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TPAY.US,60,20200914,160000,35.535,35.566,35.49,35.566,1565,0
TPAY.US,60,20200914,170000,35.859,35.869,35.829,35.869,1002,0
TPAY.US,60,20200914,200000,35.829,35.829,35.57,35.57,3604,0
TPAY.US,60,20200914,210000,35.739,35.739,35.739,35.739,301,0
TPAY.US,60,20200915,160000,36.538,36.757,36.403,36.403,6729,0
TPAY.US,60,20200915,170000,36.305,36.378,36.305,36.378,365,0
TPAY.US,60,20200915,180000,36.493,36.493,36.493,36.493,301,0
TPAY.US,60,20200915,190000,36.263,36.263,36.263,36.263,100,0
TPAY.US,60,20200915,200000,36.356,36.356,36.356,36.356,150,0
TPAY.US,60,20200915,210000,36.338,36.338,36.338,36.338,137,0
TPAY.US,60,20200915,220000,36.257,36.257,36.218,36.218,325,0
TPAY.US,60,20200916,160000,36.667,36.667,36.667,36.667,100,0
TPAY.US,60,20200916,200000,36.689,36.689,36.689,36.689,200,0
TPAY.US,60,20200916,220000,36.757,36.757,36.657,36.657,874,0
TPAY.US,60,20200917,170000,35.641,35.919,35.641,35.919,1171,0
TPAY.US,60,20200917,180000,35.929,35.929,35.929,35.929,200,0
TPAY.US,60,20200917,220000,36.059,36.059,36.059,36.059,200,0
TPAY.US,60,20200918,160000,36.29,36.29,36.29,36.29,277,0
TPAY.US,60,20200918,180000,36.218,36.218,36.218,36.218,100,0
TPAY.US,60,20200918,210000,36.069,36.069,36.069,36.069,150,0
TPAY.US,60,20200921,160000,35.879,36.039,35.799,35.799,1389,0
TPAY.US,60,20200921,170000,34.881,34.981,34.881,34.981,601,0
TPAY.US,60,20200922,180000,35.869,35.869,35.62,35.636,1141,0
TPAY.US,60,20200922,220000,35.959,36.089,35.959,36.027,501,0
TPAY.US,60,20200923,160000,36.468,36.468,36.367,36.367,467,0
TPAY.US,60,20200923,180000,36.059,36.059,36.059,36.059,102,0
TPAY.US,60,20200923,210000,35.919,35.919,35.919,35.919,100,0
TPAY.US,60,20200923,220000,35.52,35.52,35.49,35.49,477,0
TPAY.US,60,20200924,160000,35.42,35.42,35.42,35.42,301,0
TPAY.US,60,20200924,170000,35.231,35.231,35.231,35.231,100,0
TPAY.US,60,20200924,190000,35.241,35.241,35.241,35.241,408,0
TPAY.US,60,20200924,200000,35.151,35.28,35.151,35.28,4255,0
TPAY.US,60,20200928,160000,36.485,36.485,36.485,36.485,236,0
TPAY.US,60,20200928,190000,36.517,36.517,36.517,36.517,100,0
TPAY.US,60,20200929,160000,36.737,37.007,36.652,36.652,1095,0
TPAY.US,60,20200929,190000,36.358,36.358,36.358,36.358,301,0
TPAY.US,60,20200929,200000,36.358,36.358,36.358,36.358,100,0
TPAY.US,60,20200930,170000,36.777,36.777,36.777,36.777,501,0
TPAY.US,60,20201001,180000,36.797,36.892,36.797,36.892,1295,0
TPAY.US,60,20201002,160000,36.677,36.677,36.677,36.677,134,0
TPAY.US,60,20201002,210000,36.637,36.637,36.637,36.637,200,0
TPAY.US,60,20201005,170000,37.308,37.308,37.308,37.308,742,0
TPAY.US,60,20201005,190000,37.385,37.385,37.385,37.385,551,0
TPAY.US,60,20201005,210000,37.515,37.515,37.515,37.515,526,0
TPAY.US,60,20201006,190000,37.874,37.874,37.874,37.874,301,0
TPAY.US,60,20201006,200000,37.893,37.893,37.893,37.893,551,0
TPAY.US,60,20201006,210000,37.875,37.875,37.585,37.585,2961,0
TPAY.US,60,20201006,220000,37.466,37.466,37.166,37.253,902,0
TPAY.US,60,20201007,180000,37.466,37.466,37.406,37.406,470,0
TPAY.US,60,20201008,160000,38.164,38.164,37.954,37.954,902,0
TPAY.US,60,20201008,170000,38.049,38.049,38.049,38.049,1317,0
TPAY.US,60,20201008,180000,37.935,38.162,37.935,38.104,462,0
TPAY.US,60,20201008,200000,38.277,38.277,38.277,38.277,100,0
TPAY.US,60,20201008,210000,38.304,38.304,38.304,38.304,443,0
TPAY.US,60,20201008,220000,38.224,38.224,38.224,38.224,200,0
TPAY.US,60,20201009,210000,38.604,38.604,38.604,38.604,126,0
TPAY.US,60,20201012,160000,38.733,38.763,38.635,38.635,403,0
TPAY.US,60,20201012,170000,38.773,38.773,38.773,38.773,120,0
TPAY.US,60,20201012,200000,38.763,38.763,38.683,38.683,4009,0
TPAY.US,60,20201012,210000,38.748,38.812,38.748,38.812,315,0
TPAY.US,60,20201013,160000,39.012,39.012,39.012,39.012,124,0
TPAY.US,60,20201013,210000,38.962,38.997,38.912,38.912,1705,0
TPAY.US,60,20201014,180000,38.803,38.803,38.803,38.803,100,0
TPAY.US,60,20201014,190000,38.413,38.455,38.413,38.455,275,0
TPAY.US,60,20201014,200000,38.673,38.673,38.673,38.673,100,0
TPAY.US,60,20201014,220000,38.568,38.568,38.483,38.483,299,0
TPAY.US,60,20201015,160000,38.094,38.094,37.076,37.336,1383,0
TPAY.US,60,20201015,170000,38.06,38.124,37.984,38.124,310,0
TPAY.US,60,20201015,190000,38.207,38.207,38.207,38.207,130,0
TPAY.US,60,20201015,220000,38.421,38.421,38.304,38.304,326,0
TPAY.US,60,20201016,180000,38.812,38.812,38.812,38.812,200,0
TPAY.US,60,20201019,160000,38.723,38.723,38.687,38.687,401,0
TPAY.US,60,20201019,170000,38.603,38.603,38.603,38.603,130,0
TPAY.US,60,20201019,180000,38.663,38.673,38.633,38.633,1910,0
TPAY.US,60,20201019,190000,38.332,38.332,38.332,38.332,167,0
TPAY.US,60,20201019,220000,38.124,38.124,37.943,37.964,300,0
TPAY.US,60,20201020,170000,38.316,38.316,38.316,38.316,922,0
TPAY.US,60,20201021,190000,37.973,37.973,37.973,37.973,767,0
TPAY.US,60,20201021,220000,37.855,37.855,37.855,37.855,200,0
TPAY.US,60,20201022,160000,37.979,37.979,37.979,37.979,100,0
TPAY.US,60,20201022,180000,37.645,37.645,37.645,37.645,200,0
TPAY.US,60,20201023,170000,38.004,38.004,38.004,38.004,200,0
TPAY.US,60,20201023,180000,38.004,38.004,38.004,38.004,266,0
TPAY.US,60,20201023,190000,37.915,37.915,37.915,37.915,130,0
TPAY.US,60,20201023,210000,37.934,38.029,37.934,38.029,556,0
TPAY.US,60,20201026,150000,37.402,37.402,37.385,37.385,200,0
TPAY.US,60,20201026,160000,37.316,37.316,37.316,37.316,501,0
TPAY.US,60,20201026,170000,37.086,37.086,37.036,37.036,200,0
TPAY.US,60,20201026,180000,36.917,36.917,36.917,36.917,301,0
TPAY.US,60,20201026,190000,36.378,36.408,36.368,36.368,1141,0
TPAY.US,60,20201027,160000,36.757,36.757,36.757,36.757,138,0
TPAY.US,60,20201027,170000,36.867,36.867,36.717,36.717,599,0
TPAY.US,60,20201028,150000,35.919,36.069,35.251,35.251,1205,0
TPAY.US,60,20201028,160000,35.734,35.734,35.242,35.242,3007,0
TPAY.US,60,20201028,210000,35.211,35.211,35.211,35.211,601,0
TPAY.US,60,20201029,160000,35.42,35.42,35.42,35.42,251,0
TPAY.US,60,20201029,180000,34.931,34.931,34.931,34.931,100,0
TPAY.US,60,20201029,210000,35.201,35.325,35.201,35.325,242,0
TPAY.US,60,20201030,160000,34.921,34.921,34.762,34.762,401,0
TPAY.US,60,20201030,190000,34.442,34.442,34.398,34.398,315,0
TPAY.US,60,20201102,170000,35.041,35.146,35.041,35.146,487,0
TPAY.US,60,20201102,200000,35.121,35.121,34.577,34.577,960,0
TPAY.US,60,20201102,210000,34.532,34.532,34.532,34.532,173,0
TPAY.US,60,20201102,220000,34.697,34.697,34.697,34.697,100,0
TPAY.US,60,20201103,160000,35.365,35.365,35.365,35.365,200,0
TPAY.US,60,20201103,190000,35.789,35.789,35.789,35.789,125,0
TPAY.US,60,20201103,200000,35.57,35.57,35.57,35.57,193,0
TPAY.US,60,20201104,170000,36.278,36.278,36.278,36.278,301,0
TPAY.US,60,20201105,160000,38.084,38.084,38.084,38.084,200,0
TPAY.US,60,20201105,190000,37.905,37.913,37.84,37.84,1147,0
TPAY.US,60,20201105,220000,38.003,38.003,38.003,38.003,263,0
TPAY.US,60,20201106,180000,38.099,38.099,38.099,38.099,401,0
TPAY.US,60,20201106,210000,38.154,38.154,38.104,38.104,266,0
TPAY.US,60,20201106,220000,38.144,38.144,38.144,38.144,100,0
TPAY.US,60,20201109,160000,40.878,40.878,40.878,40.878,100,0
TPAY.US,60,20201109,170000,39.9,40.045,39.88,40.045,1081,0
TPAY.US,60,20201109,180000,40.329,40.329,40.329,40.329,301,0
TPAY.US,60,20201109,190000,40.329,40.329,40.329,40.329,200,0
TPAY.US,60,20201109,220000,40.13,40.179,40.05,40.05,1041,0
TPAY.US,60,20201110,160000,39.511,39.511,39.511,39.511,200,0
TPAY.US,60,20201110,200000,38.992,39.091,38.992,39.091,216,0
TPAY.US,60,20201110,210000,39.282,39.282,39.282,39.282,437,0
TPAY.US,60,20201111,160000,39.521,39.521,39.521,39.521,100,0
TPAY.US,60,20201111,170000,39.411,39.411,39.411,39.411,332,0
TPAY.US,60,20201111,190000,39.326,39.326,39.326,39.326,301,0
TPAY.US,60,20201111,220000,39.001,39.001,39.001,39.001,200,0
TPAY.US,60,20201112,160000,39.431,39.431,39.431,39.431,765,0
TPAY.US,60,20201112,180000,39.102,39.102,39.102,39.102,501,0
TPAY.US,60,20201112,190000,38.912,38.912,38.912,38.912,301,0
TPAY.US,60,20201112,210000,38.758,38.758,38.724,38.724,269,0
TPAY.US,60,20201112,220000,38.669,38.669,38.669,38.669,648,0
TPAY.US,60,20201113,170000,39.132,39.132,39.132,39.132,256,0
TPAY.US,60,20201113,180000,39.301,39.301,39.301,39.301,126,0
