<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VFVA.US,60,20200914,160000,62.836,62.836,62.836,62.836,165,0
VFVA.US,60,20200914,170000,62.856,63.013,62.856,63.013,401,0
VFVA.US,60,20200914,190000,63.142,63.142,63.142,63.142,177,0
VFVA.US,60,20200914,200000,63.279,63.279,63.279,63.279,203,0
VFVA.US,60,20200914,220000,63.261,63.329,63.261,63.329,2275,0
VFVA.US,60,20200915,170000,63.267,63.267,63.267,63.267,193,0
VFVA.US,60,20200915,180000,63.093,63.093,63.083,63.083,405,0
VFVA.US,60,20200915,190000,63.113,63.113,63.113,63.113,131,0
VFVA.US,60,20200915,200000,63.214,63.279,63.214,63.241,1338,0
VFVA.US,60,20200915,210000,63.201,63.201,63.129,63.201,522,0
VFVA.US,60,20200915,220000,62.816,62.816,62.816,62.816,116,0
VFVA.US,60,20200916,170000,63.279,63.279,63.279,63.279,102,0
VFVA.US,60,20200916,210000,63.871,64.216,63.871,64.216,898,0
VFVA.US,60,20200916,220000,63.762,63.762,63.684,63.694,7984,0
VFVA.US,60,20200917,160000,62.993,62.993,62.993,62.993,305,0
VFVA.US,60,20200917,170000,63.428,63.428,63.428,63.428,303,0
VFVA.US,60,20200917,180000,63.546,63.546,63.447,63.447,881,0
VFVA.US,60,20200917,190000,63.348,63.348,63.348,63.348,102,0
VFVA.US,60,20200917,200000,63.246,63.487,63.246,63.338,1561,0
VFVA.US,60,20200917,210000,63.372,63.428,63.372,63.428,437,0
VFVA.US,60,20200917,220000,63.388,63.555,63.27,63.555,8374,0
VFVA.US,60,20200918,170000,63.383,63.383,63.383,63.383,340,0
VFVA.US,60,20200918,180000,63.664,63.674,63.59,63.674,1117,0
VFVA.US,60,20200918,200000,62.983,62.983,62.983,62.983,785,0
VFVA.US,60,20200918,220000,62.957,62.957,62.936,62.936,1077,0
VFVA.US,60,20200921,170000,60.529,60.529,60.529,60.529,532,0
VFVA.US,60,20200921,180000,60.588,60.588,60.236,60.236,1127,0
VFVA.US,60,20200921,190000,60.231,60.231,60.231,60.231,1010,0
VFVA.US,60,20200921,200000,60.192,60.192,60.192,60.192,108,0
VFVA.US,60,20200921,210000,60.153,60.192,60.004,60.031,858,0
VFVA.US,60,20200921,220000,60.479,60.479,60.353,60.469,1237,0
VFVA.US,60,20200922,200000,60.226,60.499,60.226,60.499,4564,0
VFVA.US,60,20200922,210000,60.543,60.543,60.361,60.371,3568,0
VFVA.US,60,20200923,170000,60.865,60.865,60.727,60.727,1019,0
VFVA.US,60,20200923,180000,60.543,60.543,60.38,60.38,976,0
VFVA.US,60,20200923,200000,60.351,60.351,60.351,60.351,202,0
VFVA.US,60,20200923,210000,59.816,59.821,59.464,59.464,871,0
VFVA.US,60,20200923,220000,59.354,59.354,59.354,59.354,403,0
VFVA.US,60,20200924,160000,59.429,59.429,59.053,59.053,744,0
VFVA.US,60,20200924,170000,58.749,58.749,58.747,58.747,221,0
VFVA.US,60,20200924,180000,59.043,59.043,59.043,59.043,202,0
VFVA.US,60,20200924,190000,59.182,59.182,59.172,59.172,521,0
VFVA.US,60,20200924,200000,59.559,59.846,59.559,59.846,1460,0
VFVA.US,60,20200924,210000,59.716,59.716,59.271,59.271,1112,0
VFVA.US,60,20200924,220000,59.172,59.172,59.132,59.132,7068,0
VFVA.US,60,20200925,160000,59.349,59.349,59.237,59.237,1137,0
VFVA.US,60,20200925,170000,59.335,59.335,59.122,59.271,1900,0
VFVA.US,60,20200925,180000,59.36,59.36,59.318,59.36,1010,0
VFVA.US,60,20200925,200000,59.667,59.667,59.667,59.667,202,0
VFVA.US,60,20200928,160000,60.261,60.965,60.261,60.796,4746,0
VFVA.US,60,20200928,170000,61.154,61.154,61.154,61.154,101,0
VFVA.US,60,20200928,200000,61.448,61.448,61.448,61.448,429,0
VFVA.US,60,20200928,220000,61.48,61.48,61.212,61.212,345,0
VFVA.US,60,20200929,190000,60.353,60.353,60.353,60.353,403,0
VFVA.US,60,20200929,210000,60.995,60.995,60.895,60.895,202,0
VFVA.US,60,20200929,220000,60.856,60.895,60.776,60.776,1585,0
VFVA.US,60,20200930,160000,60.668,60.668,60.668,60.668,842,0
VFVA.US,60,20200930,170000,61.549,61.549,61.549,61.549,202,0
VFVA.US,60,20200930,190000,61.529,61.529,61.529,61.529,303,0
VFVA.US,60,20200930,200000,61.539,61.578,61.519,61.578,24941,0
VFVA.US,60,20200930,210000,61.588,61.588,60.947,60.947,4106,0
VFVA.US,60,20200930,220000,61.014,61.014,61.014,61.014,101,0
VFVA.US,60,20201001,200000,61.35,61.41,61.272,61.272,3133,0
VFVA.US,60,20201001,210000,61.212,61.212,61.202,61.202,13101,0
VFVA.US,60,20201001,220000,61.242,61.281,61.153,61.281,32140,0
VFVA.US,60,20201002,170000,61.326,61.326,61.153,61.153,251,0
VFVA.US,60,20201002,190000,61.737,62.282,61.737,62.282,2019,0
VFVA.US,60,20201002,220000,62.42,62.42,62.42,62.42,101,0
VFVA.US,60,20201005,160000,62.638,62.638,62.638,62.638,101,0
VFVA.US,60,20201005,180000,63.396,63.396,63.396,63.396,101,0
VFVA.US,60,20201005,190000,63.445,63.628,63.445,63.628,316,0
VFVA.US,60,20201005,220000,63.762,63.846,63.738,63.846,1777,0
VFVA.US,60,20201006,200000,64.767,64.767,64.767,64.767,196,0
VFVA.US,60,20201006,210000,64.891,64.891,64.075,64.075,292,0
VFVA.US,60,20201006,220000,63.698,63.698,63.311,63.311,1616,0
VFVA.US,60,20201007,160000,63.598,64.272,63.598,64.242,5802,0
VFVA.US,60,20201007,200000,64.281,64.322,64.281,64.312,505,0
VFVA.US,60,20201007,210000,64.332,64.332,64.322,64.322,435,0
VFVA.US,60,20201007,220000,64.727,64.727,64.708,64.708,505,0
VFVA.US,60,20201008,170000,65.413,65.413,65.397,65.397,378,0
VFVA.US,60,20201008,180000,65.104,65.104,65.104,65.104,101,0
VFVA.US,60,20201008,200000,65.233,65.233,65.233,65.233,177,0
VFVA.US,60,20201008,220000,65.529,65.723,65.529,65.723,202,0
VFVA.US,60,20201009,160000,66.124,66.283,66.124,66.283,202,0
VFVA.US,60,20201009,180000,65.63,65.679,65.614,65.614,8236,0
VFVA.US,60,20201009,200000,65.856,65.856,65.778,65.802,403,0
VFVA.US,60,20201009,210000,65.758,65.758,65.589,65.589,1111,0
VFVA.US,60,20201009,220000,65.491,65.491,65.491,65.491,101,0
VFVA.US,60,20201012,170000,65.798,65.798,65.798,65.798,419,0
VFVA.US,60,20201012,210000,65.871,65.871,65.871,65.871,101,0
VFVA.US,60,20201013,170000,65.124,65.124,65.124,65.124,202,0
VFVA.US,60,20201013,200000,65.322,65.461,65.282,65.342,46625,0
VFVA.US,60,20201013,210000,65.242,65.242,65.242,65.242,101,0
VFVA.US,60,20201013,220000,65.179,65.179,65.179,65.179,303,0
VFVA.US,60,20201014,170000,65.371,65.371,65.371,65.371,101,0
VFVA.US,60,20201014,180000,65.471,65.471,65.252,65.252,202,0
VFVA.US,60,20201014,200000,65.352,65.371,65.223,65.262,701,0
VFVA.US,60,20201014,210000,65.044,65.044,65.005,65.005,202,0
VFVA.US,60,20201014,220000,65.114,65.114,65.114,65.114,202,0
VFVA.US,60,20201015,180000,64.752,65.005,64.752,65.005,202,0
VFVA.US,60,20201015,210000,65.579,65.579,65.579,65.579,107,0
VFVA.US,60,20201015,220000,65.597,65.619,65.597,65.619,374,0
VFVA.US,60,20201016,170000,65.529,65.529,65.529,65.529,101,0
