<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XBI.US,60,20200914,160000,108.04,109.53,107.8,109.19,1063651,0
XBI.US,60,20200914,170000,109.27,110.13,109.21,110.03,819749,0
XBI.US,60,20200914,180000,110.04,111.01,109.79,110.63,580650,0
XBI.US,60,20200914,190000,110.62,111.07,110.54,111.05,461188,0
XBI.US,60,20200914,200000,111.07,111.41,110.6,111.33,513485,0
XBI.US,60,20200914,210000,111.32,111.6,110.39,110.68,1149665,0
XBI.US,60,20200914,220000,110.68,111.52,110.46,111.41,2079989,0
XBI.US,60,20200915,160000,112.52,112.83,111.92,112.44,518631,0
XBI.US,60,20200915,170000,112.42,113.34,112.07,112.77,1052342,0
XBI.US,60,20200915,180000,112.77,113.11,112.35,112.37,287239,0
XBI.US,60,20200915,190000,112.41,113.17,112.4,113.15,273390,0
XBI.US,60,20200915,200000,113.15,113.51,113.15,113.33,269470,0
XBI.US,60,20200915,210000,113.34,113.53,113.1,113.19,427475,0
XBI.US,60,20200915,220000,113.2,113.24,112.03,112.46,1242093,0
XBI.US,60,20200916,160000,113.16,114.38,112.88,114.22,440289,0
XBI.US,60,20200916,170000,114.22,115.1,114.08,114.48,828028,0
XBI.US,60,20200916,180000,114.47,115.02,114.42,114.85,523693,0
XBI.US,60,20200916,190000,114.85,115.71,114.77,115.68,562823,0
XBI.US,60,20200916,200000,115.69,115.97,115.2,115.95,726728,0
XBI.US,60,20200916,210000,115.92,116.41,115.19,115.24,1386092,0
XBI.US,60,20200916,220000,115.24,115.43,114.32,114.93,1275777,0
XBI.US,60,20200917,160000,113.46,114.99,113.06,114.88,487766,0
XBI.US,60,20200917,170000,114.89,115.43,114.62,114.84,564994,0
XBI.US,60,20200917,180000,114.84,115.58,114.42,114.44,291141,0
XBI.US,60,20200917,190000,114.42,114.45,113.48,114.13,249451,0
XBI.US,60,20200917,200000,114.1,114.83,113.86,114.71,233310,0
XBI.US,60,20200917,210000,114.77,115.11,114.44,114.81,239327,0
XBI.US,60,20200917,220000,114.82,115.09,114.41,114.75,691220,0
XBI.US,60,20200918,160000,115.37,115.67,114.22,114.98,331476,0
XBI.US,60,20200918,170000,115.02,115.92,114.91,115.23,593147,0
XBI.US,60,20200918,180000,115.24,115.71,114.95,115.44,405308,0
XBI.US,60,20200918,190000,115.42,115.69,114.19,114.28,573244,0
XBI.US,60,20200918,200000,114.29,114.33,112.93,114.05,611329,0
XBI.US,60,20200918,210000,114.03,115.05,113.86,115.04,538799,0
XBI.US,60,20200918,220000,115.05,116.1,114.94,116.01,1887983,0
XBI.US,60,20200921,160000,114.42,114.43,112.04,114.2,705814,0
XBI.US,60,20200921,170000,114.24,114.29,111.44,111.81,864053,0
XBI.US,60,20200921,180000,111.73,112.2,111.26,111.8,516081,0
XBI.US,60,20200921,190000,111.79,112.06,111.31,111.63,267385,0
XBI.US,60,20200921,200000,111.66,111.94,111.16,111.22,658645,0
XBI.US,60,20200921,210000,111.19,111.61,110.8,111.58,929308,0
XBI.US,60,20200921,220000,111.51,112.05,111.23,111.89,1579159,0
XBI.US,60,20200922,160000,112.07,112.23,110.27,111.08,548809,0
XBI.US,60,20200922,170000,111.09,111.16,109.32,109.32,807700,0
XBI.US,60,20200922,180000,109.32,111.19,109.27,111.07,412871,0
XBI.US,60,20200922,190000,111.05,111.36,110.8,111.17,265189,0
XBI.US,60,20200922,200000,111.17,112.14,110.97,112.08,399499,0
XBI.US,60,20200922,210000,112.08,112.59,111.87,112.27,598683,0
XBI.US,60,20200922,220000,112.29,112.7,112,112.58,1030995,0
XBI.US,60,20200923,160000,112.58,112.91,111.22,112.05,408028,0
XBI.US,60,20200923,170000,112.04,112.45,110.98,112.15,606885,0
XBI.US,60,20200923,180000,112.15,112.84,111.09,111.09,634886,0
XBI.US,60,20200923,190000,111.09,112.27,110.94,112.15,459681,0
XBI.US,60,20200923,200000,112.12,112.12,110.79,110.81,376653,0
XBI.US,60,20200923,210000,110.82,110.82,109.55,109.59,1096422,0
XBI.US,60,20200923,220000,109.59,109.82,108.84,109.1,1650562,0
XBI.US,60,20200924,160000,107.94,108.28,105.76,107,705102,0
XBI.US,60,20200924,170000,107.1,107.97,105.94,107.74,618995,0
XBI.US,60,20200924,180000,107.71,108.66,106.7,108.59,503057,0
XBI.US,60,20200924,190000,108.62,109.17,108.05,108.92,601205,0
XBI.US,60,20200924,200000,108.91,109.33,108.69,108.74,261679,0
XBI.US,60,20200924,210000,108.76,108.83,107.57,107.58,447586,0
XBI.US,60,20200924,220000,107.62,108.06,106.79,107.94,1916485,0
XBI.US,60,20200925,160000,107.91,109.22,107.59,109.2,602586,0
XBI.US,60,20200925,170000,109.22,110.18,108.86,109.62,580540,0
XBI.US,60,20200925,180000,109.64,109.71,109.06,109.13,378401,0
XBI.US,60,20200925,190000,109.15,109.91,109.12,109.56,338787,0
XBI.US,60,20200925,200000,109.58,110.09,109.38,110.05,304465,0
XBI.US,60,20200925,210000,110,110.62,109.78,110.56,288797,0
XBI.US,60,20200925,220000,110.53,110.88,110.42,110.67,1082573,0
XBI.US,60,20200928,160000,111.61,111.71,109.74,110.19,563281,0
XBI.US,60,20200928,170000,110.24,111.37,109.93,110.91,373601,0
XBI.US,60,20200928,180000,110.91,111.07,109.78,110,324754,0
XBI.US,60,20200928,190000,110,110.53,109.83,110.22,207420,0
XBI.US,60,20200928,200000,110.19,110.53,109.9,110.44,156196,0
XBI.US,60,20200928,210000,110.44,110.73,110.27,110.46,230745,0
XBI.US,60,20200928,220000,110.45,110.94,110.29,110.8,610337,0
XBI.US,60,20200929,160000,110.63,111.77,109.97,111.71,299803,0
XBI.US,60,20200929,170000,111.72,112.2,110.43,110.74,358783,0
XBI.US,60,20200929,180000,110.7,112.03,110.6,111.36,361448,0
XBI.US,60,20200929,190000,111.34,112.06,111.14,111.56,125231,0
XBI.US,60,20200929,200000,111.55,111.69,111.11,111.49,176151,0
XBI.US,60,20200929,210000,111.53,112.06,111.27,111.71,128955,0
XBI.US,60,20200929,220000,111.76,111.83,111.5,111.55,667042,0
XBI.US,60,20200930,160000,111.58,112.55,111.47,112.16,227929,0
XBI.US,60,20200930,170000,112.19,112.35,111.52,111.83,326841,0
XBI.US,60,20200930,180000,111.84,112.88,111.65,112.87,262135,0
XBI.US,60,20200930,190000,112.87,113.09,112.56,112.63,129248,0
XBI.US,60,20200930,200000,112.65,112.68,112.09,112.17,210014,0
XBI.US,60,20200930,210000,112.18,112.44,110.45,111.1,555128,0
XBI.US,60,20200930,220000,111.08,111.45,110.33,111.29,806195,0
XBI.US,60,20201001,160000,111.82,112.56,111.46,112.05,340617,0
XBI.US,60,20201001,170000,111.96,112.67,111.61,112.34,300107,0
XBI.US,60,20201001,180000,112.51,112.52,110.99,111.19,615486,0
XBI.US,60,20201001,190000,111.2,111.7,110.96,111.52,253877,0
XBI.US,60,20201001,200000,111.53,112.4,111.52,112.15,288609,0
XBI.US,60,20201001,210000,112.12,112.53,111.59,112.4,348771,0
XBI.US,60,20201001,220000,112.42,112.8,112.14,112.76,654133,0
XBI.US,60,20201002,160000,110.94,112.54,110.56,112.37,164594,0
XBI.US,60,20201002,170000,112.37,112.92,110.91,111.56,654145,0
XBI.US,60,20201002,180000,111.55,111.63,110.18,110.21,517819,0
XBI.US,60,20201002,190000,110.18,111.29,109.69,110.98,355302,0
XBI.US,60,20201002,200000,110.92,111.33,110.38,110.61,215677,0
XBI.US,60,20201002,210000,110.62,111.02,110.48,110.95,352963,0
XBI.US,60,20201002,220000,110.95,110.97,110.1,110.23,777020,0
XBI.US,60,20201005,160000,111.77,113.37,111.77,112.87,834644,0
XBI.US,60,20201005,170000,112.88,114.37,112.81,113.9,700316,0
XBI.US,60,20201005,180000,113.88,115.01,113.7,114.81,514650,0
XBI.US,60,20201005,190000,114.81,115.08,114.65,114.96,180198,0
XBI.US,60,20201005,200000,114.96,115.64,114.94,115.14,366722,0
XBI.US,60,20201005,210000,115.15,115.44,114.42,115.43,250018,0
XBI.US,60,20201005,220000,115.42,115.88,115.21,115.67,850807,0
XBI.US,60,20201006,160000,115.88,116.27,115.3,115.61,246850,0
XBI.US,60,20201006,170000,115.7,116.38,115.49,115.8,227473,0
XBI.US,60,20201006,180000,115.74,116.23,115.56,115.83,157669,0
XBI.US,60,20201006,190000,115.89,116.48,115.62,116.37,76593,0
XBI.US,60,20201006,200000,116.31,116.63,116.21,116.42,150248,0
XBI.US,60,20201006,210000,116.41,117.18,114.93,115.36,429884,0
XBI.US,60,20201006,220000,115.24,115.75,114.3,114.75,1451103,0
XBI.US,60,20201007,160000,115.91,116.57,115.63,115.89,369745,0
XBI.US,60,20201007,170000,115.92,117.18,115.8,117.13,340317,0
XBI.US,60,20201007,180000,117.17,118.14,117.17,118.07,402416,0
XBI.US,60,20201007,190000,118.04,118.26,117.5,117.99,286060,0
XBI.US,60,20201007,200000,117.98,118.21,117.73,117.79,352357,0
XBI.US,60,20201007,210000,117.81,118.45,117.81,118.42,238071,0
XBI.US,60,20201007,220000,118.4,118.96,118.39,118.43,1153168,0
XBI.US,60,20201008,160000,119.8,119.8,118.71,119.35,521757,0
XBI.US,60,20201008,170000,119.35,119.63,118.75,119.26,360661,0
XBI.US,60,20201008,180000,119.27,119.52,118.47,118.69,307621,0
XBI.US,60,20201008,190000,118.67,118.93,118.21,118.21,158975,0
XBI.US,60,20201008,200000,118.25,118.39,118.03,118.17,250286,0
XBI.US,60,20201008,210000,118.18,118.83,118.03,118.81,265926,0
XBI.US,60,20201008,220000,118.78,119,118.61,119,454076,0
XBI.US,60,20201009,160000,119.45,119.64,118.91,119.25,227114,0
XBI.US,60,20201009,170000,119.13,119.72,118.72,119.32,501871,0
XBI.US,60,20201009,180000,119.34,119.85,119.2,119.52,257373,0
XBI.US,60,20201009,190000,119.5,120.13,119.31,120.05,246511,0
XBI.US,60,20201009,200000,120.06,120.07,119.66,119.72,213531,0
XBI.US,60,20201009,210000,119.7,120.31,119.63,120.18,200437,0
XBI.US,60,20201009,220000,120.13,120.36,120.04,120.1,502331,0
XBI.US,60,20201012,160000,121.16,121.26,119.65,120.24,346226,0
XBI.US,60,20201012,170000,120.22,120.82,120.04,120.7,363149,0
XBI.US,60,20201012,180000,120.72,121.09,120.28,120.34,190638,0
XBI.US,60,20201012,190000,120.33,120.73,120.25,120.39,108132,0
XBI.US,60,20201012,200000,120.39,120.4,119.99,120.26,80048,0
XBI.US,60,20201012,210000,120.27,120.67,119.95,120.57,130305,0
XBI.US,60,20201012,220000,120.58,120.75,120.31,120.4,460453,0
XBI.US,60,20201013,160000,119.64,121.41,119.64,121.37,348225,0
