<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAIC.US,60,20200914,160000,2.68,2.695,2.665,2.6702,56088,0
AAIC.US,60,20200914,170000,2.67,2.69,2.67,2.68,14187,0
AAIC.US,60,20200914,180000,2.68,2.71,2.68,2.7,65982,0
AAIC.US,60,20200914,190000,2.7,2.745,2.7,2.74,27797,0
AAIC.US,60,20200914,200000,2.745,2.745,2.7,2.7033,10914,0
AAIC.US,60,20200914,210000,2.7,2.71,2.7,2.7,20189,0
AAIC.US,60,20200914,220000,2.7,2.72,2.69,2.71,57691,0
AAIC.US,60,20200915,160000,2.71,2.7301,2.7,2.71,47388,0
AAIC.US,60,20200915,170000,2.71,2.73,2.705,2.72,20506,0
AAIC.US,60,20200915,180000,2.72,2.73,2.72,2.72,8863,0
AAIC.US,60,20200915,190000,2.72,2.72,2.71,2.71,11262,0
AAIC.US,60,20200915,200000,2.72,2.7299,2.72,2.72,5782,0
AAIC.US,60,20200915,210000,2.72,2.73,2.71,2.71,16475,0
AAIC.US,60,20200915,220000,2.71,2.715,2.7,2.7,47099,0
AAIC.US,60,20200916,160000,2.72,2.75,2.7,2.7408,49448,0
AAIC.US,60,20200916,170000,2.75,2.78,2.7401,2.78,49768,0
AAIC.US,60,20200916,180000,2.78,2.82,2.771,2.771,52856,0
AAIC.US,60,20200916,190000,2.77,2.79,2.76,2.79,6439,0
AAIC.US,60,20200916,200000,2.78,2.79,2.77,2.7801,11505,0
AAIC.US,60,20200916,210000,2.785,2.8,2.78,2.79,19809,0
AAIC.US,60,20200916,220000,2.8,2.8,2.76,2.77,52054,0
AAIC.US,60,20200917,160000,2.76,2.76,2.7357,2.75,29829,0
AAIC.US,60,20200917,170000,2.7485,2.77,2.7485,2.77,13710,0
AAIC.US,60,20200917,180000,2.78,2.79,2.77,2.77,16330,0
AAIC.US,60,20200917,190000,2.775,2.78,2.76,2.76,20647,0
AAIC.US,60,20200917,200000,2.765,2.77,2.7597,2.765,15657,0
AAIC.US,60,20200917,210000,2.77,2.78,2.77,2.77,13182,0
AAIC.US,60,20200917,220000,2.7701,2.775,2.75,2.76,38831,0
AAIC.US,60,20200918,160000,2.76,2.76,2.7,2.745,60585,0
AAIC.US,60,20200918,170000,2.745,2.79,2.745,2.78,35607,0
AAIC.US,60,20200918,180000,2.77,2.78,2.77,2.775,6145,0
AAIC.US,60,20200918,190000,2.78,2.78,2.76,2.78,61438,0
AAIC.US,60,20200918,200000,2.78,2.78,2.765,2.78,15203,0
AAIC.US,60,20200918,210000,2.78,2.78,2.77,2.775,12240,0
AAIC.US,60,20200918,220000,2.775,2.78,2.7,2.73,123079,0
AAIC.US,60,20200921,160000,2.68,2.71,2.67,2.71,24327,0
AAIC.US,60,20200921,170000,2.71,2.7173,2.6773,2.68,44401,0
AAIC.US,60,20200921,180000,2.69,2.69,2.645,2.6684,52263,0
AAIC.US,60,20200921,190000,2.669,2.7,2.669,2.675,40940,0
AAIC.US,60,20200921,200000,2.68,2.69,2.66,2.68,16853,0
AAIC.US,60,20200921,210000,2.675,2.68,2.66,2.665,25423,0
AAIC.US,60,20200921,220000,2.665,2.68,2.66,2.67,39182,0
AAIC.US,60,20200922,160000,2.66,2.7,2.66,2.69,40817,0
AAIC.US,60,20200922,170000,2.68,2.69,2.658,2.67,59596,0
AAIC.US,60,20200922,180000,2.66,2.665,2.64,2.64,18487,0
AAIC.US,60,20200922,190000,2.64,2.645,2.63,2.635,3645,0
AAIC.US,60,20200922,200000,2.63,2.65,2.63,2.64,22455,0
AAIC.US,60,20200922,210000,2.645,2.6489,2.63,2.64,13304,0
AAIC.US,60,20200922,220000,2.648,2.66,2.63,2.66,61066,0
AAIC.US,60,20200923,160000,2.67,2.7,2.67,2.6774,18428,0
AAIC.US,60,20200923,170000,2.67,2.675,2.65,2.675,19124,0
AAIC.US,60,20200923,180000,2.67,2.67,2.6516,2.655,21370,0
AAIC.US,60,20200923,190000,2.657,2.657,2.64,2.6438,10829,0
AAIC.US,60,20200923,200000,2.645,2.645,2.61,2.61,22102,0
AAIC.US,60,20200923,210000,2.61,2.61,2.54,2.54,55545,0
AAIC.US,60,20200923,220000,2.54,2.548,2.46,2.47,146391,0
AAIC.US,60,20200924,160000,2.5,2.55,2.49,2.5447,95735,0
AAIC.US,60,20200924,170000,2.55,2.63,2.55,2.61,52880,0
AAIC.US,60,20200924,180000,2.601,2.6215,2.584,2.6215,27761,0
AAIC.US,60,20200924,190000,2.628,2.6784,2.625,2.655,72758,0
AAIC.US,60,20200924,200000,2.66,2.675,2.64,2.65,57874,0
AAIC.US,60,20200924,210000,2.65,2.65,2.605,2.62,75317,0
AAIC.US,60,20200924,220000,2.63,2.6527,2.62,2.64,41477,0
AAIC.US,60,20200925,160000,2.6,2.67,2.6,2.66,15188,0
AAIC.US,60,20200925,170000,2.665,2.72,2.665,2.705,16482,0
AAIC.US,60,20200925,180000,2.71,2.72,2.7,2.71,13282,0
AAIC.US,60,20200925,190000,2.72,2.73,2.71,2.73,11576,0
AAIC.US,60,20200925,200000,2.72,2.73,2.71,2.72,18877,0
AAIC.US,60,20200925,210000,2.73,2.73,2.71,2.72,39409,0
AAIC.US,60,20200925,220000,2.72,2.725,2.71,2.71,52008,0
AAIC.US,60,20200928,160000,2.76,2.85,2.76,2.83,60171,0
AAIC.US,60,20200928,170000,2.8246,2.875,2.82,2.87,79274,0
AAIC.US,60,20200928,180000,2.875,2.89,2.85,2.86,54124,0
AAIC.US,60,20200928,190000,2.855,2.8575,2.835,2.85,35267,0
AAIC.US,60,20200928,200000,2.86,2.86,2.85,2.8502,7508,0
AAIC.US,60,20200928,210000,2.855,2.86,2.85,2.85,34509,0
AAIC.US,60,20200928,220000,2.855,2.855,2.82,2.83,68091,0
AAIC.US,60,20200929,160000,2.84,2.848,2.82,2.8397,28875,0
AAIC.US,60,20200929,170000,2.84,2.86,2.82,2.82,56901,0
AAIC.US,60,20200929,180000,2.815,2.82,2.8,2.8,43323,0
AAIC.US,60,20200929,190000,2.8,2.8,2.79,2.79,14920,0
AAIC.US,60,20200929,200000,2.79,2.8,2.7745,2.795,11920,0
AAIC.US,60,20200929,210000,2.795,2.805,2.79,2.8,15907,0
AAIC.US,60,20200929,220000,2.8,2.85,2.8,2.85,43170,0
AAIC.US,60,20200930,160000,2.84,2.9,2.835,2.835,13941,0
AAIC.US,60,20200930,170000,2.84,2.85,2.825,2.835,34178,0
