<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGS.US,60,20200914,160000,3.8,3.93,3.75,3.8724,20382,0
AGS.US,60,20200914,170000,3.88,3.92,3.8022,3.84,38838,0
AGS.US,60,20200914,180000,3.84,3.93,3.84,3.9,23776,0
AGS.US,60,20200914,190000,3.88,3.92,3.85,3.92,11449,0
AGS.US,60,20200914,200000,3.92,3.95,3.91,3.94,12631,0
AGS.US,60,20200914,210000,3.945,3.99,3.93,3.9733,21091,0
AGS.US,60,20200914,220000,3.975,3.98,3.915,3.94,54867,0
AGS.US,60,20200915,160000,4,4.03,3.91,3.93,21498,0
AGS.US,60,20200915,170000,3.93,4.15,3.93,4.12,38131,0
AGS.US,60,20200915,180000,4.14,4.23,4.14,4.19,52310,0
AGS.US,60,20200915,190000,4.18,4.24,4.17,4.18,26425,0
AGS.US,60,20200915,200000,4.19,4.21,4.07,4.08,53605,0
AGS.US,60,20200915,210000,4.07,4.1299,4.05,4.11,41979,0
AGS.US,60,20200915,220000,4.14,4.34,4.13,4.33,211010,0
AGS.US,60,20200916,160000,4.34,4.34,4.22,4.22,10863,0
AGS.US,60,20200916,170000,4.2284,4.34,4.18,4.2784,34502,0
AGS.US,60,20200916,180000,4.3,4.41,4.3,4.38,25173,0
AGS.US,60,20200916,190000,4.38,4.4,4.34,4.39,5533,0
AGS.US,60,20200916,200000,4.3978,4.4754,4.37,4.39,28828,0
AGS.US,60,20200916,210000,4.4,4.46,4.4,4.4144,12486,0
AGS.US,60,20200916,220000,4.4056,4.41,4.31,4.36,46459,0
AGS.US,60,20200917,160000,4.24,4.32,4.15,4.32,17461,0
AGS.US,60,20200917,170000,4.2768,4.47,4.2768,4.47,23164,0
AGS.US,60,20200917,180000,4.48,4.49,4.38,4.39,34898,0
AGS.US,60,20200917,190000,4.38,4.38,4.3,4.33,15396,0
AGS.US,60,20200917,200000,4.33,4.34,4.26,4.33,14113,0
AGS.US,60,20200917,210000,4.32,4.32,4.26,4.27,13751,0
AGS.US,60,20200917,220000,4.25,4.25,4.17,4.22,24363,0
AGS.US,60,20200918,160000,4.255,4.37,4.19,4.27,12562,0
