<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AQNU.US,60,20210630,160000,50.25,50.25,49.76,49.7602,7600,0
AQNU.US,60,20210630,170000,49.7599,49.76,49.52,49.58,3200,0
AQNU.US,60,20210630,180000,49.6,49.67,49.33,49.33,3348,0
AQNU.US,60,20210630,190000,49.5,50.01,49.5,50,9670,0
AQNU.US,60,20210630,200000,49.56,49.565,49.35,49.41,5000,0
AQNU.US,60,20210630,210000,49.43,49.43,49.337,49.4,5470,0
AQNU.US,60,20210630,220000,49.485,49.8,49.485,49.6579,41769,0
AQNU.US,60,20210701,160000,49.84,49.995,49.785,49.88,1700,0
AQNU.US,60,20210701,170000,50.005,50.125,49.978,50,4535,0
AQNU.US,60,20210701,180000,49.99,50.14,49.9889,50.13,8330,0
AQNU.US,60,20210701,190000,50.13,50.25,50.1278,50.2299,2700,0
AQNU.US,60,20210701,200000,50.23,50.25,50.23,50.25,1800,0
AQNU.US,60,20210701,210000,50.25,50.35,50.069,50.069,4084,0
AQNU.US,60,20210701,220000,50.2,50.22,50.04,50.09,11319,0
AQNU.US,60,20210702,160000,50.22,50.22,49.91,49.99,3934,0
AQNU.US,60,20210702,170000,49.95,50.155,49.862,49.94,13571,0
AQNU.US,60,20210702,180000,49.96,50.36,49.904,50.36,9159,0
AQNU.US,60,20210702,190000,50.32,50.32,50.115,50.2899,3100,0
AQNU.US,60,20210702,200000,50.29,50.34,50.29,50.3299,5500,0
AQNU.US,60,20210702,210000,50.26,50.35,50.25,50.35,2747,0
AQNU.US,60,20210702,220000,50.4,50.43,50.335,50.4299,3990,0
AQNU.US,60,20210706,160000,50.36,50.36,50.17,50.2,1820,0
AQNU.US,60,20210706,170000,50.39,50.4,50.03,50.12,6620,0
AQNU.US,60,20210706,180000,50.1,50.188,50,50.188,1975,0
AQNU.US,60,20210706,190000,50.17,50.5,50.1613,50.165,6434,0
AQNU.US,60,20210706,200000,50.2,50.25,50.17,50.25,3300,0
AQNU.US,60,20210706,210000,50.25,50.28,50.2499,50.2792,3475,0
AQNU.US,60,20210706,220000,50.25,50.45,50.25,50.44,2720,0
AQNU.US,60,20210707,160000,50.42,50.42,50.22,50.22,1700,0
AQNU.US,60,20210707,170000,50.42,50.45,50.4173,50.45,600,0
AQNU.US,60,20210707,180000,50.35,50.37,50.27,50.335,3035,0
AQNU.US,60,20210707,190000,50.4,50.4,50.2302,50.3534,3000,0
AQNU.US,60,20210707,200000,50.49,50.5,50.49,50.5,1140,0
AQNU.US,60,20210707,210000,50.5,50.5,50.4,50.4,2494,0
AQNU.US,60,20210707,220000,50.4,50.4,50.265,50.39,5000,0
AQNU.US,60,20210708,160000,50.1,50.2,49.9,49.95,2460,0
AQNU.US,60,20210708,170000,50.01,50.21,49.9,49.9,5561,0
AQNU.US,60,20210708,180000,49.958,50.01,49.958,50,3840,0
AQNU.US,60,20210708,190000,50.0499,50.11,49.9899,49.9899,4280,0
AQNU.US,60,20210708,200000,49.93,50,49.75,49.88,4347,0
AQNU.US,60,20210708,210000,49.93,49.93,49.81,49.81,900,0
AQNU.US,60,20210708,220000,49.82,50.3256,49.75,49.88,5070,0
AQNU.US,60,20210709,160000,49.88,50.12,49.73,50.0976,2752,0
AQNU.US,60,20210709,170000,50.01,50.05,49.9,50.0262,4475,0
AQNU.US,60,20210709,180000,50.05,50.06,50.05,50.05,1580,0
AQNU.US,60,20210709,190000,50.1392,50.15,50.1392,50.15,1779,0
AQNU.US,60,20210709,200000,50.19,50.19,50.165,50.1899,1900,0
AQNU.US,60,20210709,210000,50.14,50.17,50.071,50.149,7060,0
AQNU.US,60,20210709,220000,50.12,50.27,50.12,50.27,3960,0
