<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARNC.US,60,20200914,160000,20.22,20.6439,19.68,20.56,85969,0
ARNC.US,60,20200914,170000,20.525,20.62,19.67,19.785,69985,0
ARNC.US,60,20200914,180000,19.79,20.22,19.6,20.14,76233,0
ARNC.US,60,20200914,190000,20.105,20.27,20.07,20.2,39950,0
ARNC.US,60,20200914,200000,20.2,20.4796,20.18,20.37,59067,0
ARNC.US,60,20200914,210000,20.38,20.41,20.1,20.24,103078,0
ARNC.US,60,20200914,220000,20.255,20.42,20.15,20.34,162544,0
ARNC.US,60,20200915,160000,20.49,20.74,20.14,20.14,32971,0
ARNC.US,60,20200915,170000,20.1,20.39,20.04,20.38,36826,0
ARNC.US,60,20200915,180000,20.36,20.545,20.2245,20.355,45958,0
ARNC.US,60,20200915,190000,20.36,20.58,20.34,20.5,30092,0
ARNC.US,60,20200915,200000,20.53,20.63,20.435,20.625,22577,0
ARNC.US,60,20200915,210000,20.61,20.66,20.57,20.61,44693,0
ARNC.US,60,20200915,220000,20.61,20.67,20.43,20.51,124579,0
ARNC.US,60,20200916,160000,20.54,20.665,20.29,20.665,32922,0
ARNC.US,60,20200916,170000,20.6866,21.46,20.65,21.36,119556,0
ARNC.US,60,20200916,180000,21.38,21.6,21.3,21.49,86280,0
ARNC.US,60,20200916,190000,21.485,21.65,21.46,21.64,51134,0
ARNC.US,60,20200916,200000,21.64,21.8,21.37,21.37,130901,0
ARNC.US,60,20200916,210000,21.32,21.7,21.3,21.64,108512,0
ARNC.US,60,20200916,220000,21.63,21.68,21.27,21.29,214840,0
ARNC.US,60,20200917,160000,20.85,20.97,20.45,20.49,28120,0
ARNC.US,60,20200917,170000,20.49,20.68,20.42,20.51,31710,0
ARNC.US,60,20200917,180000,20.48,20.93,20.48,20.84,42229,0
ARNC.US,60,20200917,190000,20.8319,21,20.77,20.96,34915,0
ARNC.US,60,20200917,200000,20.96,21.18,20.94,21.15,22022,0
ARNC.US,60,20200917,210000,21.16,21.28,21.11,21.255,41155,0
ARNC.US,60,20200917,220000,21.255,21.3,21.072,21.18,201367,0
ARNC.US,60,20200918,160000,21.7172,21.96,21.28,21.8,41882,0
ARNC.US,60,20200918,170000,21.81,22.35,21.63,22.13,155980,0
ARNC.US,60,20200918,180000,22.13,22.22,21.54,21.54,82426,0
ARNC.US,60,20200918,190000,21.54,21.54,21.08,21.2,52991,0
ARNC.US,60,20200918,200000,21.21,21.5,20.92,20.99,49168,0
ARNC.US,60,20200918,210000,21.03,21.12,20.7,20.95,113559,0
ARNC.US,60,20200918,220000,20.97,21.26,20.89,21.06,235541,0
ARNC.US,60,20200921,160000,20.28,20.3785,19.565,19.63,38122,0
ARNC.US,60,20200921,170000,19.53,19.58,19.14,19.28,109920,0
ARNC.US,60,20200921,180000,19.27,19.47,19.11,19.31,94809,0
ARNC.US,60,20200921,190000,19.31,19.45,19.17,19.225,82553,0
ARNC.US,60,20200921,200000,19.24,19.32,19.23,19.245,53552,0
ARNC.US,60,20200921,210000,19.24,19.42,19.21,19.325,71415,0
ARNC.US,60,20200921,220000,19.32,19.4215,19.14,19.17,261063,0
ARNC.US,60,20200922,160000,19.29,19.56,18.8425,18.94,46749,0
ARNC.US,60,20200922,170000,18.94,19.25,18.725,18.725,56854,0
ARNC.US,60,20200922,180000,18.77,18.785,18.61,18.705,39080,0
ARNC.US,60,20200922,190000,18.705,18.765,18.61,18.62,33475,0
ARNC.US,60,20200922,200000,18.61,18.72,18.54,18.57,34622,0
ARNC.US,60,20200922,210000,18.57,18.6,18.44,18.515,79336,0
ARNC.US,60,20200922,220000,18.5,18.7,18.49,18.63,177311,0
ARNC.US,60,20200923,160000,18.95,20.31,18.74,20.1,128398,0
ARNC.US,60,20200923,170000,20.03,20.05,19.5321,19.68,86009,0
ARNC.US,60,20200923,180000,19.7,19.73,19.32,19.48,70284,0
ARNC.US,60,20200923,190000,19.46,19.58,19.35,19.49,44682,0
ARNC.US,60,20200923,200000,19.495,19.5,19.32,19.4799,35547,0
ARNC.US,60,20200923,210000,19.435,19.44,19.02,19.11,54033,0
ARNC.US,60,20200923,220000,19.12,19.17,18.88,18.89,265733,0
ARNC.US,60,20200924,160000,18.87,18.885,18.31,18.79,24593,0
ARNC.US,60,20200924,170000,18.8,19.0899,18.57,18.76,77478,0
ARNC.US,60,20200924,180000,18.76,19.02,18.55,19,46629,0
ARNC.US,60,20200924,190000,19.01,19.12,18.73,18.86,31723,0
ARNC.US,60,20200924,200000,18.87,19.19,18.84,19.07,72128,0
ARNC.US,60,20200924,210000,19.07,19.15,18.64,18.68,44828,0
ARNC.US,60,20200924,220000,18.7,18.805,18.44,18.78,629658,0
ARNC.US,60,20200925,160000,18.49,18.79,18.45,18.59,19671,0
ARNC.US,60,20200925,170000,18.62,18.81,18.52,18.725,25964,0
ARNC.US,60,20200925,180000,18.74,18.785,18.23,18.24,39698,0
ARNC.US,60,20200925,190000,18.2375,18.44,18.22,18.37,45951,0
ARNC.US,60,20200925,200000,18.36,18.425,18.24,18.31,36779,0
ARNC.US,60,20200925,210000,18.31,18.41,18.24,18.3294,54138,0
ARNC.US,60,20200925,220000,18.32,18.51,18.28,18.3,253108,0
ARNC.US,60,20200928,160000,18.77,19.19,18.5894,19.18,62932,0
