<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASAQ-WS.US,60,20201019,160000,0.59,0.59,0.57,0.57,23000,0
ASAQ-WS.US,60,20201019,170000,0.55,0.55,0.52,0.5253,51800,0
ASAQ-WS.US,60,20201019,190000,0.55,0.55,0.55,0.55,1700,0
ASAQ-WS.US,60,20201019,220000,0.5,0.5,0.5,0.5,1500,0
ASAQ-WS.US,60,20201020,200000,0.478,0.478,0.478,0.478,2300,0
ASAQ-WS.US,60,20201020,220000,0.4326,0.5157,0.4326,0.5157,5800,0
ASAQ-WS.US,60,20201021,160000,0.59,0.59,0.57,0.57,3423,0
ASAQ-WS.US,60,20201021,180000,0.57,0.57,0.57,0.57,1600,0
ASAQ-WS.US,60,20201022,160000,0.6,0.6,0.6,0.6,5500,0
ASAQ-WS.US,60,20201022,170000,0.6,0.6,0.6,0.6,100,0
ASAQ-WS.US,60,20201022,200000,0.6,0.6,0.6,0.6,100,0
ASAQ-WS.US,60,20201022,220000,0.6,0.6,0.6,0.6,600,0
ASAQ-WS.US,60,20201023,160000,0.6,0.6,0.57,0.57,200,0
ASAQ-WS.US,60,20201023,170000,0.58,0.58,0.58,0.58,1840,0
ASAQ-WS.US,60,20201023,210000,0.6,0.6,0.6,0.6,10859,0
ASAQ-WS.US,60,20201026,150000,0.6,0.6,0.6,0.6,7500,0
ASAQ-WS.US,60,20201026,160000,0.6,0.6,0.6,0.6,1000,0
ASAQ-WS.US,60,20201026,170000,0.6,0.6,0.6,0.6,600,0
ASAQ-WS.US,60,20201026,180000,0.6,0.6,0.57,0.6,1118,0
ASAQ-WS.US,60,20201026,190000,0.6,0.6,0.6,0.6,500,0
ASAQ-WS.US,60,20201026,200000,0.6,0.6,0.6,0.6,500,0
ASAQ-WS.US,60,20201027,210000,0.6,0.6,0.59,0.59,5183,0
ASAQ-WS.US,60,20201028,150000,0.6,0.6,0.57,0.57,10300,0
ASAQ-WS.US,60,20201028,160000,0.57,0.5804,0.57,0.5804,200,0
ASAQ-WS.US,60,20201028,210000,0.6,0.6,0.599899,0.599899,4900,0
ASAQ-WS.US,60,20201029,150000,0.551,0.581,0.551,0.581,3100,0
ASAQ-WS.US,60,20201029,190000,0.599899,0.599899,0.599899,0.599899,500,0
ASAQ-WS.US,60,20201029,200000,0.599899,0.6,0.599851,0.599851,1700,0
ASAQ-WS.US,60,20201029,210000,0.6,0.6,0.6,0.6,441,0
ASAQ-WS.US,60,20201030,170000,0.56,0.59,0.5599,0.59,5000,0
ASAQ-WS.US,60,20201030,210000,0.6,0.6,0.6,0.6,1043,0
ASAQ-WS.US,60,20201102,160000,0.511,0.6,0.511,0.6,2346,0
ASAQ-WS.US,60,20201103,170000,0.6,0.6,0.6,0.6,3200,0
ASAQ-WS.US,60,20201103,180000,0.6,0.6,0.5999,0.6,1500,0
ASAQ-WS.US,60,20201103,190000,0.6,0.6,0.6,0.6,700,0
ASAQ-WS.US,60,20201103,200000,0.6,0.6,0.6,0.6,700,0
ASAQ-WS.US,60,20201103,210000,0.6,0.6,0.6,0.6,600,0
ASAQ-WS.US,60,20201106,160000,0.558,0.61,0.52,0.61,2700,0
ASAQ-WS.US,60,20201106,210000,0.62,0.6322,0.58,0.61,6000,0
ASAQ-WS.US,60,20201109,160000,0.56,0.64,0.56,0.56,400,0
ASAQ-WS.US,60,20201109,170000,0.6016,0.61,0.57,0.61,800,0
ASAQ-WS.US,60,20201109,220000,0.63,0.65,0.58,0.58,2125,0
ASAQ-WS.US,60,20201110,160000,0.6,0.6,0.56,0.56,450,0
ASAQ-WS.US,60,20201110,170000,0.56,0.69,0.56,0.6,6925,0
ASAQ-WS.US,60,20201110,180000,0.56,0.56,0.56,0.56,3000,0
ASAQ-WS.US,60,20201110,220000,0.6,0.6,0.6,0.6,300,0
ASAQ-WS.US,60,20201111,160000,0.56,0.59,0.55,0.59,1300,0
ASAQ-WS.US,60,20201111,170000,0.52,0.5202,0.52,0.5202,8250,0
ASAQ-WS.US,60,20201111,180000,0.56,0.59,0.56,0.59,1200,0
ASAQ-WS.US,60,20201111,220000,0.59,0.59,0.59,0.59,893,0
ASAQ-WS.US,60,20201112,160000,0.59,0.59,0.59,0.59,100,0
ASAQ-WS.US,60,20201112,170000,0.62,0.62,0.62,0.62,100,0
ASAQ-WS.US,60,20201112,180000,0.620001,0.620001,0.59,0.59,300,0
ASAQ-WS.US,60,20201112,190000,0.57,0.57,0.57,0.57,200,0
ASAQ-WS.US,60,20201112,200000,0.57,0.57,0.57,0.57,1200,0
ASAQ-WS.US,60,20201112,210000,0.6,0.6,0.57,0.57,300,0
ASAQ-WS.US,60,20201112,220000,0.6,0.62,0.54,0.6,1100,0
ASAQ-WS.US,60,20201113,160000,0.51,0.63,0.51,0.5773,1800,0
ASAQ-WS.US,60,20201113,170000,0.57,0.57,0.57,0.57,200,0
ASAQ-WS.US,60,20201113,190000,0.5401,0.5701,0.5102,0.5402,13750,0
ASAQ-WS.US,60,20201113,200000,0.5501,0.6101,0.55,0.6101,11800,0
ASAQ-WS.US,60,20201113,210000,0.61,0.61,0.6,0.6,349,0
ASAQ-WS.US,60,20201116,200000,0.65,0.65,0.65,0.65,1846,0
ASAQ-WS.US,60,20201117,170000,0.62,0.63,0.62,0.63,1200,0
ASAQ-WS.US,60,20201117,190000,0.6,0.6,0.55,0.55,1475,0
ASAQ-WS.US,60,20201117,210000,0.55,0.55,0.53,0.53,700,0
ASAQ-WS.US,60,20201117,220000,0.55,0.55,0.55,0.55,182,0
ASAQ-WS.US,60,20201118,180000,0.5599,0.56,0.5301,0.5301,2310,0
ASAQ-WS.US,60,20201118,190000,0.559899,0.56,0.553251,0.553251,2400,0
ASAQ-WS.US,60,20201118,200000,0.57,0.57,0.57,0.57,200,0
ASAQ-WS.US,60,20201118,210000,0.57,0.57,0.56,0.56,250,0
ASAQ-WS.US,60,20201118,220000,0.56,0.59,0.56,0.59,1600,0
ASAQ-WS.US,60,20201119,180000,0.57,0.57,0.56,0.56,750,0
ASAQ-WS.US,60,20201119,190000,0.5699,0.57,0.5647,0.5647,3600,0
ASAQ-WS.US,60,20201119,210000,0.55,0.55,0.55,0.55,5200,0
ASAQ-WS.US,60,20201119,220000,0.58,0.58,0.58,0.58,2200,0
ASAQ-WS.US,60,20201120,170000,0.580136,0.59,0.580136,0.59,2000,0
ASAQ-WS.US,60,20201120,180000,0.6,0.6,0.6,0.6,15000,0
ASAQ-WS.US,60,20201120,200000,0.62,0.62,0.6,0.6,14000,0
ASAQ-WS.US,60,20201120,210000,0.6,0.63,0.6,0.63,13100,0
ASAQ-WS.US,60,20201120,220000,0.63,0.63,0.6,0.62,54500,0
ASAQ-WS.US,60,20201123,170000,0.65,0.65,0.65,0.65,100,0
ASAQ-WS.US,60,20201123,180000,0.61,0.61,0.6,0.6,8300,0
ASAQ-WS.US,60,20201123,200000,0.6298,0.6298,0.6298,0.6298,500,0
ASAQ-WS.US,60,20201123,220000,0.618329,0.618329,0.61,0.61,2000,0
ASAQ-WS.US,60,20201124,160000,0.68,0.72,0.68,0.72,6900,0
ASAQ-WS.US,60,20201124,170000,0.7299,0.73,0.68,0.68,4549,0
ASAQ-WS.US,60,20201124,180000,0.68,0.6999,0.67,0.67,33775,0
ASAQ-WS.US,60,20201124,190000,0.7,0.7,0.7,0.7,300,0
ASAQ-WS.US,60,20201124,210000,0.64,0.64,0.64,0.64,200,0
ASAQ-WS.US,60,20201125,160000,0.6103,0.6103,0.6103,0.6103,40963,0
ASAQ-WS.US,60,20201125,170000,0.7,0.7,0.69,0.6989,15849,0
ASAQ-WS.US,60,20201125,180000,0.6945,0.73,0.6945,0.73,10235,0
ASAQ-WS.US,60,20201125,190000,0.73,0.73,0.73,0.73,2800,0
ASAQ-WS.US,60,20201125,200000,0.73,0.73,0.73,0.73,1875,0
ASAQ-WS.US,60,20201125,210000,0.7316,0.735,0.7316,0.735,4125,0
ASAQ-WS.US,60,20201127,160000,0.7,0.7,0.6732,0.7,3500,0
ASAQ-WS.US,60,20201127,170000,0.64,0.74,0.61,0.6799,45851,0
ASAQ-WS.US,60,20201127,180000,0.68,0.68,0.66,0.66,4860,0
ASAQ-WS.US,60,20201127,190000,0.66,0.66,0.66,0.66,1300,0
ASAQ-WS.US,60,20201130,160000,0.7,0.7,0.67,0.7,8500,0
ASAQ-WS.US,60,20201130,170000,0.68,0.7,0.68,0.68,7500,0
ASAQ-WS.US,60,20201130,180000,0.68,0.7,0.67,0.7,1350,0
ASAQ-WS.US,60,20201130,190000,0.68,0.68,0.67,0.67,250,0
ASAQ-WS.US,60,20201130,200000,0.67,0.71,0.67,0.67,2044,0
ASAQ-WS.US,60,20201130,210000,0.7,0.7,0.7,0.7,1300,0
ASAQ-WS.US,60,20201130,220000,0.7,0.7,0.7,0.7,7050,0
ASAQ-WS.US,60,20201201,160000,0.7,0.7,0.7,0.7,250,0
ASAQ-WS.US,60,20201201,170000,0.7,0.7399,0.67,0.6999,1643,0
ASAQ-WS.US,60,20201201,190000,0.7299,0.7299,0.7299,0.7299,100,0
ASAQ-WS.US,60,20201201,200000,0.73,0.74,0.7001,0.7001,16900,0
ASAQ-WS.US,60,20201201,210000,0.7,0.7037,0.7,0.7037,1200,0
ASAQ-WS.US,60,20201202,160000,0.7,0.7,0.7,0.7,3350,0
ASAQ-WS.US,60,20201202,170000,0.69,0.69,0.68,0.685,3580,0
ASAQ-WS.US,60,20201202,180000,0.69,0.74,0.68,0.74,6200,0
ASAQ-WS.US,60,20201202,190000,0.7,0.7,0.68,0.68,500,0
ASAQ-WS.US,60,20201202,200000,0.68,0.7399,0.68,0.72,4450,0
ASAQ-WS.US,60,20201202,210000,0.7199,0.72,0.719251,0.719251,800,0
ASAQ-WS.US,60,20201202,220000,0.67,0.7,0.62,0.7,12800,0
ASAQ-WS.US,60,20201203,160000,0.6201,0.72,0.6201,0.72,2249,0
ASAQ-WS.US,60,20201203,170000,0.72,0.73,0.7199,0.72,6599,0
ASAQ-WS.US,60,20201203,180000,0.73,0.73,0.73,0.73,100,0
ASAQ-WS.US,60,20201203,190000,0.7075,0.7075,0.7,0.7,600,0
ASAQ-WS.US,60,20201203,200000,0.7,0.75,0.7,0.75,6500,0
ASAQ-WS.US,60,20201203,210000,0.69,0.69,0.69,0.69,2000,0
ASAQ-WS.US,60,20201204,160000,0.66,0.8,0.65,0.75,23197,0
ASAQ-WS.US,60,20201204,170000,0.75,0.75,0.7,0.74,5668,0
ASAQ-WS.US,60,20201204,180000,0.7499,0.85,0.7001,0.74,45793,0
ASAQ-WS.US,60,20201204,190000,0.7001,0.76,0.7001,0.75,25224,0
ASAQ-WS.US,60,20201204,200000,0.73,0.73,0.73,0.73,1950,0
ASAQ-WS.US,60,20201204,210000,0.77,0.77,0.71,0.71,4850,0
ASAQ-WS.US,60,20201204,220000,0.69,0.729899,0.67,0.71,2248,0
ASAQ-WS.US,60,20201207,160000,0.84,0.84,0.81,0.81,1200,0
ASAQ-WS.US,60,20201207,170000,0.86432,0.88,0.75,0.83,20773,0
ASAQ-WS.US,60,20201207,180000,0.78,0.815,0.721,0.8,10958,0
ASAQ-WS.US,60,20201207,190000,0.74,0.7936,0.74,0.74,3500,0
ASAQ-WS.US,60,20201207,200000,0.74,0.74,0.721,0.74,6256,0
ASAQ-WS.US,60,20201207,210000,0.72,0.73,0.72,0.7264,6150,0
ASAQ-WS.US,60,20201207,220000,0.73,0.73,0.72,0.72,3142,0
ASAQ-WS.US,60,20201208,170000,0.73,0.76,0.7,0.76,1000,0
ASAQ-WS.US,60,20201208,180000,0.76,0.76,0.67,0.67,22899,0
ASAQ-WS.US,60,20201208,190000,0.7,0.7,0.7,0.7,5000,0
ASAQ-WS.US,60,20201208,200000,0.7,0.7,0.6966,0.7,3151,0
ASAQ-WS.US,60,20201208,210000,0.695,0.695,0.675,0.675,9651,0
ASAQ-WS.US,60,20201208,220000,0.69,0.71,0.69,0.7,27800,0
ASAQ-WS.US,60,20201209,170000,0.75,0.83,0.7,0.77,255541,0
ASAQ-WS.US,60,20201209,180000,0.8233,0.8233,0.75,0.75,6500,0
ASAQ-WS.US,60,20201209,190000,0.76,0.7999,0.74,0.7999,53702,0
ASAQ-WS.US,60,20201209,200000,0.7599,0.8,0.75,0.75,128200,0
ASAQ-WS.US,60,20201209,210000,0.759,0.759,0.75,0.75,75250,0
ASAQ-WS.US,60,20201209,220000,0.75,0.799,0.73,0.75,83860,0
ASAQ-WS.US,60,20201210,160000,0.75,0.77,0.75,0.77,13500,0
ASAQ-WS.US,60,20201210,170000,0.76,0.8399,0.75,0.8199,118927,0
ASAQ-WS.US,60,20201210,180000,0.81,0.84,0.77,0.84,128805,0
ASAQ-WS.US,60,20201210,190000,0.8301,0.95,0.83,0.8999,48234,0
ASAQ-WS.US,60,20201210,200000,0.9,0.95,0.8901,0.95,19275,0
ASAQ-WS.US,60,20201210,210000,0.917,0.917,0.9116,0.9116,350,0
ASAQ-WS.US,60,20201210,220000,0.8601,0.88,0.8201,0.88,6972,0
ASAQ-WS.US,60,20201211,170000,0.94,0.94,0.9,0.9,14951,0
ASAQ-WS.US,60,20201211,180000,0.86,0.9,0.85,0.85,34650,0
ASAQ-WS.US,60,20201211,190000,0.85,0.9,0.85,0.9,55450,0
ASAQ-WS.US,60,20201211,200000,0.9,0.94,0.86,0.9,160658,0
ASAQ-WS.US,60,20201211,210000,0.8999,0.91,0.89,0.89,31201,0
ASAQ-WS.US,60,20201211,220000,0.89,0.91,0.81,0.9,78500,0
ASAQ-WS.US,60,20201214,160000,0.91,0.91,0.8999,0.91,15224,0
ASAQ-WS.US,60,20201214,170000,0.91,0.91,0.9,0.91,22480,0
ASAQ-WS.US,60,20201214,180000,0.9375,1,0.9375,0.9719,23214,0
ASAQ-WS.US,60,20201214,190000,0.9872,0.9872,0.95,0.95,7400,0
ASAQ-WS.US,60,20201214,200000,0.959999,0.96,0.95,0.95,3450,0
ASAQ-WS.US,60,20201214,210000,0.95,0.959899,0.9201,0.959899,13600,0
ASAQ-WS.US,60,20201214,220000,0.9201,0.9201,0.9098,0.92,38114,0
ASAQ-WS.US,60,20201215,160000,1,1.05,1,1,15770,0
ASAQ-WS.US,60,20201215,170000,1,1.01,0.95,1,24391,0
ASAQ-WS.US,60,20201215,180000,0.981,1,0.97,1,10500,0
ASAQ-WS.US,60,20201215,190000,1,1,0.95,0.95,29700,0
ASAQ-WS.US,60,20201215,200000,0.94,0.95,0.85,0.94,34810,0
ASAQ-WS.US,60,20201215,210000,0.919899,0.919999,0.9,0.909899,14617,0
ASAQ-WS.US,60,20201215,220000,0.91,1.02,0.8,0.85,47120,0
ASAQ-WS.US,60,20201216,160000,0.83,0.83,0.83,0.83,2000,0
ASAQ-WS.US,60,20201216,170000,0.83,0.97,0.8259,0.97,124198,0
ASAQ-WS.US,60,20201216,180000,0.969,1.01,0.96,0.96,36000,0
ASAQ-WS.US,60,20201216,190000,0.96,0.98,0.9,0.9499,9750,0
ASAQ-WS.US,60,20201216,200000,0.97,0.97,0.97,0.97,200,0
ASAQ-WS.US,60,20201216,210000,0.97,0.99,0.8977,0.9,17600,0
ASAQ-WS.US,60,20201216,220000,0.95,0.9975,0.91,0.99,28600,0
ASAQ-WS.US,60,20201217,160000,0.99,1.04,0.9753,0.99,5650,0
ASAQ-WS.US,60,20201217,180000,0.969899,0.99,0.940101,0.99,15875,0
ASAQ-WS.US,60,20201217,190000,0.99,0.99,0.9,0.9,6950,0
ASAQ-WS.US,60,20201217,200000,0.9799,0.9799,0.85,0.94,41399,0
ASAQ-WS.US,60,20201217,210000,0.94,0.94,0.93,0.94,19600,0
ASAQ-WS.US,60,20201217,220000,0.94,0.94,0.87,0.92,16727,0
ASAQ-WS.US,60,20201218,160000,1,1,0.900101,0.92,22800,0
ASAQ-WS.US,60,20201218,170000,0.93,0.93,0.85,0.86,30829,0
ASAQ-WS.US,60,20201218,180000,0.86,0.92,0.85,0.87,46036,0
ASAQ-WS.US,60,20201218,190000,0.88,0.91,0.88,0.900101,28688,0
ASAQ-WS.US,60,20201218,200000,0.9,0.919,0.9,0.919,21150,0
ASAQ-WS.US,60,20201218,210000,0.9133,1,0.9101,0.99,15202,0
ASAQ-WS.US,60,20201218,220000,0.98,0.98,0.97,0.97,1300,0
ASAQ-WS.US,60,20201221,160000,0.99,1,0.91,1,12370,0
ASAQ-WS.US,60,20201221,170000,0.98,0.9801,0.9,0.95,83305,0
