<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVK.US,60,20200914,160000,13.306,13.374,13.269,13.374,11957,0
AVK.US,60,20200914,170000,13.345,13.38,13.336,13.38,13686,0
AVK.US,60,20200914,180000,13.354,13.404,13.354,13.354,5069,0
AVK.US,60,20200914,190000,13.354,13.374,13.345,13.348,10103,0
AVK.US,60,20200914,200000,13.354,13.374,13.316,13.345,8703,0
AVK.US,60,20200914,210000,13.326,13.354,13.306,13.306,7354,0
AVK.US,60,20200914,220000,13.316,13.383,13.316,13.345,12771,0
AVK.US,60,20200915,160000,13.469,13.498,13.413,13.413,7895,0
AVK.US,60,20200915,170000,13.404,13.439,13.374,13.394,12320,0
AVK.US,60,20200915,180000,13.408,13.469,13.394,13.45,7998,0
AVK.US,60,20200915,190000,13.459,13.459,13.404,13.416,12132,0
AVK.US,60,20200915,200000,13.416,13.44,13.394,13.42,14798,0
AVK.US,60,20200915,210000,13.413,13.459,13.384,13.459,18679,0
AVK.US,60,20200915,220000,13.45,13.459,13.374,13.394,18739,0
AVK.US,60,20200916,160000,13.479,13.479,13.42,13.457,5827,0
AVK.US,60,20200916,170000,13.452,13.452,13.394,13.394,4512,0
AVK.US,60,20200916,180000,13.384,13.44,13.374,13.399,13361,0
AVK.US,60,20200916,190000,13.404,13.45,13.394,13.44,8883,0
AVK.US,60,20200916,200000,13.43,13.45,13.404,13.45,11323,0
AVK.US,60,20200916,210000,13.45,13.528,13.42,13.518,21249,0
AVK.US,60,20200916,220000,13.508,13.508,13.394,13.469,26841,0
AVK.US,60,20200917,160000,13.364,13.364,13.211,13.23,18017,0
AVK.US,60,20200917,170000,13.23,13.235,13.144,13.158,146482,0
AVK.US,60,20200917,180000,13.153,13.172,13.134,13.134,66703,0
AVK.US,60,20200917,190000,13.134,13.159,13.097,13.12,28348,0
AVK.US,60,20200917,200000,13.11,13.144,13.097,13.097,79106,0
AVK.US,60,20200917,210000,13.115,13.158,13.115,13.134,138134,0
AVK.US,60,20200917,220000,13.126,13.192,13.115,13.192,173998,0
AVK.US,60,20200918,160000,13.192,13.22,13.192,13.21,10454,0
AVK.US,60,20200918,170000,13.22,13.306,13.22,13.278,28227,0
AVK.US,60,20200918,180000,13.269,13.306,13.259,13.306,10480,0
AVK.US,60,20200918,190000,13.306,13.306,13.25,13.25,18161,0
AVK.US,60,20200918,200000,13.259,13.259,13.192,13.211,24389,0
AVK.US,60,20200918,210000,13.211,13.25,13.201,13.25,14449,0
AVK.US,60,20200918,220000,13.224,13.25,13.201,13.22,16860,0
AVK.US,60,20200921,160000,13.048,13.048,12.79,12.99,44948,0
AVK.US,60,20200921,170000,12.99,13.012,12.892,12.943,11935,0
AVK.US,60,20200921,180000,12.962,12.982,12.828,12.914,26616,0
AVK.US,60,20200921,190000,12.943,13.034,12.943,12.972,26933,0
AVK.US,60,20200921,200000,12.972,13.067,12.972,13.048,16535,0
AVK.US,60,20200921,210000,13.03,13.048,12.99,13.019,6412,0
AVK.US,60,20200921,220000,13.029,13.097,13.029,13.067,14465,0
AVK.US,60,20200922,160000,13.077,13.105,13.029,13.029,17091,0
AVK.US,60,20200922,170000,13.048,13.105,13.029,13.048,23358,0
AVK.US,60,20200922,180000,13.029,13.048,13,13.048,26799,0
AVK.US,60,20200922,190000,13.048,13.057,13.015,13.015,15721,0
AVK.US,60,20200922,200000,13.029,13.125,13.024,13.125,34042,0
AVK.US,60,20200922,210000,13.125,13.125,13.067,13.105,12047,0
AVK.US,60,20200922,220000,13.078,13.163,13.077,13.125,16441,0
AVK.US,60,20200923,160000,13.115,13.142,13.115,13.12,7638,0
AVK.US,60,20200923,170000,13.12,13.12,13.048,13.105,10823,0
AVK.US,60,20200923,180000,13.077,13.115,13.019,13.029,12957,0
AVK.US,60,20200923,190000,13.019,13.048,13,13.019,8202,0
AVK.US,60,20200923,200000,13.019,13.077,13.01,13.019,20932,0
AVK.US,60,20200923,210000,13.023,13.023,12.876,12.9,27952,0
AVK.US,60,20200923,220000,12.886,12.895,12.8,12.808,32740,0
AVK.US,60,20200924,160000,12.79,12.79,12.656,12.731,14650,0
AVK.US,60,20200924,170000,12.743,12.79,12.656,12.704,8619,0
AVK.US,60,20200924,180000,12.728,12.814,12.713,12.813,11424,0
AVK.US,60,20200924,190000,12.828,12.857,12.828,12.847,8936,0
AVK.US,60,20200924,200000,12.857,12.914,12.838,12.9,7664,0
AVK.US,60,20200924,210000,12.904,12.918,12.828,12.847,10368,0
AVK.US,60,20200924,220000,12.859,12.866,12.8,12.847,14265,0
AVK.US,60,20200925,160000,12.914,12.923,12.847,12.847,37110,0
AVK.US,60,20200925,170000,12.833,12.886,12.818,12.878,16690,0
AVK.US,60,20200925,180000,12.876,12.895,12.838,12.838,20228,0
AVK.US,60,20200925,190000,12.852,12.886,12.843,12.847,17219,0
AVK.US,60,20200925,200000,12.838,12.933,12.838,12.886,10738,0
AVK.US,60,20200925,210000,12.904,12.978,12.886,12.953,14624,0
AVK.US,60,20200925,220000,12.972,12.99,12.943,12.962,21684,0
AVK.US,60,20200928,160000,13.105,13.125,13.077,13.087,5278,0
AVK.US,60,20200928,170000,13.097,13.171,13.087,13.115,21995,0
AVK.US,60,20200928,180000,13.144,13.144,13.067,13.067,19550,0
AVK.US,60,20200928,190000,13.067,13.125,13.057,13.091,11420,0
AVK.US,60,20200928,200000,13.125,13.144,13.115,13.144,5520,0
AVK.US,60,20200928,210000,13.144,13.211,13.134,13.154,24753,0
AVK.US,60,20200928,220000,13.148,13.182,13.125,13.144,25066,0
AVK.US,60,20200929,160000,13.172,13.172,13.105,13.105,7490,0
AVK.US,60,20200929,170000,13.125,13.157,13.019,13.039,24722,0
AVK.US,60,20200929,180000,13.039,13.101,13.039,13.067,5878,0
AVK.US,60,20200929,190000,13.067,13.096,13.067,13.096,15686,0
AVK.US,60,20200929,200000,13.097,13.163,13.097,13.163,16257,0
AVK.US,60,20200929,210000,13.154,13.192,13.153,13.156,10353,0
AVK.US,60,20200929,220000,13.192,13.192,13.134,13.172,29761,0
