<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIPH.US,60,20210527,160000,25.38,25.39,25.3787,25.39,7551,0
BIPH.US,60,20210527,170000,25.39,25.5,25.32,25.34,43762,0
BIPH.US,60,20210527,180000,25.38,25.38,25.3,25.3,32029,0
BIPH.US,60,20210527,190000,25.305,25.35,25.28,25.33,37090,0
BIPH.US,60,20210527,200000,25.335,25.42,25.305,25.41,65276,0
BIPH.US,60,20210527,210000,25.42,25.46,25.4001,25.45,22169,0
BIPH.US,60,20210527,220000,25.43,25.45,25.37,25.45,91818,0
BIPH.US,60,20210528,160000,25.4,25.4,25.34,25.37,19700,0
BIPH.US,60,20210528,170000,25.365,25.39,25.36,25.38,28900,0
BIPH.US,60,20210528,180000,25.39,25.39,25.35,25.36,3900,0
BIPH.US,60,20210528,190000,25.375,25.44,25.375,25.39,43134,0
BIPH.US,60,20210528,200000,25.39,25.46,25.39,25.46,89400,0
BIPH.US,60,20210528,210000,25.46,25.565,25.44,25.56,102529,0
BIPH.US,60,20210528,220000,25.56,25.59,25.39,25.44,743772,0
BIPH.US,60,20210601,160000,25.42,25.475,25.42,25.42,3809,0
BIPH.US,60,20210601,170000,25.4,25.4,25.37,25.39,1638,0
BIPH.US,60,20210601,180000,25.39,25.39,25.35,25.36,3711,0
BIPH.US,60,20210601,190000,25.355,25.357,25.33,25.35,1959,0
BIPH.US,60,20210601,200000,25.35,25.36,25.35,25.36,600,0
BIPH.US,60,20210601,210000,25.35,25.385,25.26,25.385,10027,0
BIPH.US,60,20210601,220000,25.37,25.3789,25.26,25.32,6361,0
BIPH.US,60,20210602,160000,25.37,25.41,25.37,25.41,1317,0
BIPH.US,60,20210602,170000,25.4,25.44,25.4,25.4,5104,0
BIPH.US,60,20210602,180000,25.4,25.42,25.3997,25.42,11648,0
BIPH.US,60,20210602,190000,25.4,25.4,25.32,25.32,4223,0
BIPH.US,60,20210602,200000,25.35,25.38,25.33,25.38,4995,0
BIPH.US,60,20210602,210000,25.355,25.38,25.32,25.325,19593,0
BIPH.US,60,20210602,220000,25.375,25.375,25.3,25.3,4592,0
BIPH.US,60,20210603,160000,25.27,25.36,25.27,25.285,2557,0
BIPH.US,60,20210603,170000,25.3,25.3,25.293,25.295,2787,0
BIPH.US,60,20210603,180000,25.295,25.35,25.29,25.31,23856,0
BIPH.US,60,20210603,190000,25.31,25.33,25.19,25.1901,28534,0
BIPH.US,60,20210603,200000,25.24,25.26,25.24,25.26,1448,0
BIPH.US,60,20210603,210000,25.2467,25.265,25.2,25.2,5691,0
