<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTZ.US,60,20200914,160000,13.556,13.576,13.546,13.554,22742,0
BTZ.US,60,20200914,170000,13.561,13.566,13.546,13.546,15287,0
BTZ.US,60,20200914,180000,13.546,13.576,13.536,13.576,24402,0
BTZ.US,60,20200914,190000,13.576,13.576,13.516,13.556,55243,0
BTZ.US,60,20200914,200000,13.564,13.564,13.516,13.519,13624,0
BTZ.US,60,20200914,210000,13.525,13.526,13.506,13.51,19665,0
BTZ.US,60,20200914,220000,13.516,13.522,13.486,13.516,32135,0
BTZ.US,60,20200915,160000,13.546,13.552,13.526,13.526,3577,0
BTZ.US,60,20200915,170000,13.526,13.556,13.526,13.528,45883,0
BTZ.US,60,20200915,180000,13.532,13.532,13.516,13.526,67027,0
BTZ.US,60,20200915,190000,13.521,13.525,13.516,13.521,3114,0
BTZ.US,60,20200915,200000,13.518,13.526,13.516,13.525,6834,0
BTZ.US,60,20200915,210000,13.516,13.526,13.516,13.521,9692,0
BTZ.US,60,20200915,220000,13.517,13.526,13.516,13.526,20538,0
BTZ.US,60,20200916,160000,13.526,13.556,13.526,13.546,6813,0
BTZ.US,60,20200916,170000,13.551,13.566,13.476,13.491,39764,0
BTZ.US,60,20200916,180000,13.497,13.505,13.476,13.476,17144,0
BTZ.US,60,20200916,190000,13.486,13.504,13.486,13.486,12382,0
BTZ.US,60,20200916,200000,13.486,13.506,13.486,13.486,13397,0
BTZ.US,60,20200916,210000,13.496,13.501,13.467,13.467,17166,0
BTZ.US,60,20200916,220000,13.457,13.476,13.447,13.467,31063,0
BTZ.US,60,20200917,160000,13.447,13.467,13.438,13.452,8157,0
BTZ.US,60,20200917,170000,13.447,13.467,13.447,13.46,11151,0
BTZ.US,60,20200917,180000,13.457,13.476,13.457,13.457,16541,0
BTZ.US,60,20200917,190000,13.451,13.458,13.447,13.452,4700,0
BTZ.US,60,20200917,200000,13.452,13.455,13.42,13.429,44208,0
BTZ.US,60,20200917,210000,13.429,13.447,13.429,13.438,15124,0
BTZ.US,60,20200917,220000,13.438,13.447,13.429,13.447,11329,0
BTZ.US,60,20200918,160000,13.447,13.496,13.447,13.457,17558,0
BTZ.US,60,20200918,170000,13.467,13.506,13.467,13.491,12591,0
BTZ.US,60,20200918,180000,13.491,13.546,13.491,13.526,38784,0
BTZ.US,60,20200918,190000,13.516,13.526,13.516,13.526,16834,0
BTZ.US,60,20200918,200000,13.524,13.526,13.501,13.521,37606,0
BTZ.US,60,20200918,210000,13.516,13.526,13.506,13.506,21477,0
BTZ.US,60,20200918,220000,13.507,13.517,13.506,13.516,17628,0
BTZ.US,60,20200921,160000,13.486,13.486,13.447,13.457,8840,0
BTZ.US,60,20200921,170000,13.447,13.467,13.426,13.429,29578,0
BTZ.US,60,20200921,180000,13.429,13.429,13.392,13.402,21291,0
BTZ.US,60,20200921,190000,13.406,13.42,13.345,13.352,36466,0
BTZ.US,60,20200921,200000,13.352,13.382,13.352,13.372,17230,0
BTZ.US,60,20200921,210000,13.372,13.38,13.352,13.366,25935,0
BTZ.US,60,20200921,220000,13.362,13.392,13.352,13.392,40270,0
BTZ.US,60,20200922,160000,13.392,13.432,13.372,13.392,10818,0
BTZ.US,60,20200922,170000,13.402,13.447,13.382,13.392,22170,0
BTZ.US,60,20200922,180000,13.397,13.411,13.387,13.406,10239,0
BTZ.US,60,20200922,190000,13.403,13.425,13.403,13.425,15865,0
BTZ.US,60,20200922,200000,13.42,13.447,13.411,13.428,23993,0
BTZ.US,60,20200922,210000,13.421,13.453,13.402,13.453,40309,0
BTZ.US,60,20200922,220000,13.457,13.486,13.429,13.486,107476,0
BTZ.US,60,20200923,160000,13.429,13.447,13.414,13.414,32730,0
BTZ.US,60,20200923,170000,13.42,13.42,13.352,13.374,18355,0
BTZ.US,60,20200923,180000,13.362,13.362,13.312,13.332,33599,0
BTZ.US,60,20200923,190000,13.322,13.332,13.303,13.322,17443,0
BTZ.US,60,20200923,200000,13.332,13.362,13.322,13.326,23830,0
BTZ.US,60,20200923,210000,13.332,13.332,13.283,13.302,26474,0
BTZ.US,60,20200923,220000,13.293,13.297,13.236,13.246,57043,0
BTZ.US,60,20200924,160000,13.273,13.273,13.198,13.225,20630,0
BTZ.US,60,20200924,170000,13.236,13.264,13.218,13.219,13879,0
BTZ.US,60,20200924,180000,13.228,13.273,13.218,13.264,38032,0
BTZ.US,60,20200924,190000,13.256,13.283,13.256,13.283,15074,0
BTZ.US,60,20200924,200000,13.283,13.377,13.283,13.352,47192,0
BTZ.US,60,20200924,210000,13.362,13.496,13.352,13.496,65941,0
BTZ.US,60,20200924,220000,13.467,13.556,13.467,13.526,109057,0
BTZ.US,60,20200925,160000,13.516,13.516,13.382,13.467,20139,0
BTZ.US,60,20200925,170000,13.438,13.457,13.429,13.455,10860,0
BTZ.US,60,20200925,180000,13.457,13.462,13.403,13.429,18827,0
BTZ.US,60,20200925,190000,13.429,13.438,13.402,13.429,9586,0
BTZ.US,60,20200925,200000,13.416,13.546,13.412,13.541,74331,0
BTZ.US,60,20200925,210000,13.541,13.576,13.516,13.566,194662,0
BTZ.US,60,20200925,220000,13.566,13.69,13.526,13.66,156784,0
BTZ.US,60,20200928,160000,13.72,13.73,13.631,13.631,27309,0
BTZ.US,60,20200928,170000,13.632,13.636,13.578,13.593,38561,0
BTZ.US,60,20200928,180000,13.593,13.631,13.585,13.585,46747,0
BTZ.US,60,20200928,190000,13.593,13.612,13.585,13.602,51608,0
BTZ.US,60,20200928,200000,13.593,13.607,13.593,13.593,12052,0
BTZ.US,60,20200928,210000,13.602,13.602,13.546,13.546,46504,0
BTZ.US,60,20200928,220000,13.556,13.602,13.556,13.585,39944,0
BTZ.US,60,20200929,160000,13.566,13.585,13.557,13.585,10524,0
BTZ.US,60,20200929,170000,13.58,13.585,13.577,13.585,19979,0
BTZ.US,60,20200929,180000,13.585,13.602,13.576,13.593,38545,0
BTZ.US,60,20200929,190000,13.587,13.602,13.585,13.586,16017,0
BTZ.US,60,20200929,200000,13.585,13.593,13.576,13.587,25363,0
BTZ.US,60,20200929,210000,13.593,13.602,13.589,13.598,29256,0
BTZ.US,60,20200929,220000,13.602,13.631,13.585,13.631,56784,0
BTZ.US,60,20200930,160000,13.71,13.761,13.65,13.71,40342,0
BTZ.US,60,20200930,170000,13.7,13.72,13.69,13.715,43223,0
BTZ.US,60,20200930,180000,13.715,13.73,13.695,13.71,42604,0
BTZ.US,60,20200930,190000,13.71,13.715,13.69,13.706,21980,0
BTZ.US,60,20200930,200000,13.71,13.71,13.685,13.7,18713,0
BTZ.US,60,20200930,210000,13.7,13.72,13.69,13.72,26969,0
BTZ.US,60,20200930,220000,13.72,13.786,13.69,13.74,207731,0
BTZ.US,60,20201001,160000,13.71,13.776,13.71,13.749,9716,0
BTZ.US,60,20201001,170000,13.74,13.758,13.722,13.73,25469,0
BTZ.US,60,20201001,180000,13.73,13.74,13.72,13.73,9648,0
BTZ.US,60,20201001,190000,13.72,13.74,13.72,13.73,28895,0
BTZ.US,60,20201001,200000,13.731,13.758,13.73,13.74,23727,0
BTZ.US,60,20201001,210000,13.733,13.735,13.71,13.72,15243,0
BTZ.US,60,20201001,220000,13.72,13.758,13.69,13.71,36401,0
BTZ.US,60,20201002,160000,13.67,13.71,13.641,13.66,19406,0
BTZ.US,60,20201002,170000,13.658,13.67,13.612,13.636,29032,0
BTZ.US,60,20201002,180000,13.641,13.655,13.612,13.621,24425,0
BTZ.US,60,20201002,190000,13.621,13.621,13.612,13.618,26693,0
BTZ.US,60,20201002,200000,13.616,13.621,13.546,13.546,34266,0
BTZ.US,60,20201002,210000,13.556,13.556,13.526,13.544,19232,0
BTZ.US,60,20201002,220000,13.526,13.546,13.511,13.526,28850,0
BTZ.US,60,20201005,160000,13.536,13.576,13.506,13.521,34359,0
BTZ.US,60,20201005,170000,13.524,13.536,13.506,13.506,23725,0
BTZ.US,60,20201005,180000,13.516,13.524,13.429,13.429,34471,0
BTZ.US,60,20201005,190000,13.442,13.476,13.438,13.439,24914,0
BTZ.US,60,20201005,200000,13.43,13.476,13.43,13.471,32645,0
BTZ.US,60,20201005,210000,13.476,13.476,13.454,13.471,26090,0
BTZ.US,60,20201005,220000,13.471,13.506,13.467,13.486,32119,0
BTZ.US,60,20201006,160000,13.612,13.612,13.531,13.531,6960,0
BTZ.US,60,20201006,170000,13.516,13.566,13.516,13.536,18622,0
BTZ.US,60,20201006,180000,13.536,13.566,13.536,13.536,9841,0
BTZ.US,60,20201006,190000,13.526,13.546,13.526,13.546,11210,0
BTZ.US,60,20201006,200000,13.546,13.546,13.539,13.546,18478,0
BTZ.US,60,20201006,210000,13.542,13.546,13.536,13.536,26035,0
BTZ.US,60,20201006,220000,13.536,13.546,13.486,13.536,34986,0
BTZ.US,60,20201007,160000,13.602,13.645,13.476,13.476,34140,0
BTZ.US,60,20201007,170000,13.476,13.516,13.476,13.476,29356,0
BTZ.US,60,20201007,180000,13.486,13.496,13.452,13.491,23145,0
BTZ.US,60,20201007,190000,13.491,13.526,13.486,13.521,36033,0
BTZ.US,60,20201007,200000,13.526,13.526,13.442,13.447,38407,0
BTZ.US,60,20201007,210000,13.457,13.457,13.402,13.435,83374,0
BTZ.US,60,20201007,220000,13.437,13.467,13.411,13.467,38998,0
BTZ.US,60,20201008,160000,13.496,13.505,13.476,13.502,28276,0
BTZ.US,60,20201008,170000,13.476,13.501,13.429,13.462,77338,0
BTZ.US,60,20201008,180000,13.461,13.496,13.461,13.491,25573,0
BTZ.US,60,20201008,190000,13.491,13.496,13.467,13.476,28266,0
BTZ.US,60,20201008,200000,13.476,13.496,13.467,13.476,14869,0
BTZ.US,60,20201008,210000,13.467,13.506,13.467,13.486,22088,0
BTZ.US,60,20201008,220000,13.476,13.506,13.467,13.506,29889,0
BTZ.US,60,20201009,160000,13.566,13.566,13.481,13.484,32244,0
BTZ.US,60,20201009,170000,13.496,13.506,13.486,13.496,23698,0
BTZ.US,60,20201009,180000,13.496,13.506,13.486,13.496,23644,0
BTZ.US,60,20201009,190000,13.496,13.5,13.486,13.496,23554,0
BTZ.US,60,20201009,200000,13.491,13.506,13.491,13.496,25401,0
BTZ.US,60,20201009,210000,13.496,13.496,13.438,13.438,57578,0
BTZ.US,60,20201009,220000,13.442,13.462,13.429,13.438,54877,0
BTZ.US,60,20201012,160000,13.506,13.506,13.438,13.447,11456,0
BTZ.US,60,20201012,170000,13.44,13.486,13.438,13.471,36447,0
BTZ.US,60,20201012,180000,13.476,13.506,13.447,13.481,42122,0
BTZ.US,60,20201012,190000,13.486,13.506,13.447,13.457,64355,0
BTZ.US,60,20201012,200000,13.457,13.481,13.457,13.467,19332,0
BTZ.US,60,20201012,210000,13.476,13.496,13.472,13.478,39502,0
BTZ.US,60,20201012,220000,13.481,13.496,13.467,13.496,11372,0
BTZ.US,60,20201013,160000,13.486,13.526,13.486,13.516,20037,0
BTZ.US,60,20201013,170000,13.516,13.526,13.476,13.504,30763,0
BTZ.US,60,20201013,180000,13.496,13.516,13.457,13.457,41978,0
BTZ.US,60,20201013,190000,13.457,13.496,13.447,13.496,44786,0
BTZ.US,60,20201013,200000,13.496,13.496,13.486,13.496,11100,0
BTZ.US,60,20201013,210000,13.496,13.496,13.476,13.476,16129,0
BTZ.US,60,20201013,220000,13.486,13.516,13.476,13.506,19053,0
BTZ.US,60,20201014,160000,13.54,13.56,13.53,13.53,11962,0
BTZ.US,60,20201014,170000,13.54,13.56,13.53,13.56,33591,0
BTZ.US,60,20201014,180000,13.557,13.57,13.55,13.555,22800,0
BTZ.US,60,20201014,190000,13.55,13.578,13.55,13.578,13733,0
BTZ.US,60,20201014,200000,13.57,13.578,13.55,13.553,10762,0
BTZ.US,60,20201014,210000,13.55,13.56,13.53,13.541,24683,0
BTZ.US,60,20201014,220000,13.53,13.56,13.53,13.55,37021,0
BTZ.US,60,20201015,160000,13.55,13.55,13.52,13.522,17321,0
BTZ.US,60,20201015,170000,13.52,13.53,13.48,13.485,16080,0
BTZ.US,60,20201015,180000,13.49,13.5,13.48,13.48,15635,0
BTZ.US,60,20201015,190000,13.49,13.5,13.478,13.48,19666,0
BTZ.US,60,20201015,200000,13.49,13.5,13.48,13.5,16174,0
BTZ.US,60,20201015,210000,13.5,13.5,13.49,13.49,12984,0
BTZ.US,60,20201015,220000,13.49,13.525,13.49,13.52,25371,0
BTZ.US,60,20201016,160000,13.57,13.57,13.5,13.53,8636,0
BTZ.US,60,20201016,170000,13.53,13.56,13.52,13.54,26260,0
BTZ.US,60,20201016,180000,13.54,13.56,13.539,13.547,22671,0
BTZ.US,60,20201016,190000,13.54,13.56,13.53,13.55,12526,0
BTZ.US,60,20201016,200000,13.55,13.56,13.54,13.55,27339,0
BTZ.US,60,20201016,210000,13.56,13.561,13.55,13.55,9842,0
BTZ.US,60,20201016,220000,13.54,13.56,13.53,13.56,21515,0
BTZ.US,60,20201019,160000,13.579,13.579,13.56,13.565,22515,0
BTZ.US,60,20201019,170000,13.565,13.585,13.53,13.53,19859,0
BTZ.US,60,20201019,180000,13.53,13.55,13.53,13.55,18408,0
BTZ.US,60,20201019,190000,13.53,13.54,13.53,13.53,19359,0
BTZ.US,60,20201019,200000,13.53,13.57,13.51,13.54,23967,0
BTZ.US,60,20201019,210000,13.52,13.54,13.51,13.51,16966,0
BTZ.US,60,20201019,220000,13.51,13.53,13.49,13.49,31935,0
BTZ.US,60,20201020,160000,13.57,13.57,13.53,13.53,10001,0
BTZ.US,60,20201020,170000,13.54,13.55,13.53,13.53,11570,0
BTZ.US,60,20201020,180000,13.53,13.54,13.53,13.53,4925,0
BTZ.US,60,20201020,190000,13.53,13.579,13.51,13.579,58473,0
BTZ.US,60,20201020,200000,13.579,13.603,13.5,13.51,35912,0
BTZ.US,60,20201020,210000,13.5,13.52,13.49,13.49,18190,0
BTZ.US,60,20201020,220000,13.5,13.51,13.47,13.47,21736,0
BTZ.US,60,20201021,160000,13.52,13.52,13.47,13.495,6433,0
BTZ.US,60,20201021,170000,13.49,13.51,13.484,13.494,5500,0
BTZ.US,60,20201021,180000,13.48,13.49,13.47,13.471,16499,0
BTZ.US,60,20201021,190000,13.47,13.49,13.47,13.482,9700,0
BTZ.US,60,20201021,200000,13.49,13.54,13.48,13.5,87191,0
BTZ.US,60,20201021,210000,13.49,13.51,13.49,13.5,10828,0
BTZ.US,60,20201021,220000,13.505,13.51,13.461,13.461,34188,0
BTZ.US,60,20201022,160000,13.51,13.588,13.5,13.56,33185,0
BTZ.US,60,20201022,170000,13.52,13.528,13.47,13.49,43571,0
BTZ.US,60,20201022,180000,13.51,13.51,13.48,13.492,11822,0
BTZ.US,60,20201022,190000,13.49,13.505,13.48,13.495,12606,0
BTZ.US,60,20201022,200000,13.493,13.51,13.485,13.504,16668,0
BTZ.US,60,20201022,210000,13.5,13.515,13.48,13.49,12538,0
BTZ.US,60,20201022,220000,13.5,13.505,13.48,13.5,16391,0
BTZ.US,60,20201023,160000,13.51,13.51,13.461,13.49,8283,0
BTZ.US,60,20201023,170000,13.48,13.51,13.48,13.49,18235,0
BTZ.US,60,20201023,180000,13.5,13.51,13.49,13.51,21610,0
BTZ.US,60,20201023,190000,13.5,13.5,13.48,13.484,17631,0
BTZ.US,60,20201023,200000,13.48,13.51,13.48,13.49,25381,0
BTZ.US,60,20201023,210000,13.48,13.537,13.48,13.49,37327,0
BTZ.US,60,20201023,220000,13.48,13.5,13.47,13.49,26403,0
BTZ.US,60,20201026,150000,13.51,13.51,13.48,13.5,22077,0
BTZ.US,60,20201026,160000,13.48,13.5,13.47,13.47,17778,0
BTZ.US,60,20201026,170000,13.47,13.484,13.461,13.475,18586,0
BTZ.US,60,20201026,180000,13.47,13.48,13.461,13.466,13644,0
BTZ.US,60,20201026,190000,13.463,13.473,13.461,13.47,23772,0
BTZ.US,60,20201026,200000,13.47,13.49,13.461,13.461,22147,0
