<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCV-WS.US,60,20210208,160000,3.52,3.83,3.49,3.59,65583,0
CCV-WS.US,60,20210208,170000,3.58,3.88,3.58,3.78,66472,0
CCV-WS.US,60,20210208,180000,3.73,3.88,3.7,3.72,46074,0
CCV-WS.US,60,20210208,190000,3.72,3.74,3.57,3.72,56896,0
CCV-WS.US,60,20210208,200000,3.65,3.79,3.58,3.61,25865,0
CCV-WS.US,60,20210208,210000,3.65,3.7,3.6,3.65,22454,0
CCV-WS.US,60,20210208,220000,3.65,3.671,3.5,3.5,38248,0
CCV-WS.US,60,20210209,160000,3.75,4,3.52,3.66,8951,0
CCV-WS.US,60,20210209,170000,3.67,3.69,3.55,3.56,11030,0
CCV-WS.US,60,20210209,180000,3.5601,3.81,3.56,3.81,17758,0
CCV-WS.US,60,20210209,190000,3.81,3.81,3.65,3.75,9762,0
CCV-WS.US,60,20210209,200000,3.7,3.7,3.56,3.6299,15577,0
CCV-WS.US,60,20210209,210000,3.59,3.7,3.59,3.66,6017,0
CCV-WS.US,60,20210209,220000,3.638,3.79,3.51,3.57,8652,0
CCV-WS.US,60,20210210,160000,3.68,3.69,3.49,3.52,29982,0
CCV-WS.US,60,20210210,170000,3.45,3.54,3.45,3.47,3714,0
CCV-WS.US,60,20210210,180000,3.56,4.48,3.45,3.5,25049,0
CCV-WS.US,60,20210210,190000,3.69,3.75,3.5,3.54,2926,0
CCV-WS.US,60,20210210,200000,3.63,3.66,3.54,3.575,2258,0
CCV-WS.US,60,20210210,210000,3.55,3.57,3.5,3.5,4223,0
CCV-WS.US,60,20210210,220000,3.5,3.63,3.5,3.56,6347,0
CCV-WS.US,60,20210211,160000,3.57,4.1,3.57,4,4943,0
CCV-WS.US,60,20210211,170000,4,4,3.64,3.8,48072,0
CCV-WS.US,60,20210211,180000,3.85,3.95,3.775,3.95,23918,0
CCV-WS.US,60,20210211,190000,3.95,3.95,3.71,3.8499,31899,0
CCV-WS.US,60,20210211,200000,3.85,3.95,3.7,3.9,16542,0
CCV-WS.US,60,20210211,210000,3.9,4,3.79,3.8501,8475,0
CCV-WS.US,60,20210211,220000,3.85,3.9,3.57,3.57,11257,0
CCV-WS.US,60,20210212,160000,3.86,4,3.79,3.895,11221,0
CCV-WS.US,60,20210212,170000,3.93,3.93,3.62,3.655,40900,0
CCV-WS.US,60,20210212,180000,3.69,3.765,3.54,3.605,24824,0
CCV-WS.US,60,20210212,190000,3.605,3.69,3.39,3.62,43067,0
CCV-WS.US,60,20210212,200000,3.55,3.71,3.45,3.71,15414,0
CCV-WS.US,60,20210212,210000,3.72,3.75,3.45,3.45,13350,0
CCV-WS.US,60,20210212,220000,3.45,3.58,3.39,3.39,99037,0
