<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPS.US,60,20200914,160000,15.21,15.21,14.8401,15.115,4238,0
CPS.US,60,20200914,170000,15.15,15.305,14.82,15.23,13669,0
CPS.US,60,20200914,180000,15.19,15.38,15.1,15.36,8418,0
CPS.US,60,20200914,190000,15.33,15.446,15.2101,15.4,9180,0
CPS.US,60,20200914,200000,15.43,15.51,15.21,15.31,8007,0
CPS.US,60,20200914,210000,15.32,15.4,15.19,15.29,5603,0
CPS.US,60,20200914,220000,15.29,15.39,15.21,15.32,34083,0
CPS.US,60,20200915,160000,15.31,15.56,15,15.06,6291,0
CPS.US,60,20200915,170000,14.93,15.4,14.9292,15.4,14107,0
CPS.US,60,20200915,180000,15.46,15.475,14.82,14.99,10359,0
CPS.US,60,20200915,190000,15.02,15.156,14.979,15.12,17803,0
CPS.US,60,20200915,200000,15.06,15.17,14.98,15,6632,0
CPS.US,60,20200915,210000,15.01,15.06,14.83,14.83,6841,0
CPS.US,60,20200915,220000,14.82,15,14.8,14.9,35498,0
CPS.US,60,20200916,160000,14.92,14.9899,14.31,14.5,24744,0
CPS.US,60,20200916,170000,14.56,14.78,14.48,14.78,14961,0
CPS.US,60,20200916,180000,14.87,14.99,14.75,14.84,10646,0
CPS.US,60,20200916,190000,14.86,15.13,14.82,15.11,6795,0
CPS.US,60,20200916,200000,15.1,15.175,15,15.08,5908,0
CPS.US,60,20200916,210000,15.04,15.43,15.02,15.25,12049,0
CPS.US,60,20200916,220000,15.29,15.38,14.98,15.05,116851,0
CPS.US,60,20200917,160000,14.82,14.82,14.46,14.66,15897,0
CPS.US,60,20200917,170000,14.74,15.19,14.74,15.19,7989,0
CPS.US,60,20200917,180000,15.29,15.62,15.22,15.45,7156,0
CPS.US,60,20200917,190000,15.43,15.49,15.3,15.49,6147,0
CPS.US,60,20200917,200000,15.425,15.53,15.31,15.31,6017,0
CPS.US,60,20200917,210000,15.35,15.44,15.25,15.31,5340,0
CPS.US,60,20200917,220000,15.3,15.49,15.21,15.44,107066,0
CPS.US,60,20200918,160000,15.55,15.77,15.34,15.35,31894,0
CPS.US,60,20200918,170000,15.4202,15.75,15.4202,15.735,6425,0
CPS.US,60,20200918,180000,15.865,16.22,15.8,15.925,7858,0
CPS.US,60,20200918,190000,15.87,15.87,15.46,15.53,10177,0
CPS.US,60,20200918,200000,15.65,15.78,15.48,15.72,10073,0
CPS.US,60,20200918,210000,15.7,15.92,15.58,15.625,12822,0
CPS.US,60,20200918,220000,15.625,16.05,15.625,16.05,191441,0
CPS.US,60,20200921,160000,15.44,15.583,14.38,14.8,28809,0
CPS.US,60,20200921,170000,14.76,14.905,14.355,14.58,12864,0
CPS.US,60,20200921,180000,14.62,14.62,14.43,14.57,12834,0
CPS.US,60,20200921,190000,14.57,14.57,14.22,14.29,16607,0
CPS.US,60,20200921,200000,14.28,14.39,14.16,14.37,17839,0
CPS.US,60,20200921,210000,14.42,14.47,14.19,14.31,13495,0
CPS.US,60,20200921,220000,14.34,14.46,14.28,14.35,113796,0
CPS.US,60,20200922,160000,14.27,14.56,14.19,14.22,3903,0
CPS.US,60,20200922,170000,14.18,14.635,14.1084,14.22,17392,0
CPS.US,60,20200922,180000,14.22,14.39,14.17,14.39,8282,0
CPS.US,60,20200922,190000,14.43,14.54,14.19,14.19,10057,0
CPS.US,60,20200922,200000,14.24,14.24,13.97,14.04,19005,0
CPS.US,60,20200922,210000,14.04,14.07,13.915,14.04,11877,0
CPS.US,60,20200922,220000,14.055,14.17,13.95,14.07,96145,0
CPS.US,60,20200923,160000,14.18,14.34,13.76,14.08,8177,0
CPS.US,60,20200923,170000,13.98,14.03,13.76,13.88,15390,0
CPS.US,60,20200923,180000,13.79,13.87,13.738,13.77,4772,0
CPS.US,60,20200923,190000,13.75,13.89,13.75,13.8,5755,0
CPS.US,60,20200923,200000,13.79,13.94,13.64,13.64,15895,0
CPS.US,60,20200923,210000,13.7,13.7,13.13,13.14,24756,0
CPS.US,60,20200923,220000,13.14,13.45,13.13,13.29,69927,0
CPS.US,60,20200924,160000,13.17,13.3,12.86,13.25,5752,0
CPS.US,60,20200924,170000,13.4,13.4,13.2,13.3,8233,0
CPS.US,60,20200924,180000,13.3,13.42,13.24,13.42,5007,0
CPS.US,60,20200924,190000,13.53,13.705,13.41,13.605,16328,0
CPS.US,60,20200924,200000,13.64,13.74,13.525,13.525,9564,0
CPS.US,60,20200924,210000,13.46,13.49,13.31,13.31,6638,0
CPS.US,60,20200924,220000,13.33,13.39,13.26,13.31,57798,0
CPS.US,60,20200925,160000,13.12,13.81,13.08,13.75,11045,0
CPS.US,60,20200925,170000,13.74,13.83,13.555,13.74,13204,0
CPS.US,60,20200925,180000,13.68,13.68,13.37,13.43,7017,0
CPS.US,60,20200925,190000,13.465,13.62,13.4,13.58,7054,0
CPS.US,60,20200925,200000,13.65,13.69,13.56,13.6,9116,0
CPS.US,60,20200925,210000,13.61,13.68,13.525,13.67,9850,0
CPS.US,60,20200925,220000,13.67,13.79,13.56,13.63,28915,0
CPS.US,60,20200928,160000,13.99,14.31,13.89,14.14,9668,0
CPS.US,60,20200928,170000,14.15,14.34,14.15,14.28,7033,0
CPS.US,60,20200928,180000,14.29,14.29,13.83,13.83,8316,0
CPS.US,60,20200928,190000,13.86,13.94,13.85,13.88,35539,0
CPS.US,60,20200928,200000,13.83,13.87,13.63,13.68,14293,0
CPS.US,60,20200928,210000,13.69,13.715,13.54,13.7,25710,0
CPS.US,60,20200928,220000,13.68,13.73,13.56,13.63,62372,0
CPS.US,60,20200929,160000,13.44,13.465,13.17,13.355,9588,0
CPS.US,60,20200929,170000,13.47,13.47,12.81,12.82,27996,0
CPS.US,60,20200929,180000,12.82,12.985,12.52,12.78,29779,0
CPS.US,60,20200929,190000,12.79,12.95,12.72,12.82,10086,0
CPS.US,60,20200929,200000,12.885,13.045,12.79,12.935,12929,0
CPS.US,60,20200929,210000,12.93,13.1,12.93,13.03,10464,0
CPS.US,60,20200929,220000,13.035,13.22,13,13.11,70844,0
CPS.US,60,20200930,160000,13.16,13.855,13.16,13.615,4416,0
CPS.US,60,20200930,170000,13.64,13.715,13.5,13.56,11241,0
CPS.US,60,20200930,180000,13.455,13.455,13.295,13.33,8989,0
CPS.US,60,20200930,190000,13.36,13.4,13.2,13.345,62857,0
CPS.US,60,20200930,200000,13.345,13.38,13.22,13.24,18932,0
CPS.US,60,20200930,210000,13.25,13.38,12.98,13.11,14841,0
CPS.US,60,20200930,220000,13.12,13.315,13.09,13.21,60295,0
CPS.US,60,20201001,160000,13.44,13.65,12.94,13.005,8121,0
CPS.US,60,20201001,170000,12.87,13.15,12.62,13.14,34690,0
CPS.US,60,20201001,180000,13.09,13.31,13.04,13.26,14167,0
CPS.US,60,20201001,190000,13.26,13.26,13.07,13.09,17274,0
CPS.US,60,20201001,200000,13.12,13.185,13.01,13.04,16903,0
CPS.US,60,20201001,210000,13.03,13.04,12.89,12.965,13383,0
CPS.US,60,20201001,220000,12.95,13.3,12.95,13.28,52400,0
CPS.US,60,20201002,160000,12.8,13.24,12.69,13.115,1968,0
CPS.US,60,20201002,170000,13.2,13.48,13.1,13.2,6245,0
CPS.US,60,20201002,180000,13.2,13.79,13.2,13.53,17714,0
CPS.US,60,20201002,190000,13.6,14.15,13.6,14.15,22739,0
CPS.US,60,20201002,200000,14.11,14.27,13.96,13.99,10053,0
CPS.US,60,20201002,210000,14.02,14.4,14.02,14.37,7010,0
CPS.US,60,20201002,220000,14.3,14.4262,14.23,14.27,40367,0
CPS.US,60,20201005,160000,14.54,14.775,14.49,14.71,5221,0
CPS.US,60,20201005,170000,14.84,14.84,14.56,14.84,10650,0
CPS.US,60,20201005,180000,14.83,15.2,14.77,14.92,19804,0
CPS.US,60,20201005,190000,14.93,15.19,14.93,15.08,6723,0
CPS.US,60,20201005,200000,15.0105,15.08,14.91,14.955,7652,0
CPS.US,60,20201005,210000,14.955,15.19,14.92,15.19,8210,0
CPS.US,60,20201005,220000,15.21,15.37,15.19,15.27,51232,0
CPS.US,60,20201006,160000,15.66,15.905,15.66,15.67,3123,0
CPS.US,60,20201006,170000,15.67,16.15,15.67,16.15,9710,0
CPS.US,60,20201006,180000,16.25,16.3,15.77,15.77,11672,0
CPS.US,60,20201006,190000,15.81,15.91,15.74,15.91,10905,0
CPS.US,60,20201006,200000,15.97,16.2,15.91,15.99,8854,0
CPS.US,60,20201006,210000,16.04,16.18,15.45,15.6,9865,0
CPS.US,60,20201006,220000,15.51,15.65,15.35,15.41,57055,0
CPS.US,60,20201007,160000,15.62,16.02,15.62,15.97,2741,0
CPS.US,60,20201007,170000,15.945,16.31,15.87,16.11,7318,0
