<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVE.US,60,20200914,160000,4.13,4.13,3.9781,4.02,650864,0
CVE.US,60,20200914,170000,4.02,4.025,3.95,3.96,672535,0
CVE.US,60,20200914,180000,3.96,4.06,3.955,4.005,1347349,0
CVE.US,60,20200914,190000,4.005,4.06,4.005,4.02,527137,0
CVE.US,60,20200914,200000,4.02,4.08,4.015,4.06,618334,0
CVE.US,60,20200914,210000,4.06,4.095,4.05,4.09,461425,0
CVE.US,60,20200914,220000,4.08,4.11,4.075,4.11,1128357,0
CVE.US,60,20200915,160000,4.15,4.22,4.11,4.13,505624,0
CVE.US,60,20200915,170000,4.13,4.14,4.095,4.13,510312,0
CVE.US,60,20200915,180000,4.13,4.15,4.105,4.1336,329828,0
CVE.US,60,20200915,190000,4.135,4.18,4.13,4.175,428355,0
CVE.US,60,20200915,200000,4.17,4.18,4.15,4.165,343682,0
CVE.US,60,20200915,210000,4.16,4.16,4.12,4.125,380750,0
CVE.US,60,20200915,220000,4.125,4.13,4.085,4.11,728612,0
CVE.US,60,20200916,160000,4.15,4.24,4.14,4.23,1214243,0
CVE.US,60,20200916,170000,4.225,4.27,4.215,4.235,1255897,0
CVE.US,60,20200916,180000,4.235,4.305,4.235,4.29,530258,0
CVE.US,60,20200916,190000,4.29,4.32,4.255,4.305,426375,0
CVE.US,60,20200916,200000,4.3022,4.35,4.29,4.33,418722,0
CVE.US,60,20200916,210000,4.33,4.45,4.33,4.42,1099746,0
CVE.US,60,20200916,220000,4.42,4.43,4.34,4.35,2076359,0
CVE.US,60,20200917,160000,4.25,4.28,4.15,4.25,519687,0
CVE.US,60,20200917,170000,4.26,4.37,4.2449,4.273,674956,0
CVE.US,60,20200917,180000,4.28,4.32,4.275,4.29,340652,0
CVE.US,60,20200917,190000,4.29,4.29,4.23,4.28,199447,0
CVE.US,60,20200917,200000,4.28,4.315,4.275,4.295,293351,0
CVE.US,60,20200917,210000,4.29,4.32,4.28,4.3,330627,0
CVE.US,60,20200917,220000,4.3,4.31,4.26,4.3,670552,0
CVE.US,60,20200918,160000,4.29,4.31,4.195,4.24,232383,0
CVE.US,60,20200918,170000,4.24,4.3,4.225,4.235,567942,0
CVE.US,60,20200918,180000,4.24,4.3,4.235,4.24,297749,0
CVE.US,60,20200918,190000,4.24,4.25,4.2,4.205,147815,0
CVE.US,60,20200918,200000,4.205,4.22,4.15469,4.1999,359065,0
CVE.US,60,20200918,210000,4.2,4.24,4.19,4.215,351589,0
CVE.US,60,20200918,220000,4.22,4.24,4.2,4.23,1156786,0
CVE.US,60,20200921,160000,4.12,4.13,4.0101,4.07,455514,0
CVE.US,60,20200921,170000,4.06,4.08,3.93,3.97,700572,0
CVE.US,60,20200921,180000,3.975,4.045,3.965,4.04,653858,0
CVE.US,60,20200921,190000,4.0382,4.06,4.005,4.03,370919,0
CVE.US,60,20200921,200000,4.025,4.04,4,4.0133,333581,0
CVE.US,60,20200921,210000,4.02,4.02,3.945,3.97,568939,0
CVE.US,60,20200921,220000,3.965,3.99,3.94,3.96,795034,0
CVE.US,60,20200922,160000,3.97,4.09,3.97,4.03,256655,0
CVE.US,60,20200922,170000,4.03,4.095,4.01,4.01,408715,0
CVE.US,60,20200922,180000,4.01,4.035,3.98,4.02,350040,0
CVE.US,60,20200922,190000,4.02,4.03,3.93,3.94,347641,0
CVE.US,60,20200922,200000,3.95,3.995,3.915,3.985,417553,0
CVE.US,60,20200922,210000,3.99,4.04,3.985,4.03,253313,0
CVE.US,60,20200922,220000,4.025,4.045,4.02,4.03,611281,0
CVE.US,60,20200923,160000,4.03,4.06,3.96,3.98,236954,0
CVE.US,60,20200923,170000,3.98,4.015,3.93,3.995,511141,0
CVE.US,60,20200923,180000,3.99,4.01,3.94,3.95,376959,0
CVE.US,60,20200923,190000,3.95,4.02,3.94,3.97,252715,0
CVE.US,60,20200923,200000,3.97,3.9799,3.93,3.945,353460,0
CVE.US,60,20200923,210000,3.94,3.945,3.845,3.85,1124689,0
CVE.US,60,20200923,220000,3.85,3.88,3.81,3.86,1852008,0
CVE.US,60,20200924,160000,3.81,3.84,3.73,3.8,318681,0
CVE.US,60,20200924,170000,3.805,3.905,3.79,3.87,539781,0
CVE.US,60,20200924,180000,3.865,3.94,3.83,3.93,413637,0
CVE.US,60,20200924,190000,3.935,4,3.915,3.975,1032665,0
CVE.US,60,20200924,200000,3.975,4.06,3.97,4.04,464331,0
CVE.US,60,20200924,210000,4.05,4.05,3.97,3.97,456875,0
CVE.US,60,20200924,220000,3.97,4.01,3.955,4,753873,0
CVE.US,60,20200925,160000,3.95,3.99,3.92,3.97,243739,0
CVE.US,60,20200925,170000,3.965,3.965,3.89,3.91,484025,0
CVE.US,60,20200925,180000,3.9,3.905,3.83,3.83,468403,0
CVE.US,60,20200925,190000,3.835,3.85,3.8143,3.8375,307821,0
CVE.US,60,20200925,200000,3.83,3.875,3.82,3.865,466748,0
CVE.US,60,20200925,210000,3.865,3.88,3.85,3.88,230853,0
CVE.US,60,20200925,220000,3.88,3.905,3.88,3.89,595622,0
