<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVEO.US,60,20200914,160000,9.36,9.48,9.24,9.24,2116,0
CVEO.US,60,20200914,170000,9.6,9.6,9.2448,9.3264,592,0
CVEO.US,60,20200914,180000,9.456,9.456,8.9028,9.2232,7186,0
CVEO.US,60,20200914,190000,9.2232,9.3864,9.024,9.12,1222,0
CVEO.US,60,20200914,200000,9.1212,9.36,9.1212,9.36,2149,0
CVEO.US,60,20200914,210000,9.36,9.48,9.36,9.4213,595,0
CVEO.US,60,20200914,220000,9.4212,9.6,9.42,9.4896,3311,0
CVEO.US,60,20200915,160000,9.4056,9.4056,9.144,9.24,2250,0
CVEO.US,60,20200915,170000,9.24,9.24,9.12,9.1212,4707,0
CVEO.US,60,20200915,180000,9.24,9.24,9.1212,9.1236,1636,0
CVEO.US,60,20200915,190000,9.1236,9.1632,9.1236,9.1632,1658,0
CVEO.US,60,20200915,200000,9.1273,9.486,9.1272,9.48,2681,0
CVEO.US,60,20200915,210000,9.48,9.48,9.18,9.39,2619,0
CVEO.US,60,20200915,220000,9.39,9.48,9.312,9.4692,1980,0
CVEO.US,60,20200916,160000,9.4572,9.548,9.126,9.48,2395,0
CVEO.US,60,20200916,170000,9.336,9.3816,9.24,9.24,766,0
CVEO.US,60,20200916,180000,9.252,9.4848,9.252,9.3649,729,0
CVEO.US,60,20200916,190000,9.48,9.712,9.4224,9.626,5918,0
CVEO.US,60,20200916,200000,9.601,9.71,9.601,9.697,2608,0
CVEO.US,60,20200916,210000,9.697,9.779,9.684,9.779,1860,0
CVEO.US,60,20200916,220000,9.768,10.428,9.749,10.259,12487,0
CVEO.US,60,20200917,160000,10.2,10.2,9.514,10,1827,0
CVEO.US,60,20200917,170000,9.72,9.992,9.54,9.74,6598,0
CVEO.US,60,20200917,180000,9.6,9.79,9.6,9.721,3267,0
CVEO.US,60,20200917,190000,9.731,9.731,9.66,9.66,5871,0
CVEO.US,60,20200917,200000,9.661,9.661,9.546,9.552,786,0
CVEO.US,60,20200917,210000,9.552,9.659,9.36,9.6,4660,0
CVEO.US,60,20200917,220000,9.618,9.84,9.42,9.571,10253,0
CVEO.US,60,20200918,160000,9.48,9.569,9.3912,9.3912,826,0
CVEO.US,60,20200918,170000,9.3936,9.527,9.3936,9.48,859,0
CVEO.US,60,20200918,180000,9.4164,9.4188,9.3,9.4188,1329,0
CVEO.US,60,20200918,190000,9.36,9.3876,9.3,9.3876,304,0
CVEO.US,60,20200918,200000,9.3396,9.384,9.252,9.3168,1664,0
CVEO.US,60,20200918,210000,9.3168,9.3708,9.252,9.3048,916,0
CVEO.US,60,20200918,220000,9.3042,9.3564,9.12,9.1512,5061,0
CVEO.US,60,20200921,160000,9.12,9.3024,8.8404,9,1001,0
CVEO.US,60,20200921,170000,9.06,9.1704,8.196,8.5002,2863,0
CVEO.US,60,20200921,180000,8.6964,8.7552,8.4252,8.4408,2528,0
CVEO.US,60,20200921,190000,8.52,8.6724,8.52,8.5212,987,0
CVEO.US,60,20200921,200000,8.5962,8.6724,8.5704,8.6148,1600,0
CVEO.US,60,20200921,210000,8.6136,8.6412,8.4252,8.4696,1978,0
CVEO.US,60,20200921,220000,8.514,8.5308,8.4,8.5308,3999,0
CVEO.US,60,20200922,160000,8.6412,8.6412,8.64,8.64,94,0
CVEO.US,60,20200922,170000,9.072,9.1079,8.64,8.64,401,0
CVEO.US,60,20200922,180000,8.6832,8.928,8.64,8.784,667,0
CVEO.US,60,20200922,190000,8.928,8.928,8.4588,8.5524,3204,0
CVEO.US,60,20200922,200000,8.64,8.64,8.532,8.532,58,0
CVEO.US,60,20200922,210000,8.7042,8.724,8.484,8.484,1023,0
CVEO.US,60,20200922,220000,8.532,8.646,8.484,8.6352,1738,0
CVEO.US,60,20200923,160000,8.598,8.664,8.4,8.4996,704,0
CVEO.US,60,20200923,170000,8.472,8.5452,8.28,8.364,2917,0
CVEO.US,60,20200923,180000,8.37,8.37,8.28,8.28,3696,0
CVEO.US,60,20200923,190000,8.28,8.3352,8.28,8.3058,1732,0
CVEO.US,60,20200923,200000,8.3028,8.328,8.28,8.28,2151,0
CVEO.US,60,20200923,210000,8.28,8.37,8.28,8.28,2360,0
CVEO.US,60,20200923,220000,8.3544,8.3808,8.28,8.2956,2277,0
CVEO.US,60,20200924,160000,8.3856,8.3964,7.8252,7.986,1088,0
CVEO.US,60,20200924,170000,8.0328,8.1,7.824,7.92,8224,0
CVEO.US,60,20200924,180000,7.9212,7.9944,7.824,7.92,2671,0
CVEO.US,60,20200924,190000,7.92,7.9908,7.92,7.9536,666,0
