<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBD.US,60,20200914,160000,7.74,7.87,7.65,7.825,66941,0
DBD.US,60,20200914,170000,7.83,7.85,7.7,7.76,67017,0
DBD.US,60,20200914,180000,7.76,7.835,7.76,7.81,49882,0
DBD.US,60,20200914,190000,7.8,7.88,7.8,7.85,50274,0
DBD.US,60,20200914,200000,7.85,7.87,7.755,7.755,97102,0
DBD.US,60,20200914,210000,7.755,7.86,7.75,7.85,65091,0
DBD.US,60,20200914,220000,7.87,7.98,7.86,7.95,333741,0
DBD.US,60,20200915,160000,8,8.14,7.9016,7.91,62387,0
DBD.US,60,20200915,170000,7.905,8.06,7.87,8.04,69132,0
DBD.US,60,20200915,180000,8.045,8.06,7.9,7.95,82917,0
DBD.US,60,20200915,190000,7.95,7.975,7.84,7.9,54636,0
DBD.US,60,20200915,200000,7.91,7.91,7.88,7.89,20686,0
DBD.US,60,20200915,210000,7.89,7.95,7.85,7.91,60487,0
DBD.US,60,20200915,220000,7.915,7.9182,7.71,7.76,153430,0
DBD.US,60,20200916,160000,7.8,7.81,7.675,7.77,28726,0
DBD.US,60,20200916,170000,7.78,7.82,7.73,7.7712,36732,0
DBD.US,60,20200916,180000,7.7636,7.88,7.75,7.75,36722,0
DBD.US,60,20200916,190000,7.75,7.86,7.745,7.86,32268,0
DBD.US,60,20200916,200000,7.85,7.89,7.83,7.88,32235,0
DBD.US,60,20200916,210000,7.885,7.955,7.85,7.88,44408,0
DBD.US,60,20200916,220000,7.885,7.91,7.79,7.79,287777,0
DBD.US,60,20200917,160000,7.63,7.64,7.48,7.53,45350,0
DBD.US,60,20200917,170000,7.525,7.77,7.5,7.725,61885,0
DBD.US,60,20200917,180000,7.73,7.79,7.635,7.695,38961,0
DBD.US,60,20200917,190000,7.69,7.69,7.59,7.64,36070,0
DBD.US,60,20200917,200000,7.64,7.74,7.61,7.74,26037,0
DBD.US,60,20200917,210000,7.74,7.84,7.74,7.79,63004,0
DBD.US,60,20200917,220000,7.79,7.81,7.67,7.68,283662,0
DBD.US,60,20200918,160000,7.71,7.71,7.52,7.57,165591,0
DBD.US,60,20200918,170000,7.57,7.725,7.5611,7.67,76048,0
DBD.US,60,20200918,180000,7.67,7.67,7.575,7.579,58038,0
DBD.US,60,20200918,190000,7.575,7.59,7.505,7.55,78445,0
DBD.US,60,20200918,200000,7.56,7.61,7.44,7.49,100804,0
DBD.US,60,20200918,210000,7.48,7.545,7.45,7.53,54792,0
DBD.US,60,20200918,220000,7.525,7.57,7.48,7.49,117451,0
DBD.US,60,20200921,160000,7.2,7.3,6.9056,6.99,128825,0
DBD.US,60,20200921,170000,7.005,7.23,6.985,7.2,117623,0
DBD.US,60,20200921,180000,7.19,7.26,7.145,7.24,86487,0
DBD.US,60,20200921,190000,7.231,7.29,7.155,7.17,66667,0
DBD.US,60,20200921,200000,7.18,7.215,7.15,7.17,53901,0
DBD.US,60,20200921,210000,7.17,7.28,7.14,7.26,88002,0
DBD.US,60,20200921,220000,7.26,7.32,7.25,7.26,203483,0
DBD.US,60,20200922,160000,7.31,7.4,7.22,7.24,30178,0
DBD.US,60,20200922,170000,7.21,7.33,7.145,7.15,127835,0
DBD.US,60,20200922,180000,7.16,7.28,7.14,7.27,54159,0
DBD.US,60,20200922,190000,7.27,7.29,7.22,7.22,41335,0
DBD.US,60,20200922,200000,7.23,7.26,7.2,7.25,97258,0
DBD.US,60,20200922,210000,7.255,7.35,7.255,7.32,62294,0
DBD.US,60,20200922,220000,7.315,7.38,7.3,7.32,176022,0
DBD.US,60,20200923,160000,7.33,7.53,7.3,7.42,69387,0
DBD.US,60,20200923,170000,7.4,7.41,7.3,7.34,41116,0
DBD.US,60,20200923,180000,7.345,7.37,7.24,7.26,50519,0
DBD.US,60,20200923,190000,7.26,7.295,7.22,7.275,53657,0
DBD.US,60,20200923,200000,7.27,7.29,7.22,7.225,31438,0
DBD.US,60,20200923,210000,7.23,7.23,7.14,7.15,135674,0
DBD.US,60,20200923,220000,7.155,7.23,7.11,7.14,384541,0
DBD.US,60,20200924,160000,7.1,7.11,6.93,7.01,32775,0
DBD.US,60,20200924,170000,7.03,7.33,7.02,7.09,56474,0
DBD.US,60,20200924,180000,7.09,7.24,7.08,7.24,34855,0
DBD.US,60,20200924,190000,7.24,7.345,7.24,7.34,31091,0
DBD.US,60,20200924,200000,7.345,7.42,7.325,7.42,61957,0
DBD.US,60,20200924,210000,7.42,7.45,7.2,7.22,119863,0
DBD.US,60,20200924,220000,7.22,7.23,7.04,7.04,168990,0
DBD.US,60,20200925,160000,7,7.14,6.96,7.12,36210,0
DBD.US,60,20200925,170000,7.13,7.15,7.085,7.085,42183,0
DBD.US,60,20200925,180000,7.09,7.12,6.98,7,50333,0
DBD.US,60,20200925,190000,7.01,7.12,7.01,7.12,37207,0
DBD.US,60,20200925,200000,7.12,7.1599,7.11,7.15,48118,0
DBD.US,60,20200925,210000,7.14,7.15,7.085,7.13,52823,0
DBD.US,60,20200925,220000,7.13,7.21,7.09,7.1,202429,0
DBD.US,60,20200928,160000,7.25,7.41,7.24,7.295,42797,0
DBD.US,60,20200928,170000,7.3,7.51,7.24,7.51,132176,0
DBD.US,60,20200928,180000,7.53,7.58,7.4,7.41,84043,0
DBD.US,60,20200928,190000,7.415,7.4818,7.405,7.48,42036,0
DBD.US,60,20200928,200000,7.46,7.51,7.41,7.41,34408,0
DBD.US,60,20200928,210000,7.41,7.53,7.385,7.5,51893,0
DBD.US,60,20200928,220000,7.5,7.5,7.43,7.44,123122,0
DBD.US,60,20200929,160000,7.45,7.52,7.34,7.36,47930,0
DBD.US,60,20200929,170000,7.39,7.445,7.33,7.36,58812,0
DBD.US,60,20200929,180000,7.34,7.41,7.32,7.33,39990,0
DBD.US,60,20200929,190000,7.335,7.34,7.28,7.3099,40775,0
DBD.US,60,20200929,200000,7.318,7.47,7.31,7.465,29248,0
DBD.US,60,20200929,210000,7.46,7.56,7.43,7.51,146708,0
DBD.US,60,20200929,220000,7.5001,7.635,7.47,7.62,229639,0
DBD.US,60,20200930,160000,7.59,7.81,7.59,7.79,57934,0
DBD.US,60,20200930,170000,7.77,7.81,7.68,7.68,56740,0
DBD.US,60,20200930,180000,7.67,7.8,7.605,7.79,52547,0
DBD.US,60,20200930,190000,7.79,7.84,7.7491,7.83,65680,0
DBD.US,60,20200930,200000,7.82,7.82,7.7,7.705,23564,0
DBD.US,60,20200930,210000,7.71,7.75,7.615,7.64,54775,0
DBD.US,60,20200930,220000,7.66,7.69,7.57,7.64,227516,0
DBD.US,60,20201001,160000,7.67,7.845,7.67,7.72,27634,0
DBD.US,60,20201001,170000,7.71,7.72,7.61,7.62,30460,0
DBD.US,60,20201001,180000,7.63,7.71,7.62,7.66,32775,0
DBD.US,60,20201001,190000,7.65,7.703,7.6,7.69,27614,0
DBD.US,60,20201001,200000,7.695,7.73,7.655,7.66,24519,0
DBD.US,60,20201001,210000,7.66,7.72,7.63,7.67,40261,0
DBD.US,60,20201001,220000,7.675,7.71,7.63,7.7,205438,0
DBD.US,60,20201002,160000,7.45,7.92,7.45,7.9,48060,0
DBD.US,60,20201002,170000,7.91,8.04,7.85,7.9,122958,0
DBD.US,60,20201002,180000,7.9,8.13,7.88,8.06,167187,0
DBD.US,60,20201002,190000,8.069,8.14,8.01,8.115,128698,0
DBD.US,60,20201002,200000,8.12,8.14,8.03,8.04,77559,0
DBD.US,60,20201002,210000,8.06,8.13,8.06,8.11,64724,0
DBD.US,60,20201002,220000,8.12,8.175,8.08,8.12,309043,0
DBD.US,60,20201005,160000,8.22,8.43,8.11,8.24,68139,0
DBD.US,60,20201005,170000,8.25,8.57,8.22,8.535,97558,0
DBD.US,60,20201005,180000,8.52,8.65,8.51,8.65,79430,0
DBD.US,60,20201005,190000,8.67,8.67,8.535,8.5355,38645,0
DBD.US,60,20201005,200000,8.54,8.57,8.51,8.53,53084,0
DBD.US,60,20201005,210000,8.52,8.59,8.4,8.58,79160,0
DBD.US,60,20201005,220000,8.57,8.62,8.55,8.59,176567,0
DBD.US,60,20201006,160000,8.64,8.75,8.59,8.6,73137,0
