<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DHT.US,60,20200914,160000,5.5446,5.5925,5.4108,5.5685,815568,0
DHT.US,60,20200914,170000,5.5637,5.5925,5.4968,5.5399,514446,0
DHT.US,60,20200914,180000,5.5399,5.5925,5.535,5.535,356453,0
DHT.US,60,20200914,190000,5.5399,5.6211,5.535,5.5828,368591,0
DHT.US,60,20200914,200000,5.5828,5.6115,5.5733,5.5925,214062,0
DHT.US,60,20200914,210000,5.5972,5.6211,5.5828,5.602,221767,0
DHT.US,60,20200914,220000,5.602,5.6498,5.5733,5.6402,881991,0
DHT.US,60,20200915,160000,5.688,5.688,5.3821,5.406,687995,0
DHT.US,60,20200915,170000,5.4012,5.4777,5.3725,5.449,507030,0
DHT.US,60,20200915,180000,5.449,5.4729,5.4251,5.449,342253,0
DHT.US,60,20200915,190000,5.449,5.4682,5.4395,5.449,226756,0
DHT.US,60,20200915,200000,5.449,5.4682,5.4299,5.4443,205883,0
DHT.US,60,20200915,210000,5.4395,5.449,5.406,5.4156,169138,0
DHT.US,60,20200915,220000,5.4109,5.4203,5.3247,5.3534,755125,0
DHT.US,60,20200916,160000,5.3917,5.5207,5.3343,5.5045,309597,0
DHT.US,60,20200916,170000,5.5064,5.5637,5.449,5.4585,413963,0
DHT.US,60,20200916,180000,5.4634,5.516,5.449,5.4968,248948,0
DHT.US,60,20200916,190000,5.4921,5.5446,5.4873,5.5255,243123,0
DHT.US,60,20200916,200000,5.5255,5.535,5.4395,5.4395,271144,0
DHT.US,60,20200916,210000,5.4395,5.4873,5.4299,5.4794,222007,0
DHT.US,60,20200916,220000,5.4824,5.4873,5.4299,5.4682,672675,0
DHT.US,60,20200917,160000,5.4203,5.5399,5.3725,5.5255,241272,0
DHT.US,60,20200917,170000,5.526,5.5338,5.4777,5.5303,296647,0
DHT.US,60,20200917,180000,5.5303,5.535,5.4968,5.5016,143747,0
DHT.US,60,20200917,190000,5.5016,5.5016,5.4346,5.4729,183347,0
DHT.US,60,20200917,200000,5.4729,5.4777,5.4203,5.4346,183924,0
DHT.US,60,20200917,210000,5.4395,5.4585,5.4203,5.4395,123602,0
DHT.US,60,20200917,220000,5.4395,5.4682,5.4012,5.4585,648051,0
DHT.US,60,20200918,160000,5.4299,5.4585,5.3821,5.4012,119241,0
DHT.US,60,20200918,170000,5.4108,5.449,5.4012,5.4251,166218,0
DHT.US,60,20200918,180000,5.4299,5.4682,5.4156,5.4346,198005,0
DHT.US,60,20200918,190000,5.4299,5.4395,5.4108,5.4251,94387,0
DHT.US,60,20200918,200000,5.4251,5.4395,5.4012,5.406,90180,0
DHT.US,60,20200918,210000,5.4108,5.4203,5.4012,5.406,137920,0
DHT.US,60,20200918,220000,5.4091,5.4108,5.363,5.3917,778121,0
DHT.US,60,20200921,160000,5.2961,5.3247,5.1001,5.1527,400420,0
DHT.US,60,20200921,170000,5.1527,5.2004,5.0858,5.1431,390973,0
DHT.US,60,20200921,180000,5.1431,5.1909,5.1049,5.1814,228283,0
DHT.US,60,20200921,190000,5.1841,5.2196,5.1814,5.1957,157852,0
