<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EIC.US,60,20200914,180000,12.443,12.521,12.414,12.414,2167,0
EIC.US,60,20200914,190000,12.7,12.7,12.414,12.5,5706,0
EIC.US,60,20200914,200000,12.7,12.7,12.7,12.7,1042,0
EIC.US,60,20200914,220000,12.671,12.681,12.671,12.681,365,0
EIC.US,60,20200915,160000,12.681,12.681,12.681,12.681,314,0
EIC.US,60,20200915,170000,12.926,13.151,12.729,13.151,2436,0
EIC.US,60,20200915,180000,13.008,13.036,13.008,13.036,522,0
EIC.US,60,20200915,190000,12.956,12.956,12.956,12.956,208,0
EIC.US,60,20200915,210000,12.798,12.826,12.798,12.826,857,0
EIC.US,60,20200915,220000,12.729,12.778,12.729,12.778,1660,0
EIC.US,60,20200916,170000,12.809,12.896,12.809,12.896,365,0
EIC.US,60,20200916,180000,12.941,13.006,12.941,13.006,208,0
EIC.US,60,20200916,190000,13.068,13.068,12.685,12.685,2036,0
EIC.US,60,20200916,200000,12.83,13.18,12.681,12.892,1364,0
EIC.US,60,20200916,210000,12.892,13.18,12.892,12.892,1075,0
EIC.US,60,20200916,220000,12.606,13.18,12.606,13.131,5633,0
EIC.US,60,20200917,170000,13.266,13.353,13.114,13.114,1252,0
EIC.US,60,20200917,190000,12.979,12.979,12.901,12.903,522,0
EIC.US,60,20200918,200000,13.088,13.228,13.088,13.228,969,0
EIC.US,60,20200918,210000,13.228,13.228,13.228,13.228,106,0
EIC.US,60,20200921,190000,13.18,13.18,13.151,13.151,5732,0
EIC.US,60,20200921,220000,12.887,13.036,12.845,13.036,1458,0
EIC.US,60,20200922,170000,12.921,12.921,12.921,12.921,1564,0
EIC.US,60,20200922,190000,12.921,12.941,12.921,12.941,2582,0
EIC.US,60,20200922,200000,12.931,12.941,12.921,12.921,2400,0
EIC.US,60,20200922,210000,13.079,13.093,13.033,13.033,731,0
EIC.US,60,20200922,220000,13.107,13.107,12.998,12.998,313,0
EIC.US,60,20200923,160000,12.85,12.85,12.845,12.845,208,0
EIC.US,60,20200923,220000,12.969,12.969,12.845,12.845,413,0
EIC.US,60,20200924,180000,12.892,12.892,12.868,12.877,679,0
EIC.US,60,20200924,190000,12.868,12.868,12.868,12.868,147,0
EIC.US,60,20200924,210000,12.868,12.868,12.868,12.868,260,0
EIC.US,60,20200924,220000,12.868,12.868,12.868,12.868,1161,0
EIC.US,60,20200925,170000,12.868,12.872,12.868,12.872,410,0
EIC.US,60,20200928,160000,13.108,13.108,12.863,12.863,208,0
EIC.US,60,20200928,170000,13.19,13.19,13.19,13.19,106,0
EIC.US,60,20200928,190000,13.21,13.21,13.21,13.21,106,0
EIC.US,60,20200928,200000,13.21,13.21,13.21,13.21,106,0
EIC.US,60,20200928,210000,13.22,13.22,12.941,12.955,2943,0
EIC.US,60,20200929,190000,12.739,12.739,12.615,12.635,2646,0
EIC.US,60,20200929,200000,12.662,12.664,12.635,12.635,1250,0
EIC.US,60,20200929,210000,12.173,12.557,11.982,12.557,10772,0
EIC.US,60,20200929,220000,12.55,12.55,12.508,12.508,375,0
EIC.US,60,20200930,180000,12.653,12.749,12.653,12.749,386,0
EIC.US,60,20200930,190000,12.576,12.576,12.576,12.576,106,0
EIC.US,60,20200930,210000,12.615,12.615,12.587,12.587,656,0
EIC.US,60,20201001,160000,12.7,12.715,12.653,12.715,810,0
EIC.US,60,20201001,170000,13.113,13.113,13.113,13.113,806,0
EIC.US,60,20201001,180000,12.758,12.758,12.758,12.758,106,0
EIC.US,60,20201001,200000,12.771,12.771,12.771,12.771,522,0
EIC.US,60,20201001,210000,12.806,12.806,12.806,12.806,259,0
EIC.US,60,20201001,220000,12.816,12.816,12.749,12.749,314,0
EIC.US,60,20201002,180000,12.625,12.63,12.225,12.63,937,0
EIC.US,60,20201002,190000,12.653,13.036,12.653,13.036,420,0
EIC.US,60,20201002,210000,12.773,12.773,12.773,12.773,940,0
EIC.US,60,20201005,160000,12.462,12.462,12.462,12.462,618,0
EIC.US,60,20201005,170000,12.798,12.798,12.798,12.798,106,0
EIC.US,60,20201005,190000,12.71,12.753,12.71,12.748,1748,0
EIC.US,60,20201005,200000,12.729,12.732,12.729,12.732,416,0
EIC.US,60,20201005,210000,12.729,12.729,12.729,12.729,522,0
EIC.US,60,20201005,220000,12.729,12.729,12.661,12.661,2818,0
EIC.US,60,20201006,160000,12.69,12.69,12.671,12.69,1120,0
EIC.US,60,20201006,170000,12.7,12.873,12.699,12.873,743,0
EIC.US,60,20201006,180000,12.766,12.766,12.7,12.7,834,0
EIC.US,60,20201006,190000,12.751,12.751,12.7,12.7,208,0
EIC.US,60,20201006,200000,12.845,12.876,12.766,12.766,1125,0
EIC.US,60,20201006,210000,12.845,12.845,12.845,12.845,106,0
EIC.US,60,20201006,220000,12.7,12.7,12.7,12.7,234,0
EIC.US,60,20201007,160000,12.824,12.824,12.798,12.806,1042,0
