<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENO.US,60,20200914,160000,26.601,26.601,26.601,26.601,101,0
ENO.US,60,20200914,170000,26.719,26.907,26.719,26.856,723,0
ENO.US,60,20200914,180000,26.838,26.857,26.798,26.798,1013,0
ENO.US,60,20200914,190000,26.818,26.818,26.818,26.818,101,0
ENO.US,60,20200914,200000,26.818,26.818,26.818,26.818,203,0
ENO.US,60,20200914,220000,26.833,26.833,26.828,26.828,203,0
ENO.US,60,20200915,160000,26.828,26.956,26.828,26.898,4250,0
ENO.US,60,20200915,170000,26.996,26.996,26.996,26.996,101,0
ENO.US,60,20200915,180000,26.936,26.936,26.907,26.907,608,0
ENO.US,60,20200915,190000,26.936,26.936,26.936,26.936,123,0
ENO.US,60,20200915,220000,26.946,26.956,26.936,26.946,923,0
ENO.US,60,20200916,160000,26.927,26.927,26.927,26.927,101,0
ENO.US,60,20200916,180000,26.927,26.927,26.927,26.927,223,0
ENO.US,60,20200916,210000,26.946,26.983,26.946,26.983,2109,0
ENO.US,60,20200916,220000,26.966,26.968,26.966,26.966,405,0
ENO.US,60,20200917,180000,26.959,26.959,26.959,26.959,101,0
ENO.US,60,20200917,200000,26.68,26.68,26.68,26.68,101,0
ENO.US,60,20200917,210000,26.808,26.828,26.808,26.828,380,0
ENO.US,60,20200917,220000,26.798,26.798,26.719,26.719,1350,0
ENO.US,60,20200918,190000,26.739,26.739,26.739,26.739,110,0
ENO.US,60,20200918,200000,26.71,26.749,26.522,26.749,608,0
ENO.US,60,20200918,220000,26.788,26.788,26.788,26.788,304,0
ENO.US,60,20200921,160000,26.739,26.749,26.739,26.749,475,0
ENO.US,60,20200921,170000,26.393,26.393,26.334,26.334,621,0
ENO.US,60,20200921,180000,26.497,26.497,26.497,26.497,101,0
ENO.US,60,20200921,200000,26.61,26.61,26.541,26.541,382,0
ENO.US,60,20200921,210000,26.632,26.729,26.63,26.63,1028,0
ENO.US,60,20200922,160000,26.66,26.66,26.64,26.66,825,0
ENO.US,60,20200922,170000,26.729,26.729,26.729,26.729,133,0
ENO.US,60,20200922,180000,26.769,26.82,26.769,26.82,1216,0
ENO.US,60,20200922,200000,26.8,26.8,26.8,26.8,172,0
ENO.US,60,20200922,220000,26.828,26.838,26.828,26.838,304,0
ENO.US,60,20200923,160000,26.66,26.66,26.66,26.66,405,0
ENO.US,60,20200923,190000,26.591,26.601,26.522,26.601,4028,0
ENO.US,60,20200923,210000,26.497,26.497,26.166,26.166,1717,0
ENO.US,60,20200923,220000,26.354,26.354,26.235,26.235,1113,0
ENO.US,60,20200924,160000,26.206,26.206,26.206,26.206,101,0
ENO.US,60,20200924,170000,26.214,26.214,26.058,26.127,1014,0
ENO.US,60,20200924,180000,26.048,26.048,26.038,26.038,203,0
ENO.US,60,20200924,190000,26.204,26.206,26.204,26.206,304,0
ENO.US,60,20200924,200000,26.191,26.255,26.191,26.191,304,0
ENO.US,60,20200924,220000,26.226,26.235,26.226,26.235,203,0
ENO.US,60,20200925,160000,26.048,26.048,26.048,26.048,608,0
ENO.US,60,20200925,220000,26.413,26.729,26.413,26.729,801,0
ENO.US,60,20200928,160000,26.611,26.611,26.502,26.502,456,0
ENO.US,60,20200928,180000,26.857,26.857,26.857,26.857,101,0
ENO.US,60,20200928,190000,26.897,26.936,26.897,26.936,6372,0
ENO.US,60,20200928,200000,26.925,26.925,26.925,26.925,106,0
ENO.US,60,20200928,210000,26.877,26.956,26.877,26.956,400,0
ENO.US,60,20200928,220000,26.956,26.956,26.956,26.956,122,0
ENO.US,60,20200929,160000,26.98,26.98,26.98,26.98,612,0
ENO.US,60,20200929,180000,26.97,26.97,26.88,26.88,1108,0
ENO.US,60,20200929,220000,27.05,27.19,27.05,27.19,732,0
ENO.US,60,20200930,160000,27.16,27.16,27.16,27.16,100,0
ENO.US,60,20200930,180000,27.19,27.19,27.175,27.175,310,0
ENO.US,60,20200930,190000,27.23,27.23,27.23,27.23,100,0
ENO.US,60,20200930,200000,27.16,27.16,27.13,27.13,400,0
ENO.US,60,20200930,220000,27.22,27.23,26.65,26.65,24041,0
ENO.US,60,20201001,160000,26.76,26.76,26.76,26.76,175,0
ENO.US,60,20201001,180000,26.93,26.93,26.79,26.79,1063,0
ENO.US,60,20201001,190000,26.89,26.89,26.89,26.89,100,0
ENO.US,60,20201001,200000,26.93,27.0085,26.93,26.955,680,0
ENO.US,60,20201001,210000,27,27,26.94,26.94,941,0
ENO.US,60,20201001,220000,26.935,26.95,26.791,26.8,1281,0
ENO.US,60,20201002,160000,26.77,26.77,26.77,26.77,100,0
ENO.US,60,20201002,170000,26.8077,26.8077,26.8077,26.8077,200,0
ENO.US,60,20201002,180000,26.8465,26.8465,26.7,26.7,837,0
ENO.US,60,20201002,190000,26.61,26.675,26.61,26.675,1100,0
ENO.US,60,20201002,200000,26.685,26.697,26.38,26.38,8827,0
ENO.US,60,20201002,210000,26.4137,26.4137,26.24,26.36,3409,0
ENO.US,60,20201002,220000,26.26,26.35,26.26,26.345,1081,0
ENO.US,60,20201005,160000,26.37,26.37,26.37,26.37,1176,0
ENO.US,60,20201005,170000,26.37,26.37,26.24,26.24,2673,0
ENO.US,60,20201005,180000,26.24,26.25,26.18,26.18,2561,0
ENO.US,60,20201005,200000,26.165,26.2,26.165,26.2,544,0
ENO.US,60,20201005,210000,26.1646,26.1646,26.06,26.06,1577,0
ENO.US,60,20201005,220000,26.05,26.17,26.05,26.17,2660,0
ENO.US,60,20201006,160000,26.12,26.12,26.12,26.12,100,0
ENO.US,60,20201006,170000,26.1,26.165,26.1,26.165,400,0
ENO.US,60,20201006,210000,26.17,26.17,26.17,26.17,518,0
ENO.US,60,20201006,220000,26.17,26.1882,26.16,26.16,797,0
ENO.US,60,20201007,160000,26.17,26.25,26.17,26.25,500,0
ENO.US,60,20201007,170000,26.2457,26.38,26.2457,26.38,4576,0
ENO.US,60,20201007,180000,26.3793,26.38,26.3793,26.38,250,0
ENO.US,60,20201007,190000,26.3793,26.3793,26.36,26.36,245,0
ENO.US,60,20201007,200000,26.33,26.33,26.21,26.21,2206,0
ENO.US,60,20201007,210000,26.35,26.3794,26.23,26.2922,1179,0
ENO.US,60,20201007,220000,26.33,26.37,26.33,26.37,900,0
ENO.US,60,20201008,160000,26.38,26.38,26.38,26.38,100,0
ENO.US,60,20201008,170000,26.3604,26.3604,26.3604,26.3604,505,0
ENO.US,60,20201008,180000,26.36,26.38,26.36,26.38,532,0
ENO.US,60,20201008,190000,26.38,26.38,26.38,26.38,161,0
ENO.US,60,20201008,200000,26.42,26.48,26.4199,26.48,1394,0
ENO.US,60,20201008,210000,26.48,26.54,26.48,26.54,300,0
ENO.US,60,20201008,220000,26.58,26.6,26.56,26.6,1158,0
ENO.US,60,20201009,160000,26.57,26.57,26.56,26.56,700,0
ENO.US,60,20201009,180000,26.635,26.635,26.635,26.635,100,0
ENO.US,60,20201009,200000,26.605,26.605,26.605,26.605,100,0
ENO.US,60,20201009,210000,26.605,26.605,26.6,26.6,480,0
ENO.US,60,20201009,220000,26.52,26.52,26.09,26.3,12002,0
ENO.US,60,20201012,160000,26.29,26.29,26.29,26.29,1192,0
ENO.US,60,20201012,170000,26.24,26.26,26.2,26.26,1541,0
ENO.US,60,20201012,180000,26.18,26.18,26.18,26.18,141,0
ENO.US,60,20201012,190000,26.12,26.185,26.12,26.13,1100,0
ENO.US,60,20201012,200000,26.09,26.09,26.09,26.09,236,0
ENO.US,60,20201012,210000,26.13,26.13,26.13,26.13,100,0
ENO.US,60,20201012,220000,26.1,26.11,25.76,25.79,16687,0
ENO.US,60,20201013,160000,25.91,25.9246,25.84,25.84,1459,0
ENO.US,60,20201013,170000,25.869,25.869,25.869,25.869,189,0
ENO.US,60,20201013,180000,25.85,25.85,25.85,25.85,425,0
ENO.US,60,20201013,190000,25.8,25.8,25.72,25.72,3820,0
ENO.US,60,20201013,200000,25.755,25.755,25.72,25.72,3600,0
ENO.US,60,20201013,210000,25.72,25.8,25.72,25.73,1500,0
ENO.US,60,20201013,220000,25.7,25.7,25.62,25.7,16105,0
ENO.US,60,20201014,160000,25.7,25.74,25.7,25.7037,750,0
ENO.US,60,20201014,170000,25.74,25.74,25.74,25.74,100,0
ENO.US,60,20201014,180000,25.67,25.69,25.65,25.65,2633,0
ENO.US,60,20201014,190000,25.6616,25.6616,25.63,25.63,2457,0
ENO.US,60,20201014,200000,25.65,25.682,25.64,25.64,1490,0
ENO.US,60,20201014,210000,25.6,25.64,25.57,25.61,1405,0
ENO.US,60,20201014,220000,25.6063,25.68,25.59,25.68,1810,0
ENO.US,60,20201015,160000,25.57,25.57,25.57,25.57,100,0
ENO.US,60,20201015,170000,25.62,25.68,25.61,25.68,658,0
ENO.US,60,20201015,180000,25.61,25.61,25.61,25.61,204,0
ENO.US,60,20201015,190000,25.65,25.65,25.65,25.65,279,0
ENO.US,60,20201015,200000,25.65,25.65,25.65,25.65,100,0
ENO.US,60,20201015,210000,25.65,25.65,25.65,25.65,100,0
ENO.US,60,20201015,220000,25.65,25.69,25.61,25.69,1356,0
ENO.US,60,20201016,160000,25.65,25.65,25.65,25.65,100,0
ENO.US,60,20201016,170000,25.64,25.65,25.61,25.61,786,0
ENO.US,60,20201016,190000,25.64,25.65,25.635,25.65,816,0
ENO.US,60,20201016,200000,25.66,25.67,25.6457,25.6457,1468,0
ENO.US,60,20201016,210000,25.6429,25.6429,25.6429,25.6429,146,0
ENO.US,60,20201016,220000,25.66,25.66,25.54,25.65,3102,0
ENO.US,60,20201019,160000,25.68,25.68,25.65,25.65,622,0
ENO.US,60,20201019,170000,25.6121,25.64,25.61,25.6324,851,0
ENO.US,60,20201019,180000,25.61,25.61,25.61,25.61,634,0
ENO.US,60,20201019,200000,25.625,25.625,25.625,25.625,369,0
ENO.US,60,20201019,210000,25.6217,25.6217,25.59,25.59,778,0
ENO.US,60,20201019,220000,25.5801,25.6,25.52,25.54,3132,0
ENO.US,60,20201020,170000,25.57,25.62,25.57,25.605,1163,0
ENO.US,60,20201020,180000,25.6,25.6,25.59,25.59,1169,0
ENO.US,60,20201020,190000,25.62,25.62,25.62,25.62,165,0
ENO.US,60,20201020,200000,25.61,25.61,25.61,25.61,1000,0
ENO.US,60,20201020,220000,25.59,25.62,25.56,25.62,2662,0
ENO.US,60,20201021,160000,25.56,25.609,25.56,25.609,750,0
ENO.US,60,20201021,170000,25.6,25.6,25.56,25.56,1300,0
ENO.US,60,20201021,190000,25.54,25.54,25.54,25.54,316,0
ENO.US,60,20201021,210000,25.56,25.56,25.56,25.56,335,0
ENO.US,60,20201021,220000,25.5494,25.58,25.54,25.58,2158,0
ENO.US,60,20201022,160000,25.6,25.6,25.6,25.6,100,0
ENO.US,60,20201022,170000,25.5998,25.5998,25.5998,25.5998,359,0
ENO.US,60,20201022,200000,25.6,25.6,25.5904,25.5968,1235,0
ENO.US,60,20201022,210000,25.6,25.64,25.6,25.63,4301,0
ENO.US,60,20201022,220000,25.63,25.64,25.63,25.64,807,0
ENO.US,60,20201023,170000,25.65,25.76,25.6458,25.69,12397,0
ENO.US,60,20201023,180000,25.71,25.72,25.68,25.7,4579,0
ENO.US,60,20201023,190000,25.71,25.72,25.66,25.72,793,0
ENO.US,60,20201023,200000,25.69,25.69,25.67,25.67,620,0
ENO.US,60,20201023,210000,25.72,25.73,25.7,25.72,993,0
ENO.US,60,20201023,220000,25.72,25.72,25.69,25.72,2130,0
ENO.US,60,20201026,150000,25.69,25.69,25.55,25.69,1790,0
ENO.US,60,20201026,170000,25.6693,25.6693,25.64,25.66,750,0
ENO.US,60,20201026,180000,25.6106,25.62,25.6,25.61,1545,0
ENO.US,60,20201026,190000,25.5914,25.5914,25.585,25.585,400,0
ENO.US,60,20201026,200000,25.63,25.6399,25.595,25.61,2100,0
ENO.US,60,20201026,210000,25.62,25.67,25.62,25.63,875,0
ENO.US,60,20201027,150000,25.61,25.87,25.61,25.78,7655,0
ENO.US,60,20201027,160000,25.7919,25.8499,25.69,25.8499,2467,0
ENO.US,60,20201027,170000,25.72,25.72,25.66,25.68,1025,0
ENO.US,60,20201027,180000,25.69,25.69,25.69,25.69,100,0
ENO.US,60,20201027,200000,25.67,25.69,25.61,25.65,3276,0
ENO.US,60,20201027,210000,25.6329,25.6329,25.61,25.63,2243,0
ENO.US,60,20201028,150000,25.56,25.6,25.53,25.5436,2711,0
ENO.US,60,20201028,160000,25.55,25.57,25.54,25.54,1900,0
ENO.US,60,20201028,170000,25.52,25.54,25.49,25.54,2761,0
ENO.US,60,20201028,180000,25.55,25.67,25.55,25.67,4286,0
ENO.US,60,20201028,190000,25.62,25.62,25.62,25.62,400,0
ENO.US,60,20201028,200000,25.56,25.56,25.55,25.55,1000,0
ENO.US,60,20201028,210000,25.55,25.55,25.42,25.45,10172,0
ENO.US,60,20201029,160000,25.59,25.59,25.53,25.53,1100,0
ENO.US,60,20201029,170000,25.62,25.62,25.6,25.6035,801,0
ENO.US,60,20201029,180000,25.64,25.64,25.64,25.64,2000,0
ENO.US,60,20201029,190000,25.604,25.604,25.604,25.604,315,0
ENO.US,60,20201029,210000,25.57,25.57,25.57,25.57,360,0
ENO.US,60,20201030,160000,25.62,25.62,25.49,25.49,300,0
ENO.US,60,20201030,170000,25.52,25.52,25.52,25.52,100,0
ENO.US,60,20201030,190000,25.5,25.5,25.4918,25.5,1744,0
ENO.US,60,20201030,200000,25.52,25.58,25.52,25.58,1345,0
ENO.US,60,20201030,210000,25.54,25.73,25.54,25.73,9048,0
ENO.US,60,20201102,160000,25.58,25.58,25.58,25.58,1555,0
ENO.US,60,20201102,170000,25.72,25.72,25.683,25.71,4586,0
ENO.US,60,20201102,180000,25.75,25.75,25.75,25.75,100,0
ENO.US,60,20201102,190000,25.7319,25.74,25.72,25.72,1530,0
ENO.US,60,20201102,200000,25.72,25.74,25.6,25.6,3103,0
ENO.US,60,20201102,210000,25.61,25.6567,25.6,25.61,7211,0
ENO.US,60,20201102,220000,25.6426,25.6426,25.49,25.5,22241,0
ENO.US,60,20201103,160000,25.52,25.58,25.49,25.54,4656,0
ENO.US,60,20201103,170000,25.54,25.54,25.46,25.46,10100,0
ENO.US,60,20201103,180000,25.505,25.505,25.44,25.44,7880,0
ENO.US,60,20201103,190000,25.44,25.5,25.44,25.47,9300,0
ENO.US,60,20201103,200000,25.47,25.49,25.4435,25.48,45066,0
ENO.US,60,20201103,210000,25.49,25.5,25.48,25.5,7355,0
ENO.US,60,20201103,220000,25.515,25.528,25.515,25.52,1036,0
ENO.US,60,20201104,160000,25.57,25.6,25.57,25.58,900,0
ENO.US,60,20201104,170000,25.58,25.63,25.57,25.58,5204,0
ENO.US,60,20201104,180000,25.58,25.58,25.5797,25.5797,324,0
ENO.US,60,20201104,190000,25.56,25.56,25.51,25.56,6212,0
ENO.US,60,20201104,220000,25.56,25.61,25.55,25.61,12308,0
ENO.US,60,20201105,160000,25.64,25.73,25.64,25.72,3133,0
ENO.US,60,20201105,170000,25.685,25.685,25.62,25.65,5485,0
ENO.US,60,20201105,180000,25.65,25.653,25.65,25.653,2000,0
ENO.US,60,20201105,190000,25.61,25.61,25.59,25.59,2001,0
ENO.US,60,20201105,210000,25.63,25.67,25.615,25.64,2300,0
ENO.US,60,20201105,220000,25.6,25.63,25.6,25.63,621,0
ENO.US,60,20201106,160000,25.64,25.64,25.64,25.64,858,0
ENO.US,60,20201106,170000,25.6,25.631,25.6,25.631,2006,0
ENO.US,60,20201106,180000,25.63,25.63,25.63,25.63,100,0
ENO.US,60,20201106,190000,25.63,25.64,25.63,25.64,275,0
ENO.US,60,20201106,200000,25.62,25.63,25.62,25.63,1400,0
ENO.US,60,20201106,210000,25.63,25.66,25.63,25.63,2838,0
ENO.US,60,20201106,220000,25.6,25.63,25.6,25.63,1264,0
ENO.US,60,20201109,160000,25.63,25.72,25.63,25.72,205,0
ENO.US,60,20201109,170000,25.74,25.74,25.69,25.7,1481,0
ENO.US,60,20201109,180000,25.6755,25.6755,25.6755,25.6755,159,0
ENO.US,60,20201109,190000,25.692,25.73,25.692,25.73,1272,0
ENO.US,60,20201109,200000,25.71,25.74,25.65,25.65,1700,0
ENO.US,60,20201109,210000,25.64,25.64,25.64,25.64,200,0
ENO.US,60,20201109,220000,25.68,25.72,25.68,25.7,491,0
ENO.US,60,20201110,170000,25.692,25.6994,25.69,25.6994,600,0
ENO.US,60,20201110,180000,25.67,25.68,25.61,25.68,846,0
ENO.US,60,20201110,190000,25.69,25.72,25.69,25.72,2007,0
ENO.US,60,20201110,200000,25.69,25.69,25.63,25.67,1101,0
ENO.US,60,20201110,210000,25.6604,25.6604,25.6604,25.6604,190,0
ENO.US,60,20201110,220000,25.69,25.69,25.665,25.69,1035,0
ENO.US,60,20201111,160000,25.62,25.69,25.62,25.69,200,0
ENO.US,60,20201111,170000,25.68,25.68,25.67,25.67,702,0
ENO.US,60,20201111,190000,25.69,25.69,25.68,25.685,441,0
ENO.US,60,20201111,220000,25.6884,25.69,25.68,25.69,569,0
ENO.US,60,20201112,160000,25.68,25.69,25.68,25.69,1800,0
ENO.US,60,20201112,170000,25.69,25.71,25.69,25.7,2780,0
ENO.US,60,20201112,180000,25.7,25.7,25.7,25.7,437,0
ENO.US,60,20201112,190000,25.71,25.71,25.71,25.71,100,0
ENO.US,60,20201112,200000,25.68,25.68,25.67,25.67,2033,0
ENO.US,60,20201112,210000,25.661,25.661,25.661,25.661,369,0
ENO.US,60,20201112,220000,25.6472,25.69,25.6472,25.69,974,0
ENO.US,60,20201113,170000,25.7,25.7,25.7,25.7,2764,0
ENO.US,60,20201113,180000,25.7,25.7,25.7,25.7,458,0
ENO.US,60,20201113,190000,25.7261,25.7261,25.71,25.715,1868,0
ENO.US,60,20201113,200000,25.7167,25.73,25.7167,25.7172,1200,0
ENO.US,60,20201113,210000,25.719,25.719,25.719,25.719,300,0
ENO.US,60,20201113,220000,25.72,25.72,25.705,25.705,1116,0
ENO.US,60,20201116,160000,25.72,25.72,25.6774,25.6774,237,0
ENO.US,60,20201116,170000,25.69,25.72,25.69,25.72,314,0
ENO.US,60,20201116,180000,25.7003,25.71,25.69,25.69,1400,0
ENO.US,60,20201116,190000,25.71,25.71,25.7099,25.71,2800,0
ENO.US,60,20201116,200000,25.71,25.727,25.71,25.71,727,0
ENO.US,60,20201116,210000,25.72,25.72,25.72,25.72,100,0
ENO.US,60,20201116,220000,25.71,25.73,25.71,25.73,1794,0
ENO.US,60,20201117,160000,25.73,25.73,25.73,25.73,100,0
ENO.US,60,20201117,170000,25.73,25.73,25.73,25.73,415,0
ENO.US,60,20201117,180000,25.74,25.74,25.7355,25.74,2179,0
ENO.US,60,20201117,190000,25.74,25.93,25.74,25.81,11712,0
ENO.US,60,20201117,200000,25.8085,25.84,25.8085,25.84,384,0
ENO.US,60,20201117,210000,25.87,25.87,25.87,25.87,214,0
ENO.US,60,20201117,220000,25.87,25.87,25.87,25.87,202,0
ENO.US,60,20201118,160000,25.87,25.91,25.87,25.91,3032,0
ENO.US,60,20201118,170000,25.95,26.1,25.95,26.06,9930,0
ENO.US,60,20201118,180000,26.03,26.0655,25.84,25.84,1606,0
ENO.US,60,20201118,190000,26,26,26,26,100,0
ENO.US,60,20201118,210000,25.9198,25.99,25.75,25.96,4043,0
ENO.US,60,20201118,220000,25.8,26.07,25.77,25.93,2742,0
ENO.US,60,20201119,160000,25.856,26.01,25.856,26.01,4414,0
ENO.US,60,20201119,170000,25.96,25.96,25.92,25.92,514,0
ENO.US,60,20201119,200000,25.93,25.99,25.89,25.99,5924,0
ENO.US,60,20201119,210000,26.0482,26.0482,25.99,25.99,229,0
ENO.US,60,20201119,220000,25.99,26.05,25.99,26.05,1919,0
ENO.US,60,20201120,160000,26.08,26.08,25.9739,25.9739,300,0
ENO.US,60,20201120,170000,26.07,26.07,26.025,26.05,1800,0
ENO.US,60,20201120,180000,26.03,26.03,25.98,25.98,320,0
ENO.US,60,20201120,190000,26,26,26,26,112,0
ENO.US,60,20201120,200000,25.7836,25.83,25.7836,25.83,800,0
ENO.US,60,20201120,210000,25.91,25.91,25.91,25.91,194,0
ENO.US,60,20201120,220000,25.91,25.99,25.8468,25.99,1197,0
ENO.US,60,20201123,160000,25.99,25.99,25.99,25.99,111,0
ENO.US,60,20201123,180000,25.99,25.99,25.99,25.99,124,0
ENO.US,60,20201123,200000,25.94,25.94,25.94,25.94,727,0
ENO.US,60,20201123,220000,25.8773,25.92,25.8773,25.92,1142,0
ENO.US,60,20201124,160000,25.85,25.85,25.85,25.85,100,0
ENO.US,60,20201124,170000,25.92,25.92,25.9,25.9,300,0
ENO.US,60,20201124,180000,25.88,25.88,25.85,25.85,282,0
ENO.US,60,20201124,190000,25.85,25.85,25.85,25.85,300,0
ENO.US,60,20201124,200000,25.8105,25.8105,25.8105,25.8105,300,0
ENO.US,60,20201124,210000,25.8251,25.8251,25.8251,25.8251,200,0
ENO.US,60,20201124,220000,25.8,25.84,25.76,25.83,1697,0
ENO.US,60,20201125,160000,25.88,25.88,25.8186,25.8186,1198,0
ENO.US,60,20201125,170000,25.84,25.84,25.84,25.84,200,0
ENO.US,60,20201125,190000,25.88,25.88,25.8072,25.8072,311,0
ENO.US,60,20201125,220000,25.75,25.78,25.74,25.78,762,0
ENO.US,60,20201127,160000,25.89,25.89,25.89,25.89,310,0
ENO.US,60,20201127,180000,25.7743,25.7743,25.72,25.72,2071,0
ENO.US,60,20201127,190000,25.71,25.71,25.7,25.7,2479,0
ENO.US,60,20201130,160000,25.88,25.88,25.61,25.61,2256,0
ENO.US,60,20201130,170000,25.65,25.65,25.6499,25.6499,253,0
ENO.US,60,20201130,180000,25.73,25.74,25.72,25.72,800,0
ENO.US,60,20201130,210000,25.74,25.855,25.74,25.84,4504,0
ENO.US,60,20201130,220000,25.795,25.93,25.795,25.93,1325,0
ENO.US,60,20201201,160000,25.87,25.87,25.87,25.87,717,0
ENO.US,60,20201201,170000,25.865,25.865,25.865,25.865,500,0
ENO.US,60,20201201,200000,25.84,25.85,25.84,25.8461,932,0
ENO.US,60,20201201,220000,25.8696,25.8696,25.84,25.84,664,0
ENO.US,60,20201202,160000,25.785,25.785,25.785,25.785,400,0
ENO.US,60,20201202,170000,25.72,25.74,25.72,25.74,300,0
ENO.US,60,20201202,180000,25.789,25.789,25.7384,25.7384,468,0
ENO.US,60,20201202,190000,25.744,25.76,25.744,25.76,245,0
ENO.US,60,20201202,200000,25.73,25.78,25.72,25.78,9290,0
ENO.US,60,20201202,210000,25.75,25.96,25.75,25.952,10191,0
ENO.US,60,20201202,220000,26.02,26.035,25.88,25.88,5235,0
ENO.US,60,20201203,160000,25.96,25.96,25.96,25.96,150,0
ENO.US,60,20201203,180000,25.98,26.005,25.8933,26.005,996,0
ENO.US,60,20201203,210000,25.985,26.07,25.985,26.06,492,0
ENO.US,60,20201203,220000,26.03,26.03,26,26.03,1099,0
ENO.US,60,20201204,170000,26.1,26.1,26.1,26.1,272,0
ENO.US,60,20201204,180000,26.08,26.08,25.916,26.04,2462,0
ENO.US,60,20201204,190000,26,26.01,26,26.01,200,0
ENO.US,60,20201204,200000,26,26,26,26,396,0
ENO.US,60,20201204,220000,26.0215,26.03,25.91,26.03,2876,0
ENO.US,60,20201207,160000,26.02,26.02,26.02,26.02,100,0
ENO.US,60,20201207,170000,26.01,26.0175,26.01,26.01,1612,0
ENO.US,60,20201207,190000,26.03,26.04,26.03,26.04,1918,0
ENO.US,60,20201207,200000,26.05,26.05,26.05,26.05,100,0
ENO.US,60,20201207,220000,26.04,26.04,25.9869,26.01,927,0
ENO.US,60,20201208,170000,26.03,26.0352,26.01,26.025,1928,0
ENO.US,60,20201208,190000,26.0595,26.0595,26.01,26.01,465,0
ENO.US,60,20201208,220000,26.01,26.01,26.01,26.01,808,0
ENO.US,60,20201209,170000,26.04,26.04,26.04,26.04,100,0
ENO.US,60,20201209,180000,26.06,26.1,26.06,26.06,5282,0
ENO.US,60,20201209,190000,26.08,26.13,26.08,26.1,1890,0
ENO.US,60,20201209,200000,26.1,26.1,26.08,26.08,221,0
ENO.US,60,20201209,210000,26.07,26.07,26.07,26.07,237,0
ENO.US,60,20201209,220000,26.064,26.1,26.05,26.1,1223,0
ENO.US,60,20201210,170000,26.11,26.11,26.11,26.11,100,0
ENO.US,60,20201210,180000,26.09,26.09,26.08,26.08,435,0
ENO.US,60,20201210,190000,26.043,26.043,25.94,25.94,870,0
ENO.US,60,20201210,220000,25.9688,26.04,25.9688,26.04,894,0
ENO.US,60,20201211,160000,25.93,25.93,25.93,25.93,100,0
ENO.US,60,20201211,170000,26.0095,26.0095,25.98,25.9917,1151,0
ENO.US,60,20201211,180000,26.04,26.07,26,26.0366,1477,0
ENO.US,60,20201211,200000,26.05,26.07,26.05,26.07,492,0
ENO.US,60,20201211,210000,26.08,26.08,26.08,26.08,886,0
ENO.US,60,20201211,220000,26.1096,26.12,26.06,26.12,979,0
ENO.US,60,20201214,190000,26.09,26.09,26.09,26.09,896,0
ENO.US,60,20201214,200000,26.1,26.1,26.1,26.1,149,0
ENO.US,60,20201214,210000,26.1091,26.1091,26.1091,26.1091,166,0
