<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EPRT.US,60,20200914,160000,17.927,18.353,17.778,18.304,28070,0
EPRT.US,60,20200914,170000,18.323,18.363,18.091,18.323,61411,0
EPRT.US,60,20200914,180000,18.323,18.556,18.304,18.517,85755,0
EPRT.US,60,20200914,190000,18.526,18.584,18.43,18.546,79608,0
EPRT.US,60,20200914,200000,18.536,18.598,18.459,18.469,29299,0
EPRT.US,60,20200914,210000,18.469,18.487,18.372,18.44,30559,0
EPRT.US,60,20200914,220000,18.44,18.44,18.227,18.343,205578,0
EPRT.US,60,20200915,160000,18.449,18.758,18.449,18.7,21242,0
EPRT.US,60,20200915,170000,18.73,19.173,18.73,19.116,73622,0
EPRT.US,60,20200915,180000,19.116,19.26,19.077,19.106,72005,0
EPRT.US,60,20200915,190000,19.067,19.077,18.961,19.009,43609,0
EPRT.US,60,20200915,200000,19.019,19.203,18.999,19.029,42657,0
EPRT.US,60,20200915,210000,19.048,19.067,18.98,18.985,25941,0
EPRT.US,60,20200915,220000,18.985,19.067,18.927,18.971,216383,0
EPRT.US,60,20200916,160000,18.99,19.217,18.826,19.217,22321,0
EPRT.US,60,20200916,170000,19.222,19.416,19.116,19.28,182850,0
EPRT.US,60,20200916,180000,19.26,19.57,19.255,19.483,96853,0
EPRT.US,60,20200916,190000,19.463,19.54,19.396,19.425,82803,0
EPRT.US,60,20200916,200000,19.428,19.521,19.294,19.366,36475,0
EPRT.US,60,20200916,210000,19.352,19.453,19.309,19.352,92327,0
EPRT.US,60,20200916,220000,19.347,19.503,19.329,19.406,267815,0
EPRT.US,60,20200917,160000,19.135,19.503,18.932,19.357,60102,0
EPRT.US,60,20200917,170000,19.329,19.503,19.319,19.376,25405,0
EPRT.US,60,20200917,180000,19.425,19.503,19.232,19.241,28239,0
EPRT.US,60,20200917,190000,19.222,19.28,19.019,19.178,95807,0
EPRT.US,60,20200917,200000,19.173,19.25,19.144,19.208,40966,0
EPRT.US,60,20200917,210000,19.208,19.299,19.136,19.183,40291,0
EPRT.US,60,20200917,220000,19.183,19.241,19.144,19.154,283851,0
EPRT.US,60,20200918,160000,18.912,19.048,18.7,18.845,1142243,0
EPRT.US,60,20200918,170000,18.864,19.086,18.817,18.947,449977,0
EPRT.US,60,20200918,180000,18.951,19.019,18.767,18.864,321401,0
EPRT.US,60,20200918,190000,18.864,18.894,18.482,18.648,294699,0
EPRT.US,60,20200918,200000,18.653,18.812,18.566,18.807,289468,0
EPRT.US,60,20200918,210000,18.807,18.884,18.7,18.869,268154,0
EPRT.US,60,20200918,220000,18.874,18.932,18.72,18.864,644719,0
EPRT.US,60,20200921,160000,18.584,18.653,17.88,17.967,205660,0
EPRT.US,60,20200921,170000,17.962,18.188,17.744,18.111,127380,0
EPRT.US,60,20200921,180000,18.131,18.256,17.957,18.034,119275,0
EPRT.US,60,20200921,190000,18.034,18.121,17.86,17.927,123227,0
EPRT.US,60,20200921,200000,17.932,18.072,17.788,17.83,348462,0
EPRT.US,60,20200921,210000,17.826,18.044,17.821,17.922,220035,0
EPRT.US,60,20200921,220000,17.922,17.985,17.676,17.753,573353,0
EPRT.US,60,20200922,160000,17.793,18.44,17.778,18.101,44086,0
EPRT.US,60,20200922,170000,18.111,18.391,17.84,17.84,121245,0
EPRT.US,60,20200922,180000,17.87,17.985,17.715,17.981,162136,0
EPRT.US,60,20200922,190000,17.981,18.198,17.976,18.116,147809,0
EPRT.US,60,20200922,200000,18.111,18.333,18.014,18.314,114098,0
EPRT.US,60,20200922,210000,18.323,18.449,18.231,18.271,192445,0
EPRT.US,60,20200922,220000,18.276,18.44,18.266,18.44,629133,0
EPRT.US,60,20200923,160000,18.487,19.039,18.391,18.767,63461,0
EPRT.US,60,20200923,170000,18.744,18.889,18.304,18.526,107172,0
EPRT.US,60,20200923,180000,18.507,18.566,18.469,18.492,72115,0
EPRT.US,60,20200923,190000,18.507,18.521,18.353,18.376,135784,0
EPRT.US,60,20200923,200000,18.391,18.449,18.256,18.304,138419,0
EPRT.US,60,20200923,210000,18.294,18.363,17.994,18.034,106380,0
EPRT.US,60,20200923,220000,18.044,18.101,17.773,17.793,321680,0
EPRT.US,60,20200924,160000,17.753,17.753,17.348,17.386,140807,0
EPRT.US,60,20200924,170000,17.386,17.715,17.241,17.386,247747,0
EPRT.US,60,20200924,180000,17.377,17.406,17.251,17.348,421184,0
EPRT.US,60,20200924,190000,17.348,17.399,17.281,17.377,446349,0
EPRT.US,60,20200924,200000,17.386,17.811,17.377,17.618,298088,0
EPRT.US,60,20200924,210000,17.623,17.628,17.328,17.338,65226,0
EPRT.US,60,20200924,220000,17.348,17.391,17.222,17.231,591758,0
