<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EQNR.US,60,20200914,160000,15.406,15.416,15.337,15.381,317040,0
EQNR.US,60,20200914,170000,15.386,15.406,15.303,15.322,432028,0
EQNR.US,60,20200914,180000,15.322,15.446,15.308,15.411,442911,0
EQNR.US,60,20200914,190000,15.411,15.456,15.411,15.451,210389,0
EQNR.US,60,20200914,200000,15.451,15.486,15.426,15.486,334170,0
EQNR.US,60,20200914,210000,15.481,15.555,15.476,15.536,499562,0
EQNR.US,60,20200914,220000,15.531,15.546,15.446,15.446,575081,0
EQNR.US,60,20200915,160000,15.654,15.724,15.575,15.585,320928,0
EQNR.US,60,20200915,170000,15.59,15.744,15.575,15.714,514527,0
EQNR.US,60,20200915,180000,15.709,15.754,15.684,15.684,243044,0
EQNR.US,60,20200915,190000,15.674,15.724,15.669,15.699,170665,0
EQNR.US,60,20200915,200000,15.704,15.714,15.674,15.679,93429,0
EQNR.US,60,20200915,210000,15.679,15.724,15.639,15.699,180526,0
EQNR.US,60,20200915,220000,15.699,15.699,15.585,15.634,541865,0
EQNR.US,60,20200916,160000,15.724,15.729,15.614,15.654,413430,0
EQNR.US,60,20200916,170000,15.659,15.769,15.654,15.769,311862,0
EQNR.US,60,20200916,180000,15.764,15.887,15.754,15.852,288571,0
EQNR.US,60,20200916,190000,15.852,15.947,15.837,15.877,263032,0
EQNR.US,60,20200916,200000,15.882,15.927,15.803,15.803,424384,0
EQNR.US,60,20200916,210000,15.803,15.95,15.793,15.907,380229,0
EQNR.US,60,20200916,220000,15.912,15.932,15.714,15.764,810299,0
EQNR.US,60,20200917,160000,15.694,15.749,15.614,15.724,362569,0
EQNR.US,60,20200917,170000,15.724,15.823,15.704,15.714,433450,0
EQNR.US,60,20200917,180000,15.709,15.813,15.709,15.729,180412,0
EQNR.US,60,20200917,190000,15.724,15.759,15.659,15.759,188091,0
EQNR.US,60,20200917,200000,15.764,15.783,15.744,15.759,93346,0
EQNR.US,60,20200917,210000,15.764,15.813,15.754,15.798,173817,0
EQNR.US,60,20200917,220000,15.793,15.842,15.744,15.842,577504,0
EQNR.US,60,20200918,160000,15.644,15.724,15.58,15.649,300043,0
EQNR.US,60,20200918,170000,15.654,15.823,15.644,15.764,520643,0
EQNR.US,60,20200918,180000,15.769,15.803,15.719,15.734,375162,0
EQNR.US,60,20200918,190000,15.729,15.739,15.619,15.634,468942,0
EQNR.US,60,20200918,200000,15.634,15.644,15.531,15.585,248548,0
EQNR.US,60,20200918,210000,15.594,15.631,15.565,15.585,301681,0
EQNR.US,60,20200918,220000,15.594,15.619,15.565,15.585,529113,0
EQNR.US,60,20200921,160000,15.099,15.153,14.96,15.08,552160,0
EQNR.US,60,20200921,170000,15.08,15.09,14.842,14.861,361404,0
EQNR.US,60,20200921,180000,14.861,14.985,14.827,14.98,237507,0
EQNR.US,60,20200921,190000,14.97,15.04,14.94,14.945,249543,0
EQNR.US,60,20200921,200000,14.95,15.015,14.94,14.96,180094,0
EQNR.US,60,20200921,210000,14.95,14.975,14.91,14.97,234395,0
EQNR.US,60,20200921,220000,14.97,15.03,14.96,15,500117,0
EQNR.US,60,20200922,160000,15.178,15.288,15.07,15.07,291749,0
EQNR.US,60,20200922,170000,15.07,15.109,14.925,14.94,359685,0
EQNR.US,60,20200922,180000,14.935,14.99,14.886,14.913,150571,0
EQNR.US,60,20200922,190000,14.92,14.935,14.837,14.852,114763,0
EQNR.US,60,20200922,200000,14.861,14.919,14.842,14.91,136545,0
EQNR.US,60,20200922,210000,14.915,14.94,14.871,14.871,228911,0
EQNR.US,60,20200922,220000,14.871,14.915,14.857,14.891,964089,0
EQNR.US,60,20200923,160000,14.95,14.975,14.871,14.871,414418,0
EQNR.US,60,20200923,170000,14.876,14.881,14.658,14.727,521512,0
EQNR.US,60,20200923,180000,14.722,14.777,14.614,14.629,250860,0
EQNR.US,60,20200923,190000,14.624,14.732,14.614,14.687,217140,0
EQNR.US,60,20200923,200000,14.687,14.687,14.604,14.619,162056,0
EQNR.US,60,20200923,210000,14.614,14.614,14.425,14.444,643970,0
EQNR.US,60,20200923,220000,14.444,14.454,14.356,14.366,1364312,0
EQNR.US,60,20200924,160000,14.386,14.386,14.216,14.256,347021,0
EQNR.US,60,20200924,170000,14.251,14.42,14.236,14.326,540875,0
EQNR.US,60,20200924,180000,14.326,14.435,14.286,14.425,199070,0
EQNR.US,60,20200924,190000,14.425,14.504,14.425,14.494,187774,0
EQNR.US,60,20200924,200000,14.494,14.653,14.484,14.629,316780,0
EQNR.US,60,20200924,210000,14.633,14.643,14.43,14.43,505460,0
EQNR.US,60,20200924,220000,14.43,14.534,14.425,14.514,479164,0
EQNR.US,60,20200925,160000,14.306,14.379,14.261,14.346,227190,0
