<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EQT.US,60,20200914,160000,14.15,14.34,13.68,13.94,240988,0
EQT.US,60,20200914,170000,13.95,14.34,13.915,14.205,441910,0
EQT.US,60,20200914,180000,14.205,14.225,14.025,14.105,538498,0
EQT.US,60,20200914,190000,14.1,14.23,14.1,14.21,305866,0
EQT.US,60,20200914,200000,14.215,14.39,14.21,14.345,370249,0
EQT.US,60,20200914,210000,14.34,14.34,14.13,14.195,275077,0
EQT.US,60,20200914,220000,14.2,14.27,14.135,14.23,1629160,0
EQT.US,60,20200915,160000,14.37,14.6,14.2,14.58,564874,0
EQT.US,60,20200915,170000,14.585,14.91,14.58,14.74,870008,0
EQT.US,60,20200915,180000,14.73,14.745,14.33,14.495,515656,0
EQT.US,60,20200915,190000,14.49,14.52,14.35,14.405,225295,0
EQT.US,60,20200915,200000,14.405,14.51,14.39,14.405,171144,0
EQT.US,60,20200915,210000,14.4,14.41,14.275,14.3,319984,0
EQT.US,60,20200915,220000,14.305,14.34,14.1815,14.25,1163507,0
EQT.US,60,20200916,160000,14.3,14.45,14.17,14.44,326849,0
EQT.US,60,20200916,170000,14.435,14.54,14.34,14.49,353396,0
EQT.US,60,20200916,180000,14.5,14.78,14.49,14.775,422355,0
EQT.US,60,20200916,190000,14.775,14.82,14.575,14.66,255307,0
EQT.US,60,20200916,200000,14.65,14.73,14.6,14.61,379482,0
EQT.US,60,20200916,210000,14.61,14.95,14.585,14.94,429617,0
EQT.US,60,20200916,220000,14.945,14.97,14.66,14.76,1616418,0
EQT.US,60,20200917,160000,14.5,14.5,13.68,14.035,801034,0
EQT.US,60,20200917,170000,14.04,14.13,13.73,13.745,813950,0
EQT.US,60,20200917,180000,13.75,13.86,13.65,13.855,814387,0
EQT.US,60,20200917,190000,13.85,14.45,13.84,14.44,962284,0
EQT.US,60,20200917,200000,14.43,14.62,14.34,14.5,301703,0
EQT.US,60,20200917,210000,14.5,14.65,14.45,14.535,370729,0
EQT.US,60,20200917,220000,14.53,14.63,14.49,14.58,1294152,0
EQT.US,60,20200918,160000,14.62,15.02,14.52,14.91,317257,0
EQT.US,60,20200918,170000,14.91,15.105,14.715,15.1025,350948,0
EQT.US,60,20200918,180000,15.1,15.405,15.1,15.285,501304,0
EQT.US,60,20200918,190000,15.28,15.38,15.08,15.13,427508,0
EQT.US,60,20200918,200000,15.135,15.16,14.88,15.125,316787,0
EQT.US,60,20200918,210000,15.13,15.155,14.96,15.005,345986,0
EQT.US,60,20200918,220000,15.01,15.225,14.97,15.14,3435377,0
EQT.US,60,20200921,160000,14.85,15.31,14.698,15.13,328307,0
EQT.US,60,20200921,170000,15.12,15.16,14.69,14.82,244015,0
EQT.US,60,20200921,180000,14.822,15.08,14.68,15.06,243204,0
EQT.US,60,20200921,190000,15.06,15.33,15.0281,15.23,235434,0
EQT.US,60,20200921,200000,15.23,15.37,15.15,15.29,400541,0
EQT.US,60,20200921,210000,15.3,15.33,15.17,15.28,425566,0
EQT.US,60,20200921,220000,15.27,15.62,15.26,15.45,1829201,0
EQT.US,60,20200922,160000,15.39,15.62,15.15,15.39,277765,0
EQT.US,60,20200922,170000,15.385,15.49,15.08,15.09,344914,0
EQT.US,60,20200922,180000,15.1,15.215,14.985,15.025,295627,0
EQT.US,60,20200922,190000,15.03,15.135,14.89,14.98,590675,0
EQT.US,60,20200922,200000,14.985,15.02,14.825,15.0156,247772,0
EQT.US,60,20200922,210000,15.02,15.095,14.925,14.95,236394,0
EQT.US,60,20200922,220000,14.94,14.97,14.71,14.71,1028345,0
EQT.US,60,20200923,160000,14.9,15.22,14.72,14.99,328661,0
EQT.US,60,20200923,170000,14.99,15.11,14.86,15.055,374624,0
EQT.US,60,20200923,180000,15.06,15.09,14.77,14.81,284383,0
EQT.US,60,20200923,190000,14.8,14.98,14.7,14.925,190416,0
EQT.US,60,20200923,200000,14.93,14.935,14.78,14.805,209950,0
EQT.US,60,20200923,210000,14.81,14.815,14.45,14.49,344668,0
EQT.US,60,20200923,220000,14.485,14.52,14.38,14.39,1106309,0
EQT.US,60,20200924,160000,14.33,14.58,14.24,14.37,235798,0
EQT.US,60,20200924,170000,14.37,14.765,14.32,14.695,548512,0
EQT.US,60,20200924,180000,14.685,14.82,14.54,14.76,466860,0
EQT.US,60,20200924,190000,14.76,14.84,14.64,14.72,283069,0
EQT.US,60,20200924,200000,14.73,14.9,14.69,14.82,283477,0
EQT.US,60,20200924,210000,14.82,14.845,14.505,14.505,290117,0
EQT.US,60,20200924,220000,14.505,14.54,14.365,14.48,801308,0
EQT.US,60,20200925,160000,14.25,14.45,14.23,14.38,115823,0
EQT.US,60,20200925,170000,14.38,14.4464,14.12,14.235,221264,0
EQT.US,60,20200925,180000,14.24,14.24,13.95,14.01,209894,0
EQT.US,60,20200925,190000,14.01,14.02,13.8604,13.8748,168612,0
EQT.US,60,20200925,200000,13.87,13.97,13.74,13.895,411226,0
EQT.US,60,20200925,210000,13.89,13.9,13.75,13.88,369063,0
EQT.US,60,20200925,220000,13.88,13.95,13.85,13.87,1605533,0
EQT.US,60,20200928,160000,13.97,14.0211,13.56,13.57,351083,0
EQT.US,60,20200928,170000,13.57,13.8,13.235,13.8,772647,0
EQT.US,60,20200928,180000,13.805,13.95,13.74,13.79,300095,0
EQT.US,60,20200928,190000,13.78,13.955,13.775,13.825,169427,0
EQT.US,60,20200928,200000,13.82,14,13.79,13.915,211814,0
EQT.US,60,20200928,210000,13.91,14.135,13.91,14.115,252358,0
EQT.US,60,20200928,220000,14.12,14.125,13.96,13.99,983416,0
EQT.US,60,20200929,160000,13.73,13.78,13.34,13.39,337362,0
EQT.US,60,20200929,170000,13.38,13.38,13.145,13.165,774113,0
EQT.US,60,20200929,180000,13.155,13.155,12.915,12.97,1210246,0
EQT.US,60,20200929,190000,12.97,13.01,12.75,12.865,878549,0
EQT.US,60,20200929,200000,12.86,12.91,12.84,12.86,299164,0
EQT.US,60,20200929,210000,12.86,13.02,12.845,12.965,399466,0
EQT.US,60,20200929,220000,12.965,13.015,12.8,12.84,1598684,0
EQT.US,60,20200930,160000,12.73,12.91,12.61,12.78,365914,0
EQT.US,60,20200930,170000,12.77,12.98,12.575,12.925,512153,0
EQT.US,60,20200930,180000,12.92,13.095,12.835,13.095,398578,0
EQT.US,60,20200930,190000,13.0908,13.15,12.9,13.145,358455,0
EQT.US,60,20200930,200000,13.145,13.15,13.02,13.105,177850,0
EQT.US,60,20200930,210000,13.11,13.17,12.9,13.03,350496,0
EQT.US,60,20200930,220000,13.02,13.025,12.84,12.93,1563598,0
EQT.US,60,20201001,160000,12.81,13.08,12.63,12.77,242414,0
EQT.US,60,20201001,170000,12.77,12.79,12.53,12.58,530275,0
EQT.US,60,20201001,180000,12.58,12.62,12.46,12.62,319879,0
EQT.US,60,20201001,190000,12.62,12.87,12.545,12.845,322535,0
EQT.US,60,20201001,200000,12.845,12.92,12.82,12.83,164406,0
EQT.US,60,20201001,210000,12.83,12.83,12.72,12.755,153696,0
EQT.US,60,20201001,220000,12.755,12.785,12.64,12.68,654821,0
EQT.US,60,20201002,160000,12.29,12.8758,12.27,12.81,261999,0
EQT.US,60,20201002,170000,12.81,12.9,12.66,12.75,318992,0
EQT.US,60,20201002,180000,12.75,13.075,12.705,12.995,256272,0
EQT.US,60,20201002,190000,12.9999,13.07,12.86,12.975,167630,0
EQT.US,60,20201002,200000,12.975,12.9901,12.745,12.75,167030,0
EQT.US,60,20201002,210000,12.75,12.915,12.735,12.83,276000,0
EQT.US,60,20201002,220000,12.83,12.85,12.69,12.73,699725,0
EQT.US,60,20201005,160000,13.04,13.4401,12.99,13.25,555778,0
EQT.US,60,20201005,170000,13.25,13.445,13.01,13.39,394751,0
EQT.US,60,20201005,180000,13.4,13.565,13.375,13.385,254875,0
EQT.US,60,20201005,190000,13.39,13.435,13.315,13.36,247517,0
EQT.US,60,20201005,200000,13.35,13.64,13.345,13.605,519494,0
EQT.US,60,20201005,210000,13.61,13.72,13.56,13.685,280658,0
EQT.US,60,20201005,220000,13.685,13.73,13.595,13.69,1542534,0
EQT.US,60,20201006,160000,13.88,14.0612,13.685,13.7,226633,0
EQT.US,60,20201006,170000,13.7,14.02,13.6,13.955,347706,0
EQT.US,60,20201006,180000,13.96,14.24,13.89,14.19,305568,0
EQT.US,60,20201006,190000,14.19,14.2,13.945,14.065,149124,0
EQT.US,60,20201006,200000,14.065,14.1202,13.85,13.88,248360,0
EQT.US,60,20201006,210000,13.875,13.94,13.5,13.55,278907,0
EQT.US,60,20201006,220000,13.56,13.7,13.4,13.46,1041633,0
EQT.US,60,20201007,160000,13.71,13.99,13.695,13.77,274441,0
EQT.US,60,20201007,170000,13.76,13.78,13.505,13.67,325350,0
EQT.US,60,20201007,180000,13.67,13.95,13.59,13.94,315599,0
