<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ERJ.US,60,20200914,160000,5.15,5.175,5.08,5.13,208663,0
ERJ.US,60,20200914,170000,5.13,5.14,5.02,5.075,357377,0
ERJ.US,60,20200914,180000,5.08,5.115,5.06,5.07,112633,0
ERJ.US,60,20200914,190000,5.075,5.13,5.07,5.13,71389,0
ERJ.US,60,20200914,200000,5.13,5.17,5.12,5.165,109425,0
ERJ.US,60,20200914,210000,5.16,5.19,5.155,5.18,131959,0
ERJ.US,60,20200914,220000,5.175,5.19,5.155,5.18,265415,0
ERJ.US,60,20200915,160000,5.18,5.23,5.085,5.095,128026,0
ERJ.US,60,20200915,170000,5.095,5.19,5.08,5.17,160763,0
ERJ.US,60,20200915,180000,5.17,5.17,5.105,5.115,156899,0
ERJ.US,60,20200915,190000,5.115,5.14,5.11,5.135,92729,0
ERJ.US,60,20200915,200000,5.14,5.17,5.135,5.16,88015,0
ERJ.US,60,20200915,210000,5.16,5.16,5.13,5.15,54919,0
ERJ.US,60,20200915,220000,5.145,5.145,5.11,5.12,183263,0
ERJ.US,60,20200916,160000,5.14,5.14,5.09,5.095,203625,0
ERJ.US,60,20200916,170000,5.095,5.21,5.095,5.195,304669,0
ERJ.US,60,20200916,180000,5.19,5.28,5.185,5.245,187813,0
ERJ.US,60,20200916,190000,5.24,5.27,5.21,5.22,114805,0
ERJ.US,60,20200916,200000,5.22,5.265,5.215,5.26,122939,0
ERJ.US,60,20200916,210000,5.2633,5.31,5.245,5.255,134682,0
ERJ.US,60,20200916,220000,5.255,5.27,5.19,5.23,209896,0
ERJ.US,60,20200917,160000,5.11,5.155,5.065,5.145,158163,0
ERJ.US,60,20200917,170000,5.14,5.23,5.14,5.2,228464,0
ERJ.US,60,20200917,180000,5.21,5.2499,5.21,5.24,90811,0
ERJ.US,60,20200917,190000,5.23,5.24,5.19,5.235,102594,0
ERJ.US,60,20200917,200000,5.24,5.3,5.24,5.285,78845,0
ERJ.US,60,20200917,210000,5.285,5.291,5.225,5.245,109829,0
ERJ.US,60,20200917,220000,5.24,5.2799,5.22,5.25,360178,0
ERJ.US,60,20200918,160000,5.18,5.18,5.065,5.1001,245899,0
ERJ.US,60,20200918,170000,5.1,5.175,5.09,5.15,193850,0
ERJ.US,60,20200918,180000,5.15,5.15,5.02,5.025,298203,0
ERJ.US,60,20200918,190000,5.025,5.045,5,5.005,319532,0
ERJ.US,60,20200918,200000,5.003,5.02,4.935,4.965,366622,0
