<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVRI.US,60,20200914,160000,7.622,8.06,7.622,8.015,472665,0
EVRI.US,60,20200914,170000,8.02,8.07,7.78,7.81,383423,0
EVRI.US,60,20200914,180000,7.8001,7.9198,7.78,7.88,165791,0
EVRI.US,60,20200914,190000,7.87,7.97,7.87,7.935,152381,0
EVRI.US,60,20200914,200000,7.94,7.98,7.88,7.9538,176323,0
EVRI.US,60,20200914,210000,7.95,8.01,7.9,7.91,425036,0
EVRI.US,60,20200914,220000,7.91,7.97,7.84,7.96,757621,0
EVRI.US,60,20200915,160000,8,8.1933,7.99,8.1089,309468,0
EVRI.US,60,20200915,170000,8.1025,8.37,8.07,8.35,533869,0
EVRI.US,60,20200915,180000,8.36,8.54,8.34,8.405,488000,0
EVRI.US,60,20200915,190000,8.39,8.69,8.37,8.615,764272,0
EVRI.US,60,20200915,200000,8.61,8.655,8.52,8.56,314177,0
EVRI.US,60,20200915,210000,8.57,8.62,8.46,8.605,538925,0
EVRI.US,60,20200915,220000,8.605,8.62,8.3401,8.51,1063412,0
EVRI.US,60,20200916,160000,8.54,8.5878,8.3102,8.325,287942,0
EVRI.US,60,20200916,170000,8.3208,8.355,8.02,8.1501,699712,0
EVRI.US,60,20200916,180000,8.1597,8.2999,8.14,8.185,308017,0
EVRI.US,60,20200916,190000,8.18,8.39,8.13,8.345,283361,0
EVRI.US,60,20200916,200000,8.3498,8.42,8.31,8.39,250618,0
EVRI.US,60,20200916,210000,8.39,8.465,8.32,8.36,208874,0
EVRI.US,60,20200916,220000,8.355,8.379,8.195,8.34,664108,0
EVRI.US,60,20200917,160000,8.12,8.27,8.08,8.2201,164498,0
EVRI.US,60,20200917,170000,8.23,8.29,8.14,8.23,243168,0
EVRI.US,60,20200917,180000,8.23,8.31,8.13,8.15,196162,0
EVRI.US,60,20200917,190000,8.15,8.15,8.02,8.08,223339,0
EVRI.US,60,20200917,200000,8.08,8.21,8.0715,8.17,144405,0
EVRI.US,60,20200917,210000,8.17,8.2,8.07,8.11,147081,0
EVRI.US,60,20200917,220000,8.11,8.3,8.06,8.28,553918,0
EVRI.US,60,20200918,160000,8.4,8.515,8.3,8.435,172554,0
EVRI.US,60,20200918,170000,8.43,8.5389,8.375,8.395,279072,0
EVRI.US,60,20200918,180000,8.395,8.44,8.25,8.31,117805,0
EVRI.US,60,20200918,190000,8.315,8.3199,8.14,8.1689,124158,0
EVRI.US,60,20200918,200000,8.1692,8.21,8.085,8.18,217067,0
EVRI.US,60,20200918,210000,8.1866,8.2322,8.145,8.22,108306,0
EVRI.US,60,20200918,220000,8.22,8.42,8.22,8.37,577561,0
EVRI.US,60,20200921,160000,8.11,8.2,7.78,7.81,347844,0
EVRI.US,60,20200921,170000,7.8,7.9698,7.67,7.8,386645,0
EVRI.US,60,20200921,180000,7.7999,7.925,7.74,7.9111,225828,0
EVRI.US,60,20200921,190000,7.91,7.955,7.87,7.93,155888,0
EVRI.US,60,20200921,200000,7.94,8.039,7.89,8.01,126529,0
EVRI.US,60,20200921,210000,8,8.0211,7.9,7.97,99092,0
EVRI.US,60,20200921,220000,7.96,8.08,7.96,8.07,366486,0
EVRI.US,60,20200922,160000,8.12,8.3311,8.0523,8.22,270857,0
EVRI.US,60,20200922,170000,8.21,8.29,8.13,8.14,261449,0
EVRI.US,60,20200922,180000,8.14,8.2,8.1,8.1473,158148,0
EVRI.US,60,20200922,190000,8.1411,8.26,8.13,8.235,149309,0
EVRI.US,60,20200922,200000,8.23,8.3267,8.22,8.3111,167772,0
EVRI.US,60,20200922,210000,8.32,8.37,8.27,8.3298,196850,0
EVRI.US,60,20200922,220000,8.33,8.36,8.3,8.34,243366,0
EVRI.US,60,20200923,160000,8.3,8.54,8.25,8.35,246982,0
EVRI.US,60,20200923,170000,8.3499,8.47,8.3411,8.42,294379,0
EVRI.US,60,20200923,180000,8.415,8.43,8.325,8.345,182393,0
EVRI.US,60,20200923,190000,8.345,8.3858,8.33,8.375,148035,0
EVRI.US,60,20200923,200000,8.3702,8.42,8.34,8.36,157680,0
EVRI.US,60,20200923,210000,8.35,8.385,8.29,8.35,373545,0
EVRI.US,60,20200923,220000,8.35,8.355,8.105,8.12,711125,0
EVRI.US,60,20200924,160000,8,8.08,7.8202,7.935,255501,0
EVRI.US,60,20200924,170000,7.945,8.1,7.87,8.03,341984,0
EVRI.US,60,20200924,180000,8.02,8.27,7.9899,8.27,305988,0
EVRI.US,60,20200924,190000,8.27,8.35,8.21,8.28,145663,0
EVRI.US,60,20200924,200000,8.275,8.37,8.23,8.2333,262287,0
EVRI.US,60,20200924,210000,8.24,8.29,8.15,8.16,155750,0
EVRI.US,60,20200924,220000,8.16,8.21,8.0503,8.13,431506,0
EVRI.US,60,20200925,160000,8.18,8.32,8.12,8.295,90235,0
EVRI.US,60,20200925,170000,8.295,8.405,8.25,8.295,241977,0
EVRI.US,60,20200925,180000,8.3,8.35,8.14,8.18,196533,0
EVRI.US,60,20200925,190000,8.175,8.31,8.175,8.28,114715,0
EVRI.US,60,20200925,200000,8.285,8.375,8.27,8.2911,118417,0
EVRI.US,60,20200925,210000,8.29,8.345,8.28,8.34,70568,0
EVRI.US,60,20200925,220000,8.34,8.35,8.25,8.26,318513,0
EVRI.US,60,20200928,160000,8.45,8.54,8.26,8.41,137208,0
EVRI.US,60,20200928,170000,8.415,8.485,8.32,8.485,190027,0
EVRI.US,60,20200928,180000,8.49,8.6299,8.47,8.555,313068,0
