<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLME.US,60,20210421,160000,9.6,9.6,9.6,9.6,391,0
FLME.US,60,20210421,200000,9.7,9.7,9.7,9.7,9200,0
FLME.US,60,20210421,220000,9.7,9.7,9.67,9.67,1500,0
FLME.US,60,20210422,180000,9.7,9.7,9.7,9.7,500,0
FLME.US,60,20210422,190000,9.7,9.77,9.7,9.76,3448,0
FLME.US,60,20210422,200000,9.75,9.75,9.7,9.7,108782,0
FLME.US,60,20210422,210000,9.7,9.72,9.7,9.72,36667,0
FLME.US,60,20210422,220000,9.7,9.7,9.68,9.7,173247,0
FLME.US,60,20210423,200000,9.67,9.7,9.66,9.7,16500,0
FLME.US,60,20210426,160000,9.7,9.7,9.7,9.7,47588,0
FLME.US,60,20210426,170000,9.7499,9.7499,9.7,9.7,2300,0
FLME.US,60,20210426,200000,9.7423,9.7423,9.7081,9.7081,412,0
FLME.US,60,20210426,210000,9.72,9.72,9.72,9.72,500,0
FLME.US,60,20210427,170000,9.72,9.72,9.72,9.72,2680,0
FLME.US,60,20210427,220000,9.72,9.72,9.72,9.72,4280,0
FLME.US,60,20210428,200000,9.72,9.72,9.7,9.72,14600,0
FLME.US,60,20210429,160000,9.76,9.76,9.76,9.76,2000,0
FLME.US,60,20210429,180000,9.72,9.73,9.72,9.72,5898,0
FLME.US,60,20210429,190000,9.69,9.69,9.69,9.69,3200,0
FLME.US,60,20210429,200000,9.69,9.69,9.69,9.69,200,0
FLME.US,60,20210429,210000,9.69,9.7,9.69,9.7,563260,0
FLME.US,60,20210430,160000,9.64,9.73,9.64,9.71,7158,0
FLME.US,60,20210430,170000,9.705,9.705,9.69,9.69,2482,0
FLME.US,60,20210430,180000,9.73,9.73,9.6835,9.6835,400,0
FLME.US,60,20210430,200000,9.71,9.71,9.69,9.69,400,0
FLME.US,60,20210430,220000,9.6909,9.6909,9.6909,9.6909,600,0
FLME.US,60,20210503,170000,9.67,9.67,9.67,9.67,152,0
FLME.US,60,20210503,220000,9.68,9.68,9.68,9.68,300,0
FLME.US,60,20210505,160000,9.7,9.7,9.7,9.7,100,0
FLME.US,60,20210505,220000,9.7,9.7,9.7,9.7,149,0
