<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRX-WS.US,60,20210119,160000,2.85,2.85,2.6,2.8,5943,0
FRX-WS.US,60,20210119,170000,2.75,2.85,2.75,2.75,4555,0
FRX-WS.US,60,20210119,180000,2.76,2.76,2.6,2.62,9501,0
FRX-WS.US,60,20210119,190000,2.62,2.75,2.6,2.6,10442,0
FRX-WS.US,60,20210119,200000,2.6,2.67,2.51,2.6,5868,0
FRX-WS.US,60,20210119,210000,2.66,2.6699,2.6,2.61,5132,0
FRX-WS.US,60,20210119,220000,2.6,2.76,2.55,2.6,13262,0
FRX-WS.US,60,20210120,160000,2.6228,2.6228,2.61,2.61,200,0
FRX-WS.US,60,20210120,170000,2.6498,2.7699,2.61,2.65,5386,0
FRX-WS.US,60,20210120,180000,2.6788,2.75,2.65,2.65,1403,0
FRX-WS.US,60,20210120,190000,2.64,2.64,2.6399,2.6399,1536,0
FRX-WS.US,60,20210120,200000,2.61,2.64,2.5801,2.64,3974,0
FRX-WS.US,60,20210120,210000,2.59,2.6,2.58,2.6,3300,0
FRX-WS.US,60,20210120,220000,2.6,2.6148,2.55,2.55,10983,0
FRX-WS.US,60,20210121,160000,2.65,2.65,2.65,2.65,167,0
FRX-WS.US,60,20210121,170000,2.75,2.76,2.58,2.6,5032,0
FRX-WS.US,60,20210121,180000,2.61,2.74,2.61,2.67,7093,0
FRX-WS.US,60,20210121,190000,2.63,2.74,2.61,2.68,1101,0
FRX-WS.US,60,20210121,200000,2.68,2.686,2.55,2.55,5350,0
FRX-WS.US,60,20210121,210000,2.68,2.72,2.6,2.69,3634,0
FRX-WS.US,60,20210121,220000,2.69,2.69,2.6,2.6,367,0
FRX-WS.US,60,20210122,160000,2.72,2.77,2.66,2.75,2966,0
FRX-WS.US,60,20210122,170000,2.65,2.75,2.65,2.701,2797,0
FRX-WS.US,60,20210122,180000,2.687,2.687,2.65,2.66,1892,0
FRX-WS.US,60,20210122,190000,2.65,2.76,2.65,2.65,2901,0
FRX-WS.US,60,20210122,200000,2.7,2.75,2.65,2.66,1465,0
FRX-WS.US,60,20210122,210000,2.65,2.65,2.65,2.65,1000,0
FRX-WS.US,60,20210122,220000,2.65,2.85,2.65,2.78,22118,0
FRX-WS.US,60,20210125,160000,2.7,2.912,2.7,2.88,7329,0
FRX-WS.US,60,20210125,170000,2.9013,2.99,2.66,2.83,12814,0
FRX-WS.US,60,20210125,180000,2.83,2.85,2.77,2.85,12036,0
FRX-WS.US,60,20210125,190000,2.93,2.95,2.85,2.94,2511,0
FRX-WS.US,60,20210125,200000,2.87,2.94,2.67,2.68,4897,0
FRX-WS.US,60,20210125,210000,2.76,2.76,2.67,2.74,8848,0
FRX-WS.US,60,20210125,220000,2.74,2.94,2.67,2.94,24895,0
FRX-WS.US,60,20210126,160000,2.93,2.93,2.67,2.7999,5304,0
FRX-WS.US,60,20210126,170000,2.68,2.74,2.68,2.74,1147,0
FRX-WS.US,60,20210126,180000,2.75,2.75,2.72,2.72,3598,0
FRX-WS.US,60,20210126,190000,2.72,2.72,2.67,2.6998,15888,0
FRX-WS.US,60,20210126,200000,2.67,2.69,2.65,2.65,6545,0
FRX-WS.US,60,20210126,210000,2.65,2.69,2.39,2.39,44277,0
FRX-WS.US,60,20210126,220000,2.4,2.4999,2.2,2.24,71571,0
FRX-WS.US,60,20210127,160000,2.24,2.24,2.16,2.2,2111,0
FRX-WS.US,60,20210127,170000,2.13,2.13,2.05,2.13,13042,0
FRX-WS.US,60,20210127,180000,2.13,2.13,2.12,2.13,12658,0
FRX-WS.US,60,20210127,190000,2.12,2.1298,2.08,2.086,18891,0
FRX-WS.US,60,20210127,200000,2.09,2.105,2.05,2.06,29158,0
