<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GCO.US,60,20200914,160000,22.11,22.79,21.98,22.68,10294,0
GCO.US,60,20200914,170000,22.69,23.4,22.505,23.29,30681,0
GCO.US,60,20200914,180000,23.28,23.9,23.17,23.64,36126,0
GCO.US,60,20200914,190000,23.64,24.21,23.6,24.18,20172,0
GCO.US,60,20200914,200000,24.21,24.3,23.14,23.21,186426,0
GCO.US,60,20200914,210000,23.21,23.91,23.16,23.79,94646,0
GCO.US,60,20200914,220000,23.785,24.16,23.71,24.06,171427,0
GCO.US,60,20200915,160000,24.22,24.44,23.75,23.99,9338,0
GCO.US,60,20200915,170000,23.96,25.29,23.86,25.27,57477,0
GCO.US,60,20200915,180000,25.22,25.29,24.91,25.12,22957,0
GCO.US,60,20200915,190000,25.12,25.29,24.92,24.99,11247,0
GCO.US,60,20200915,200000,24.99,25.38,24.9,25.37,20618,0
GCO.US,60,20200915,210000,25.33,25.72,25.32,25.52,42154,0
GCO.US,60,20200915,220000,25.535,25.63,25.345,25.54,113916,0
GCO.US,60,20200916,160000,25.74,25.82,25.53,25.71,3876,0
GCO.US,60,20200916,170000,25.68,26.4,25.61,26.34,12872,0
GCO.US,60,20200916,180000,26.32,26.83,26.295,26.4,21020,0
GCO.US,60,20200916,190000,26.42,26.74,26.29,26.64,17277,0
GCO.US,60,20200916,200000,26.56,26.665,26.53,26.5656,11289,0
GCO.US,60,20200916,210000,26.57,27.3,26.57,27.07,45295,0
GCO.US,60,20200916,220000,27.05,27.08,26.74,26.84,151300,0
GCO.US,60,20200917,160000,26.43,26.55,26.12,26.16,12526,0
GCO.US,60,20200917,170000,26.23,26.995,26.18,26.63,25006,0
GCO.US,60,20200917,180000,26.64,27.05,26.56,27,33955,0
GCO.US,60,20200917,190000,26.96,27.21,26.89,27.1,26752,0
GCO.US,60,20200917,200000,27.12,27.12,26.81,26.85,28549,0
GCO.US,60,20200917,210000,26.82,27.05,26.695,27.05,20122,0
GCO.US,60,20200917,220000,27.05,27.29,26.88,27.03,240871,0
GCO.US,60,20200918,160000,27.22,27.31,26.663,26.76,31140,0
GCO.US,60,20200918,170000,26.6059,27.03,26.43,26.43,5191,0
GCO.US,60,20200918,180000,26.55,26.645,26.29,26.335,9387,0
GCO.US,60,20200918,190000,26.33,26.35,25.85,26.079,14780,0
GCO.US,60,20200918,200000,26.08,26.24,25.895,26.03,18479,0
GCO.US,60,20200918,210000,25.99,26.23,25.95,26.19,31798,0
GCO.US,60,20200918,220000,26.23,26.23,25.96,26.15,53702,0
GCO.US,60,20200921,160000,25.25,25.425,23.87,23.94,16603,0
GCO.US,60,20200921,170000,23.83,24.12,23.52,23.91,16581,0
GCO.US,60,20200921,180000,23.91,24.095,23.83,24.015,16564,0
GCO.US,60,20200921,190000,24.04,24.09,23.72,23.72,8890,0
GCO.US,60,20200921,200000,23.69,23.88,23.69,23.76,12721,0
GCO.US,60,20200921,210000,23.735,23.91,23.7,23.9,8907,0
GCO.US,60,20200921,220000,23.93,24.41,23.93,24.3,132548,0
GCO.US,60,20200922,160000,24.65,24.77,24.19,24.38,3068,0
GCO.US,60,20200922,170000,24.33,24.8788,24.24,24.28,6775,0
GCO.US,60,20200922,180000,24.1801,24.4,23.97,24.345,18361,0
GCO.US,60,20200922,190000,24.35,24.65,24.21,24.59,119629,0
GCO.US,60,20200922,200000,24.6,24.61,24.41,24.49,16698,0
GCO.US,60,20200922,210000,24.5,25.01,24.5,24.95,46253,0
GCO.US,60,20200922,220000,24.92,24.99,24.48,24.58,144900,0
GCO.US,60,20200923,160000,24.92,25.67,24.92,25.35,11081,0
GCO.US,60,20200923,170000,25.33,25.33,24.41,24.59,19374,0
GCO.US,60,20200923,180000,24.595,24.81,24.505,24.58,16379,0
GCO.US,60,20200923,190000,24.56,24.7,24.51,24.62,18630,0
GCO.US,60,20200923,200000,24.59,24.95,24.57,24.7,13579,0
GCO.US,60,20200923,210000,24.67,24.7,24.29,24.315,42893,0
GCO.US,60,20200923,220000,24.35,24.6,24.07,24.22,110786,0
GCO.US,60,20200924,160000,24.08,24.08,22.635,23.25,7633,0
GCO.US,60,20200924,170000,23.42,23.71,22.78,22.81,30320,0
GCO.US,60,20200924,180000,22.88,23.05,22.77,22.99,29392,0
GCO.US,60,20200924,190000,22.99,23.54,22.92,23.54,12382,0
GCO.US,60,20200924,200000,23.53,24.05,23.5,23.72,9128,0
GCO.US,60,20200924,210000,23.69,23.73,23.44,23.44,10819,0
GCO.US,60,20200924,220000,23.5,23.62,23.01,23.05,62171,0
GCO.US,60,20200925,160000,22.89,23.25,22.575,23.25,19791,0
GCO.US,60,20200925,170000,23.18,23.46,22.76,22.84,11597,0
GCO.US,60,20200925,180000,22.865,22.92,22.36,22.42,24253,0
GCO.US,60,20200925,190000,22.44,22.67,22.23,22.59,10856,0
GCO.US,60,20200925,200000,22.6,22.83,22.57,22.6,11795,0
GCO.US,60,20200925,210000,22.66,22.84,22.66,22.84,8299,0
GCO.US,60,20200925,220000,22.86,22.98,22.61,22.71,54752,0
GCO.US,60,20200928,160000,23.21,23.62,23.01,23.43,8148,0
GCO.US,60,20200928,170000,23.46,23.63,23.165,23.52,23174,0
GCO.US,60,20200928,180000,23.52,23.52,23.08,23.27,11379,0
GCO.US,60,20200928,190000,23.29,23.4,23.15,23.23,16381,0
GCO.US,60,20200928,200000,23.23,23.39,22.88,22.945,29926,0
GCO.US,60,20200928,210000,22.965,23.01,22.71,22.8,23101,0
GCO.US,60,20200928,220000,22.8,22.84,22.33,22.36,160913,0
GCO.US,60,20200929,160000,22.32,22.32,21.372,21.372,13238,0
GCO.US,60,20200929,170000,21.42,21.75,21.05,21.055,32331,0
GCO.US,60,20200929,180000,21.07,21.15,20.86,20.93,21078,0
GCO.US,60,20200929,190000,20.91,21.05,20.8,20.97,19357,0
GCO.US,60,20200929,200000,21,21.48,21,21.43,29564,0
GCO.US,60,20200929,210000,21.42,21.75,21.35,21.7,23186,0
GCO.US,60,20200929,220000,21.71,21.85,21.6,21.68,77443,0
GCO.US,60,20200930,160000,21.82,22.71,21.82,22.6837,19396,0
GCO.US,60,20200930,170000,22.63,22.83,22.3,22.35,15943,0
GCO.US,60,20200930,180000,22.345,22.345,21.52,21.74,25925,0
GCO.US,60,20200930,190000,21.72,22,21.61,22,12438,0
GCO.US,60,20200930,200000,22.04,22.24,21.93,22.11,21955,0
GCO.US,60,20200930,210000,22.13,22.3,21.65,21.9,17342,0
GCO.US,60,20200930,220000,21.88,21.93,21.53,21.54,116627,0
GCO.US,60,20201001,160000,21.56,22.44,21.56,21.93,7408,0
GCO.US,60,20201001,170000,21.81,21.94,21.48,21.48,15443,0
GCO.US,60,20201001,180000,21.48,21.73,21.48,21.53,18745,0
GCO.US,60,20201001,190000,21.49,21.78,21.43,21.65,57158,0
GCO.US,60,20201001,200000,21.67,21.81,21.55,21.55,77581,0
GCO.US,60,20201001,210000,21.52,21.8,21.35,21.63,37669,0
GCO.US,60,20201001,220000,21.64,21.895,21.61,21.85,102518,0
GCO.US,60,20201002,160000,21.03,21.79,20.95,21.72,48417,0
GCO.US,60,20201002,170000,21.89,22.285,21.48,21.79,67298,0
GCO.US,60,20201002,180000,21.74,22.2,21.59,22.05,133230,0
GCO.US,60,20201002,190000,22.05,22.81,22.05,22.4,89135,0
GCO.US,60,20201002,200000,22.365,22.39,21.74,21.9,36906,0
GCO.US,60,20201002,210000,21.9,22.44,21.83,22.44,36752,0
GCO.US,60,20201002,220000,22.43,22.85,22.39,22.71,84339,0
GCO.US,60,20201005,160000,23.04,23.52,22.83,22.84,22023,0
GCO.US,60,20201005,170000,22.86,22.895,22.08,22.28,21603,0
GCO.US,60,20201005,180000,22.27,22.53,22.06,22.08,8470,0
GCO.US,60,20201005,190000,22.16,22.52,22.105,22.45,9468,0
GCO.US,60,20201005,200000,22.45,23,22.42,22.715,23704,0
GCO.US,60,20201005,210000,22.68,22.81,22.48,22.79,14617,0
GCO.US,60,20201005,220000,22.76,22.96,22.58,22.59,72121,0
GCO.US,60,20201006,160000,22.84,22.84,22.23,22.23,3886,0
GCO.US,60,20201006,170000,22.395,22.61,22.22,22.34,23680,0
GCO.US,60,20201006,180000,22.45,22.56,22.255,22.46,8412,0
GCO.US,60,20201006,190000,22.44,22.49,22.215,22.45,10001,0
GCO.US,60,20201006,200000,22.49,22.55,22.295,22.36,32026,0
GCO.US,60,20201006,210000,22.34,22.46,21.37,21.65,29087,0
GCO.US,60,20201006,220000,21.6089,21.685,21.16,21.18,95588,0
GCO.US,60,20201007,160000,21.625,22.12,21.3401,22.055,5187,0
GCO.US,60,20201007,170000,22.01,22.17,21.71,21.87,13863,0
GCO.US,60,20201007,180000,21.83,22.095,21.795,21.965,16606,0
GCO.US,60,20201007,190000,21.93,21.93,21.325,21.51,16470,0
GCO.US,60,20201007,200000,21.53,21.79,21.36,21.67,24220,0
GCO.US,60,20201007,210000,21.71,21.91,21.625,21.82,12367,0
GCO.US,60,20201007,220000,21.83,22.07,21.76,21.83,81103,0
GCO.US,60,20201008,160000,22.18,22.18,21.88,22.02,6117,0
GCO.US,60,20201008,170000,21.97,22.09,21.785,21.92,11221,0
GCO.US,60,20201008,180000,21.88,21.89,21.32,21.55,7828,0
GCO.US,60,20201008,190000,21.51,21.82,21.49,21.77,13802,0
GCO.US,60,20201008,200000,21.75,21.91,21.7,21.87,7227,0
GCO.US,60,20201008,210000,21.85,21.95,21.7,21.7,18317,0
GCO.US,60,20201008,220000,21.735,22,21.7,21.96,37567,0
GCO.US,60,20201009,160000,21.95,22.27,21.85,21.95,23681,0
GCO.US,60,20201009,170000,21.885,21.97,21.525,21.61,34319,0
GCO.US,60,20201009,180000,21.655,21.75,21.27,21.63,7036,0
GCO.US,60,20201009,190000,21.63,21.65,21.33,21.58,19377,0
GCO.US,60,20201009,200000,21.55,21.69,21.5,21.66,7704,0
GCO.US,60,20201009,210000,21.69,21.75,21.5,21.7,49117,0
GCO.US,60,20201009,220000,21.67,21.79,21.54,21.69,36283,0
GCO.US,60,20201012,160000,21.79,21.98,21.5,21.745,23634,0
GCO.US,60,20201012,170000,21.785,22.27,21.5,21.6,85824,0
GCO.US,60,20201012,180000,21.6,21.85,21.5,21.54,16233,0
GCO.US,60,20201012,190000,21.5,21.52,21.25,21.385,26095,0
GCO.US,60,20201012,200000,21.4,21.47,21.256,21.32,9126,0
GCO.US,60,20201012,210000,21.31,21.36,21.16,21.3,14613,0
GCO.US,60,20201012,220000,21.27,21.45,21.25,21.35,47866,0
GCO.US,60,20201013,160000,21.24,21.24,20.26,20.53,10224,0
GCO.US,60,20201013,170000,20.54,20.615,20.2,20.24,21908,0
GCO.US,60,20201013,180000,20.26,20.61,20.16,20.52,17704,0
GCO.US,60,20201013,190000,20.52,20.58,20.35,20.53,9054,0
GCO.US,60,20201013,200000,20.6,20.7,20.48,20.5,8797,0
GCO.US,60,20201013,210000,20.54,20.58,20.31,20.35,13187,0
GCO.US,60,20201013,220000,20.32,20.41,20.27,20.35,50064,0
GCO.US,60,20201014,160000,20.46,20.77,20.23,20.62,5011,0
GCO.US,60,20201014,170000,20.42,20.72,20.22,20.35,10333,0
GCO.US,60,20201014,180000,20.27,20.42,20.21,20.26,6743,0
GCO.US,60,20201014,190000,20.3,20.4,20.21,20.4,7890,0
GCO.US,60,20201014,200000,20.38,20.995,20.38,20.915,11015,0
GCO.US,60,20201014,210000,20.855,20.97,20.615,20.76,10944,0
GCO.US,60,20201014,220000,20.77,20.92,20.64,20.77,44597,0
GCO.US,60,20201015,160000,20.38,20.72,20.13,20.34,7835,0
GCO.US,60,20201015,170000,20.315,20.41,19.98,20.17,35439,0
GCO.US,60,20201015,180000,20.235,20.91,20.195,20.91,23323,0
GCO.US,60,20201015,190000,20.95,20.95,20.7,20.77,9779,0
GCO.US,60,20201015,200000,20.79,20.94,20.73,20.785,12147,0
GCO.US,60,20201015,210000,20.81,20.91,20.71,20.75,16394,0
GCO.US,60,20201015,220000,20.75,20.8,20.68,20.76,39663,0
GCO.US,60,20201016,160000,20.61,20.91,20.24,20.29,8715,0
GCO.US,60,20201016,170000,20.24,20.24,19.78,19.92,18118,0
GCO.US,60,20201016,180000,19.95,20.05,19.69,19.91,44053,0
GCO.US,60,20201016,190000,19.91,20.01,19.81,19.93,5881,0
GCO.US,60,20201016,200000,19.9,20.09,19.9,20.04,9288,0
GCO.US,60,20201016,210000,20.05,20.05,19.83,19.85,9518,0
GCO.US,60,20201016,220000,19.85,19.86,19.55,19.59,42702,0
GCO.US,60,20201019,160000,19.75,20.1,19.36,20,6481,0
GCO.US,60,20201019,170000,20.12,20.22,19.67,20.22,9916,0
GCO.US,60,20201019,180000,20.23,20.465,20.02,20.135,17383,0
GCO.US,60,20201019,190000,20.08,20.25,20.02,20.1,21193,0
GCO.US,60,20201019,200000,20.28,20.32,19.965,19.98,8220,0
GCO.US,60,20201019,210000,19.97,19.97,19.495,19.72,11327,0
GCO.US,60,20201019,220000,19.73,19.75,19.26,19.38,25602,0
GCO.US,60,20201020,160000,19.52,20,19.51,20,4056,0
GCO.US,60,20201020,170000,20.06,20.67,19.91,20.305,50613,0
GCO.US,60,20201020,180000,20.26,20.35,19.9735,20.08,19187,0
GCO.US,60,20201020,190000,20.035,20.04,19.72,19.91,11505,0
GCO.US,60,20201020,200000,19.91,19.96,19.67,19.67,12760,0
GCO.US,60,20201020,210000,19.72,19.78,19.6,19.61,10655,0
GCO.US,60,20201020,220000,19.62,19.62,19.36,19.46,50961,0
GCO.US,60,20201021,160000,19.49,19.49,19.235,19.3,4545,0
GCO.US,60,20201021,170000,19.2812,19.94,19.2812,19.78,10848,0
GCO.US,60,20201021,180000,19.73,19.855,19.61,19.74,4076,0
GCO.US,60,20201021,190000,19.74,19.93,19.72,19.8,3617,0
GCO.US,60,20201021,200000,19.755,19.755,19.63,19.64,3383,0
GCO.US,60,20201021,210000,19.67,19.82,19.62,19.82,6833,0
GCO.US,60,20201021,220000,19.84,19.87,19.5,19.5,42040,0
GCO.US,60,20201022,160000,19.45,19.94,19.45,19.86,2320,0
GCO.US,60,20201022,170000,19.75,19.75,19.185,19.49,7106,0
GCO.US,60,20201022,180000,19.66,20.29,19.57,19.88,31359,0
GCO.US,60,20201022,190000,19.88,20.48,19.82,20.36,11879,0
GCO.US,60,20201022,200000,20.35,20.79,20.35,20.785,15852,0
GCO.US,60,20201022,210000,20.785,20.785,20.65,20.66,18764,0
GCO.US,60,20201022,220000,20.715,20.96,20.715,20.74,38039,0
GCO.US,60,20201023,160000,20.94,21.12,20.36,20.36,10046,0
GCO.US,60,20201023,170000,20.515,20.93,20.32,20.84,11240,0
GCO.US,60,20201023,180000,20.73,20.92,20.63,20.75,14919,0
GCO.US,60,20201023,190000,20.78,20.83,20.65,20.71,3005,0
GCO.US,60,20201023,200000,20.73,20.98,20.73,20.98,3540,0
GCO.US,60,20201023,210000,20.95,21.13,20.91,21.04,5064,0
GCO.US,60,20201023,220000,21.09,21.2,21.01,21.13,31088,0
GCO.US,60,20201026,150000,20.65,20.69,20.16,20.69,5590,0
GCO.US,60,20201026,160000,20.58,20.63,19.98,20.05,33790,0
GCO.US,60,20201026,170000,20.04,20.25,19.92,20.08,65108,0
GCO.US,60,20201026,180000,20.03,20.25,19.84,19.92,15585,0
GCO.US,60,20201026,190000,19.92,19.94,19.68,19.89,12987,0
GCO.US,60,20201026,200000,19.87,20.13,19.87,20.075,5987,0
GCO.US,60,20201026,210000,20.07,20.25,19.98,20.19,57579,0
GCO.US,60,20201027,150000,20.33,20.36,20.13,20.24,3362,0
GCO.US,60,20201027,160000,20.27,20.46,20.09,20.17,6824,0
GCO.US,60,20201027,170000,20.16,20.18,19.78,20.16,13034,0
GCO.US,60,20201027,180000,20.08,20.19,19.9681,19.98,12920,0
GCO.US,60,20201027,190000,20,20.105,19.92,20.07,12646,0
GCO.US,60,20201027,200000,20.07,20.08,19.79,19.885,9992,0
GCO.US,60,20201027,210000,19.9,19.96,19.74,19.81,38985,0
GCO.US,60,20201028,150000,19.22,19.6112,19,19,7697,0
GCO.US,60,20201028,160000,19.17,19.25,18.39,18.51,30243,0
GCO.US,60,20201028,170000,18.48,18.59,18.26,18.53,34534,0
GCO.US,60,20201028,180000,18.47,18.755,18.46,18.46,12484,0
GCO.US,60,20201028,190000,18.44,18.5,18.29,18.47,10708,0
GCO.US,60,20201028,200000,18.42,18.5,18.33,18.3932,12234,0
GCO.US,60,20201028,210000,18.395,18.46,18.005,18.09,55230,0
GCO.US,60,20201029,150000,18.03,18.265,17.87,18.035,4430,0
GCO.US,60,20201029,160000,18.09,18.82,18.0164,18.46,27893,0
GCO.US,60,20201029,170000,18.46,18.46,17.87,17.87,16372,0
GCO.US,60,20201029,180000,17.875,18.07,17.775,17.78,28707,0
GCO.US,60,20201029,190000,17.82,18.21,17.735,18.21,21762,0
GCO.US,60,20201029,200000,18.225,18.63,18.14,18.49,47225,0
GCO.US,60,20201029,210000,18.53,18.68,18.405,18.55,48405,0
GCO.US,60,20201030,150000,18.5,18.69,18.12,18.68,25608,0
GCO.US,60,20201030,160000,18.81,18.81,18.18,18.33,3806,0
GCO.US,60,20201030,170000,18.19,18.25,17.85,17.94,5900,0
GCO.US,60,20201030,180000,17.94,18.12,17.91,17.95,7083,0
GCO.US,60,20201030,190000,17.9,18.055,17.82,18.02,4155,0
GCO.US,60,20201030,200000,18.175,18.265,17.94,17.95,8115,0
GCO.US,60,20201030,210000,17.91,17.91,17.54,17.72,79596,0
GCO.US,60,20201102,160000,17.84,18.52,17.84,18,9322,0
GCO.US,60,20201102,170000,18.06,18.17,17.75,18.08,21533,0
GCO.US,60,20201102,180000,18.15,18.43,18.15,18.33,11889,0
GCO.US,60,20201102,190000,18.325,18.48,18.14,18.17,12496,0
GCO.US,60,20201102,200000,18.12,18.14,17.78,17.905,13820,0
GCO.US,60,20201102,210000,17.88,18.18,17.84,17.99,9960,0
GCO.US,60,20201102,220000,18.04,18.16,17.96,18.14,42389,0
GCO.US,60,20201103,160000,18.61,19.1,18.585,18.74,3894,0
GCO.US,60,20201103,170000,18.96,19,18.55,18.92,6867,0
GCO.US,60,20201103,180000,18.99,19.36,18.98,19.21,37662,0
GCO.US,60,20201103,190000,19.25,19.3,18.99,19.15,17239,0
GCO.US,60,20201103,200000,19.07,19.29,19.06,19.12,13071,0
GCO.US,60,20201103,210000,19.14,19.43,19.14,19.37,17922,0
GCO.US,60,20201103,220000,19.36,19.59,19.15,19.44,61666,0
GCO.US,60,20201104,160000,18.86,19.26,18.5,18.915,5816,0
GCO.US,60,20201104,170000,19,19.51,18.77,19.16,7917,0
GCO.US,60,20201104,180000,18.93,19.26,18.81,19.035,9567,0
GCO.US,60,20201104,190000,19.035,19.24,18.82,18.86,9300,0
GCO.US,60,20201104,200000,18.86,18.893,18.5,18.77,13944,0
GCO.US,60,20201104,210000,18.735,18.77,18.59,18.77,14525,0
GCO.US,60,20201104,220000,18.73,18.765,18.53,18.68,47268,0
GCO.US,60,20201105,160000,18.85,19.34,18.85,19.34,1938,0
GCO.US,60,20201105,170000,19.345,19.6,19.245,19.285,17462,0
GCO.US,60,20201105,180000,19.22,19.68,19.22,19.68,7037,0
GCO.US,60,20201105,190000,19.58,19.58,19.07,19.21,9378,0
GCO.US,60,20201105,200000,19.24,19.38,19.09,19.165,15200,0
GCO.US,60,20201105,210000,19.205,19.58,19.185,19.55,63451,0
GCO.US,60,20201105,220000,19.55,19.75,19.53,19.6,39335,0
GCO.US,60,20201106,160000,19.77,19.8,19.49,19.49,7261,0
GCO.US,60,20201106,170000,19.52,19.83,19.49,19.54,7391,0
GCO.US,60,20201106,180000,19.45,19.69,19.33,19.51,9731,0
GCO.US,60,20201106,190000,19.64,19.64,19.48,19.5,22316,0
GCO.US,60,20201106,200000,19.49,19.65,19.475,19.579,20148,0
GCO.US,60,20201106,210000,19.52,19.65,19.47,19.5525,26366,0
GCO.US,60,20201106,220000,19.54,19.62,19.49,19.51,45643,0
GCO.US,60,20201109,160000,22.64,23.58,22,23.29,15831,0
GCO.US,60,20201109,170000,23.11,23.7,22.475,22.79,44161,0
GCO.US,60,20201109,180000,23,23.26,21.91,22.145,70887,0
GCO.US,60,20201109,190000,22.06,22.68,22.03,22.55,32694,0
GCO.US,60,20201109,200000,22.55,23.07,22.525,23.07,25410,0
GCO.US,60,20201109,210000,22.9915,23.47,22.91,23.28,29205,0
GCO.US,60,20201109,220000,23.28,23.68,23.15,23.24,111259,0
GCO.US,60,20201110,160000,23.08,23.96,23.08,23.14,7989,0
GCO.US,60,20201110,170000,23.07,23.35,22.49,22.88,10702,0
GCO.US,60,20201110,180000,23.15,23.45,22.97,23.24,34749,0
GCO.US,60,20201110,190000,23.29,23.48,23.075,23.26,15006,0
GCO.US,60,20201110,200000,23.27,23.28,22.81,23.05,10339,0
GCO.US,60,20201110,210000,23.015,23.09,22.76,23.02,22323,0
GCO.US,60,20201110,220000,23.09,23.12,22.95,23.03,62303,0
GCO.US,60,20201111,160000,23.2382,23.275,22.37,22.55,2893,0
GCO.US,60,20201111,170000,22.35,22.69,21.94,22.6,27311,0
GCO.US,60,20201111,180000,22.64,22.96,22.48,22.8,15340,0
GCO.US,60,20201111,190000,22.65,22.8,22.65,22.8,10046,0
GCO.US,60,20201111,200000,22.8,22.93,22.71,22.79,11813,0
GCO.US,60,20201111,210000,22.8,22.83,22.47,22.63,45163,0
GCO.US,60,20201111,220000,22.61,22.9,22.49,22.86,64015,0
GCO.US,60,20201112,160000,22.48,22.68,21.88,22.125,6760,0
GCO.US,60,20201112,170000,22.095,22.5,21.88,22.39,12114,0
GCO.US,60,20201112,180000,22.26,23.01,22.15,22.94,35293,0
GCO.US,60,20201112,190000,22.9,23.16,22.47,22.47,25244,0
GCO.US,60,20201112,200000,22.46,22.62,22.14,22.59,19335,0
GCO.US,60,20201112,210000,22.6,22.67,22.17,22.22,31328,0
GCO.US,60,20201112,220000,22.215,22.4,22.13,22.39,81331,0
GCO.US,60,20201113,160000,22.66,23.01,22.66,22.81,1904,0
GCO.US,60,20201113,170000,22.775,23.22,22.67,22.8,34678,0
GCO.US,60,20201113,180000,22.79,22.99,22.77,22.95,10809,0
GCO.US,60,20201113,190000,22.96,23.14,22.95,23.01,6786,0
GCO.US,60,20201113,200000,22.98,23.01,22.79,22.89,4801,0
GCO.US,60,20201113,210000,22.9,23.25,22.8,23.17,8953,0
GCO.US,60,20201113,220000,23.2,23.3,23.1,23.19,21126,0
GCO.US,60,20201116,160000,24.24,25,24.098,24.58,21479,0
GCO.US,60,20201116,170000,24.55,25.9687,24.43,25.75,57918,0
GCO.US,60,20201116,180000,25.789,26.68,25.74,26.65,65045,0
GCO.US,60,20201116,190000,26.64,26.641,26.12,26.19,71633,0
GCO.US,60,20201116,200000,26.21,26.65,26.19,26.3,54613,0
GCO.US,60,20201116,210000,26.27,26.83,26.23,26.79,76230,0
GCO.US,60,20201116,220000,26.81,27.01,26.5,27,220901,0
GCO.US,60,20201117,160000,26.5,27.5,26.33,26.695,51689,0
GCO.US,60,20201117,170000,26.6755,27.9,26.6755,27.78,69575,0
GCO.US,60,20201117,180000,27.745,28.1,27.74,27.79,72912,0
GCO.US,60,20201117,190000,27.79,28.58,27.6,28.445,60179,0
GCO.US,60,20201117,200000,28.46,28.5,28.26,28.5,50311,0
GCO.US,60,20201117,210000,28.5,28.72,28.23,28.52,58875,0
GCO.US,60,20201117,220000,28.48,28.58,28.17,28.58,155599,0
GCO.US,60,20201118,160000,28.97,29.66,28.86,29.12,33383,0
GCO.US,60,20201118,170000,29.23,30.47,28.982,30.33,82456,0
GCO.US,60,20201118,180000,30.38,30.48,29.9,30.365,30309,0
GCO.US,60,20201118,190000,30.36,30.87,30.205,30.75,59305,0
GCO.US,60,20201118,200000,30.73,30.85,29.9818,30.31,50527,0
GCO.US,60,20201118,210000,30.4,30.685,30.325,30.4,60026,0
GCO.US,60,20201118,220000,30.4,30.85,30.17,30.6,174229,0
GCO.US,60,20201119,160000,30.5,32.09,30.5,31.59,35329,0
GCO.US,60,20201119,170000,31.33,31.83,30.95,31.4,34278,0
GCO.US,60,20201119,180000,31.29,31.58,31.09,31.47,29339,0
GCO.US,60,20201119,190000,31.44,31.49,30.91,31.29,26164,0
GCO.US,60,20201119,200000,31.34,31.7,31.3,31.52,45277,0
GCO.US,60,20201119,210000,31.56,32.06,31.49,31.94,15855,0
GCO.US,60,20201119,220000,31.995,32.56,31.82,32.52,137436,0
GCO.US,60,20201120,160000,32.52,32.86,31.78,32.195,14776,0
GCO.US,60,20201120,170000,32.245,32.37,31.85,32.165,11763,0
GCO.US,60,20201120,180000,32.09,32.36,31.92,32.32,27639,0
GCO.US,60,20201120,190000,32.29,32.39,31.97,32.07,24990,0
GCO.US,60,20201120,200000,32.13,32.175,31.95,32,10741,0
GCO.US,60,20201120,210000,32,32.3,31.98,32.05,16488,0
GCO.US,60,20201120,220000,32.05,32.17,31.59,31.72,105042,0
GCO.US,60,20201123,160000,32.56,32.84,31.92,31.94,14426,0
GCO.US,60,20201123,170000,31.73,33.07,31.73,32.99,17839,0
GCO.US,60,20201123,180000,32.99,33.21,32.64,33.14,16699,0
GCO.US,60,20201123,190000,33.145,33.44,33.03,33.44,17798,0
GCO.US,60,20201123,200000,33.4,33.735,33.22,33.7346,26582,0
