<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GL_D.US,60,20210622,160000,25.7,25.7,25.62,25.62,1906,0
GL_D.US,60,20210622,170000,25.61,25.62,25.61,25.62,462,0
GL_D.US,60,20210622,180000,25.62,25.68,25.62,25.68,200,0
GL_D.US,60,20210622,190000,25.67,25.7,25.63,25.66,6508,0
GL_D.US,60,20210622,200000,25.7,25.75,25.66,25.67,23346,0
GL_D.US,60,20210622,210000,25.66,25.66,25.66,25.66,100,0
GL_D.US,60,20210622,220000,25.7,25.7306,25.7,25.7,2040,0
GL_D.US,60,20210623,160000,25.7296,25.76,25.72,25.75,12100,0
GL_D.US,60,20210623,170000,25.84,25.8882,25.7,25.8882,1275,0
GL_D.US,60,20210623,200000,25.83,25.8499,25.72,25.84,7340,0
GL_D.US,60,20210623,210000,25.785,25.8487,25.785,25.8487,1605,0
GL_D.US,60,20210623,220000,25.74,25.8,25.74,25.74,4686,0
GL_D.US,60,20210624,160000,25.85,25.88,25.72,25.88,1658,0
GL_D.US,60,20210624,170000,25.86,25.86,25.86,25.86,100,0
GL_D.US,60,20210624,190000,25.85,25.88,25.85,25.88,200,0
GL_D.US,60,20210624,200000,25.84,25.855,25.83,25.835,2137,0
GL_D.US,60,20210624,210000,25.835,25.88,25.8,25.84,18793,0
GL_D.US,60,20210624,220000,25.81,25.88,25.755,25.87,3950,0
GL_D.US,60,20210625,170000,25.87,25.87,25.87,25.87,300,0
GL_D.US,60,20210625,180000,25.87,25.87,25.85,25.855,1700,0
GL_D.US,60,20210625,190000,25.87,26.04,25.87,26.04,7281,0
GL_D.US,60,20210625,200000,26.035,26.035,25.95,25.95,8468,0
GL_D.US,60,20210625,210000,25.82,25.95,25.82,25.91,42513,0
GL_D.US,60,20210625,220000,25.925,26.01,25.85,25.85,6270,0
GL_D.US,60,20210628,160000,25.99,25.99,25.85,25.98,900,0
GL_D.US,60,20210628,170000,25.95,25.95,25.95,25.95,100,0
GL_D.US,60,20210628,200000,25.96,25.96,25.86,25.96,4210,0
GL_D.US,60,20210628,220000,25.95,25.96,25.9,25.93,8310,0
GL_D.US,60,20210629,160000,25.96,25.96,25.96,25.96,100,0
GL_D.US,60,20210629,170000,25.945,25.96,25.9375,25.945,2237,0
GL_D.US,60,20210629,180000,25.9499,26,25.935,25.98,28661,0
GL_D.US,60,20210629,190000,25.96,26.05,25.96,25.99,45822,0
GL_D.US,60,20210629,200000,25.99,26.05,25.915,25.98,16145,0
GL_D.US,60,20210629,210000,25.97,25.98,25.97,25.98,1770,0
GL_D.US,60,20210629,220000,25.9895,27.25,25.94,26.02,190676,0
GL_D.US,60,20210630,160000,26.02,26.02,25.9,25.995,70300,0
GL_D.US,60,20210630,170000,25.995,26.02,25.92,26.0138,297994,0
GL_D.US,60,20210630,180000,25.92,25.9699,25.92,25.93,15354,0
GL_D.US,60,20210630,190000,25.94,25.96,25.86,25.87,4560,0
GL_D.US,60,20210630,200000,25.87,25.925,25.87,25.92,6900,0
GL_D.US,60,20210630,210000,25.9,26.02,25.885,26.02,68869,0
GL_D.US,60,20210630,220000,26.02,26.26,25.95,26.11,1350053,0
GL_D.US,60,20210701,160000,26,26,26,26,2418,0
GL_D.US,60,20210701,170000,26.06,26.1,26.05,26.09,1800,0
GL_D.US,60,20210701,180000,26.085,26.1,26.08,26.08,15320,0
GL_D.US,60,20210701,190000,26.09,26.1,26.09,26.1,2365,0
GL_D.US,60,20210701,210000,26.1,26.13,26.09,26.115,30139,0
GL_D.US,60,20210701,220000,26.115,26.175,26.1,26.1,25083,0
GL_D.US,60,20210702,160000,26.1419,26.1419,26,26,2300,0
GL_D.US,60,20210702,170000,26.08,26.11,26.08,26.11,1573,0
GL_D.US,60,20210702,180000,26.11,26.11,26.11,26.11,100,0
GL_D.US,60,20210702,190000,26.13,26.13,26.13,26.13,1002,0
GL_D.US,60,20210702,200000,26.13,26.14,26.13,26.13,1128,0
GL_D.US,60,20210702,210000,26.13,26.135,26.13,26.135,4500,0
GL_D.US,60,20210702,220000,26.135,26.135,26.068,26.1,17806,0
GL_D.US,60,20210706,160000,26.15,26.17,26.13,26.13,1131,0
GL_D.US,60,20210706,170000,26.13,26.13,26.13,26.13,326,0
GL_D.US,60,20210706,180000,26.13,26.145,26.03,26.14,4941,0
GL_D.US,60,20210706,190000,26.15,26.15,26.12,26.13,972,0
GL_D.US,60,20210706,210000,26.15,26.16,26.15,26.16,927,0
GL_D.US,60,20210706,220000,26.15,26.15,26.14,26.15,1124,0
GL_D.US,60,20210707,160000,26.2,26.2,26.07,26.07,430,0
GL_D.US,60,20210707,170000,26.17,26.18,26.16,26.16,2068,0
GL_D.US,60,20210707,180000,26.16,26.17,26.16,26.17,2417,0
GL_D.US,60,20210707,190000,26.205,26.205,26.2,26.2,1411,0
GL_D.US,60,20210707,200000,26.18,26.18,26.17,26.17,534,0
GL_D.US,60,20210707,210000,26.17,26.21,26.17,26.17,2076,0
GL_D.US,60,20210707,220000,26.16,26.18,26.16,26.17,675,0
GL_D.US,60,20210708,170000,26.19,26.19,26.19,26.19,400,0
GL_D.US,60,20210708,180000,26.1696,26.21,26.115,26.115,16508,0
GL_D.US,60,20210708,190000,26.16,26.225,26.128,26.2,5480,0
GL_D.US,60,20210708,200000,26.21,26.23,26.2,26.21,10030,0
GL_D.US,60,20210708,210000,26.21,26.22,26.19,26.195,6669,0
GL_D.US,60,20210708,220000,26.16,26.24,26.16,26.2,20985,0
GL_D.US,60,20210709,160000,26.22,26.22,26.22,26.22,100,0
GL_D.US,60,20210709,180000,26.2281,26.25,26.2281,26.23,592,0
GL_D.US,60,20210709,190000,26.23,26.23,26.21,26.21,400,0
GL_D.US,60,20210709,200000,26.24,26.24,26.23,26.23,489,0
GL_D.US,60,20210709,210000,26.305,26.305,26.23,26.255,2111,0
GL_D.US,60,20210709,220000,26.26,26.4,26.25,26.27,8091,0
