<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HD.US,60,20200914,160000,275.31,277.38,274.79,277.29,171789,0
HD.US,60,20200914,170000,277.42,279.17,276.49,276.93,375685,0
HD.US,60,20200914,180000,276.92,278.53,276.87,278.41,210079,0
HD.US,60,20200914,190000,278.39,278.55,277.73,277.93,223950,0
HD.US,60,20200914,200000,277.91,277.99,276.42,276.88,166144,0
HD.US,60,20200914,210000,276.81,277.57,276.52,277.32,260476,0
HD.US,60,20200914,220000,277.3,278.02,276.64,277.39,832169,0
HD.US,60,20200915,160000,279.76,281.63,279.1,280.35,336689,0
HD.US,60,20200915,170000,280.39,281.63,279.16,281.19,344374,0
HD.US,60,20200915,180000,281.21,282.63,281.07,281.89,265472,0
HD.US,60,20200915,190000,281.92,282.37,281.73,282.02,276987,0
HD.US,60,20200915,200000,282.01,282.76,281.96,282.68,356393,0
HD.US,60,20200915,210000,282.66,283.37,282.3,283.27,329933,0
HD.US,60,20200915,220000,283.23,283.32,281.36,282.26,1280251,0
HD.US,60,20200916,160000,282.29,283.26,279.87,280.26,311489,0
HD.US,60,20200916,170000,280.28,280.46,277.42,278.47,441717,0
HD.US,60,20200916,180000,278.46,280.43,278.39,279.98,304696,0
HD.US,60,20200916,190000,280.05,281.85,280.02,281.62,175288,0
HD.US,60,20200916,200000,281.57,281.72,280.36,281.38,127903,0
HD.US,60,20200916,210000,281.36,282.35,281.23,281.65,223942,0
HD.US,60,20200916,220000,281.6,281.9,278.14,278.36,842179,0
HD.US,60,20200917,160000,274.68,278.22,274.68,278.05,285862,0
HD.US,60,20200917,170000,278.21,279.42,277.38,278.21,309501,0
HD.US,60,20200917,180000,278.37,279.14,276.67,277.05,222537,0
HD.US,60,20200917,190000,276.93,277.03,274.9,276.09,206598,0
HD.US,60,20200917,200000,276.12,276.22,274.57,274.84,138508,0
HD.US,60,20200917,210000,274.92,275.91,274.21,274.77,188725,0
HD.US,60,20200917,220000,274.7,276.98,273.74,276.71,923168,0
HD.US,60,20200918,160000,275.18,276.59,272.92,274.98,1324743,0
HD.US,60,20200918,170000,274.93,276.21,273.72,273.78,263769,0
HD.US,60,20200918,180000,273.76,274.52,272.82,273.7,329589,0
HD.US,60,20200918,190000,273.68,274.28,271.26,271.5,276850,0
HD.US,60,20200918,200000,271.49,271.62,267.66,269.04,452982,0
HD.US,60,20200918,210000,269.03,270.36,268.17,270.36,233065,0
HD.US,60,20200918,220000,270.35,272.47,270.28,272,1686984,0
HD.US,60,20200921,160000,268.72,269.73,266.44,268.65,238884,0
HD.US,60,20200921,170000,268.6,268.65,264.4,264.62,290778,0
HD.US,60,20200921,180000,264.53,265.6,263.43,264.89,331773,0
HD.US,60,20200921,190000,264.87,266.09,264.59,264.98,207277,0
HD.US,60,20200921,200000,264.98,266.32,264.52,265.8,197968,0
HD.US,60,20200921,210000,265.75,265.9,264.24,265.42,207779,0
HD.US,60,20200921,220000,265.42,269.19,265.3,269.18,846050,0
HD.US,60,20200922,160000,268.89,269.51,267.56,268.16,225656,0
HD.US,60,20200922,170000,268.09,269.83,267.84,267.92,239077,0
