<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HEXO.US,60,20200914,160000,2.76,2.828,2.76,2.79,196459,0
HEXO.US,60,20200914,170000,2.7904,2.7916,2.768,2.7688,122354,0
HEXO.US,60,20200914,180000,2.7688,2.78,2.7608,2.7642,64836,0
HEXO.US,60,20200914,190000,2.766,2.766,2.7624,2.7644,59303,0
HEXO.US,60,20200914,200000,2.7652,2.7876,2.7648,2.7876,62802,0
HEXO.US,60,20200914,210000,2.78,2.8,2.78,2.796,108973,0
HEXO.US,60,20200914,220000,2.7964,2.8,2.766,2.8,235125,0
HEXO.US,60,20200915,160000,2.84,2.8564,2.7992,2.8172,235670,0
HEXO.US,60,20200915,170000,2.82,2.8756,2.8024,2.87,330668,0
HEXO.US,60,20200915,180000,2.87,2.9156,2.86,2.8764,592316,0
HEXO.US,60,20200915,190000,2.876,2.908,2.8704,2.8848,144685,0
HEXO.US,60,20200915,200000,2.8844,2.8992,2.8844,2.8992,98135,0
HEXO.US,60,20200915,210000,2.8988,3,2.8988,2.9616,764232,0
HEXO.US,60,20200915,220000,2.9588,2.9628,2.92,2.96,470257,0
HEXO.US,60,20200916,160000,3,3.04,2.9404,2.9664,232393,0
HEXO.US,60,20200916,170000,2.9664,3.036,2.966,2.9936,401070,0
HEXO.US,60,20200916,180000,2.9956,3.0112,2.98,2.9844,227503,0
HEXO.US,60,20200916,190000,2.9844,2.988,2.984,2.9879,152642,0
HEXO.US,60,20200916,200000,2.9872,3.0128,2.9724,3.0124,180521,0
HEXO.US,60,20200916,210000,3.0124,3.02,3,3.0112,203948,0
HEXO.US,60,20200916,220000,3.0112,3.0116,2.94,3,442328,0
HEXO.US,60,20200917,160000,2.92,3,2.88,2.9304,173447,0
HEXO.US,60,20200917,170000,2.926,2.9648,2.9252,2.962,81117,0
HEXO.US,60,20200917,180000,2.962,3,2.9617,2.998,134043,0
HEXO.US,60,20200917,190000,2.998,2.9984,2.96,2.9676,160429,0
HEXO.US,60,20200917,200000,2.9732,2.9832,2.9632,2.97,57315,0
HEXO.US,60,20200917,210000,2.97,2.9956,2.9696,2.9872,49569,0
HEXO.US,60,20200917,220000,2.9872,3.04,2.9872,3.04,401220,0
HEXO.US,60,20200918,160000,3.028,3.0316,2.9956,3.018,231384,0
HEXO.US,60,20200918,170000,3.0192,3.12,3.0192,3.0828,383807,0
HEXO.US,60,20200918,180000,3.0828,3.1192,3.0752,3.0912,172515,0
HEXO.US,60,20200918,190000,3.0912,3.0912,3.068,3.078,256481,0
HEXO.US,60,20200918,200000,3.078,3.088,3.064,3.0836,139690,0
HEXO.US,60,20200918,210000,3.0836,3.084,3.02,3.0824,170122,0
HEXO.US,60,20200918,220000,3.084,3.12,3.0624,3.0868,237804,0
HEXO.US,60,20200921,160000,2.96,2.9996,2.8476,2.918,239655,0
HEXO.US,60,20200921,170000,2.916,2.916,2.8,2.8584,233691,0
HEXO.US,60,20200921,180000,2.8544,2.8712,2.8064,2.824,111292,0
HEXO.US,60,20200921,190000,2.826,2.84,2.8236,2.8324,61682,0
HEXO.US,60,20200921,200000,2.8332,2.8564,2.826,2.826,67199,0
HEXO.US,60,20200921,210000,2.826,2.832,2.8104,2.8196,51057,0
HEXO.US,60,20200921,220000,2.8196,2.8368,2.818,2.834,147781,0
HEXO.US,60,20200922,160000,2.834,2.8952,2.824,2.8396,68742,0
HEXO.US,60,20200922,170000,2.8376,2.8792,2.828,2.84,64730,0
HEXO.US,60,20200922,180000,2.84,2.8748,2.828,2.8568,139143,0
HEXO.US,60,20200922,190000,2.8572,2.88,2.8312,2.8724,184967,0
HEXO.US,60,20200922,200000,2.8752,2.8956,2.8604,2.88,101747,0
HEXO.US,60,20200922,210000,2.88,2.88,2.85,2.8544,57345,0
HEXO.US,60,20200922,220000,2.8544,2.8544,2.8312,2.8536,101044,0
HEXO.US,60,20200923,160000,2.8128,2.8204,2.7212,2.7316,228406,0
HEXO.US,60,20200923,170000,2.728,2.764,2.6792,2.7472,570580,0
HEXO.US,60,20200923,180000,2.7424,2.7424,2.7,2.7156,154069,0
HEXO.US,60,20200923,190000,2.7152,2.74,2.6888,2.7264,224704,0
HEXO.US,60,20200923,200000,2.7256,2.728,2.7004,2.708,89831,0
HEXO.US,60,20200923,210000,2.708,2.7196,2.64,2.6468,228220,0
HEXO.US,60,20200923,220000,2.6468,2.68,2.64,2.6688,411584,0
HEXO.US,60,20200924,160000,2.642,2.648,2.5212,2.6192,169444,0
HEXO.US,60,20200924,170000,2.6,2.6724,2.5404,2.6028,162513,0
HEXO.US,60,20200924,180000,2.6028,2.6344,2.6,2.6024,142677,0
HEXO.US,60,20200924,190000,2.6016,2.6064,2.552,2.5712,240502,0
HEXO.US,60,20200924,200000,2.574,2.5992,2.5716,2.5864,185452,0
HEXO.US,60,20200924,210000,2.586,2.5984,2.5784,2.5876,85048,0
HEXO.US,60,20200924,220000,2.5876,2.588,2.5444,2.5792,230344,0
HEXO.US,60,20200925,160000,2.58,2.64,2.5316,2.6376,132107,0
HEXO.US,60,20200925,170000,2.6332,2.6376,2.5876,2.5936,129109,0
HEXO.US,60,20200925,180000,2.5936,2.5972,2.556,2.5624,135511,0
HEXO.US,60,20200925,190000,2.5624,2.6,2.56,2.5944,77671,0
HEXO.US,60,20200925,200000,2.5948,2.6368,2.568,2.6116,134180,0
HEXO.US,60,20200925,210000,2.622,2.6396,2.6112,2.6195,98172,0
HEXO.US,60,20200925,220000,2.6156,2.64,2.5928,2.6336,136123,0
HEXO.US,60,20200928,160000,2.64,2.648,2.62,2.6332,88151,0
HEXO.US,60,20200928,170000,2.6316,2.64,2.5904,2.5916,192026,0
HEXO.US,60,20200928,180000,2.5908,2.62,2.572,2.6,97095,0
HEXO.US,60,20200928,190000,2.6,2.608,2.5976,2.6064,69454,0
HEXO.US,60,20200928,200000,2.6066,2.612,2.6,2.612,83099,0
HEXO.US,60,20200928,210000,2.6136,2.6344,2.612,2.6316,73558,0
HEXO.US,60,20200928,220000,2.63,2.6308,2.6128,2.6284,63221,0
HEXO.US,60,20200929,160000,2.6,2.6156,2.588,2.6156,98542,0
HEXO.US,60,20200929,170000,2.6116,2.616,2.564,2.5676,154783,0
HEXO.US,60,20200929,180000,2.568,2.68,2.564,2.6312,290934,0
HEXO.US,60,20200929,190000,2.6304,2.6404,2.6232,2.6328,90293,0
HEXO.US,60,20200929,200000,2.6324,2.6336,2.5812,2.6056,82825,0
HEXO.US,60,20200929,210000,2.6108,2.6156,2.5828,2.6012,134655,0
HEXO.US,60,20200929,220000,2.6002,2.6236,2.56,2.6076,172300,0
HEXO.US,60,20200930,160000,2.56,2.6596,2.56,2.6296,157713,0
HEXO.US,60,20200930,170000,2.63,2.6724,2.6104,2.6572,165155,0
HEXO.US,60,20200930,180000,2.6576,2.6576,2.6076,2.6264,100994,0
HEXO.US,60,20200930,190000,2.6212,2.6324,2.6084,2.6148,82478,0
HEXO.US,60,20200930,200000,2.6148,2.6148,2.614,2.6144,22507,0
HEXO.US,60,20200930,210000,2.614,2.6252,2.6136,2.6252,53186,0
HEXO.US,60,20200930,220000,2.626,2.6392,2.6076,2.636,96532,0
HEXO.US,60,20201001,160000,2.64,2.66,2.594,2.5996,90536,0
HEXO.US,60,20201001,170000,2.5996,2.6396,2.532,2.5918,381298,0
HEXO.US,60,20201001,180000,2.5933,2.6,2.572,2.594,70333,0
HEXO.US,60,20201001,190000,2.5984,2.6196,2.59,2.6016,90731,0
HEXO.US,60,20201001,200000,2.6068,2.6104,2.6,2.6,56930,0
HEXO.US,60,20201001,210000,2.5924,2.596,2.582,2.5892,81770,0
HEXO.US,60,20201001,220000,2.5888,2.6,2.584,2.6,108377,0
HEXO.US,60,20201002,160000,2.52,2.5984,2.52,2.584,131493,0
HEXO.US,60,20201002,170000,2.5784,2.592,2.5604,2.5708,105930,0
HEXO.US,60,20201002,180000,2.571,2.5816,2.5636,2.568,84908,0
HEXO.US,60,20201002,190000,2.568,2.5836,2.5608,2.5672,110703,0
HEXO.US,60,20201002,200000,2.5676,2.5776,2.5664,2.5688,65641,0
HEXO.US,60,20201002,210000,2.5688,2.5996,2.568,2.5888,79361,0
HEXO.US,60,20201002,220000,2.5888,2.6052,2.5888,2.6052,99288,0
HEXO.US,60,20201005,160000,2.6224,2.72,2.62,2.6656,293031,0
HEXO.US,60,20201005,170000,2.6652,2.6996,2.6404,2.6948,194226,0
HEXO.US,60,20201005,180000,2.6948,2.7116,2.6804,2.7058,186658,0
HEXO.US,60,20201005,190000,2.7056,2.76,2.7056,2.7592,385187,0
HEXO.US,60,20201005,200000,2.7588,2.7744,2.7588,2.7604,293069,0
HEXO.US,60,20201005,210000,2.7604,2.774,2.7252,2.7736,251751,0
HEXO.US,60,20201005,220000,2.7736,2.774,2.7424,2.7584,151742,0
HEXO.US,60,20201006,160000,2.76,2.836,2.7596,2.7948,152141,0
HEXO.US,60,20201006,170000,2.7948,2.7952,2.724,2.7412,154176,0
HEXO.US,60,20201006,180000,2.7412,2.7424,2.704,2.7116,136930,0
HEXO.US,60,20201006,190000,2.7116,2.7196,2.7064,2.7192,98222,0
HEXO.US,60,20201006,200000,2.716,2.7452,2.7084,2.7188,90915,0
HEXO.US,60,20201006,210000,2.7128,2.7172,2.68,2.6824,85663,0
HEXO.US,60,20201006,220000,2.68,2.6996,2.64,2.652,233060,0
HEXO.US,60,20201007,160000,2.6788,2.72,2.6788,2.7112,57609,0
HEXO.US,60,20201007,170000,2.7116,2.7556,2.708,2.7452,146019,0
HEXO.US,60,20201007,180000,2.7424,2.7992,2.7376,2.786,225216,0
HEXO.US,60,20201007,190000,2.788,2.8392,2.7752,2.836,365977,0
HEXO.US,60,20201007,200000,2.836,2.84,2.7904,2.8,307376,0
HEXO.US,60,20201007,210000,2.8092,2.8096,2.7952,2.7956,114870,0
HEXO.US,60,20201007,220000,2.7956,2.798,2.7692,2.7692,170232,0
HEXO.US,60,20201008,160000,2.7992,2.9,2.7992,2.8872,294362,0
HEXO.US,60,20201008,170000,2.8824,2.9676,2.8612,2.944,789854,0
HEXO.US,60,20201008,180000,2.9458,2.956,2.84,2.908,274075,0
