<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HGH.US,60,20200914,160000,27.719,27.771,27.699,27.699,693,0
HGH.US,60,20200914,170000,27.721,27.898,27.721,27.846,30213,0
HGH.US,60,20200914,180000,27.856,27.896,27.856,27.886,4309,0
HGH.US,60,20200914,190000,27.866,27.905,27.846,27.905,3352,0
HGH.US,60,20200914,200000,27.86,27.86,27.86,27.86,178,0
HGH.US,60,20200914,210000,27.908,27.915,27.787,27.807,2083,0
HGH.US,60,20200914,220000,27.807,27.876,27.778,27.876,3855,0
HGH.US,60,20200915,160000,27.837,27.886,27.837,27.886,6454,0
HGH.US,60,20200915,170000,27.905,27.974,27.905,27.905,1934,0
HGH.US,60,20200915,180000,27.876,27.925,27.866,27.912,4659,0
HGH.US,60,20200915,190000,27.915,27.954,27.886,27.905,1482,0
HGH.US,60,20200915,200000,27.928,27.954,27.896,27.945,1489,0
HGH.US,60,20200915,210000,27.935,27.945,27.868,27.886,4376,0
HGH.US,60,20200915,220000,27.886,27.915,27.856,27.886,2556,0
HGH.US,60,20200916,160000,27.915,27.963,27.915,27.963,759,0
HGH.US,60,20200916,170000,27.896,27.974,27.896,27.974,3679,0
HGH.US,60,20200916,180000,27.974,27.974,27.915,27.954,4856,0
HGH.US,60,20200916,190000,27.954,27.964,27.928,27.964,8081,0
HGH.US,60,20200916,200000,27.905,27.964,27.856,27.926,2050,0
HGH.US,60,20200916,210000,27.905,27.954,27.866,27.866,3227,0
HGH.US,60,20200916,220000,27.896,27.905,27.807,27.817,2196,0
HGH.US,60,20200917,160000,27.807,27.856,27.807,27.846,2323,0
HGH.US,60,20200917,170000,27.889,27.925,27.856,27.866,1800,0
HGH.US,60,20200917,180000,27.876,27.919,27.866,27.866,2212,0
HGH.US,60,20200917,190000,27.886,27.974,27.886,27.969,7665,0
HGH.US,60,20200917,200000,27.964,28.053,27.925,27.954,10807,0
HGH.US,60,20200917,210000,27.954,27.994,27.886,27.896,6131,0
HGH.US,60,20200917,220000,27.904,27.945,27.768,27.866,5911,0
HGH.US,60,20200918,160000,27.837,27.837,27.837,27.837,800,0
HGH.US,60,20200918,170000,27.797,27.846,27.797,27.846,747,0
HGH.US,60,20200918,180000,27.817,27.827,27.738,27.816,1320,0
HGH.US,60,20200918,190000,27.748,27.8,27.738,27.786,2630,0
HGH.US,60,20200918,200000,27.738,27.787,27.738,27.768,3002,0
HGH.US,60,20200918,210000,27.758,27.768,27.738,27.768,909,0
HGH.US,60,20200918,220000,27.738,27.738,27.66,27.67,6385,0
HGH.US,60,20200921,160000,27.522,27.61,27.503,27.603,6661,0
HGH.US,60,20200921,170000,27.512,27.512,27.463,27.463,608,0
HGH.US,60,20200921,180000,27.503,27.561,27.503,27.522,840,0
HGH.US,60,20200921,190000,27.534,27.601,27.534,27.601,3674,0
HGH.US,60,20200921,200000,27.601,27.65,27.561,27.64,13637,0
HGH.US,60,20200921,210000,27.611,27.65,27.581,27.65,2940,0
