<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HHLA-U.US,60,20210208,160000,10.6,10.61,10.5,10.54,539141,0
HHLA-U.US,60,20210208,170000,10.54,10.55,10.495,10.5,1109520,0
HHLA-U.US,60,20210208,180000,10.5,10.56,10.5,10.53,225306,0
HHLA-U.US,60,20210208,190000,10.53,10.53,10.45,10.45,152216,0
HHLA-U.US,60,20210208,200000,10.45,10.6355,10.45,10.47,375460,0
HHLA-U.US,60,20210208,210000,10.475,10.55,10.46,10.46,109543,0
HHLA-U.US,60,20210208,220000,10.47,10.48,10.36,10.44,344195,0
HHLA-U.US,60,20210209,160000,10.47,10.5235,10.41,10.43,113007,0
HHLA-U.US,60,20210209,170000,10.45,10.47,10.4,10.43,322590,0
HHLA-U.US,60,20210209,180000,10.435,10.44,10.4,10.42,344973,0
HHLA-U.US,60,20210209,190000,10.42,10.43,10.42,10.42,79472,0
HHLA-U.US,60,20210209,200000,10.42,10.43,10.4,10.42,105746,0
HHLA-U.US,60,20210209,210000,10.42,10.4275,10.42,10.425,65565,0
HHLA-U.US,60,20210209,220000,10.42,10.43,10.4,10.4,234217,0
HHLA-U.US,60,20210210,160000,10.53,10.54,10.46,10.51,240033,0
HHLA-U.US,60,20210210,170000,10.5,10.52,10.37,10.45,360475,0
HHLA-U.US,60,20210210,180000,10.45,10.48,10.37,10.45,138122,0
HHLA-U.US,60,20210210,190000,10.45,10.48,10.41,10.415,112710,0
HHLA-U.US,60,20210210,200000,10.415,10.46,10.38,10.4,83619,0
HHLA-U.US,60,20210210,210000,10.4,10.51,10.39,10.46,133678,0
HHLA-U.US,60,20210210,220000,10.45,10.48,10.41,10.42,256149,0
HHLA-U.US,60,20210211,160000,10.46,10.49,10.46,10.4718,10280,0
HHLA-U.US,60,20210211,170000,10.47,10.55,10.45,10.47,15089,0
HHLA-U.US,60,20210211,180000,10.48,10.54,10.45,10.45,20927,0
HHLA-U.US,60,20210211,190000,10.45,10.5,10.45,10.49,44063,0
HHLA-U.US,60,20210211,200000,10.5,10.5,10.46,10.5,5000,0
HHLA-U.US,60,20210211,210000,10.46,10.5,10.46,10.5,9590,0
HHLA-U.US,60,20210211,220000,10.5,10.53,10.46,10.51,12700,0
HHLA-U.US,60,20210212,160000,10.5,10.5,10.5,10.5,100,0
HHLA-U.US,60,20210212,170000,10.56,10.56,10.51,10.51,2600,0
HHLA-U.US,60,20210212,180000,10.525,10.525,10.52,10.52,748,0
HHLA-U.US,60,20210212,190000,10.54,10.54,10.54,10.54,200,0
HHLA-U.US,60,20210212,200000,10.53,10.55,10.5,10.5,11345,0
HHLA-U.US,60,20210212,210000,10.5,10.54,10.5,10.54,89388,0
HHLA-U.US,60,20210212,220000,10.5,10.54,10.5,10.52,33767,0
HHLA-U.US,60,20210216,160000,10.7,10.71,10.58,10.58,38596,0
HHLA-U.US,60,20210216,170000,10.58,10.615,10.555,10.6,128320,0
HHLA-U.US,60,20210216,180000,10.59,10.69,10.56,10.6,73108,0
HHLA-U.US,60,20210216,190000,10.57,10.68,10.56,10.56,27593,0
HHLA-U.US,60,20210216,200000,10.58,10.63,10.56,10.56,146068,0
HHLA-U.US,60,20210216,210000,10.56,10.6,10.51,10.59,23567,0
HHLA-U.US,60,20210216,220000,10.56,10.63,10.51,10.62,191797,0
HHLA-U.US,60,20210217,160000,10.66,10.7,10.6,10.6,14108,0
HHLA-U.US,60,20210217,170000,10.64,10.7,10.5,10.61,233627,0
HHLA-U.US,60,20210217,180000,10.61,10.61,10.5,10.55,204188,0
HHLA-U.US,60,20210217,190000,10.52,10.55,10.5,10.5,307000,0
HHLA-U.US,60,20210217,200000,10.5,10.5099,10.48,10.48,21000,0
HHLA-U.US,60,20210217,210000,10.48,10.52,10.48,10.5,82444,0
HHLA-U.US,60,20210217,220000,10.5,10.51,10.49,10.5,13786,0
HHLA-U.US,60,20210218,160000,10.53,10.57,10.5,10.53,4717,0
HHLA-U.US,60,20210218,170000,10.5,10.57,10.5,10.57,165596,0
HHLA-U.US,60,20210218,180000,10.54,10.74,10.52,10.74,26811,0
HHLA-U.US,60,20210218,190000,10.66,10.665,10.63,10.63,7791,0
HHLA-U.US,60,20210218,200000,10.63,10.635,10.63,10.63,1000,0
HHLA-U.US,60,20210218,210000,10.63,10.635,10.54,10.59,1988,0
HHLA-U.US,60,20210218,220000,10.54,10.68,10.54,10.67,48879,0
HHLA-U.US,60,20210219,160000,10.71,10.76,10.71,10.745,4854,0
HHLA-U.US,60,20210219,170000,10.73,11,10.73,10.87,63344,0
HHLA-U.US,60,20210219,180000,10.82,10.84,10.71,10.71,17914,0
HHLA-U.US,60,20210219,190000,10.73,10.75,10.69,10.7,3590,0
HHLA-U.US,60,20210219,200000,10.69,10.7,10.69,10.7,196180,0
HHLA-U.US,60,20210219,210000,10.7,10.74,10.69,10.7,3100,0
HHLA-U.US,60,20210219,220000,10.75,10.9,10.74,10.9,92611,0
HHLA-U.US,60,20210222,160000,11.24,11.3,11,11.15,47483,0
HHLA-U.US,60,20210222,170000,11.11,11.1999,10.95,10.99,53534,0
HHLA-U.US,60,20210222,180000,10.99,11,10.98,10.99,6400,0
HHLA-U.US,60,20210222,190000,10.99,11,10.92,11,10280,0
HHLA-U.US,60,20210222,200000,11,11.01,10.97,10.985,16955,0
HHLA-U.US,60,20210222,210000,10.985,11,10.97,10.99,15200,0
HHLA-U.US,60,20210222,220000,10.97,11,10.9,10.93,16201,0
HHLA-U.US,60,20210223,160000,10.89,10.89,10.71,10.71,5400,0
HHLA-U.US,60,20210223,170000,10.71,10.71,10.55,10.61,47296,0
HHLA-U.US,60,20210223,180000,10.61,10.665,10.6,10.65,36966,0
HHLA-U.US,60,20210223,190000,10.62,10.68,10.62,10.655,5200,0
HHLA-U.US,60,20210223,200000,10.63,10.685,10.63,10.685,12406,0
HHLA-U.US,60,20210223,210000,10.685,10.685,10.68,10.685,6600,0
HHLA-U.US,60,20210223,220000,10.68,10.93,10.67,10.81,32146,0
HHLA-U.US,60,20210224,160000,10.7,10.75,10.7,10.75,4477,0
HHLA-U.US,60,20210224,170000,10.75,10.75,10.69,10.69,11640,0
HHLA-U.US,60,20210224,180000,10.69,11,10.67,10.67,132040,0
HHLA-U.US,60,20210224,190000,10.67,10.75,10.67,10.71,15626,0
HHLA-U.US,60,20210224,200000,10.71,10.73,10.71,10.7201,2400,0
HHLA-U.US,60,20210224,210000,10.71,10.75,10.68,10.71,58668,0
HHLA-U.US,60,20210224,220000,10.72,10.72,10.68,10.7,44905,0
HHLA-U.US,60,20210225,160000,10.69,10.69,10.6,10.61,23300,0
HHLA-U.US,60,20210225,170000,10.6,10.61,10.5,10.5,69234,0
HHLA-U.US,60,20210225,180000,10.5,10.55,10.5,10.5,41650,0
HHLA-U.US,60,20210225,190000,10.5,10.51,10.4,10.46,19773,0
HHLA-U.US,60,20210225,200000,10.43,10.455,10.4,10.41,8980,0
HHLA-U.US,60,20210225,210000,10.4,10.455,10.39,10.4,6510,0
HHLA-U.US,60,20210225,220000,10.4,10.45,10.35,10.39,41829,0
HHLA-U.US,60,20210226,160000,10.38,10.87,10.365,10.66,59646,0
HHLA-U.US,60,20210226,170000,10.66,10.68,10.565,10.605,106353,0
HHLA-U.US,60,20210226,180000,10.605,10.91,10.605,10.72,154319,0
HHLA-U.US,60,20210226,190000,10.72,10.9,10.67,10.67,170261,0
HHLA-U.US,60,20210226,200000,10.685,10.75,10.68,10.7,66732,0
HHLA-U.US,60,20210226,210000,10.7,10.72,10.6,10.65,97950,0
HHLA-U.US,60,20210226,220000,10.65,10.7,10.51,10.62,170595,0
HHLA-U.US,60,20210301,160000,10.47,10.75,10.25,10.35,153712,0
HHLA-U.US,60,20210301,170000,10.4,10.425,10.35,10.39,45775,0
HHLA-U.US,60,20210301,180000,10.43,10.43,10.38,10.38,5471,0
HHLA-U.US,60,20210301,190000,10.37,10.38,10.36,10.38,9600,0
HHLA-U.US,60,20210301,200000,10.37,10.47,10.36,10.44,72207,0
HHLA-U.US,60,20210301,210000,10.44,10.49,10.44,10.49,13649,0
HHLA-U.US,60,20210301,220000,10.48,10.49,10.47,10.48,3754,0
HHLA-U.US,60,20210302,160000,10.32,10.4,10.32,10.39,5012,0
HHLA-U.US,60,20210302,170000,10.31,10.48,10.31,10.425,67950,0
HHLA-U.US,60,20210302,180000,10.42,10.43,10.26,10.31,52032,0
HHLA-U.US,60,20210302,190000,10.31,10.36,10.31,10.34,34615,0
HHLA-U.US,60,20210302,200000,10.34,10.36,10.195,10.255,44680,0
HHLA-U.US,60,20210302,210000,10.275,10.45,10.2706,10.355,34040,0
HHLA-U.US,60,20210302,220000,10.355,10.38,10.35,10.35,29543,0
HHLA-U.US,60,20210303,160000,10.44,10.44,10.35,10.375,12732,0
HHLA-U.US,60,20210303,170000,10.365,10.37,10.36,10.365,22261,0
HHLA-U.US,60,20210303,180000,10.365,10.38,10.36,10.37,49032,0
HHLA-U.US,60,20210303,190000,10.37,10.4,10.34,10.35,95851,0
HHLA-U.US,60,20210303,200000,10.34,10.49,10.27,10.4,132062,0
HHLA-U.US,60,20210303,210000,10.4,10.48,10.39,10.45,163754,0
HHLA-U.US,60,20210303,220000,10.45,10.46,10.22,10.23,58534,0
