<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HOG.US,60,20200914,160000,27.868,27.868,27.52,27.694,154078,0
HOG.US,60,20200914,170000,27.709,27.739,27.38,27.535,197278,0
HOG.US,60,20200914,180000,27.54,27.714,27.49,27.58,145853,0
HOG.US,60,20200914,190000,27.57,27.724,27.52,27.709,150858,0
HOG.US,60,20200914,200000,27.719,27.769,27.565,27.594,120178,0
HOG.US,60,20200914,210000,27.594,27.739,27.58,27.689,164290,0
HOG.US,60,20200914,220000,27.679,27.908,27.629,27.888,909687,0
HOG.US,60,20200915,160000,28.147,28.396,27.789,27.789,94570,0
HOG.US,60,20200915,170000,27.804,27.938,27.58,27.928,137053,0
HOG.US,60,20200915,180000,27.918,27.943,27.804,27.853,125203,0
HOG.US,60,20200915,190000,27.848,27.893,27.709,27.739,102268,0
HOG.US,60,20200915,200000,27.734,27.779,27.624,27.624,95759,0
HOG.US,60,20200915,210000,27.624,27.724,27.58,27.644,159642,0
HOG.US,60,20200915,220000,27.639,27.644,27.131,27.151,997713,0
HOG.US,60,20200916,160000,27.171,27.211,26.693,26.811,150709,0
HOG.US,60,20200916,170000,26.803,27.052,26.683,26.703,172622,0
HOG.US,60,20200916,180000,26.703,26.783,26.595,26.673,198694,0
HOG.US,60,20200916,190000,26.664,26.728,26.485,26.654,217789,0
HOG.US,60,20200916,200000,26.659,26.688,26.51,26.575,212433,0
HOG.US,60,20200916,210000,26.575,26.755,26.565,26.595,277718,0
HOG.US,60,20200916,220000,26.595,26.64,26.231,26.316,1000233,0
HOG.US,60,20200917,160000,25.798,25.858,25.529,25.609,196440,0
HOG.US,60,20200917,170000,25.609,25.898,25.549,25.549,457785,0
HOG.US,60,20200917,180000,25.559,25.928,25.469,25.848,1024109,0
HOG.US,60,20200917,190000,25.833,25.898,25.519,25.698,201924,0
HOG.US,60,20200917,200000,25.679,25.868,25.639,25.838,218392,0
HOG.US,60,20200917,210000,25.848,25.932,25.569,25.639,245375,0
HOG.US,60,20200917,220000,25.639,25.813,25.493,25.649,860634,0
HOG.US,60,20200918,160000,25.708,26.401,25.708,26.002,392289,0
HOG.US,60,20200918,170000,26.007,26.286,25.838,25.918,248620,0
HOG.US,60,20200918,180000,25.918,26.047,25.689,25.783,238819,0
HOG.US,60,20200918,190000,25.783,25.793,25.25,25.25,295177,0
HOG.US,60,20200918,200000,25.26,25.34,25.011,25.255,704548,0
HOG.US,60,20200918,210000,25.255,25.315,25.071,25.121,245709,0
HOG.US,60,20200918,220000,25.131,25.181,24.991,25.131,955099,0
HOG.US,60,20200921,160000,24.256,24.285,23.798,23.892,120338,0
HOG.US,60,20200921,170000,23.887,23.937,23.479,23.798,362772,0
HOG.US,60,20200921,180000,23.789,23.982,23.539,23.788,219588,0
HOG.US,60,20200921,190000,23.778,23.812,23.53,23.588,227177,0
HOG.US,60,20200921,200000,23.588,23.902,23.499,23.763,228727,0
HOG.US,60,20200921,210000,23.758,23.967,23.718,23.937,468628,0
HOG.US,60,20200921,220000,23.927,24.236,23.902,24.166,933762,0
HOG.US,60,20200922,160000,24.186,24.435,23.992,24.017,277296,0
HOG.US,60,20200922,170000,24.017,24.066,23.847,23.847,177157,0
HOG.US,60,20200922,180000,23.817,24.027,23.758,23.967,250307,0
HOG.US,60,20200922,190000,23.967,24.017,23.783,23.827,105690,0
