<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYLN.US,60,20200914,160000,46.1,46.71,44.18,45.36,904875,0
HYLN.US,60,20200914,170000,45.5,46.09,44.25,44.95,885700,0
HYLN.US,60,20200914,180000,44.903,45.05,42.07,43.829,1395562,0
HYLN.US,60,20200914,190000,43.77,44.1999,43,43.76,429799,0
HYLN.US,60,20200914,200000,43.76,43.88,43.16,43.32,325421,0
HYLN.US,60,20200914,210000,43.345,43.4,42.32,43.12,502147,0
HYLN.US,60,20200914,220000,43.155,43.88,42.51,43.25,701156,0
HYLN.US,60,20200915,160000,45.44,49.7,44.7901,48.3294,1768514,0
HYLN.US,60,20200915,170000,48.32,48.5999,45.01,45.585,1244689,0
HYLN.US,60,20200915,180000,45.565,46.92,45.5,45.6047,576769,0
HYLN.US,60,20200915,190000,45.6217,46.9,45.61,46.655,310691,0
HYLN.US,60,20200915,200000,46.655,48.42,46.3,47.68,689111,0
HYLN.US,60,20200915,210000,47.6812,49.9,47.6812,49.206,969750,0
HYLN.US,60,20200915,220000,49.2013,49.49,46.35,47.49,741419,0
HYLN.US,60,20200916,160000,47.14,47.48,45.8,46.5,355427,0
HYLN.US,60,20200916,170000,46.5835,47.57,45.88,46.58,614346,0
HYLN.US,60,20200916,180000,46.5799,47.22,46.2,47.0298,385761,0
HYLN.US,60,20200916,190000,47.03,48.63,46.94,47.555,734856,0
HYLN.US,60,20200916,200000,47.54,48,46.5,47.0444,330438,0
HYLN.US,60,20200916,210000,47.13,47.3789,46.65,46.77,167284,0
HYLN.US,60,20200916,220000,46.81,47.01,46.1,47.01,298450,0
HYLN.US,60,20200917,160000,44.61,46.86,44.2503,46.48,291822,0
HYLN.US,60,20200917,170000,46.66,47.18,46.1,46.4979,182794,0
HYLN.US,60,20200917,180000,46.3933,47.55,46.35,46.6711,300943,0
HYLN.US,60,20200917,190000,46.521,46.82,46.07,46.2653,134296,0
HYLN.US,60,20200917,200000,46.21,47.5,46.15,47.14,152859,0
HYLN.US,60,20200917,210000,47.155,48.4696,47.1,47.38,300043,0
HYLN.US,60,20200917,220000,47.4532,47.92,47.0458,47.92,157127,0
HYLN.US,60,20200918,160000,48.5,50.2399,48.06,49.0346,679290,0
HYLN.US,60,20200918,170000,49.0161,50.79,48.7,50.7,890696,0
HYLN.US,60,20200918,180000,50.66,51.94,50.273,51.225,1052253,0
HYLN.US,60,20200918,190000,51.2163,51.27,49.53,49.68,557083,0
HYLN.US,60,20200918,200000,49.62,50,48.35,49.14,814168,0
HYLN.US,60,20200918,210000,49,50,48.5,49.88,652951,0
HYLN.US,60,20200918,220000,49.7968,50.99,49.51,50,480476,0
HYLN.US,60,20200921,160000,50.38,53.48,50.31,53.0666,715656,0
HYLN.US,60,20200921,170000,53.0299,53.18,47.56,49.658,794911,0
HYLN.US,60,20200921,180000,49.71,51.2,49.15,50.66,360340,0
HYLN.US,60,20200921,190000,50.65,51.99,50.5506,51.115,289442,0
HYLN.US,60,20200921,200000,51.01,51.72,50,50.0002,211607,0
HYLN.US,60,20200921,210000,50.08,50.5,49.8,50.1917,453047,0
HYLN.US,60,20200921,220000,50.335,50.9,49.91,50.4,239137,0
HYLN.US,60,20200922,160000,50.69,50.92,49.28,50.17,216800,0
HYLN.US,60,20200922,170000,50.1688,50.25,48.6536,49.33,293936,0
HYLN.US,60,20200922,180000,49.38,49.79,48,48.9784,280980,0
HYLN.US,60,20200922,190000,49.05,50.02,49.01,49.08,165162,0
