<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPI.US,60,20200914,160000,9.32,9.32,9.18,9.26,858,0
IPI.US,60,20200914,170000,9.35,9.35,9.12,9.12,7533,0
IPI.US,60,20200914,180000,9.085,9.42,8.9659,9.28,10161,0
IPI.US,60,20200914,190000,9.2,9.66,9.14,9.39,14586,0
IPI.US,60,20200914,200000,9.36,9.38,9.18,9.18,3472,0
IPI.US,60,20200914,210000,9.26,9.2999,9.13,9.16,4044,0
IPI.US,60,20200914,220000,9.15,9.25,9.08,9.1,17428,0
IPI.US,60,20200915,160000,9.22,9.33,9.13,9.13,4521,0
IPI.US,60,20200915,170000,9.08,9.36,9.04,9.36,1930,0
IPI.US,60,20200915,180000,9.39,9.39,9.21,9.23,600,0
IPI.US,60,20200915,190000,9.23,9.24,9.17,9.22,1400,0
IPI.US,60,20200915,200000,9.31,9.31,9.19,9.19,2273,0
IPI.US,60,20200915,210000,9.21,9.349,9.18,9.34,1601,0
IPI.US,60,20200915,220000,9.3157,9.3157,9.1,9.15,14325,0
IPI.US,60,20200916,160000,9.25,9.25,9.02,9.13,11200,0
IPI.US,60,20200916,170000,9.12,9.2237,9,9.0998,26978,0
IPI.US,60,20200916,180000,9.07,9.19,9,9.03,14946,0
IPI.US,60,20200916,190000,9.03,9.14,9.02,9.05,12967,0
IPI.US,60,20200916,200000,9.0735,9.22,8.99,9.08,17713,0
IPI.US,60,20200916,210000,9.1,9.11,9.01,9.02,14618,0
IPI.US,60,20200916,220000,9.02,9.07,8.92,8.96,34864,0
IPI.US,60,20200917,160000,8.9,9.025,8.88,8.91,15094,0
IPI.US,60,20200917,170000,8.9511,8.96,8.89,8.89,2634,0
IPI.US,60,20200917,180000,8.9147,9.2488,8.9147,9.21,9925,0
IPI.US,60,20200917,190000,9.16,9.18,8.91,9.06,9300,0
IPI.US,60,20200917,200000,9.05,9.05,8.9301,8.9946,900,0
IPI.US,60,20200917,210000,8.93,9.06,8.93,9.03,1000,0
IPI.US,60,20200917,220000,9.0212,9.33,9.0212,9.27,31240,0
IPI.US,60,20200918,160000,9.27,9.4,9.27,9.3925,17907,0
IPI.US,60,20200918,170000,9.4228,10.1599,9.41,10.105,63209,0
IPI.US,60,20200918,180000,10.17,10.5,10.02,10.02,38126,0
IPI.US,60,20200918,190000,10.04,10.23,10.03,10.1446,24997,0
IPI.US,60,20200918,200000,10.135,10.135,9.955,9.955,13787,0
IPI.US,60,20200918,210000,9.9424,10.08,9.9296,10,5550,0
IPI.US,60,20200918,220000,10.075,10.68,10.0624,10.52,98098,0
IPI.US,60,20200921,160000,10.2,10.275,9.64,9.64,13212,0
IPI.US,60,20200921,170000,9.59,9.66,9.27,9.4297,26592,0
IPI.US,60,20200921,180000,9.4,9.41,9.15,9.33,15053,0
IPI.US,60,20200921,190000,9.3136,9.62,9.23,9.36,37587,0
IPI.US,60,20200921,200000,9.355,9.42,9.31,9.3375,9860,0
IPI.US,60,20200921,210000,9.32,9.32,9.02,9.15,32756,0
IPI.US,60,20200921,220000,9.15,9.22,9.08,9.18,25327,0
IPI.US,60,20200922,160000,9.17,9.43,9.17,9.18,2842,0
IPI.US,60,20200922,170000,9.18,9.39,9.12,9.2,11861,0
IPI.US,60,20200922,180000,9.2,9.27,9.2,9.2078,9940,0
IPI.US,60,20200922,190000,9.21,9.28,8.95,8.99,32171,0
IPI.US,60,20200922,200000,9.06,9.15,9,9.148,25029,0
IPI.US,60,20200922,210000,9.16,9.185,9.1,9.14,2500,0
IPI.US,60,20200922,220000,9.01,9.11,8.95,9.01,36938,0
IPI.US,60,20200923,160000,8.98,9.16,8.98,9.05,7524,0
IPI.US,60,20200923,170000,9.04,9.08,8.61,8.815,20903,0
IPI.US,60,20200923,180000,8.9,8.9014,8.68,8.76,17977,0
IPI.US,60,20200923,190000,8.78,8.845,8.69,8.785,18893,0
IPI.US,60,20200923,200000,8.75,8.82,8.73,8.8,4993,0
