<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IRR.US,60,20200914,160000,2.215,2.2473,2.215,2.2432,6726,0
IRR.US,60,20200914,170000,2.2519,2.2611,2.2473,2.2611,20932,0
IRR.US,60,20200914,180000,2.2611,2.2682,2.2611,2.2611,9947,0
IRR.US,60,20200914,190000,2.2675,2.2702,2.2611,2.2611,5928,0
IRR.US,60,20200914,200000,2.2611,2.2703,2.2611,2.2703,8269,0
IRR.US,60,20200914,210000,2.2703,2.2794,2.2611,2.2794,1224,0
IRR.US,60,20200914,220000,2.2794,2.2794,2.2519,2.2611,20101,0
IRR.US,60,20200915,160000,2.2703,2.2979,2.2611,2.2886,5385,0
IRR.US,60,20200915,170000,2.2979,2.2979,2.2703,2.2703,11641,0
IRR.US,60,20200915,180000,2.2703,2.2748,2.2703,2.2703,4677,0
IRR.US,60,20200915,190000,2.2703,2.2748,2.2703,2.2703,3484,0
IRR.US,60,20200915,200000,2.2703,2.2794,2.2703,2.2703,8813,0
IRR.US,60,20200915,210000,2.2748,2.2886,2.2703,2.2886,41700,0
IRR.US,60,20200915,220000,2.2886,2.2979,2.2703,2.2703,63839,0
IRR.US,60,20200916,160000,2.2703,2.2979,2.2703,2.2979,4758,0
IRR.US,60,20200916,170000,2.2979,2.3071,2.2979,2.3071,5987,0
IRR.US,60,20200916,180000,2.3071,2.3337,2.2979,2.3254,14467,0
IRR.US,60,20200916,190000,2.3254,2.3438,2.3254,2.3346,19275,0
IRR.US,60,20200916,200000,2.3346,2.3621,2.3346,2.3552,53349,0
IRR.US,60,20200916,210000,2.3438,2.3942,2.3438,2.3806,54735,0
IRR.US,60,20200916,220000,2.3806,2.3806,2.353,2.353,37566,0
IRR.US,60,20200917,160000,2.3438,2.3438,2.3438,2.3438,1226,0
IRR.US,60,20200917,170000,2.3208,2.353,2.3208,2.3346,15763,0
IRR.US,60,20200917,180000,2.3438,2.3438,2.3346,2.3346,8860,0
IRR.US,60,20200917,190000,2.3438,2.3438,2.3254,2.3254,2535,0
IRR.US,60,20200917,200000,2.3254,2.3438,2.3254,2.3346,24740,0
IRR.US,60,20200917,210000,2.3346,2.3438,2.3254,2.33,9379,0
IRR.US,60,20200917,220000,2.33,2.3438,2.3254,2.3254,28174,0
IRR.US,60,20200918,160000,2.3254,2.3438,2.3254,2.3346,8428,0
IRR.US,60,20200918,170000,2.33,2.3438,2.33,2.3371,6740,0
IRR.US,60,20200918,180000,2.3392,2.3392,2.3276,2.3276,10988,0
IRR.US,60,20200918,190000,2.3323,2.3346,2.3285,2.33,13898,0
IRR.US,60,20200918,200000,2.3254,2.3429,2.3254,2.3346,19697,0
IRR.US,60,20200918,210000,2.33,2.33,2.3254,2.3254,7408,0
IRR.US,60,20200918,220000,2.3254,2.3438,2.3208,2.3438,12856,0
IRR.US,60,20200921,160000,2.2979,2.3129,2.2694,2.2703,24459,0
IRR.US,60,20200921,170000,2.266,2.2794,2.2519,2.2519,28396,0
IRR.US,60,20200921,180000,2.261,2.2611,2.252,2.2611,5656,0
IRR.US,60,20200921,190000,2.2656,2.2979,2.2611,2.2979,102768,0
IRR.US,60,20200921,200000,2.2794,2.2794,2.2794,2.2794,2176,0
IRR.US,60,20200921,210000,2.2803,2.2886,2.2794,2.2841,9465,0
IRR.US,60,20200921,220000,2.2886,2.2979,2.2794,2.2979,82420,0
IRR.US,60,20200922,160000,2.2886,2.2886,2.2886,2.2886,653,0
IRR.US,60,20200922,170000,2.2886,2.2886,2.2794,2.2794,6342,0
IRR.US,60,20200922,180000,2.2794,2.2886,2.2793,2.2794,6418,0
IRR.US,60,20200922,190000,2.2794,2.2794,2.2737,2.2737,3372,0
