<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IT.US,60,20200914,160000,128.22,129.77,128.22,129.77,1128,0
IT.US,60,20200914,170000,129.99,131.47,129.8,130.95,12597,0
IT.US,60,20200914,180000,130.97,131.38,130.78,131.11,13801,0
IT.US,60,20200914,190000,131.25,131.87,131.21,131.44,15230,0
IT.US,60,20200914,200000,131.52,131.69,131.13,131.65,15037,0
IT.US,60,20200914,210000,131.64,131.99,131.43,131.7,12115,0
IT.US,60,20200914,220000,131.635,132.65,131.44,132.56,210314,0
IT.US,60,20200915,160000,132.98,134.27,132.98,133.15,9960,0
IT.US,60,20200915,170000,132.83,133.48,132.475,133.46,16522,0
IT.US,60,20200915,180000,133.52,133.91,133.316,133.52,32160,0
IT.US,60,20200915,190000,133.59,134.44,133.58,134.13,21320,0
IT.US,60,20200915,200000,134.13,134.58,134.13,134.439,18025,0
IT.US,60,20200915,210000,134.415,134.43,133.95,134.23,30957,0
IT.US,60,20200915,220000,134.195,134.41,133.44,134.19,90379,0
IT.US,60,20200916,160000,135,135.48,134.78,135.3,12731,0
IT.US,60,20200916,170000,135.4,136.09,134.56,134.57,26675,0
IT.US,60,20200916,180000,134.6,136.09,134.6,135.341,19549,0
IT.US,60,20200916,190000,135.16,135.4,134.43,134.43,10694,0
IT.US,60,20200916,200000,134.54,134.56,134.08,134.13,18992,0
IT.US,60,20200916,210000,134.19,134.7,133.98,134.35,25205,0
IT.US,60,20200916,220000,134.43,134.47,132.28,132.97,164695,0
IT.US,60,20200917,160000,131.95,131.95,130.56,131.34,11893,0
IT.US,60,20200917,170000,131.55,133.82,131.55,133.2,11963,0
IT.US,60,20200917,180000,133.54,133.99,132.52,132.52,12819,0
IT.US,60,20200917,190000,132.671,132.671,131.52,131.97,13581,0
IT.US,60,20200917,200000,131.96,132.42,131.72,132.32,22452,0
IT.US,60,20200917,210000,132.41,132.81,131.99,132.285,12649,0
IT.US,60,20200917,220000,132.11,132.51,131.57,132.32,116076,0
IT.US,60,20200918,160000,132.24,133.31,131.78,132.97,66902,0
IT.US,60,20200918,170000,132.97,133.47,131.91,132.29,17402,0
IT.US,60,20200918,180000,132.37,132.64,131.66,131.77,15795,0
IT.US,60,20200918,190000,131.71,131.81,130.5,130.659,18428,0
IT.US,60,20200918,200000,130.71,131.04,129.9,131.04,9635,0
IT.US,60,20200918,210000,131.09,131.1,130.6,131.055,13452,0
IT.US,60,20200918,220000,131.16,132.15,130.84,131.13,282731,0
IT.US,60,20200921,160000,128.83,129.56,126.76,127.49,7376,0
IT.US,60,20200921,170000,127.23,127.23,125.125,126.66,43733,0
IT.US,60,20200921,180000,126.575,127.1,126.38,126.695,11709,0
IT.US,60,20200921,190000,126.72,126.97,125.94,125.94,20252,0
IT.US,60,20200921,200000,125.89,126.41,125.83,125.84,10124,0
IT.US,60,20200921,210000,125.88,126.1,125.339,125.97,14557,0
IT.US,60,20200921,220000,125.85,126.5,125.85,126.41,152030,0
IT.US,60,20200922,160000,126.89,126.93,124.66,124.66,23017,0
IT.US,60,20200922,170000,124.735,125,123.785,123.785,52105,0
IT.US,60,20200922,180000,123.85,124.494,123.72,124.465,32135,0
IT.US,60,20200922,190000,124.465,125.06,124.465,124.78,28686,0
IT.US,60,20200922,200000,124.86,125.905,124.81,125.84,6905,0
IT.US,60,20200922,210000,126.05,126.58,125.99,126.46,7474,0
IT.US,60,20200922,220000,126.5,127.135,126.36,126.71,116078,0
IT.US,60,20200923,160000,126.74,128.07,126.74,127.2,7521,0
IT.US,60,20200923,170000,127.17,128.18,126.7,128.006,15436,0
IT.US,60,20200923,180000,127.86,128.11,127.34,127.34,8519,0
IT.US,60,20200923,190000,127.32,127.565,126.952,127.335,17612,0
IT.US,60,20200923,200000,127.28,127.4,126.65,126.72,9478,0
IT.US,60,20200923,210000,126.72,126.75,125.02,125.02,11023,0
