<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVC.US,60,20200914,160000,6.78,6.9,6.71,6.9,5329,0
IVC.US,60,20200914,170000,6.905,6.94,6.85,6.85,10914,0
IVC.US,60,20200914,180000,6.8544,6.93,6.835,6.85,14892,0
IVC.US,60,20200914,190000,6.85,6.87,6.83,6.84,34633,0
IVC.US,60,20200914,200000,6.84,6.9,6.84,6.89,10285,0
IVC.US,60,20200914,210000,6.89,6.9,6.83,6.865,16346,0
IVC.US,60,20200914,220000,6.86,6.87,6.78,6.8,75534,0
IVC.US,60,20200915,160000,6.94,7.07,6.91,6.98,9588,0
IVC.US,60,20200915,170000,7.02,7.13,7.02,7.12,12682,0
IVC.US,60,20200915,180000,7.11,7.16,7.07,7.07,13424,0
IVC.US,60,20200915,190000,7.09,7.09,6.95,7.03,18338,0
IVC.US,60,20200915,200000,7.02,7.02,6.93,6.95,8029,0
IVC.US,60,20200915,210000,6.96,6.96,6.91,6.93,11147,0
IVC.US,60,20200915,220000,6.92,6.94,6.81,6.88,40686,0
IVC.US,60,20200916,160000,6.95,7.12,6.95,7.05,4534,0
IVC.US,60,20200916,170000,7.055,7.21,7,7.03,20552,0
IVC.US,60,20200916,180000,7.01,7.04,6.97,7.035,8137,0
IVC.US,60,20200916,190000,7.05,7.06,7.01,7.03,6288,0
IVC.US,60,20200916,200000,7.03,7.08,7.03,7.08,8795,0
IVC.US,60,20200916,210000,7.085,7.11,7.055,7.06,15965,0
IVC.US,60,20200916,220000,7.07,7.11,7.02,7.04,56954,0
IVC.US,60,20200917,160000,6.91,6.93,6.78,6.92,16556,0
IVC.US,60,20200917,170000,6.93,7.17,6.9195,7.15,25762,0
IVC.US,60,20200917,180000,7.15,7.25,7.05,7.06,48229,0
IVC.US,60,20200917,190000,7.06,7.09,7.04,7.07,13678,0
IVC.US,60,20200917,200000,7.08,7.14,7.075,7.13,13323,0
IVC.US,60,20200917,210000,7.13,7.17,7.1,7.16,13145,0
IVC.US,60,20200917,220000,7.16,7.26,7.13,7.22,113870,0
IVC.US,60,20200918,160000,7.28,7.62,7.28,7.62,69843,0
IVC.US,60,20200918,170000,7.61,7.78,7.55,7.55,35879,0
IVC.US,60,20200918,180000,7.54,7.54,7.26,7.4096,19815,0
IVC.US,60,20200918,190000,7.41,7.44,7.29,7.31,11776,0
IVC.US,60,20200918,200000,7.31,7.3367,7.2,7.27,21390,0
IVC.US,60,20200918,210000,7.26,7.31,7.24,7.31,7637,0
IVC.US,60,20200918,220000,7.32,7.36,7.25,7.35,233757,0
IVC.US,60,20200921,160000,7.15,7.34,7.03,7.23,20800,0
IVC.US,60,20200921,170000,7.185,7.21,7.125,7.2,13959,0
IVC.US,60,20200921,180000,7.19,7.27,7.14,7.2,12641,0
IVC.US,60,20200921,190000,7.18,7.22,7.14,7.16,13715,0
IVC.US,60,20200921,200000,7.15,7.18,7.14,7.16,10928,0
IVC.US,60,20200921,210000,7.145,7.22,7.14,7.22,15999,0
IVC.US,60,20200921,220000,7.225,7.54,7.225,7.5,146234,0
IVC.US,60,20200922,160000,7.44,7.61,7.34,7.54,65194,0
IVC.US,60,20200922,170000,7.57,7.57,7.25,7.3,30731,0
IVC.US,60,20200922,180000,7.32,7.32,7.24,7.24,20670,0
IVC.US,60,20200922,190000,7.26,7.35,7.24,7.31,35879,0
IVC.US,60,20200922,200000,7.325,7.325,7.24,7.27,17600,0
IVC.US,60,20200922,210000,7.26,7.45,7.24,7.27,37691,0
IVC.US,60,20200922,220000,7.28,7.3,7.24,7.27,54556,0
