<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JHS.US,60,20200914,160000,14.639,14.746,14.639,14.746,1964,0
JHS.US,60,20200914,170000,14.746,14.746,14.62,14.62,1537,0
JHS.US,60,20200914,180000,14.567,14.581,14.567,14.572,413,0
JHS.US,60,20200914,190000,14.562,14.608,14.562,14.562,618,0
JHS.US,60,20200914,200000,14.572,14.6,14.532,14.532,857,0
JHS.US,60,20200914,210000,14.587,14.587,14.523,14.565,2982,0
JHS.US,60,20200914,220000,14.532,14.57,14.513,14.513,1597,0
JHS.US,60,20200915,160000,14.591,14.637,14.591,14.637,1124,0
JHS.US,60,20200915,170000,14.669,14.669,14.637,14.637,620,0
JHS.US,60,20200915,180000,14.678,14.678,14.669,14.669,620,0
JHS.US,60,20200915,190000,14.678,14.678,14.678,14.678,206,0
JHS.US,60,20200915,200000,14.676,14.678,14.649,14.678,2066,0
JHS.US,60,20200915,210000,14.678,14.678,14.678,14.678,103,0
JHS.US,60,20200915,220000,14.678,14.678,14.678,14.678,207,0
JHS.US,60,20200916,160000,14.717,14.717,14.668,14.668,3338,0
JHS.US,60,20200916,180000,14.697,14.697,14.634,14.634,1685,0
JHS.US,60,20200916,190000,14.687,14.687,14.687,14.687,10590,0
JHS.US,60,20200916,200000,14.664,14.687,14.664,14.687,413,0
JHS.US,60,20200916,210000,14.687,14.687,14.687,14.687,3828,0
JHS.US,60,20200916,220000,14.678,14.687,14.678,14.687,785,0
JHS.US,60,20200917,160000,14.697,14.697,14.659,14.659,1391,0
JHS.US,60,20200917,170000,14.669,14.687,14.605,14.678,2581,0
JHS.US,60,20200917,180000,14.687,14.74,14.687,14.687,4056,0
JHS.US,60,20200917,200000,14.62,14.63,14.61,14.63,1032,0
JHS.US,60,20200917,210000,14.61,14.61,14.6,14.6,207,0
JHS.US,60,20200917,220000,14.573,14.678,14.573,14.678,1013,0
JHS.US,60,20200918,160000,14.649,14.736,14.649,14.736,1156,0
JHS.US,60,20200918,170000,14.662,14.678,14.662,14.678,1342,0
JHS.US,60,20200918,180000,14.697,14.746,14.669,14.707,8309,0
JHS.US,60,20200918,190000,14.707,14.707,14.669,14.707,6194,0
JHS.US,60,20200918,200000,14.707,14.755,14.697,14.727,1273,0
JHS.US,60,20200918,210000,14.765,14.765,14.717,14.727,12556,0
JHS.US,60,20200918,220000,14.707,14.969,14.707,14.969,7219,0
JHS.US,60,20200921,160000,14.862,14.872,14.862,14.872,3236,0
JHS.US,60,20200921,170000,14.833,14.92,14.775,14.814,5677,0
JHS.US,60,20200921,190000,14.826,14.826,14.826,14.826,204,0
JHS.US,60,20200921,200000,14.847,14.852,14.824,14.824,1739,0
JHS.US,60,20200921,210000,14.824,14.842,14.775,14.785,1549,0
JHS.US,60,20200921,220000,14.785,14.862,14.767,14.767,2684,0
JHS.US,60,20200922,170000,14.794,14.794,14.765,14.785,3509,0
JHS.US,60,20200922,180000,14.785,14.785,14.707,14.717,1961,0
JHS.US,60,20200922,210000,14.785,14.785,14.707,14.707,929,0
JHS.US,60,20200922,220000,14.746,14.785,14.527,14.785,6797,0
JHS.US,60,20200923,160000,14.842,14.842,14.842,14.842,1057,0
JHS.US,60,20200923,170000,14.862,14.882,14.862,14.882,1857,0
JHS.US,60,20200923,190000,14.852,14.852,14.775,14.775,299,0
JHS.US,60,20200923,210000,14.717,14.718,14.673,14.678,1264,0
JHS.US,60,20200923,220000,14.678,14.678,14.61,14.649,4589,0
JHS.US,60,20200924,160000,14.669,14.678,14.669,14.678,778,0
