<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JIH-U.US,60,20200914,160000,10.75,10.75,10.75,10.75,2145,0
JIH-U.US,60,20200914,200000,10.47,10.88,10.47,10.88,200,0
JIH-U.US,60,20200915,170000,10.52,10.67,10.52,10.67,700,0
JIH-U.US,60,20200915,180000,10.7,10.73,10.7,10.73,200,0
JIH-U.US,60,20200915,200000,10.73,10.73,10.73,10.73,465,0
JIH-U.US,60,20200916,180000,10.83,10.83,10.83,10.83,100,0
JIH-U.US,60,20200918,170000,10.86,10.9,10.85,10.9,27800,0
JIH-U.US,60,20200918,190000,10.85,10.85,10.85,10.85,400,0
JIH-U.US,60,20200918,210000,10.9,10.9,10.9,10.9,400,0
JIH-U.US,60,20200918,220000,10.8838,10.8838,10.8779,10.8779,2000,0
JIH-U.US,60,20200921,160000,11.41,11.41,11.2,11.2,2800,0
JIH-U.US,60,20200921,170000,11.2,11.2,11.2,11.2,500,0
JIH-U.US,60,20200921,190000,11,11,11,11,300,0
JIH-U.US,60,20200924,170000,11.14,11.14,10.99,10.99,954,0
JIH-U.US,60,20200929,160000,11.49,11.62,11.49,11.6,10502,0
JIH-U.US,60,20200929,170000,11.57,11.57,11.5214,11.5214,1999,0
JIH-U.US,60,20200929,180000,11.52,11.52,11.4701,11.4701,1212,0
JIH-U.US,60,20200929,200000,11.47,11.47,11.33,11.42,1099,0
JIH-U.US,60,20200929,220000,11.37,11.37,11.37,11.37,100,0
JIH-U.US,60,20200930,170000,11.4,11.4,11.37,11.3795,17400,0
JIH-U.US,60,20200930,220000,11.4199,11.4199,11.4199,11.4199,100,0
JIH-U.US,60,20201002,160000,11.2,11.28,11.2,11.28,400,0
JIH-U.US,60,20201002,200000,11.14,11.34,11.14,11.34,1246,0
JIH-U.US,60,20201002,210000,11.39,11.48,11.39,11.44,500,0
JIH-U.US,60,20201002,220000,11.49,11.49,11.44,11.44,308,0
JIH-U.US,60,20201007,170000,11.55,11.55,11.55,11.55,100,0
JIH-U.US,60,20201007,220000,11.1,11.1,10.61,10.88,1401,0
JIH-U.US,60,20201009,200000,10.89,10.9,10.89,10.9,200,0
