<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KEY_I.US,60,20200914,160000,29.81,29.81,29.61,29.61,303,0
KEY_I.US,60,20200914,170000,29.6128,29.92,29.6128,29.92,2872,0
KEY_I.US,60,20200914,180000,30.47,30.5514,29.65,29.725,18165,0
KEY_I.US,60,20200914,190000,29.65,29.7185,29.65,29.7185,612,0
KEY_I.US,60,20200914,200000,29.715,29.75,29.505,29.75,3787,0
KEY_I.US,60,20200914,210000,29.505,29.75,29.5,29.65,1145,0
KEY_I.US,60,20200914,220000,29.74,29.75,29.51,29.52,9196,0
KEY_I.US,60,20200915,160000,29.64,29.65,29.345,29.65,11215,0
KEY_I.US,60,20200915,170000,29.585,29.601,29.585,29.601,223,0
KEY_I.US,60,20200915,180000,29.84,30.7068,29.71,29.83,3400,0
KEY_I.US,60,20200915,190000,29.85,29.85,29.83,29.84,954,0
KEY_I.US,60,20200915,200000,29.83,29.84,29.7,29.7,1433,0
KEY_I.US,60,20200915,210000,29.84,29.85,29.65,29.85,4756,0
KEY_I.US,60,20200915,220000,29.85,29.85,29.58,29.58,5041,0
KEY_I.US,60,20200916,160000,29.73,29.73,29.73,29.73,450,0
KEY_I.US,60,20200916,170000,29.5858,29.89,29.5858,29.59,11228,0
KEY_I.US,60,20200916,180000,29.69,29.7,29.6766,29.7,967,0
KEY_I.US,60,20200916,190000,29.745,29.94,29.5,29.5,78003,0
KEY_I.US,60,20200916,200000,29.603,29.603,29.32,29.4798,3814,0
KEY_I.US,60,20200916,210000,29.48,29.6,29.48,29.6,2138,0
KEY_I.US,60,20200916,220000,29.6,29.645,29.4441,29.45,11523,0
KEY_I.US,60,20200917,160000,29.27,29.6,29.27,29.6,630,0
KEY_I.US,60,20200917,170000,29.7425,29.955,28.96,29.82,1525,0
KEY_I.US,60,20200917,180000,29.87,30.1087,29.87,29.8899,896,0
KEY_I.US,60,20200917,190000,29.61,29.81,29.61,29.7412,1740,0
KEY_I.US,60,20200917,200000,29.06,29.8,29.06,29.8,2237,0
KEY_I.US,60,20200917,210000,29.53,29.6,29.113,29.113,1872,0
KEY_I.US,60,20200917,220000,29.325,29.6,29.07,29.6,1192,0
KEY_I.US,60,20200918,160000,29.79,29.79,28.98,28.98,813,0
KEY_I.US,60,20200918,170000,29.16,29.9799,29.04,29.56,2981,0
KEY_I.US,60,20200918,180000,29.5858,29.5858,29.405,29.405,915,0
KEY_I.US,60,20200918,190000,29.5215,29.5215,29.21,29.21,525,0
KEY_I.US,60,20200918,200000,29.24,29.3999,29.21,29.215,880,0
KEY_I.US,60,20200918,210000,29.07,29.67,29.07,29.4573,620,0
KEY_I.US,60,20200918,220000,29.63,30.2401,29.26,29.26,1160,0
KEY_I.US,60,20200921,160000,29.48,29.48,29.48,29.48,283,0
KEY_I.US,60,20200921,170000,29.03,29.03,29,29,1800,0
KEY_I.US,60,20200921,180000,29.1,29.13,29.05,29.13,425,0
KEY_I.US,60,20200921,190000,29.43,29.7067,29.37,29.39,534,0
KEY_I.US,60,20200921,200000,29.295,29.65,29.295,29.51,1132,0
KEY_I.US,60,20200921,210000,29.55,29.62,29.114,29.33,1628,0
KEY_I.US,60,20200921,220000,29.3,29.4,29.02,29.307,3242,0
KEY_I.US,60,20200922,170000,29.2489,29.71,29.2489,29.5,2259,0
KEY_I.US,60,20200922,180000,29.49,29.7384,29.49,29.7384,1405,0
KEY_I.US,60,20200922,190000,29.94,29.94,29.83,29.83,458,0
KEY_I.US,60,20200922,200000,29.69,29.94,29.5974,29.92,3338,0
KEY_I.US,60,20200922,210000,29.9162,30.02,29.51,29.83,13424,0
KEY_I.US,60,20200922,220000,29.89,30,29.52,29.8,20902,0
KEY_I.US,60,20200923,160000,29.8,29.8,29.8,29.8,551,0
KEY_I.US,60,20200923,180000,29.8404,29.8404,29.73,29.73,2525,0
KEY_I.US,60,20200923,190000,29.8,29.8899,29.51,29.73,1973,0
KEY_I.US,60,20200923,200000,29.67,29.67,29.12,29.12,4684,0
KEY_I.US,60,20200923,210000,29.19,29.5,28.71,28.85,7250,0
KEY_I.US,60,20200923,220000,28.89,29.115,28.89,29.055,1907,0
KEY_I.US,60,20200924,160000,29.04,29.14,28.8,28.8701,3283,0
KEY_I.US,60,20200924,170000,28.895,29.08,28.8,28.8,883,0
KEY_I.US,60,20200924,180000,28.84,28.96,28.8305,28.96,1355,0
KEY_I.US,60,20200924,190000,29.19,29.4152,29.05,29.05,2539,0
KEY_I.US,60,20200924,200000,29.18,29.41,29.18,29.41,1893,0
KEY_I.US,60,20200924,210000,29.38,29.38,29.2672,29.2672,231,0
KEY_I.US,60,20200924,220000,29.065,29.2115,28.97,28.97,1976,0
KEY_I.US,60,20200925,160000,29.31,29.31,29.31,29.31,514,0
KEY_I.US,60,20200925,170000,29.41,29.88,29.41,29.72,3663,0
KEY_I.US,60,20200925,180000,29.72,29.78,29.5535,29.5535,2562,0
KEY_I.US,60,20200925,190000,29.61,29.615,29.4412,29.515,1207,0
KEY_I.US,60,20200925,200000,29.515,29.515,29.515,29.515,123,0
KEY_I.US,60,20200925,210000,29.635,29.9,29.63,29.9,6667,0
KEY_I.US,60,20200925,220000,29.75,29.85,29.49,29.85,4500,0
KEY_I.US,60,20200928,160000,29.89,29.89,29.89,29.89,281,0
KEY_I.US,60,20200928,170000,30.03,30.2828,30.03,30.25,2131,0
KEY_I.US,60,20200928,180000,30.295,30.83,30.28,30.29,10968,0
KEY_I.US,60,20200928,190000,30.2954,30.804,30.2954,30.8,3216,0
KEY_I.US,60,20200928,200000,30.77,30.77,30.6,30.66,8595,0
KEY_I.US,60,20200928,210000,30.6,30.66,30.22,30.484,6881,0
KEY_I.US,60,20200928,220000,30.39,30.39,29.288,29.88,7641,0
KEY_I.US,60,20200929,160000,30.03,30.66,29.53,29.53,2452,0
KEY_I.US,60,20200929,170000,29.705,29.84,29.705,29.79,1972,0
KEY_I.US,60,20200929,180000,29.8229,29.95,29.7906,29.7906,2525,0
KEY_I.US,60,20200929,190000,29.92,29.935,29.92,29.935,211,0
KEY_I.US,60,20200929,200000,29.865,29.985,29.865,29.985,542,0
KEY_I.US,60,20200929,210000,29.946,30.35,29.86,29.99,6308,0
KEY_I.US,60,20200929,220000,29.99,30.33,29.6023,29.7,9978,0
KEY_I.US,60,20200930,160000,29.86,29.86,29.56,29.8,996,0
KEY_I.US,60,20200930,170000,29.8,29.89,29.69,29.7849,2261,0
KEY_I.US,60,20200930,180000,29.81,29.8527,29.75,29.85,642,0
KEY_I.US,60,20200930,190000,29.795,29.8999,29.7677,29.8999,2852,0
KEY_I.US,60,20200930,200000,29.9,29.9,29.4173,29.62,6249,0
KEY_I.US,60,20200930,210000,29.625,29.625,29.17,29.2,4801,0
KEY_I.US,60,20200930,220000,29.2,29.67,29.16,29.16,42821,0
KEY_I.US,60,20201001,160000,29.49,29.49,29.49,29.49,994,0
KEY_I.US,60,20201001,170000,29.285,29.3,29.21,29.21,1120,0
KEY_I.US,60,20201001,180000,29.45,29.45,29.22,29.41,1597,0
KEY_I.US,60,20201001,190000,29.31,29.4,29.29,29.4,2600,0
KEY_I.US,60,20201001,200000,29.35,29.81,29.35,29.68,9725,0
KEY_I.US,60,20201001,210000,29.735,29.7834,29.53,29.58,7712,0
KEY_I.US,60,20201001,220000,29.585,29.72,29.42,29.45,16242,0
KEY_I.US,60,20201002,160000,29.34,29.34,29.29,29.3,2953,0
KEY_I.US,60,20201002,170000,29.87,29.87,29.02,29.02,3451,0
KEY_I.US,60,20201002,180000,29.17,29.2636,29.05,29.05,2892,0
KEY_I.US,60,20201002,190000,29.07,29.3134,29.01,29.22,2395,0
KEY_I.US,60,20201002,200000,29.22,29.3649,29.14,29.3649,6442,0
KEY_I.US,60,20201002,210000,29.37,30.065,29.36,29.59,6772,0
KEY_I.US,60,20201002,220000,29.9396,29.9396,29.255,29.3,13594,0
KEY_I.US,60,20201005,160000,29.55,29.55,29.481,29.481,506,0
