<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KKR_A.US,60,20200914,160000,26.32,26.32,26.25,26.27,800,0
KKR_A.US,60,20200914,170000,26.27,26.3381,26.19,26.2,6700,0
KKR_A.US,60,20200914,180000,26.18,26.3602,26.12,26.12,4780,0
KKR_A.US,60,20200914,190000,26.11,26.145,26.08,26.08,2477,0
KKR_A.US,60,20200914,200000,26.18,26.18,26.09,26.1578,670,0
KKR_A.US,60,20200914,210000,26.155,26.1674,26.095,26.1399,3101,0
KKR_A.US,60,20200914,220000,26.06,26.1,26,26.07,4597,0
KKR_A.US,60,20200915,160000,26.18,26.18,26.08,26.08,7932,0
KKR_A.US,60,20200915,170000,26.065,26.14,26.06,26.13,41209,0
KKR_A.US,60,20200915,180000,26.12,26.13,26.1,26.13,875,0
KKR_A.US,60,20200915,190000,26.12,26.12,26.09,26.09,3578,0
KKR_A.US,60,20200915,200000,26.08,26.11,26.08,26.11,1081,0
KKR_A.US,60,20200915,210000,26.1133,26.13,26.08,26.09,1826,0
KKR_A.US,60,20200915,220000,26.1,26.11,26.07,26.11,8005,0
KKR_A.US,60,20200916,160000,26.17,26.17,26.04,26.08,2565,0
KKR_A.US,60,20200916,170000,26.04,26.1151,25.95,26,17612,0
KKR_A.US,60,20200916,180000,26,26.05,25.97,26.005,2231,0
KKR_A.US,60,20200916,190000,26.0096,26.02,26,26.015,2415,0
KKR_A.US,60,20200916,200000,26,26.02,25.96,25.985,5789,0
KKR_A.US,60,20200916,210000,25.96,26.005,25.96,25.96,9090,0
KKR_A.US,60,20200916,220000,25.96,26,25.87,25.91,20178,0
KKR_A.US,60,20200917,160000,25.86,25.9,25.86,25.895,2800,0
KKR_A.US,60,20200917,170000,25.95,25.965,25.93,25.95,3862,0
KKR_A.US,60,20200917,180000,25.95,25.99,25.95,25.97,8184,0
KKR_A.US,60,20200917,190000,25.952,25.952,25.86,25.94,4122,0
KKR_A.US,60,20200917,200000,25.91,25.91,25.87,25.87,209,0
KKR_A.US,60,20200917,210000,25.94,25.9791,25.92,25.9791,1800,0
KKR_A.US,60,20200917,220000,25.92,25.95,25.88,25.95,2417,0
KKR_A.US,60,20200918,170000,25.945,25.945,25.89,25.89,3480,0
KKR_A.US,60,20200918,180000,25.88,25.905,25.86,25.879,6216,0
KKR_A.US,60,20200918,190000,25.8657,25.878,25.8,25.8,3514,0
KKR_A.US,60,20200918,200000,25.79,25.835,25.79,25.83,3686,0
KKR_A.US,60,20200918,210000,25.845,25.8965,25.83,25.89,4604,0
KKR_A.US,60,20200918,220000,25.855,25.9105,25.855,25.86,1480,0
KKR_A.US,60,20200921,170000,25.76,25.79,25.67,25.79,2340,0
KKR_A.US,60,20200921,180000,25.79,25.83,25.79,25.83,8690,0
KKR_A.US,60,20200921,190000,25.83,25.95,25.83,25.85,4228,0
KKR_A.US,60,20200921,200000,25.94,25.9699,25.79,25.82,3757,0
KKR_A.US,60,20200921,210000,25.885,25.885,25.83,25.8836,400,0
KKR_A.US,60,20200921,220000,25.94,25.94,25.82,25.83,6859,0
KKR_A.US,60,20200922,160000,25.87,25.87,25.8,25.8,3455,0
KKR_A.US,60,20200922,170000,25.81,25.89,25.81,25.82,19544,0
KKR_A.US,60,20200922,180000,25.82,25.875,25.79,25.83,8906,0
KKR_A.US,60,20200922,190000,25.83,25.87,25.83,25.83,1885,0
KKR_A.US,60,20200922,200000,25.84,25.89,25.82,25.82,5000,0
KKR_A.US,60,20200922,210000,25.8258,25.89,25.8,25.8,14512,0
KKR_A.US,60,20200922,220000,25.81,25.83,25.79,25.83,7859,0
KKR_A.US,60,20200923,160000,25.85,25.85,25.8,25.8166,6123,0
KKR_A.US,60,20200923,170000,25.83,25.8899,25.83,25.87,1815,0
KKR_A.US,60,20200923,180000,25.8899,25.8899,25.8243,25.8243,200,0
KKR_A.US,60,20200923,190000,25.82,25.83,25.78,25.83,6900,0
KKR_A.US,60,20200923,200000,25.82,25.8336,25.72,25.76,3900,0
KKR_A.US,60,20200923,210000,25.725,25.725,25.53,25.67,13791,0
KKR_A.US,60,20200923,220000,25.67,25.81,25.64,25.79,17379,0
KKR_A.US,60,20200924,160000,25.71,25.71,25.54,25.6,1695,0
KKR_A.US,60,20200924,170000,25.61,25.7402,25.56,25.68,10707,0
KKR_A.US,60,20200924,180000,25.66,25.66,25.58,25.65,5395,0
KKR_A.US,60,20200924,190000,25.67,25.686,25.67,25.686,500,0
KKR_A.US,60,20200924,200000,25.68,25.77,25.68,25.765,4387,0
KKR_A.US,60,20200924,210000,25.74,25.7882,25.71,25.717,12421,0
KKR_A.US,60,20200924,220000,25.755,25.755,25.66,25.74,3241,0
KKR_A.US,60,20200925,160000,25.8,25.8,25.75,25.75,294,0
KKR_A.US,60,20200925,170000,25.79,25.8775,25.73,25.83,8911,0
KKR_A.US,60,20200925,180000,25.8375,25.93,25.79,25.81,9787,0
KKR_A.US,60,20200925,200000,25.9,25.9,25.8712,25.8712,1090,0
KKR_A.US,60,20200925,210000,25.87,25.89,25.84,25.89,2309,0
KKR_A.US,60,20200925,220000,25.88,25.89,25.82,25.86,6788,0
KKR_A.US,60,20200928,160000,25.95,25.986,25.95,25.98,6200,0
KKR_A.US,60,20200928,170000,25.97,25.97,25.88,25.88,5935,0
KKR_A.US,60,20200928,180000,25.92,25.93,25.89,25.915,1188,0
KKR_A.US,60,20200928,190000,25.9,25.93,25.88,25.9,6861,0
KKR_A.US,60,20200928,200000,25.92,25.92,25.91,25.91,1350,0
KKR_A.US,60,20200928,210000,25.92,25.92,25.9,25.918,1850,0
KKR_A.US,60,20200928,220000,25.92,25.97,25.905,25.92,20755,0
KKR_A.US,60,20200929,160000,25.84,25.85,25.84,25.8471,1753,0
KKR_A.US,60,20200929,170000,25.85,25.87,25.82,25.82,9380,0
KKR_A.US,60,20200929,180000,25.835,25.84,25.73,25.73,5198,0
KKR_A.US,60,20200929,190000,25.77,25.868,25.77,25.85,6300,0
KKR_A.US,60,20200929,200000,25.83,25.87,25.83,25.87,4072,0
KKR_A.US,60,20200929,210000,25.85,25.89,25.81,25.81,3733,0
KKR_A.US,60,20200929,220000,25.83,25.85,25.8109,25.85,4233,0
KKR_A.US,60,20200930,160000,25.83,25.88,25.83,25.83,600,0
KKR_A.US,60,20200930,170000,25.86,25.86,25.84,25.84,1908,0
KKR_A.US,60,20200930,180000,25.84,25.8699,25.83,25.8323,2190,0
KKR_A.US,60,20200930,190000,25.83,25.8316,25.81,25.8316,3229,0
KKR_A.US,60,20200930,200000,25.82,25.83,25.75,25.75,3416,0
KKR_A.US,60,20200930,210000,25.77,25.7799,25.72,25.73,2536,0
KKR_A.US,60,20200930,220000,25.75,25.755,25.68,25.68,53014,0
KKR_A.US,60,20201001,160000,25.78,25.78,25.75,25.77,4619,0
KKR_A.US,60,20201001,170000,25.7697,25.87,25.72,25.83,39665,0
KKR_A.US,60,20201001,180000,25.82,25.8233,25.77,25.8233,3100,0
KKR_A.US,60,20201001,190000,25.81,25.85,25.81,25.83,2691,0
KKR_A.US,60,20201001,200000,25.84,25.91,25.83,25.88,13249,0
KKR_A.US,60,20201001,210000,25.86,25.87,25.79,25.8532,8525,0
KKR_A.US,60,20201001,220000,25.855,25.93,25.83,25.93,18950,0
KKR_A.US,60,20201002,160000,25.79,25.98,25.79,25.98,6188,0
KKR_A.US,60,20201002,170000,25.98,25.98,25.9359,25.98,2624,0
KKR_A.US,60,20201002,190000,25.97,25.97,25.9432,25.9463,3680,0
KKR_A.US,60,20201002,200000,25.9705,25.99,25.95,25.95,2789,0
KKR_A.US,60,20201002,210000,25.95,26.04,25.95,26.04,5645,0
KKR_A.US,60,20201002,220000,26.04,26.04,25.94,26,2188,0
KKR_A.US,60,20201005,160000,26.09,26.09,26.03,26.0398,1990,0
KKR_A.US,60,20201005,170000,26.002,26.0233,26.002,26.0233,3000,0
KKR_A.US,60,20201005,180000,26.08,26.1,26.07,26.07,3989,0
KKR_A.US,60,20201005,200000,26.05,26.085,26.05,26.085,700,0
KKR_A.US,60,20201005,210000,26.07,26.1,26.05,26.065,4281,0
KKR_A.US,60,20201005,220000,26.1,26.1,26.03,26.09,13995,0
KKR_A.US,60,20201006,160000,26.06,26.06,26.06,26.06,100,0
KKR_A.US,60,20201006,170000,26.08,26.1493,26.08,26.1,2340,0
KKR_A.US,60,20201006,180000,26.13,26.15,26.12,26.12,5577,0
KKR_A.US,60,20201006,190000,26.11,26.14,26.11,26.1175,600,0
KKR_A.US,60,20201006,200000,26.14,26.15,26.12,26.12,4426,0
