<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAXR.US,60,20200914,160000,23.339,24.848,23.249,24.708,272354,0
MAXR.US,60,20200914,170000,24.638,24.898,24.338,24.568,169122,0
MAXR.US,60,20200914,180000,24.558,24.938,24.558,24.931,99474,0
MAXR.US,60,20200914,190000,24.933,25.048,24.758,25.043,118666,0
MAXR.US,60,20200914,200000,25.038,25.238,24.988,25.158,80966,0
MAXR.US,60,20200914,210000,25.148,25.368,25.088,25.348,77312,0
MAXR.US,60,20200914,220000,25.348,25.448,25.158,25.308,302943,0
MAXR.US,60,20200915,160000,25.498,26.027,25.218,26.017,134910,0
MAXR.US,60,20200915,170000,26.017,26.192,25.498,25.977,243498,0
MAXR.US,60,20200915,180000,25.987,26.527,25.967,26.347,138103,0
MAXR.US,60,20200915,190000,26.337,26.417,26.167,26.302,53567,0
MAXR.US,60,20200915,200000,26.307,26.387,25.741,25.741,110224,0
MAXR.US,60,20200915,210000,25.748,25.826,25.608,25.688,44539,0
MAXR.US,60,20200915,220000,25.698,25.708,25.268,25.438,156474,0
MAXR.US,60,20200916,160000,25.518,25.523,25.088,25.481,66838,0
MAXR.US,60,20200916,170000,25.508,26.127,25.473,26.087,167845,0
MAXR.US,60,20200916,180000,26.077,26.447,26.007,26.417,136459,0
MAXR.US,60,20200916,190000,26.417,26.597,26.242,26.412,145687,0
MAXR.US,60,20200916,200000,26.407,26.637,26.157,26.217,127605,0
MAXR.US,60,20200916,210000,26.247,26.532,25.977,26.147,120563,0
MAXR.US,60,20200916,220000,26.127,26.237,25.748,25.937,214449,0
MAXR.US,60,20200917,160000,25.907,27.254,25.418,27.147,274200,0
MAXR.US,60,20200917,170000,27.187,28.226,27.027,27.157,472543,0
MAXR.US,60,20200917,180000,27.207,27.876,27.203,27.397,203439,0
MAXR.US,60,20200917,190000,27.367,27.397,27.017,27.367,213583,0
MAXR.US,60,20200917,200000,27.387,28.041,27.332,27.836,161589,0
MAXR.US,60,20200917,210000,27.836,27.906,27.417,27.577,127118,0
MAXR.US,60,20200917,220000,27.537,27.687,27.297,27.517,377776,0
MAXR.US,60,20200918,160000,27.796,28.586,27.277,28.406,330894,0
MAXR.US,60,20200918,170000,28.411,29.856,28.316,29.036,694209,0
MAXR.US,60,20200918,180000,29.066,29.637,28.866,29.136,252431,0
MAXR.US,60,20200918,190000,29.146,29.526,29.081,29.296,129035,0
MAXR.US,60,20200918,200000,29.306,29.476,28.921,29.471,137430,0
MAXR.US,60,20200918,210000,29.476,30.116,29.376,29.806,500839,0
MAXR.US,60,20200918,220000,29.806,30.026,29.056,29.056,442115,0
MAXR.US,60,20200921,160000,28.626,29.156,28.116,29.111,210611,0
MAXR.US,60,20200921,170000,29.006,29.166,27.997,28.156,409891,0
MAXR.US,60,20200921,180000,28.196,28.816,27.737,28.106,245252,0
MAXR.US,60,20200921,190000,28.176,28.426,28.076,28.171,134152,0
MAXR.US,60,20200921,200000,28.156,28.204,27.756,27.806,120518,0
MAXR.US,60,20200921,210000,27.793,28.116,27.756,28.036,82008,0
MAXR.US,60,20200921,220000,28.026,28.346,28.011,28.066,340525,0
MAXR.US,60,20200922,160000,28.106,28.106,26.887,27.147,251440,0
MAXR.US,60,20200922,170000,27.177,27.447,26.817,26.977,274916,0
MAXR.US,60,20200922,180000,26.967,27.337,26.967,27.327,107811,0
MAXR.US,60,20200922,190000,27.327,27.497,27.197,27.252,62111,0
MAXR.US,60,20200922,200000,27.257,27.836,27.237,27.786,90230,0
MAXR.US,60,20200922,210000,27.811,27.846,27.467,27.537,76021,0
MAXR.US,60,20200922,220000,27.537,27.826,27.437,27.647,204061,0
MAXR.US,60,20200923,160000,27.976,28.275,27.63,27.717,71409,0
MAXR.US,60,20200923,170000,27.766,27.956,26.787,26.857,193853,0
MAXR.US,60,20200923,180000,26.847,26.917,26.137,26.167,178356,0
MAXR.US,60,20200923,190000,26.147,26.547,26.077,26.232,95152,0
MAXR.US,60,20200923,200000,26.237,26.267,25.606,25.628,161611,0
MAXR.US,60,20200923,210000,25.618,25.618,25.058,25.108,257878,0
MAXR.US,60,20200923,220000,25.108,25.258,24.703,24.738,392471,0
MAXR.US,60,20200924,160000,24.258,24.593,23.739,24.233,139474,0
MAXR.US,60,20200924,170000,24.233,24.368,23.579,24.14,186337,0
MAXR.US,60,20200924,180000,24.087,24.108,23.434,24.009,169616,0
MAXR.US,60,20200924,190000,24.019,24.258,23.879,24.158,81421,0
MAXR.US,60,20200924,200000,24.138,24.608,24.053,24.458,138647,0
MAXR.US,60,20200924,210000,24.468,24.498,23.749,23.749,73180,0
MAXR.US,60,20200924,220000,23.734,23.869,23.445,23.679,276440,0
MAXR.US,60,20200925,160000,23.699,24.288,23.699,24.201,98499,0
MAXR.US,60,20200925,170000,24.266,24.848,24.188,24.268,146388,0
MAXR.US,60,20200925,180000,24.258,24.278,23.789,23.859,114083,0
MAXR.US,60,20200925,190000,23.859,24.258,23.768,24.221,66943,0
MAXR.US,60,20200925,200000,24.208,24.228,24.014,24.058,54698,0
MAXR.US,60,20200925,210000,24.068,24.238,24.019,24.188,48700,0
MAXR.US,60,20200925,220000,24.188,24.348,24.098,24.188,219742,0
MAXR.US,60,20200928,160000,24.988,25.258,24.088,24.323,115165,0
MAXR.US,60,20200928,170000,24.348,24.748,23.939,24.743,149089,0
MAXR.US,60,20200928,180000,24.778,25.393,24.736,25.388,167388,0
MAXR.US,60,20200928,190000,25.355,25.626,25.248,25.548,119858,0
MAXR.US,60,20200928,200000,25.518,25.608,25.258,25.268,62049,0
MAXR.US,60,20200928,210000,25.258,25.428,25.193,25.358,48049,0
MAXR.US,60,20200928,220000,25.353,25.471,25.258,25.398,178114,0
MAXR.US,60,20200929,160000,25.638,26.467,25.488,26.407,195312,0
MAXR.US,60,20200929,170000,26.457,26.497,25.438,25.478,135840,0
MAXR.US,60,20200929,180000,25.508,26.007,25.438,25.653,108917,0
MAXR.US,60,20200929,190000,25.658,26.777,25.588,26.197,160035,0
MAXR.US,60,20200929,200000,26.207,26.377,25.987,26.267,66309,0
MAXR.US,60,20200929,210000,26.26,26.367,26.127,26.127,66001,0
MAXR.US,60,20200929,220000,26.157,26.237,25.922,25.957,143017,0
MAXR.US,60,20200930,160000,25.788,26.007,25.318,25.628,95161,0
MAXR.US,60,20200930,170000,25.618,25.877,25.348,25.448,97620,0
MAXR.US,60,20200930,180000,25.418,25.508,25.198,25.208,57556,0
MAXR.US,60,20200930,190000,25.218,25.368,25.148,25.343,74487,0
MAXR.US,60,20200930,200000,25.333,25.458,25.16,25.358,63444,0
MAXR.US,60,20200930,210000,25.358,25.388,24.718,25.088,158585,0
MAXR.US,60,20200930,220000,25.076,25.158,24.788,24.928,258155,0
MAXR.US,60,20201001,160000,25.368,25.957,25.198,25.828,94665,0
MAXR.US,60,20201001,170000,25.788,26.437,25.728,26.437,277032,0
MAXR.US,60,20201001,180000,26.467,26.917,26.387,26.747,265563,0
MAXR.US,60,20201001,190000,26.767,26.957,26.447,26.517,119444,0
MAXR.US,60,20201001,200000,26.525,26.727,26.347,26.387,78804,0
MAXR.US,60,20201001,210000,26.387,26.807,26.257,26.737,109379,0
MAXR.US,60,20201001,220000,26.737,26.837,26.502,26.647,242863,0
MAXR.US,60,20201002,160000,25.288,26.117,25.148,25.508,213418,0
MAXR.US,60,20201002,170000,25.52,26.217,25.52,25.838,183308,0
MAXR.US,60,20201002,180000,25.838,26.237,25.738,25.828,92792,0
