<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOS.US,60,20200914,160000,18.369,18.379,17.94,18.284,300607,0
MOS.US,60,20200914,170000,18.279,18.289,17.895,17.895,393147,0
MOS.US,60,20200914,180000,17.895,17.99,17.805,17.91,290831,0
MOS.US,60,20200914,190000,17.91,18.069,17.83,17.994,318241,0
MOS.US,60,20200914,200000,17.999,18.059,17.965,18.039,230183,0
MOS.US,60,20200914,210000,18.034,18.049,17.91,17.92,282578,0
MOS.US,60,20200914,220000,17.925,18.104,17.9,18.059,1018241,0
MOS.US,60,20200915,160000,18.079,18.119,17.815,17.85,325994,0
MOS.US,60,20200915,170000,17.845,18.104,17.731,18.074,502020,0
MOS.US,60,20200915,180000,18.074,18.204,18.019,18.074,325234,0
MOS.US,60,20200915,190000,18.069,18.129,18.019,18.079,219884,0
MOS.US,60,20200915,200000,18.074,18.124,18.039,18.069,217988,0
MOS.US,60,20200915,210000,18.074,18.169,18.049,18.144,248857,0
MOS.US,60,20200915,220000,18.144,18.149,17.94,17.96,1064206,0
MOS.US,60,20200916,160000,18.019,18.029,17.671,17.771,256801,0
MOS.US,60,20200916,170000,17.775,17.94,17.761,17.94,312844,0
MOS.US,60,20200916,180000,17.935,18.119,17.935,18.104,337068,0
MOS.US,60,20200916,190000,18.099,18.169,18.02,18.139,241861,0
MOS.US,60,20200916,200000,18.149,18.209,18.039,18.129,324844,0
MOS.US,60,20200916,210000,18.129,18.359,18.129,18.294,464729,0
MOS.US,60,20200916,220000,18.294,18.319,18.009,18.029,2030349,0
MOS.US,60,20200917,160000,17.99,18.099,17.761,18.084,295613,0
MOS.US,60,20200917,170000,18.084,18.737,18.029,18.717,735882,0
MOS.US,60,20200917,180000,18.717,19.055,18.657,18.956,1127339,0
MOS.US,60,20200917,190000,18.946,18.946,18.657,18.876,453107,0
MOS.US,60,20200917,200000,18.871,19.045,18.866,18.946,502621,0
MOS.US,60,20200917,210000,18.946,19.255,18.847,19.165,795557,0
MOS.US,60,20200917,220000,19.175,19.349,19.075,19.185,3307530,0
MOS.US,60,20200918,160000,19.294,19.673,19.125,19.534,1498963,0
MOS.US,60,20200918,170000,19.534,19.922,19.464,19.742,1450157,0
MOS.US,60,20200918,180000,19.742,19.952,19.653,19.723,1028183,0
MOS.US,60,20200918,190000,19.723,19.752,19.474,19.554,632343,0
MOS.US,60,20200918,200000,19.554,19.584,19.314,19.424,629172,0
MOS.US,60,20200918,210000,19.424,19.424,19.275,19.299,654237,0
MOS.US,60,20200918,220000,19.304,19.384,18.996,19.185,8292799,0
MOS.US,60,20200921,160000,18.737,18.737,17.85,18.084,574388,0
MOS.US,60,20200921,170000,18.069,18.219,17.552,17.566,846889,0
MOS.US,60,20200921,180000,17.552,17.736,17.412,17.492,545567,0
MOS.US,60,20200921,190000,17.482,17.561,17.242,17.277,412749,0
MOS.US,60,20200921,200000,17.277,17.332,17.124,17.192,868250,0
MOS.US,60,20200921,210000,17.192,17.422,17.192,17.347,462500,0
MOS.US,60,20200921,220000,17.347,17.79,17.337,17.741,2709143,0
MOS.US,60,20200922,160000,17.711,18.024,17.681,17.85,217625,0
MOS.US,60,20200922,170000,17.845,17.87,17.482,17.537,523303,0
MOS.US,60,20200922,180000,17.537,17.8,17.537,17.771,265073,0
MOS.US,60,20200922,190000,17.764,17.84,17.711,17.771,204006,0
MOS.US,60,20200922,200000,17.775,17.86,17.741,17.845,164506,0
MOS.US,60,20200922,210000,17.85,17.99,17.83,17.98,363183,0
MOS.US,60,20200922,220000,17.975,18.049,17.91,17.98,1952528,0
MOS.US,60,20200923,160000,18.299,18.832,18.109,18.687,669929,0
MOS.US,60,20200923,170000,18.667,19.135,18.627,19.095,986448,0
MOS.US,60,20200923,180000,19.095,19.2,18.737,18.792,942956,0
MOS.US,60,20200923,190000,18.787,18.981,18.757,18.971,458964,0
MOS.US,60,20200923,200000,18.976,19.011,18.827,18.842,443555,0
MOS.US,60,20200923,210000,18.842,18.847,18.124,18.144,664362,0
MOS.US,60,20200923,220000,18.149,18.289,18.079,18.189,1970567,0
MOS.US,60,20200924,160000,18.189,18.189,17.666,17.741,328228,0
MOS.US,60,20200924,170000,17.736,18.129,17.736,18.034,493231,0
MOS.US,60,20200924,180000,18.029,18.379,17.95,18.374,370427,0
MOS.US,60,20200924,190000,18.379,18.612,18.374,18.597,592741,0
MOS.US,60,20200924,200000,18.597,19.105,18.597,19.08,691047,0
MOS.US,60,20200924,210000,19.085,19.11,18.722,18.727,420159,0
MOS.US,60,20200924,220000,18.732,18.837,18.642,18.747,1894156,0
MOS.US,60,20200925,160000,18.577,18.687,18.139,18.374,266038,0
MOS.US,60,20200925,170000,18.364,18.374,17.999,18.329,505027,0
MOS.US,60,20200925,180000,18.344,18.457,18.269,18.309,290473,0
MOS.US,60,20200925,190000,18.304,18.487,18.304,18.432,238593,0
MOS.US,60,20200925,200000,18.427,18.477,18.344,18.369,230688,0
MOS.US,60,20200925,210000,18.364,18.462,18.349,18.452,253969,0
MOS.US,60,20200925,220000,18.467,18.607,18.457,18.517,1268389,0
MOS.US,60,20200928,160000,18.797,19.215,18.727,18.896,270845,0
MOS.US,60,20200928,170000,18.906,18.951,18.607,18.747,339173,0
MOS.US,60,20200928,180000,18.777,18.797,18.587,18.672,335764,0
MOS.US,60,20200928,190000,18.682,18.787,18.672,18.732,180153,0
MOS.US,60,20200928,200000,18.732,18.767,18.413,18.423,365234,0
MOS.US,60,20200928,210000,18.423,18.567,18.403,18.507,504654,0
