<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NGVC.US,60,20200914,160000,9.4597,9.555,9.3989,9.4512,4184,0
NGVC.US,60,20200914,170000,9.4946,9.538,9.412,9.4597,8823,0
NGVC.US,60,20200914,180000,9.4424,9.555,9.4338,9.52,6290,0
NGVC.US,60,20200914,190000,9.52,9.547,9.4946,9.533,4261,0
NGVC.US,60,20200914,200000,9.547,9.547,9.4424,9.4512,9538,0
NGVC.US,60,20200914,210000,9.4424,9.4687,9.4424,9.4424,3967,0
NGVC.US,60,20200914,220000,9.4338,9.4512,9.3641,9.3641,33701,0
NGVC.US,60,20200915,160000,9.4164,9.504,9.3903,9.4251,2244,0
NGVC.US,60,20200915,170000,9.3729,9.3859,9.1378,9.2162,26347,0
NGVC.US,60,20200915,180000,9.1901,9.2423,9.1814,9.2075,7103,0
NGVC.US,60,20200915,190000,9.2249,9.2249,8.9986,9.0726,41411,0
NGVC.US,60,20200915,200000,9.0856,9.0944,9.0335,9.0335,10311,0
NGVC.US,60,20200915,210000,9.0291,9.0421,8.9464,8.9638,23564,0
NGVC.US,60,20200915,220000,8.9552,8.9552,8.8593,8.929,55965,0
NGVC.US,60,20200916,160000,8.9725,9.0509,8.8681,8.8942,11029,0
NGVC.US,60,20200916,170000,8.9376,9.0335,8.8681,9.0024,12242,0
NGVC.US,60,20200916,180000,9.0421,9.0421,8.9638,8.9638,3895,0
NGVC.US,60,20200916,190000,8.9594,9.0683,8.9594,9.0683,8505,0
NGVC.US,60,20200916,200000,9.0595,9.0778,8.9621,8.9621,11148,0
NGVC.US,60,20200916,210000,8.9203,8.9638,8.8725,8.8942,8821,0
NGVC.US,60,20200916,220000,8.9029,8.9203,8.7462,8.8681,65658,0
NGVC.US,60,20200917,160000,8.7636,9.0595,8.7636,9.0595,7831,0
NGVC.US,60,20200917,170000,9.0595,9.1814,9.0161,9.0769,17170,0
NGVC.US,60,20200917,180000,9.0247,9.0335,8.9725,8.9725,10739,0
NGVC.US,60,20200917,190000,9.0161,9.1814,8.9725,9.177,6134,0
NGVC.US,60,20200917,200000,9.1727,9.2249,9.1466,9.2205,4094,0
NGVC.US,60,20200917,210000,9.1987,9.1987,9.0726,9.1031,22368,0
NGVC.US,60,20200917,220000,9.0944,9.0944,8.9377,8.9812,47287,0
NGVC.US,60,20200918,160000,9.0595,9.1074,9.0308,9.0377,22731,0
NGVC.US,60,20200918,170000,9.0421,9.0944,9.0421,9.0856,3520,0
NGVC.US,60,20200918,180000,9.1204,9.1378,9.0769,9.0944,5466,0
NGVC.US,60,20200918,190000,9.0856,9.0856,8.9464,9.0161,6810,0
NGVC.US,60,20200918,200000,9.0335,9.0509,8.9552,9.0073,4533,0
NGVC.US,60,20200918,210000,8.9986,9.0421,8.9986,9.0247,2764,0
NGVC.US,60,20200918,220000,9.0335,9.1204,8.8942,8.9725,120694,0
NGVC.US,60,20200921,160000,8.8159,8.903,8.7289,8.903,9128,0
NGVC.US,60,20200921,170000,8.8942,8.9551,8.8246,8.8246,8564,0
NGVC.US,60,20200921,180000,8.8507,8.8681,8.7898,8.8202,7060,0
NGVC.US,60,20200921,190000,8.7984,8.8237,8.6592,8.6949,23180,0
NGVC.US,60,20200921,200000,8.6766,8.755,8.6244,8.6244,19615,0
NGVC.US,60,20200921,210000,8.6288,8.6853,8.6244,8.6592,9673,0
NGVC.US,60,20200921,220000,8.6679,8.6679,8.5113,8.5461,61490,0
NGVC.US,60,20200922,160000,8.5809,8.7115,8.5809,8.6583,3541,0
NGVC.US,60,20200922,170000,8.6505,8.8246,8.5983,8.5983,10613,0
NGVC.US,60,20200922,180000,8.62,8.6244,8.4939,8.607,17173,0
NGVC.US,60,20200922,190000,8.6026,8.6114,8.4764,8.4852,10185,0
NGVC.US,60,20200922,200000,8.459,8.5373,8.459,8.5199,9040,0
NGVC.US,60,20200922,210000,8.5373,8.5373,8.4764,8.5243,8762,0
NGVC.US,60,20200922,220000,8.5373,8.607,8.5199,8.5373,43486,0
NGVC.US,60,20200923,160000,8.5635,8.6679,8.4939,8.5199,6529,0
