<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTSE.US,60,20210521,170000,40.24,40.24,40.24,40.24,248,0
NTSE.US,60,20210521,180000,40.1,40.1,40.1,40.1,1000,0
NTSE.US,60,20210521,190000,40.1,40.1,40.1,40.1,640,0
NTSE.US,60,20210521,200000,40.05,40.06,40.04,40.05,3706,0
NTSE.US,60,20210524,210000,40.08,40.37,40.08,40.353,1225,0
NTSE.US,60,20210524,220000,40.33,40.33,40.33,40.33,215,0
NTSE.US,60,20210525,160000,41.2,41.2,41.2,41.2,251,0
NTSE.US,60,20210526,200000,40.95,40.95,40.95,40.95,1237,0
NTSE.US,60,20210526,220000,40.98,40.98,40.98,40.98,1481,0
NTSE.US,60,20210527,190000,40.92,40.92,40.87,40.87,400,0
NTSE.US,60,20210527,210000,40.93,40.94,40.93,40.94,200,0
NTSE.US,60,20210528,170000,41.26,41.26,41.26,41.26,500,0
NTSE.US,60,20210602,180000,41.229,42.079,41.229,42.079,442,0
NTSE.US,60,20210602,190000,42.075,42.075,42.075,42.075,466,0
NTSE.US,60,20210602,210000,42.08,42.08,42.08,42.08,200,0
NTSE.US,60,20210603,200000,41.619,41.619,41.619,41.619,121,0
NTSE.US,60,20210604,210000,42.12,42.12,42.12,42.12,100,0
NTSE.US,60,20210607,160000,41.79,41.79,41.79,41.79,125,0
NTSE.US,60,20210607,220000,41.89,41.89,41.89,41.89,100,0
NTSE.US,60,20210608,210000,41.679,41.679,41.679,41.679,100,0
NTSE.US,60,20210608,220000,41.73,41.73,41.73,41.73,100,0
NTSE.US,60,20210609,170000,41.749,41.749,41.749,41.749,505,0
NTSE.US,60,20210610,200000,41.99,41.99,41.979,41.98,3600,0
NTSE.US,60,20210610,210000,42.04,42.04,42.04,42.04,130,0
NTSE.US,60,20210611,160000,41.9199,41.9199,41.9199,41.9199,223,0
NTSE.US,60,20210616,210000,41.88,41.88,41.31,41.31,741,0
NTSE.US,60,20210617,220000,41.12,41.42,41.12,41.42,200,0
NTSE.US,60,20210621,190000,41.148,41.148,41.148,41.148,1000,0
NTSE.US,60,20210623,170000,41.47,41.47,41.47,41.47,400,0
NTSE.US,60,20210624,180000,41.55,41.55,41.55,41.55,100,0
NTSE.US,60,20210624,220000,41.6699,41.6699,41.6699,41.6699,120,0
NTSE.US,60,20210628,190000,41.885,41.885,41.85,41.8797,1950,0
NTSE.US,60,20210628,210000,41.9,41.905,41.9,41.905,600,0
NTSE.US,60,20210630,170000,41.67,41.67,41.67,41.67,143,0
NTSE.US,60,20210630,220000,41.66,41.66,41.66,41.66,130,0
NTSE.US,60,20210701,180000,41.369,41.369,41.369,41.369,252,0
NTSE.US,60,20210701,190000,41.3699,41.3699,41.335,41.335,271,0
NTSE.US,60,20210701,200000,41.33,41.33,41.33,41.33,100,0
NTSE.US,60,20210701,210000,41.359,41.359,41.359,41.359,400,0
NTSE.US,60,20210702,170000,41.299,41.299,41.279,41.279,259,0
NTSE.US,60,20210706,160000,41,41,41,41,101,0
NTSE.US,60,20210706,180000,40.96,40.96,40.96,40.96,200,0
NTSE.US,60,20210706,200000,40.849,40.85,40.849,40.85,463,0
NTSE.US,60,20210707,160000,41.109,41.109,41.109,41.109,300,0
NTSE.US,60,20210708,170000,40.115,40.115,40.115,40.115,195,0
NTSE.US,60,20210709,220000,40.753,40.76,40.725,40.76,2576,0
