<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVTA.US,60,20200914,160000,33.14,34.2,33.14,34.19,173444,0
NVTA.US,60,20200914,170000,34.2,35.31,34.17,34.68,322723,0
NVTA.US,60,20200914,180000,34.69,34.94,34.46,34.72,158350,0
NVTA.US,60,20200914,190000,34.72,35,34.5,34.9529,115653,0
NVTA.US,60,20200914,200000,34.97,35.25,34.51,35.24,140100,0
NVTA.US,60,20200914,210000,35.235,35.3,34.54,34.72,200420,0
NVTA.US,60,20200914,220000,34.715,35.18,34.3,35.14,550215,0
NVTA.US,60,20200915,160000,35.51,36.78,35.48,36.62,294201,0
NVTA.US,60,20200915,170000,36.62,38.15,36.16,38.04,638920,0
NVTA.US,60,20200915,180000,38.1,38.76,37.8,37.9,515653,0
NVTA.US,60,20200915,190000,37.91,38.33,37.56,38.22,241594,0
NVTA.US,60,20200915,200000,38.225,38.59,38.02,38.44,302322,0
NVTA.US,60,20200915,210000,38.4572,39.94,38.4572,39.54,882466,0
NVTA.US,60,20200915,220000,39.55,39.57,38.34,39.01,834491,0
NVTA.US,60,20200916,160000,39.08,40.525,38.57,40.25,523859,0
NVTA.US,60,20200916,170000,40.36,40.93,39.02,39.57,834601,0
NVTA.US,60,20200916,180000,39.57,40.29,39.5265,40.14,322096,0
NVTA.US,60,20200916,190000,40.135,40.54,40.0859,40.31,298226,0
NVTA.US,60,20200916,200000,40.33,40.79,40.1106,40.62,265641,0
NVTA.US,60,20200916,210000,40.635,40.83,40.1,40.14,417641,0
NVTA.US,60,20200916,220000,40.15,40.395,39.82,40.07,1793038,0
NVTA.US,60,20200917,160000,38.99,40.15,38.6,39.39,239838,0
NVTA.US,60,20200917,170000,39.38,40.1,39.2101,39.46,252293,0
NVTA.US,60,20200917,180000,39.5,40.05,39.26,39.38,216956,0
NVTA.US,60,20200917,190000,39.36,39.4,37.9,38.105,523080,0
NVTA.US,60,20200917,200000,38.14,38.705,38,38.64,229063,0
NVTA.US,60,20200917,210000,38.72,39.03,38.6201,38.85,151342,0
NVTA.US,60,20200917,220000,38.87,39.1,38.545,39.07,1028280,0
NVTA.US,60,20200918,160000,39.7,40,39.05,39.435,305807,0
NVTA.US,60,20200918,170000,39.445,40.96,39.14,40.795,381220,0
NVTA.US,60,20200918,180000,40.81,40.88,39.93,40.2,195956,0
NVTA.US,60,20200918,190000,40.16,40.32,38.93,39.2,234342,0
NVTA.US,60,20200918,200000,39.17,39.23,38.42,38.81,229975,0
NVTA.US,60,20200918,210000,38.77,39.46,38.7,39.46,136761,0
NVTA.US,60,20200918,220000,39.45,40.79,39.42,40.08,1317180,0
NVTA.US,60,20200921,160000,39.25,40.28,38.32,39.78,330797,0
NVTA.US,60,20200921,170000,39.71,39.78,37.88,38.25,418450,0
NVTA.US,60,20200921,180000,38.25,38.9,37.59,38.7,416866,0
NVTA.US,60,20200921,190000,38.76,39.265,38.71,39.1,239243,0
NVTA.US,60,20200921,200000,39.1,39.615,39,39.495,247182,0
NVTA.US,60,20200921,210000,39.508,39.78,39.41,39.7799,191413,0
NVTA.US,60,20200921,220000,39.74,40.79,39.72,40.59,1433387,0
NVTA.US,60,20200922,160000,41.29,41.43,39.95,40.41,136131,0
NVTA.US,60,20200922,170000,40.46,40.8999,40.14,40.298,127494,0
NVTA.US,60,20200922,180000,40.4,40.84,40.3,40.83,122074,0
NVTA.US,60,20200922,190000,40.84,41.36,40.8054,41.1,140889,0
NVTA.US,60,20200922,200000,41.1244,42.455,41.1,42.31,350993,0
NVTA.US,60,20200922,210000,42.315,43.5899,42.11,43.23,731625,0
NVTA.US,60,20200922,220000,43.2217,43.37,42.76,43.1,1212763,0
NVTA.US,60,20200923,160000,42.91,43.05,41.54,42.27,155684,0
NVTA.US,60,20200923,170000,42.24,44.035,42.24,43.58,410855,0
NVTA.US,60,20200923,180000,43.56,43.905,42.19,42.19,360712,0
NVTA.US,60,20200923,190000,42.18,42.4,41.84,42.09,291388,0
NVTA.US,60,20200923,200000,42.05,42.43,41.695,41.8958,315434,0
NVTA.US,60,20200923,210000,41.86,41.86,40.761,40.761,366962,0
NVTA.US,60,20200923,220000,40.75,41.25,40.09,40.75,708366,0
NVTA.US,60,20200924,160000,39.23,41.23,38.88,40.7,280637,0
NVTA.US,60,20200924,170000,40.7,43.2395,40.56,42.47,421029,0
NVTA.US,60,20200924,180000,42.47,43.26,41.95,43.055,343633,0
NVTA.US,60,20200924,190000,43.06,43.17,42.35,42.87,220654,0
NVTA.US,60,20200924,200000,42.865,43.42,42.73,42.96,190046,0
NVTA.US,60,20200924,210000,42.97,43.54,42.64,42.68,223395,0
NVTA.US,60,20200924,220000,42.7,42.9799,42.11,42.71,504365,0
NVTA.US,60,20200925,160000,42.9,43.93,42.455,43.9099,197133,0
NVTA.US,60,20200925,170000,43.7759,44.7069,43.505,44.49,344582,0
NVTA.US,60,20200925,180000,44.5,44.5,43.55,43.61,294130,0
NVTA.US,60,20200925,190000,43.61,44.14,43.57,43.74,154904,0
NVTA.US,60,20200925,200000,43.745,44.25,43.67,44.06,215469,0
NVTA.US,60,20200925,210000,44.05,44.38,43.83,44.31,177263,0
NVTA.US,60,20200925,220000,44.33,44.82,44.23,44.67,605466,0
NVTA.US,60,20200928,160000,45.24,45.27,43.87,45.175,338264,0
NVTA.US,60,20200928,170000,45.206,46.17,44.9,45.12,440648,0
NVTA.US,60,20200928,180000,45.16,45.35,44.109,44.2426,164695,0
NVTA.US,60,20200928,190000,44.2,44.522,43.53,43.56,182483,0
NVTA.US,60,20200928,200000,43.56,43.72,43.23,43.525,175381,0
NVTA.US,60,20200928,210000,43.55,44.16,43.5,44.09,183040,0
NVTA.US,60,20200928,220000,44.08,44.31,43.88,43.89,732682,0
NVTA.US,60,20200929,160000,44.35,45.34,44.04,45.34,130568,0
NVTA.US,60,20200929,170000,45.31,45.3694,44.35,44.685,184971,0
NVTA.US,60,20200929,180000,44.7,45.735,44.615,45.58,339368,0
NVTA.US,60,20200929,190000,45.56,45.94,45.47,45.56,129763,0
NVTA.US,60,20200929,200000,45.5508,45.58,44.09,45.17,269166,0
NVTA.US,60,20200929,210000,45.185,45.22,44.87,44.97,207313,0
NVTA.US,60,20200929,220000,45.01,45.08,44.25,44.29,565526,0
NVTA.US,60,20200930,160000,44.68,44.97,43.83,44.2706,122397,0
NVTA.US,60,20200930,170000,44.1,44.55,43.74,43.76,229097,0
NVTA.US,60,20200930,180000,43.765,44.705,43.56,44.69,265863,0
NVTA.US,60,20200930,190000,44.72,44.885,43.94,43.97,272913,0
NVTA.US,60,20200930,200000,43.945,44.0393,43.61,43.745,200610,0
NVTA.US,60,20200930,210000,43.77,43.89,42.63,43.04,373379,0
NVTA.US,60,20200930,220000,43.07,43.72,42.67,43.35,1743132,0
NVTA.US,60,20201001,160000,43.98,44.4,43.38,44.305,131630,0
NVTA.US,60,20201001,170000,44.3,44.63,43.82,44.17,146906,0
NVTA.US,60,20201001,180000,44.21,44.5,43.79,43.94,138664,0
NVTA.US,60,20201001,190000,43.94,44.09,43.75,44.05,95501,0
NVTA.US,60,20201001,200000,44.1,44.23,43.85,43.95,167290,0
NVTA.US,60,20201001,210000,43.89,44.28,43.635,44.17,181889,0
NVTA.US,60,20201001,220000,44.205,44.27,43.78,44.07,404909,0
NVTA.US,60,20201002,160000,42.75,44.19,42.23,43.43,183516,0
NVTA.US,60,20201002,170000,43.495,44.03,42.98,43.44,158974,0
NVTA.US,60,20201002,180000,43.47,44.1086,43.23,43.3408,262577,0
NVTA.US,60,20201002,190000,43.37,44.16,43.05,43.93,131544,0
NVTA.US,60,20201002,200000,43.9,44.13,43.02,43.09,134975,0
NVTA.US,60,20201002,210000,43.05,43.3603,42.5,42.65,186125,0
NVTA.US,60,20201002,220000,42.67,42.9276,42.42,42.43,361981,0
NVTA.US,60,20201005,160000,43.75,44.08,43.47,43.65,170825,0
NVTA.US,60,20201005,170000,43.75,44.99,43.63,44.561,282077,0
NVTA.US,60,20201005,180000,44.56,44.73,44.02,44.14,208935,0
NVTA.US,60,20201005,190000,44.15,44.735,43.88,44.68,198307,0
NVTA.US,60,20201005,200000,44.66,45.5,44.66,45.1501,199244,0
NVTA.US,60,20201005,210000,45.24,45.5899,44.86,45.5899,163639,0
NVTA.US,60,20201005,220000,45.542,45.6,45.27,45.4,441943,0
NVTA.US,60,20201006,160000,45.6,48.15,45.5,47.94,370344,0
NVTA.US,60,20201006,170000,47.89,48.46,47.37,48.12,405685,0
NVTA.US,60,20201006,180000,48.18,49.62,48.1303,49.1401,475464,0
NVTA.US,60,20201006,190000,49.1558,50.12,48.8,50.005,275773,0
NVTA.US,60,20201006,200000,50.03,50.176,48.8,48.9,262537,0
NVTA.US,60,20201006,210000,48.93,49.3,47.51,48.12,546058,0
NVTA.US,60,20201006,220000,48.01,48.265,47.04,47.51,625240,0
NVTA.US,60,20201007,160000,48.82,50.66,48.35,49.56,319311,0
NVTA.US,60,20201007,170000,49.61,51.1,49.61,50.175,621685,0
NVTA.US,60,20201007,180000,50.19,51.44,50.1609,50.74,498529,0
NVTA.US,60,20201007,190000,50.735,51.07,50.32,50.9231,344467,0
NVTA.US,60,20201007,200000,50.9503,51.14,50.26,50.305,348254,0
NVTA.US,60,20201007,210000,50.29,50.48,49.5501,50.105,193490,0
NVTA.US,60,20201007,220000,50.13,50.68,50.06,50.08,651324,0
NVTA.US,60,20201008,160000,51.52,52.56,50.76,51.4301,543079,0
NVTA.US,60,20201008,170000,51.43,51.6,49.82,51.4183,529270,0
NVTA.US,60,20201008,180000,51.5,52.539,51.41,52.47,241859,0
NVTA.US,60,20201008,190000,52.45,52.93,52.39,52.79,240285,0
NVTA.US,60,20201008,200000,52.8,52.81,52.32,52.46,206102,0
NVTA.US,60,20201008,210000,52.45,53.12,52.3,53.025,160727,0
NVTA.US,60,20201008,220000,53,53.475,52.73,52.83,798182,0
NVTA.US,60,20201009,160000,52.93,53.58,52.16,53.4381,291701,0
NVTA.US,60,20201009,170000,53.3863,54.49,52.94,54.203,294971,0
NVTA.US,60,20201009,180000,54.1814,54.4,53.63,53.78,196956,0
NVTA.US,60,20201009,190000,53.8342,54.08,53.4,53.9,234097,0
NVTA.US,60,20201009,200000,53.9,54.34,53.55,54.28,163878,0
NVTA.US,60,20201009,210000,54.302,54.49,53.01,53.045,282077,0
NVTA.US,60,20201009,220000,53.03,53.63,52.5201,53.31,617633,0
NVTA.US,60,20201012,160000,54.25,55.38,53.31,53.5,347659,0
NVTA.US,60,20201012,170000,53.6948,54.5788,52.84,54.535,315340,0
NVTA.US,60,20201012,180000,54.58,54.88,53.9,54.15,240933,0
NVTA.US,60,20201012,190000,54.11,54.47,53.61,53.84,150877,0
NVTA.US,60,20201012,200000,53.79,53.89,52.28,52.79,255026,0
NVTA.US,60,20201012,210000,52.734,52.96,51.9,52.11,283963,0
NVTA.US,60,20201012,220000,52.1,52.31,51.12,51.13,1037472,0
NVTA.US,60,20201013,160000,51.305,52.47,51.15,51.945,145443,0
NVTA.US,60,20201013,170000,52.09,52.18,51.42,52.13,312393,0
NVTA.US,60,20201013,180000,52.13,52.63,51.93,52.61,212655,0
NVTA.US,60,20201013,190000,52.63,52.99,52.38,52.72,184179,0
NVTA.US,60,20201013,200000,52.77,52.83,52.12,52.2,151299,0
NVTA.US,60,20201013,210000,52.18,52.77,52.11,52.71,169265,0
NVTA.US,60,20201013,220000,52.715,53.31,52.56,52.59,790317,0
NVTA.US,60,20201014,160000,52.31,52.55,51.2,52.281,389134,0
NVTA.US,60,20201014,170000,52.3,52.73,51.56,51.66,276304,0
NVTA.US,60,20201014,180000,51.72,51.73,49.67,49.78,364930,0
NVTA.US,60,20201014,190000,49.785,49.9,49.13,49.39,528586,0
NVTA.US,60,20201014,200000,49.37,49.48,48.6,48.9797,608412,0
NVTA.US,60,20201014,210000,48.95,49.59,48.93,49.3,340598,0
NVTA.US,60,20201014,220000,49.28,49.84,49.13,49.28,827711,0
NVTA.US,60,20201015,160000,48.24,48.93,47.31,48.775,312435,0
NVTA.US,60,20201015,170000,48.78,48.78,47.7034,48.275,583551,0
NVTA.US,60,20201015,180000,48.21,48.8,48,48.45,325582,0
NVTA.US,60,20201015,190000,48.44,48.58,47.94,48.14,166750,0
NVTA.US,60,20201015,200000,48.17,48.2,47.67,47.78,237341,0
NVTA.US,60,20201015,210000,47.755,47.96,47.47,47.8,241536,0
NVTA.US,60,20201015,220000,47.85,48.28,47.57,47.68,778143,0
NVTA.US,60,20201016,160000,47.96,48.49,47.21,47.86,269398,0
NVTA.US,60,20201016,170000,47.92,48.06,47.15,47.3429,441286,0
NVTA.US,60,20201016,180000,47.3733,48.24,46.82,48.235,258405,0
NVTA.US,60,20201016,190000,48.26,48.35,47.45,47.745,199827,0
NVTA.US,60,20201016,200000,47.75,47.85,47.41,47.47,120300,0
NVTA.US,60,20201016,210000,47.42,47.58,47.1247,47.36,147278,0
NVTA.US,60,20201016,220000,47.3916,47.488,46.98,47.03,489176,0
NVTA.US,60,20201019,160000,47.41,49.02,46.98,48.9,261469,0
NVTA.US,60,20201019,170000,48.9,50.4196,48.45,48.99,546392,0
NVTA.US,60,20201019,180000,48.98,49.38,48.51,49.28,183114,0
NVTA.US,60,20201019,190000,49.299,50.05,49.299,49.655,146392,0
NVTA.US,60,20201019,200000,49.66,50.03,49.14,49.265,165820,0
NVTA.US,60,20201019,210000,49.22,49.75,48.81,48.81,108835,0
NVTA.US,60,20201019,220000,48.79,48.86,48.3,48.38,336005,0
NVTA.US,60,20201020,160000,48.54,49.15,48,49.0432,110892,0
NVTA.US,60,20201020,170000,49.05,49.13,47.71,48.07,174667,0
NVTA.US,60,20201020,180000,47.98,48.4303,47.5201,48.4303,138055,0
NVTA.US,60,20201020,190000,48.4,48.47,47.58,47.9576,126723,0
NVTA.US,60,20201020,200000,47.91,48.0899,47.5005,47.87,200050,0
NVTA.US,60,20201020,210000,47.87,48.175,47.64,47.7094,131964,0
NVTA.US,60,20201020,220000,47.78,47.8602,47,47.26,329620,0
NVTA.US,60,20201021,160000,47.31,47.68,46.15,46.405,159319,0
NVTA.US,60,20201021,170000,46.33,46.71,44.8,45.125,480112,0
NVTA.US,60,20201021,180000,45.12,45.16,43.93,43.98,507248,0
NVTA.US,60,20201021,190000,44,44.68,43.91,44.08,272117,0
NVTA.US,60,20201021,200000,44.1112,44.82,44.08,44.305,198332,0
NVTA.US,60,20201021,210000,44.305,44.5,44.07,44.41,198585,0
NVTA.US,60,20201021,220000,44.385,44.4899,43.85,44.04,460965,0
NVTA.US,60,20201022,160000,44.28,46.24,44.2,45.4801,323950,0
NVTA.US,60,20201022,170000,45.47,46.07,44.2,45,284578,0
NVTA.US,60,20201022,180000,45.04,45.99,44.725,45.65,162310,0
NVTA.US,60,20201022,190000,45.62,45.655,45.06,45.41,87700,0
NVTA.US,60,20201022,200000,45.41,45.87,45.27,45.8479,111981,0
NVTA.US,60,20201022,210000,45.83,45.9317,45.48,45.63,129330,0
NVTA.US,60,20201022,220000,45.64,46.2,45.57,46.02,270763,0
NVTA.US,60,20201023,160000,46,46.08,45.12,45.4404,73434,0
NVTA.US,60,20201023,170000,45.45,45.82,45.29,45.44,109843,0
NVTA.US,60,20201023,180000,45.4407,46.31,45.41,45.74,112063,0
NVTA.US,60,20201023,190000,45.69,45.88,45.32,45.4,121246,0
NVTA.US,60,20201023,200000,45.43,45.91,45.43,45.8324,99607,0
NVTA.US,60,20201023,210000,45.88,46.01,44.91,44.96,113331,0
NVTA.US,60,20201023,220000,44.985,45.3,44.9,45.26,457892,0
NVTA.US,60,20201026,150000,44.7,46.41,44.68,46.14,85995,0
NVTA.US,60,20201026,160000,46.02,46.3,45.61,45.83,134167,0
NVTA.US,60,20201026,170000,45.8,46.75,45.6,46.5,209738,0
NVTA.US,60,20201026,180000,46.6,47.085,45.95,46.005,202524,0
NVTA.US,60,20201026,190000,45.97,46.1046,45.3,45.95,144911,0
NVTA.US,60,20201026,200000,45.975,46.61,45.93,46.33,118473,0
NVTA.US,60,20201026,210000,46.335,46.45,45.86,46.08,350510,0
NVTA.US,60,20201027,150000,46.63,47.88,46.13,47.82,189733,0
NVTA.US,60,20201027,160000,47.83,48.44,46.95,47.1215,445127,0
NVTA.US,60,20201027,170000,47.2,47.43,46.97,47.2345,57762,0
NVTA.US,60,20201027,180000,47.22,47.29,46.62,47.08,71791,0
NVTA.US,60,20201027,190000,47.03,47.79,46.6602,47.77,81499,0
NVTA.US,60,20201027,200000,47.79,48.09,47.52,47.863,162427,0
NVTA.US,60,20201027,210000,47.86,48.25,47.59,48.13,379137,0
NVTA.US,60,20201028,150000,46.2,46.51,45.02,45.4383,279890,0
NVTA.US,60,20201028,160000,45.5,45.695,44.16,44.71,440623,0
NVTA.US,60,20201028,170000,44.71,44.99,44.25,44.495,369209,0
NVTA.US,60,20201028,180000,44.4773,44.6199,43.9,44.13,246246,0
NVTA.US,60,20201028,190000,44.12,44.825,44.02,44.81,194334,0
NVTA.US,60,20201028,200000,44.78,44.78,44.34,44.65,204492,0
NVTA.US,60,20201028,210000,44.67,44.8,44.16,44.23,551058,0
NVTA.US,60,20201029,150000,44.71,45.135,43.8533,44.37,98269,0
NVTA.US,60,20201029,160000,44.43,44.49,43.6,43.61,209447,0
NVTA.US,60,20201029,170000,43.68,44.09,43.13,43.32,209484,0
NVTA.US,60,20201029,180000,43.335,43.66,42.6901,42.71,138395,0
NVTA.US,60,20201029,190000,42.755,43.3799,42.34,43.17,312057,0
NVTA.US,60,20201029,200000,43.16,43.7,42.96,43.04,163792,0
NVTA.US,60,20201029,210000,43.05,44.02,42.97,43.76,997044,0
NVTA.US,60,20201030,150000,43.27,43.27,41.76,42.15,216630,0
NVTA.US,60,20201030,160000,42.2,42.28,39.59,39.74,437424,0
NVTA.US,60,20201030,170000,39.79,40.0799,39.2988,39.8873,264416,0
NVTA.US,60,20201030,180000,39.79,40.8299,39.685,39.88,421838,0
NVTA.US,60,20201030,190000,39.87,39.9999,39.3748,39.72,191072,0
NVTA.US,60,20201030,200000,39.72,40,39.11,39.14,263377,0
NVTA.US,60,20201030,210000,39.1328,39.24,38.4175,39.21,994160,0
NVTA.US,60,20201102,160000,39.72,40.39,38.62,40.17,278661,0
NVTA.US,60,20201102,170000,40.13,40.23,38.9001,39.53,252591,0
NVTA.US,60,20201102,180000,39.502,39.81,39.25,39.78,163234,0
NVTA.US,60,20201102,190000,39.755,39.909,39.2,39.2663,135779,0
NVTA.US,60,20201102,200000,39.27,39.27,38.3844,38.39,216837,0
NVTA.US,60,20201102,210000,38.4,39.179,38.39,39.16,218294,0
NVTA.US,60,20201102,220000,39.13,39.44,38.76,39.09,707254,0
NVTA.US,60,20201103,160000,40.09,40.222,39.3746,40.04,197296,0
NVTA.US,60,20201103,170000,40.05,40.59,39.26,39.62,258997,0
NVTA.US,60,20201103,180000,39.595,39.88,39.29,39.76,154251,0
NVTA.US,60,20201103,190000,39.765,40.35,39.75,40.28,239247,0
NVTA.US,60,20201103,200000,40.3205,40.88,40.03,40.27,247573,0
NVTA.US,60,20201103,210000,40.26,41.2,40.14,41.06,269147,0
NVTA.US,60,20201103,220000,41.085,41.65,40.83,41.2,723726,0
NVTA.US,60,20201104,160000,42.35,44.44,42.29,43,157625,0
NVTA.US,60,20201104,170000,43.0374,44.23,42.68,43.665,175636,0
NVTA.US,60,20201104,180000,43.665,44.18,43.51,43.75,172958,0
NVTA.US,60,20201104,190000,43.82,44.4,43.62,43.7,117909,0
NVTA.US,60,20201104,200000,43.77,43.79,43,43.22,149984,0
NVTA.US,60,20201104,210000,43.3,43.63,42.8,43.33,178136,0
NVTA.US,60,20201104,220000,43.33,43.51,42.93,43.21,548476,0
NVTA.US,60,20201105,160000,44.95,45.44,44.75,44.75,229033,0
NVTA.US,60,20201105,170000,44.935,45.5,44.55,45.5,195704,0
NVTA.US,60,20201105,180000,45.54,46.18,45.46,45.88,244259,0
NVTA.US,60,20201105,190000,45.85,46.6521,45.82,46.1924,197968,0
NVTA.US,60,20201105,200000,46.25,46.64,46.15,46.25,166327,0
NVTA.US,60,20201105,210000,46.25,46.35,45.4501,45.605,177518,0
NVTA.US,60,20201105,220000,45.58,46.31,45.05,45.69,1161028,0
NVTA.US,60,20201106,160000,43.01,43.5,41.66,42.28,530355,0
NVTA.US,60,20201106,170000,42.28,45.187,41.38,44.86,816429,0
NVTA.US,60,20201106,180000,44.84,46.39,44.15,45.73,455673,0
NVTA.US,60,20201106,190000,45.725,46.66,45.4701,45.855,357873,0
NVTA.US,60,20201106,200000,45.85,46.39,45.59,45.68,297824,0
NVTA.US,60,20201106,210000,45.64,45.87,44.86,45.2599,280662,0
NVTA.US,60,20201106,220000,45.23,45.57,44.71,44.76,552887,0
NVTA.US,60,20201109,160000,46.05,46.1,42.69,44.74,158930,0
NVTA.US,60,20201109,170000,44.8128,47.58,44.64,47.4,323348,0
NVTA.US,60,20201109,180000,47.49,47.675,45.54,45.8,178514,0
NVTA.US,60,20201109,190000,45.89,46.9,45.73,46.49,195328,0
NVTA.US,60,20201109,200000,46.5,46.6399,45.75,46.51,124317,0
NVTA.US,60,20201109,210000,46.44,46.45,45.57,45.63,157717,0
NVTA.US,60,20201109,220000,45.67,45.9,44.19,44.23,810282,0
NVTA.US,60,20201110,160000,45,45.02,41.57,41.925,166773,0
NVTA.US,60,20201110,170000,41.94,42.0584,39.97,40.585,448432,0
NVTA.US,60,20201110,180000,40.655,42.155,40.655,41.96,278453,0
NVTA.US,60,20201110,190000,41.915,43.3,41.86,43.3,156270,0
NVTA.US,60,20201110,200000,43.39,43.54,42.2831,42.905,192386,0
NVTA.US,60,20201110,210000,42.9481,43.2,42.53,42.97,149815,0
NVTA.US,60,20201110,220000,42.965,43.29,42.7273,43.05,666982,0
NVTA.US,60,20201111,160000,43.72,46.57,43.72,46.3588,165272,0
NVTA.US,60,20201111,170000,46.345,48.14,45.86,46.31,390823,0
NVTA.US,60,20201111,180000,46.26,47.09,45.9421,46.885,162890,0
NVTA.US,60,20201111,190000,46.93,47.43,46.57,46.725,129905,0
NVTA.US,60,20201111,200000,46.76,47.28,46.62,46.81,103636,0
NVTA.US,60,20201111,210000,46.86,47.0499,45.985,46.11,114352,0
NVTA.US,60,20201111,220000,46.1,46.75,46.1,46.59,499146,0
NVTA.US,60,20201112,160000,47,48.42,46.88,47.71,147031,0
NVTA.US,60,20201112,170000,47.72,48.58,47.5,47.6,239638,0
NVTA.US,60,20201112,180000,47.61,49.77,47.61,49.5446,442251,0
NVTA.US,60,20201112,190000,49.545,49.79,48,48.12,190207,0
NVTA.US,60,20201112,200000,48.17,48.17,47.08,47.74,238103,0
NVTA.US,60,20201112,210000,47.7,47.8,46.9217,47.03,165640,0
NVTA.US,60,20201112,220000,47.015,47.36,46.71,47.14,580382,0
NVTA.US,60,20201113,160000,48.195,49.23,47.85,48.57,158002,0
NVTA.US,60,20201113,170000,48.625,48.625,46.99,47.2366,321704,0
NVTA.US,60,20201113,180000,47.1928,48.73,47.18,48.3602,155246,0
