<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NXQ.US,60,20200914,160000,15.25,15.25,15.25,15.25,388,0
NXQ.US,60,20200914,170000,15.25,15.27,15.23,15.24,2815,0
NXQ.US,60,20200914,180000,15.26,15.26,15.26,15.26,100,0
NXQ.US,60,20200914,190000,15.244,15.265,15.238,15.238,4845,0
NXQ.US,60,20200914,200000,15.25,15.264,15.25,15.25,8143,0
NXQ.US,60,20200914,210000,15.26,15.26,15.25,15.25,8757,0
NXQ.US,60,20200914,220000,15.25,15.26,15.121,15.121,9116,0
NXQ.US,60,20200915,160000,15.27,15.27,15.27,15.27,271,0
NXQ.US,60,20200915,170000,15.25,15.25,15.245,15.25,604,0
NXQ.US,60,20200915,180000,15.245,15.25,15.22,15.22,1405,0
NXQ.US,60,20200915,190000,15.211,15.211,15.211,15.211,200,0
NXQ.US,60,20200915,200000,15.211,15.211,15.181,15.201,4926,0
NXQ.US,60,20200915,210000,15.201,15.201,15.161,15.171,5403,0
NXQ.US,60,20200915,220000,15.171,15.191,15.146,15.146,2678,0
NXQ.US,60,20200916,160000,15.211,15.211,15.131,15.131,8480,0
NXQ.US,60,20200916,170000,15.121,15.193,15.121,15.121,3804,0
NXQ.US,60,20200916,180000,15.181,15.181,15.121,15.121,7291,0
NXQ.US,60,20200916,190000,15.121,15.151,15.121,15.121,8654,0
NXQ.US,60,20200916,200000,15.121,15.121,15.121,15.121,100,0
NXQ.US,60,20200916,210000,15.111,15.111,15.021,15.046,3610,0
NXQ.US,60,20200916,220000,15.021,15.046,15.021,15.031,461,0
NXQ.US,60,20200917,160000,15.081,15.081,14.986,15.046,1370,0
NXQ.US,60,20200917,170000,15.021,15.051,15.021,15.051,927,0
NXQ.US,60,20200917,180000,15.081,15.141,15.068,15.141,6291,0
NXQ.US,60,20200917,190000,15.121,15.121,15.121,15.121,100,0
NXQ.US,60,20200917,200000,15.111,15.111,15.101,15.101,3318,0
NXQ.US,60,20200917,210000,15.127,15.127,15.101,15.101,2027,0
NXQ.US,60,20200917,220000,15.079,15.079,15.071,15.071,613,0
NXQ.US,60,20200918,160000,15.121,15.121,15.083,15.083,4026,0
NXQ.US,60,20200918,170000,15.111,15.111,15.031,15.031,4673,0
NXQ.US,60,20200918,180000,15.091,15.111,15.072,15.076,3782,0
NXQ.US,60,20200918,190000,15.111,15.111,15.051,15.051,5012,0
NXQ.US,60,20200918,200000,15.051,15.071,15.051,15.071,1635,0
NXQ.US,60,20200918,210000,15.071,15.091,15.071,15.091,1709,0
NXQ.US,60,20200918,220000,15.063,15.071,15.063,15.071,314,0
NXQ.US,60,20200921,160000,15.121,15.121,15.121,15.121,864,0
NXQ.US,60,20200921,170000,15.071,15.071,15.041,15.041,2312,0
NXQ.US,60,20200921,180000,15.061,15.091,15.056,15.072,1933,0
NXQ.US,60,20200921,190000,15.091,15.091,15.041,15.041,3198,0
NXQ.US,60,20200921,200000,15.041,15.041,15.041,15.041,302,0
NXQ.US,60,20200921,210000,15.042,15.048,15.041,15.041,5518,0
NXQ.US,60,20200921,220000,15.031,15.061,15.031,15.051,6217,0
NXQ.US,60,20200922,160000,15.081,15.081,15.011,15.011,573,0
NXQ.US,60,20200922,170000,15.011,15.101,15.011,15.051,2112,0
NXQ.US,60,20200922,180000,15.051,15.071,15.021,15.021,402,0
NXQ.US,60,20200922,190000,15.021,15.071,15.021,15.071,504,0
NXQ.US,60,20200922,200000,15.071,15.071,15.057,15.057,827,0
NXQ.US,60,20200922,210000,15.071,15.071,15.071,15.071,604,0
NXQ.US,60,20200922,220000,15.061,15.131,15.061,15.071,3217,0
NXQ.US,60,20200923,160000,15.051,15.151,15.041,15.151,2552,0
